Key,English,Simplified_Chinese
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,%s 回复量限制为 %d。
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,请稍后再使用此物品。
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,点击城镇中心复活(到最近的城镇)或使用物品原地复活。
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,点击城镇之星在竞技场附近复活。
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,您无法攻击正与其它玩家战斗中的怪物。
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,战斗时无法终止
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,等级提升！请从状态窗提升能力
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,升级了!
TEXTCLIENT_CHARSTATUS_APPLY_Q,Do you want to use the current Stat setup?,使用目前的设定使用GP点数吗？
TEXTCLIENT_CHARSTATUS_FIRSTJOB,Your stat values will reset after your 1st job change.,完成第一次转职任务后，属性值将初始化。
TEXTCLIENT_BATTLEPASS_REQUIRED,This feature is only available with the Extended Flyff Pass or Hero Quest.,仅在购买扩展战斗通行证或英雄进阶后可用。
TEXTCLIENT_STATPAGE_COOLDOWN,You can swap stat pages in %d seconds.,%d秒后可切换属性页。
TEXTCLIENT_ADMIN_STATE,Status,状态
TEXTCLIENT_ADMIN_NORMAL,Normal,通用
TEXTCLIENT_SPEED_VERYSLOW,Very slow,非常慢
TEXTCLIENT_SPEED_LOW,Slow,慢
TEXTCLIENT_SPEED_NORMAL,Normal,通用
TEXTCLIENT_SPEED_FAST,Fast,快速
TEXTCLIENT_SPEED_VERYFAST,Very fast,很快
TEXTCLIENT_SPEED_FASTEST,Fastest,非常快速
TEXTCLIENT_ITEMPRIORITY,The %s belongs to another player at the moment. Please wait a while.,%s暂时属于其他玩家，请稍候。
TEXTCLIENT_LACKSPACE,Inventory is full. Please make room and try again.,背包没有足够的空间。
TEXTCLIENT_REAPITEM,You received %s.,您得到了%s。
TEXTCLIENT_REAPITEM_UPGRADE,You received %s +%d.,你获得了%s+%d。
TEXTCLIENT_TROUPEREAPITEM,%s has gained %s.,%s捡到了%s。
TEXTCLIENT_APP_INVENTORY,Inventory,背包
TEXTCLIENT_REAPMONEY,You received %s Penya (Total: %s Penya).,您获得了%s枚金币。(共%s枚金币)
TEXTCLIENT_ERROR_SEX,%s is not for your gender.,性别不符，无法使用%s
TEXTCLIENT_ERROR_JOB,You cannot equip the %s. Requirements not met.,不符合要求，你无法装备%s。
TEXTCLIENT_ERROR_LEVEL,You cannot equip this item because your level is too low. (Req Lev: %d),由于您的等级太低，您无法装备此物品。 （需要等级：%d）
TEXTCLIENT_ERROR_UNDESTRUCTABLE,You can not discard this item.,该物品无法删除或是丢弃到地上。
TEXTCLIENT_ERROR_USINGITEM,You are already using this item.,You are already using this item.
TEXTCLIENT_SUCCESSREMOVEITEM,Number of %s deleted: %d.,删除%s: %d个。
TEXTCLIENT_NOTARGET,"Cannot attack, no monster targeted.",对方不是怪物或未能锁定到目标，所以无法使用
TEXTCLIENT_NOTUSE,You cannot use this yet.,目前还无法使用
TEXTCLIENT_ERROR_NOTLEVEL,Your level is too low.,等级不足无法使用
TEXTCLIENT_BLOCK_PM,%s is in the 'Refuse to Whisper/Messenger' setting.,%s目前是关闭密语/好友功能的状态
TEXTCLIENT_YETTRADE,That player is currently busy. Please try again after few minutes.,该玩家目前正忙，请在几分钟后再试一次哦^^
TEXTCLIENT_ITEMNOTUSE_TRADING,You cannot use items while trading.,交易中无法使用物品。
TEXTCLIENT_REDCHIP,Red Chip,红纸片
TEXTCLIENT_ERROR_EQUIPTRADE,Please unequip the item before selling it.,在出售前请取消装备该道具。
TEXTCLIENT_ERROR_NPCBUFFLEVEL,Only level %d~%d character can get buffs.,仅限%d~%d级的玩家可以获得buff。
TEXTCLIENT_ERROR_NPCBUFFFAIL,You cannot use %s right now.,"该技能使用中,所以无法使用 %s"
TEXTCLIENT_LEVEL15JOB,Now it's time to choose your job.,现在该去帕里东广场进行第一次职业转职了。
TEXTCLIENT_CHANGEJOB,Congratulations! You have advanced to the %s job class.,恭喜！您已晋升到 %s 职业等级。
TEXTCLIENT_APP_SKILL,Skills,技能
TEXTCLIENT_BASESKILLLEVEL,Character Level: %d,角色等级：%d
TEXTCLIENT_PATTERNUP,You are learning new attack patterns!,加强了攻击模式。
TEXTCLIENT_WRONGITEM,You need to equip the correct weapon or item to use that skill.,您没有装备符合此技能的装备。
TEXTCLIENT_REQFP,Not enough FP.,FP不足。
TEXTCLIENT_REQMP,Not enough MP.,MP不足。
TEXTCLIENT_REQHP,Not enough HP.,HP不足。
TEXTCLIENT_BLOCKTARGETING,This action has been blocked by an obstacle..,因障碍物阻挡无法攻击。
TEXTCLIENT_SKILLREQUIRED,%s skill level %d is needed.,需要 %s 技能等级 %d。
TEXTCLIENT_SKILLLEVELUP,%s skill level increased.,%s 技能等级提升。
TEXTCLIENT_APP_PRIVATE_SHOP,Private Shop,个人商店
TEXTCLIENT_APP_QUEST,Quests,任务
TEXTCLIENT_APP_CASH_SHOP,Flyff Shop,游戏商店
TEXTCLIENT_PREMIUM_ITEMS,Premium Items,收费物品
TEXTCLIENT_COMMUNICATION,Communication,聊天信息
TEXTCLIENT_COMMUNITY,Community,玩家组织
TEXTCLIENT_HELPER,Helper,助手
TEXTCLIENT_APP_ITEM_DURATION,Duration,持续时间
TEXTCLIENT_APP_MESSENGER,Messenger,好友
TEXTCLIENT_APP_PARTY,Party,剧团
TEXTCLIENT_APP_GUILD,Guild,公会
TEXTCLIENT_APP_COUPLE,Couple,Couple
TEXTCLIENT_APP_HELP,Help,帮助
TEXTCLIENT_APP_HELP_TIPS,Tips,小提示
TEXTCLIENT_APP_FAQ,FAQ,常见问题
TEXTCLIENT_APP_FITTINGROOM,Fitting Room,试衣间
TEXTCLIENT_APP_HELP_WIKI,Wiki Help,维基百科
TEXTCLIENT_APP_INFO_PANG,Info-Pang,胖胖
TEXTCLIENT_GUILDCOMBAT_CANNOT_PARTY,You cannot make a party in the Guild Siege arena.,您不能在公会战场中发起剧团邀请。
TEXTCLIENT_PPVP_ADD_PARTY,You cannot invite another character to join the party during party PvP.,进行剧团对战时，无法招募剧团成员。
TEXTCLIENT_DUEL_ADD_PARTY,You cannot join the party during duel.,战斗期间不允许加入剧团。
TEXTCLIENT_DUEL_ADD_GUILD,You cannot join the guild during duel.,战斗中无法加入公会。
TEXTCLIENT_BATTLE_NOTPARTY,You cannot invite others to join your party during a battle.,战斗中无法邀请加入剧团。
TEXTCLIENT_PARTYINVITE_DIFFERENTSERVER,Cannot invite a player from a different channel.,无法邀请在其他线路的玩家。
TEXTCLIENT_PARTYOTHER,%s is currently in another party.,%s属于其它剧团。
TEXTCLIENT_PARTYEXISTCHR,%s is already in your party.,%s 已经在你的剧团中了。
TEXTCLIENT_DIFFERENTPARTY,Player cannot join the party.,无法加入到剧团。
TEXTCLIENT_PARTYFAILINVITATE,%s has refused to join the party.,%s 拒绝加入剧团。
TEXTCLIENT_PARTYDENY,%s is currently not accepting Party Invitations,%s 目前不接受剧团邀请
TEXTCLIENT_PARTYNOINVATE,Only the party leader can invite new members.,只有团长才能招募团员。
TEXTCLIENT_PARTYFULL,The maximum party limit of 8 players has already been reached.,已达到最多8名玩家的剧团人数上限。
TEXTCLIENT_PARTYFAILENTER,You have failed to join the party.,加入剧团失败。
TEXTCLIENT_GUILDFAILENTER,You have failed to join the guild.,加入公会失败。
TEXTCLIENT_PARTYCREATE,Party has been created.,剧团成立了。
TEXTCLIENT_PARTYJOIN,%s has joined the party.,%s 加入了剧团。
TEXTCLIENT_PARTYREMOVE,%s has left the party.,%s 离开了剧团。
TEXTCLIENT_PARTYEXIT,You have left the party.,您退出了剧团。
TEXTCLIENT_PARTYDESTROY,Party has been disbanded.,剧团解散了。
TEXTCLIENT_LODELIGHT,You have chosen the Lodelight as your re-spawn point.,您将这个地方设定为复活点。
TEXTCLIENT_PARTY_ISNOTMASTER,Only the Party Leader is able to transfer the Leader Status to another member of the party.,您不是团长或必须从剧团窗口内选择团员。
TEXTCLIENT_PARTY_MASTERAWAY,You cannot pass party leadership to an offline player.,无法把团长交给离线状态的玩家
TEXTCLIENT_PARTY_ALREADYMASTER,You are already the Party Leader.,您已经成为了团长
TEXTCLIENT_PARTY_LEADERNOCHANGEPK,Unable to change the party leader during a party duel.,无法在剧团对战中更换团长。
TEXTCLIENT_PARTY_TROUPEUP,Party level increased to 10.,剧团等级已经到达10级了
TEXTCLIENT_PARTY_LEVELUP,Party level increased.,剧团等级上升
TEXTCLIENT_PARTY_NAMEINUSE,That party name is already in use. Please choose another one.,已经有其他人使用此剧团名称，请重新输入
TEXTCLIENT_PARTY_INVALIDNAME,This party name contains unauthorized characters or words.,名称包含非法字符。
TEXTCLIENT_ERROR,Error,错误
TEXTCLIENT_PARTY_CHANGE,The party has been changed to an Advanced Party.,从单幕剧团改变为巡回剧团了
TEXTCLIENT_PARTY_NAMECHANGED,Party name has been changed to %s.,剧团名称改变为%s了
TEXTCLIENT_PARTYSKILL_LEADER,Only the party leader can use party skills.,只有团长才可以使用剧团技能哦
TEXTCLIENT_PARTYSKILL_REQLEVEL,Your party does not have the required level.,您的队伍未达到要求的等级
TEXTCLIENT_PARTYSKILL_POINTS,Cannot use skill. Insufficient party experience.,剧团剩余点数不足，所以无法使用团技能
TEXTCLIENT_PARTYSKILL_NOTTIME,You are still using the %s party skill. Try again later.,您正在使用剧团技能%s，请稍后再试。
TEXTCLIENT_PARTYSKILL_USE,The party skill %s has been used.,使用了剧团技能: %s
TEXTCLIENT_PARTYSKILL_STOP,The effect of %s has ended.,%s的效果即将结束。
TEXTCLIENT_ACR_FAME01,Rogue,捣蛋鬼
TEXTCLIENT_ACR_FAME02,Outlaw,不法之徒
TEXTCLIENT_ACR_FAME03,Vigilante,暗夜猎手
TEXTCLIENT_ACR_FAME04,Pathfinder,幽径行者
TEXTCLIENT_ACR_FAME05,Pursuer,暗夜之王
TEXTCLIENT_ACR_FAME06,Hejerdor,华丽舞者
TEXTCLIENT_ACR_FAME07,Phoenix,浴火凤凰
TEXTCLIENT_ACR_FAME08,Splitter,撕裂者
TEXTCLIENT_ACR_FAME09,Valcan,暗影刺客
TEXTCLIENT_ACR_FAME10,Lamia,女蛇妖姬
TEXTCLIENT_MER_FAME01,Trainer,卫士
TEXTCLIENT_MER_FAME02,Fighter,勇士
TEXTCLIENT_MER_FAME03,Gladiator,斗士
TEXTCLIENT_MER_FAME04,Berserker,圣武士
TEXTCLIENT_MER_FAME05,Wardancer,魔幻战神
TEXTCLIENT_MER_FAME06,Blaster,嗜血武者
TEXTCLIENT_MER_FAME07,Eraser,暴血战魂
TEXTCLIENT_MER_FAME08,Champion,冠军
TEXTCLIENT_MER_FAME09,Warrior,勇士
TEXTCLIENT_MER_FAME10,Bearcat,熊猫战士
TEXTCLIENT_MAG_FAME01,Apprentice,术士
TEXTCLIENT_MAG_FAME02,Mage,法师
TEXTCLIENT_MAG_FAME03,War Mage,巫师
TEXTCLIENT_MAG_FAME04,Grand Mage,大贤者
TEXTCLIENT_MAG_FAME05,Arch Mage,神佑尊者
TEXTCLIENT_MAG_FAME06,Sorcerer,秘法魔导
TEXTCLIENT_MAG_FAME07,Warlock,大魔法师
TEXTCLIENT_MAG_FAME08,Sage,圣人
TEXTCLIENT_MAG_FAME09,Arch Sage,神佑圣人
TEXTCLIENT_MAG_FAME10,Elder,元老
TEXTCLIENT_ASS_FAME01,Protector,护士
TEXTCLIENT_ASS_FAME02,Guardian,医生
TEXTCLIENT_ASS_FAME03,Knight,骑士
TEXTCLIENT_ASS_FAME04,Paladin,天侍神
TEXTCLIENT_ASS_FAME05,Crusader,光明使者
TEXTCLIENT_ASS_FAME06,Crusader,光明使者
TEXTCLIENT_ASS_FAME07,Chaplain,圣教士
TEXTCLIENT_ASS_FAME08,Luminary,光明使者
TEXTCLIENT_ASS_FAME09,Prophet,预言主教
TEXTCLIENT_ASS_FAME10,Oracle,神谕使者
TEXTCLIENT_ALREADYFRIEND,That player is already in your friends list.,此玩家已登入在好友名单中
TEXTCLIENT_MSGINVATE,You have asked for permission to add %s to your messenger.,您正在询问%s是否愿意加入好友好友名单中
TEXTCLIENT_GUILDCOMBAT_CANNOT_FRIENDADD,You cannot add friends in the Guild Siege arena.,您不能在公会战场内添加好友。
TEXTCLIENT_BATTLE_NOTFRIEND,You cannot add someone to your friends list while dueling.,战斗中无法添加好友
TEXTCLIENT_MSGDENYINVATE,Invitation has been refused.,邀请已被拒绝。
TEXTCLIENT_MSGDENY,%s is in the 'Refuse Messenger' setting.,%s目前是关闭好友功能的状态
TEXTCLIENT_MSGMAXUSER,The maximum number of players that can be registered into the messenger is 200.,好友可添加的好友名单为200人
TEXTCLIENT_MSGINVATECOM,%s has added you to their Messenger.,%s将您添加到好友名单了
TEXTCLIENT_NOTLOGIN,That player is offline.,玩家不在线上
TEXTCLIENT_MSGBLOCKCHR,"Failure to send message, %s is blocked.",%s已经离线，所以无法对他发送即时讯息，请利用好友中的留言功能
TEXTCLIENT_MESSNEWNOTE,You have %d new message(s).,收到%d个新留言
TEXTCLIENT_MESSFULLNOTE,Your message cannot be sent. The receiving inbox may be full.,对方的留言箱已满，无法再接收留言
TEXTCLIENT_MESSNOTE,You sent the memo.,传送了留言
TEXTCLIENT_MAILRECEIVE,You have received new mail!,收到新邮件
TEXTCLIENT_CANT_SHOUT_BELOW_20,Characters under Level %d cannot shout.,等级未满%d的使用者无法使用呼喊功能。
TEXTCLIENT_NOPARTY,Party does not exist.,此剧团不存在
TEXTCLIENT_NOGUILD,Guild does not exist.,不存在的公会
TEXTCLIENT_WHISPERAGREE,Private messages allowed,允许私信
TEXTCLIENT_WHISPERREFUSE,Private messages refused,不允许私信
TEXTCLIENT_MSGERAGREE,Messenger allowed,允许发送消息
TEXTCLIENT_MSGERREFUSE,Messenger refused,不允许发送消息
TEXTCLIENT_STAGEAGREE,Party & guild invites allowed,允许剧团和公会邀请
TEXTCLIENT_STAGEREFUSE,Party & guild invites refused,不允许剧团和公会邀请
TEXTCLIENT_CONNAGREE,Post connection status,开启上线通知功能
TEXTCLIENT_CONNREFUSE,Do not post connection status.,关闭上线通知功能
TEXTCLIENT_FULL_BLOCKED_USER_LIST,Ignore List is full. Please unignore some characters or relog to reset your Ignore List.,屏蔽列表已满。请取消屏蔽某些角色或重新登录以重置您的屏蔽列表。
TEXTCLIENT_MY_CHARACTER_CANT_BLOCK,You shouldn't ignore yourself. You might have something important to say!,你不应该轻视自己。你不是有重要的事情要说吗！
TEXTCLIENT_ALREADY_BLOCKED,That character is already on your Ignore List.,已经是封锁聊天的对象。
TEXTCLIENT_USER_CHATTING_BLOCKING,%s has been ignored. Type /unignore <NAME> to remove them from your Ignore List.,%s 已被屏蔽。输入 /Unignore <NAME> 将他们从您的屏蔽列表中删除。
TEXTCLIENT_USER_CHATTING_UNBLOCKING,%s is now unignored.,%s 现在已被您屏蔽。
TEXTCLIENT_THERE_IS_NO_BLOCKED_TARGET,That character is not on your Ignore List.,是封锁聊天目录中没有的对象。
TEXTCLIENT_EQUIPPUT,Please unequip the item first.,请先卸下装备。
TEXTCLIENT_CHARGED_NOTUSE,You can not use the premium items.,无法使用收费物品
TEXTCLIENT_MSGSELFSENDERERROR,"You cannot send a message to yourself, silly.",无法对自己发送讯息
TEXTCLIENT_MAILBOX_FULL,%s's mail box is full.,%s的信箱已满
TEXTCLIENT_LACKMONEY,You do not have enough Penya.,您的金额不足。
TEXTCLIENT_CANNOTPOST,You cannot send this item.,无法发送的物品
TEXTCLIENT_MAIL_UNKNOWN,Unknown user,无法判别的使用者
TEXTCLIENT_POST_ERROR,You have failed to send.,传送邮件失败
TEXTCLIENT_MAIL_SEND_OK,Your mail has been sent successfully.,邮件已成功发送。
TEXTCLIENT_ERROR_RETRY,"An error occured, please retry the operation.",发生错误，请重试该操作。
TEXTCLIENT_REALTIME,Real Time - %s,实际时间 - %s
TEXTCLIENT_MADRIGALTIME,Madrigal Time - %s,瑞加大陆时间 - %s
TEXTCLIENT_NEW_QUEST,New Quest,新任务
TEXTCLIENT_CURRENT_QUEST,Quests in Progress,进行中的任务
TEXTCLIENT_STARTQUEST,You've received the quest: %s. Open your Quest Window for details.,%s任务已经开始进行了，请确认任务的目的之后进行
TEXTCLIENT_REMOVEQUEST,%s quest has been cancelled.,%s任务已经被取消了
TEXTCLIENT_QUEST_FAILURE,Quest cancelled.,无法完成任务，任务被取消
TEXTCLIENT_NOTPLAYSERVER,This channel is not available. Please select another.,该频道现在不能进入。请加入其他的频道。
TEXTCLIENT_PK_NO_FLIGHTAREA,Flying is forbidden inside.,无法骑着飞行器进入
TEXTCLIENT_ITEMBOX_MESSAGE1,You need %s item to open it.,想要开启，必须要有%s
TEXTCLIENT_ITEMBOX_MESSAGE2,"Wrong level, unable to open itembox.",70级以上才可以进入
TEXTCLIENT_ITEMBOX_MESSAGE3,"Wrong sex, unable to open itembox.",您的性别无法开启
TEXTCLIENT_ITEMBOX_MESSAGE4,You need to be on the %s quest to open it.,想要开启，必须进行%s任务
TEXTCLIENT_ITEMBOX_MESSAGE5,"Wrong job, unable to open itembox.",您的职业无法开启
TEXTCLIENT_QUEST_NOINVENTORYSPACE,Unable to complete quest. Not enough room in your inventory.,物品栏位的空间不足，所以无法完成任务
TEXTCLIENT_REAPEXP,You have gained Experience.,经验值上升
TEXTCLIENT_ENDQUEST,Congratulations! %s has been completed.,恭喜！%s已完成。
TEXTCLIENT_PARTYQUEST_NOTJOIN,"If a member of party is over level %d, he cannot enter.",如果队伍中某一成员超过 %d 级，那么他将无法进入。
TEXTCLIENT_ERROR_DONTCHECK,You cannot check that anymore.,无法再确认
TEXTCLIENT_COMACCEPT,You have joined the %s guild.,您加入了%s公会
TEXTCLIENT_COMLEAVE,You are no longer a member of the %s guild.,你不再是%s公会的成员。
TEXTCLIENT_GUILDWARERRORLOGO,You cannot change your guild logo during a guild duel.,在公会对战期间您无法更改您的公会图标
TEXTCLIENT_GUILDWARERRORNAME,You cannot change your guild name during a guild duel.,在公会对战期间您无法更改您的公会名称
TEXTCLIENT_GUILDNOTICEUPDATE,A new Guild Notice has been posted. Please check it in the guild window.,公会的公告事项已更新，请从公会窗口确认内容
TEXTCLIENT_GUILD_NAMEINUSE,That guild name is already in use. Please choose another one.,公会名字已经被使用了哦，请换一个吧
TEXTCLIENT_GUILD_INVALIDNAME,This guild name contains unauthorized characters or words.,公会名称含有非法字符哦
TEXTCLIENT_GUILDCHANGENAME,%s guild has changed their name to %s.,%s公会的名称已经修改为%s公会了
TEXTCLIENT_GUILDWARNODISMISS,You cannot disband your guild during a guild duel.,在公会战期间无法解散公会
TEXTCLIENT_GUILDSALARYCHANGED,Salary for each title has been changed.,支付给该称号的薪水已改变完成
TEXTCLIENT_GUILDPOWERCHANGED,Authority for each title has been changed.,各称号的权限已改变
TEXTCLIENT_GUILDWARNOMEMBER,Unable to use the member management function during a guild duel.,在公会战期间无法使用管理公会成员的功能
TEXTCLIENT_GUILDMEMBER_PROMOTED,%s has been promoted.,将%s的称号提升了
TEXTCLIENT_GUILDMEMBER_DEMOTED,%s has been demoted.,将%s的称号贬低了
TEXTCLIENT_GUILD_TRANSFERLEADER,%s has become the guild master.,%s成为公会会长了
TEXTCLIENT_GUILD_MEMBERLEAVE,%s has left the guild.,%s已经离开公会。
TEXTCLIENT_COMACCEPTHAVECOM,%s is already in a guild.,%s已经是公会的成员
TEXTCLIENT_BATTLE_NOTGUILD,You cannot invite others to join your guild during a battle.,战斗中无法邀请其他人加入公会
TEXTCLIENT_COMACCEPTKINGPIN,You invited %s to your guild.,已向%s发送公会邀请
TEXTCLIENT_GUILDCHROFFLINE,The character you invited is offline.,邀请的角色目前不在线上
TEXTCLIENT_GUILDNOTINCLUDE,You have to wait 2 days before joining another guild.,退出公会不到2天，因此无法加入新公会。
TEXTCLIENT_GUILDFAILINVITATE,%s has refused to join the guild.,%s 拒绝加入公会。
TEXTCLIENT_COMNOEXCOM,That guild does not exist.,此公会不存在
TEXTCLIENT_GUILDWARNOINVATE,Cannot join a guild during a guild duel.,[公会战]公会战中无法加入公会。
TEXTCLIENT_COMHAVECOM,You are already in a guild.,您已经有所属公会，所以无法加入
TEXTCLIENT_COMOVERMEMBER,The guild is full.,公会已超过上限人数
TEXTCLIENT_COMACCEPTWELCOME,%s has joined the guild.,%s加入了工会。
TEXTCLIENT_GUILDNOTHINGNAME,Unable to make a contribution. Ask your Guild Leader to set the guild name first.,没有公会名称就无法对公会贡献。请公会首领指定公会名称
TEXTCLIENT_GUILDMERITMAXLEVEL,Unable to make a contribution. The guild has reached its maximum level.,公会已达到最高等级，无法再进行贡献。
TEXTCLIENT_GUILDLEVELUP,Guild level has increased.,公会等级上升
TEXTCLIENT_GUILDCLOAK,%s Guild Cloak,%s 公会披风
TEXTCLIENT_NOTTRADE,You cannot trade a premium item.,收费物品无法放入个人商店或与NPC进行交易
TEXTCLIENT_GUILDBANKFULL,The guild warehouse is full.,公会仓库已满
TEXTCLIENT_COUPLEBANKFULL,The couple storage is full.,伴侣仓库已满
TEXTCLIENT_SLOTFULL,Your inventory is full.,已经太满放不下了
TEXTCLIENT_CONFIRMMOVEITEM,Really move this item?,真的要移动这个物品吗？
TEXTCLIENT_GUILDCREATECLOAK,Guild cloak has been created.,制作了公会披风
TEXTCLIENT_GUILDNEEDGOLD,Unable to create guild cloak. Insufficient Penya in the guild warehouse.,公会仓库的金币不足，所以无法制作披风
TEXTCLIENT_GUILD_PAYTAKE,Guild salary of %d Penya received.,收到公会工资%d 金币。
TEXTCLIENT_ERROR_UNKNOWN_TARGET,Unknown setting target,未知的设定目标
TEXTCLIENT_ERROR_UNKNOWN_JOB,Unknown job,未知的工作
TEXTCLIENT_RECURRENCE,Your character’s skill points have been reset. Please redistribute your points in the Skill Tree window.,您角色的技能点已重置，请在技能树窗口中重新分配您的技能点数
TEXTCLIENT_CHOICEJOB,You have to choose a job at Lv 15.,等级15之后，必须选择新职业转职
TEXTCLIENT_ERROR_NOTEXPERTJOB,Not Expert Job,非专家职业
TEXTCLIENT_EXPERTJOBS,Expert Job: %s,专家职业：%s
TEXTCLIENT_EXPERTLEVEL,Expert Level: %d ~ %d,专家等级：%d ~ %d
TEXTCLIENT_ERROR_NOTPROFESSIONALJOB,Not Professional Job,非专家职业
TEXTCLIENT_ERROR_NOTSPECIALISTJOB,Not Specialist Job,非专精职业​
