Key,English,Simplified_Chinese
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000091,This altar was made for admiring the glory of Jesters.\nA priest named Homeit is managing this altar.,为了纪念暗杀们而设立的祭坛。\n祭坛由一个叫‘胡梅’的祭司管理。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000092,Darkon 3\nBrekin,达肯第3区\n铸炼之地
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000093,"This was an industrial area for refining Erons.\nHowever, this area was abandoned because of growing danger in the area.",此地区有着大规模的绿磷石采矿场与绿磷石精练工厂，是一个大型的工业地区！\n但是因过度的采矿，使矿脉枯竭，目前已经变成了废矿区。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000094,Darkon 3\nArians,达肯第3区\n千泪湖
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000095,This area consists of giant pools. This blue water dissolved Erons.,巨大的水池以阶梯的地形形成的区域。因为有绿磷石融化在水里面，所以水呈蓝色。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000096,Engisis Length,英吉斯
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000097,"The largest, most mysterious tree in Madrigal.",瑞加世界中，最神秘的区域。主要由巨大的古树形成，此古树有着古代神明的净化祝福。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000098,Darkon 3\nDeadwallderness,达肯荒废地区\n龙息荒野
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000099,The wasteland of Darkon 3. Smoke rises from the ground that smells like dead things.,达肯第三区域的南部荒废地区，又被称为死者之都。此地区的地底会冒出死亡之气‘啃蚀雾’。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000100,Darkon 3\nAniceknight,达肯第3区\n魔夜之森
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000101,The local plants have mutated and grown large.,这块区域的植物已经突变了，并且长得异常的巨大。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000102,Darkon 3\nHouse of Laola,达肯第3区\n拉宇的住宅
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000103,A mysterious aura has wrapped itself around the home of Laola,屋子的四周被许多神秘的东西笼罩着。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000104,Altar of Ranger,游侠祭坛
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000105,This altar was made for admiring the glory of the Ranger.\nA priest named Rupim is managing this altar.,为了纪念游侠们而设立的祭坛。\n祭坛由一个叫‘芦苹’的祭司管理。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000106,Altar of Psykeeper,精神使者祭坛
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000107,Place where the Soulstone of Psykeeper is kept.\nThe admirers of the hero Offerep\nmake a pilgrimage here every year.,保管精神使者的灵魂之石的地方\n崇拜念力师英雄欧布华的人\n每年都会到此地朝拜
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000108,Darkon 3\nWestern Cendil,达肯第3区\n流韵要塞西
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000109,The polluted river flows and corrupts the wildlife of the area.\nThings grow large and nasty in this area.,此地区的江水受到绿磷石矿物的污染\n使周围的植物突变成了菇状树木。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000110,Darkon 3\nHeret,达肯第3区\n迷梦峡谷
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000111,There is a blue glow to the air.\nThe creatures here survive by eating Erons and wandering travelers.\nYou can see the mutant tree Heldonose on the west end.\nThis tree produces Erons.,整个地区散发出蓝色的光芒\n因绿磷石遍布，该地区充满着奇异的生物！\n西边可以看到一颗变异树。\n正是这棵树在生产绿磷石矿。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000112,Darkon 3\nMiddle Cendil,达肯第3区\n流韵要塞中
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000113,Unknown powerful energy exists in this district.\nNobody wants to know where the power came from.,此地区有一股神秘的能量驱动着溶炎流动。\n没有人知道这股能量从何而来。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000114,Darkon 3\nEastern Cendil,达肯第3区\n流韵要塞东
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000115,Mileng is a holy place surrounded by giant trees shaped like mushrooms.,被貌似香菇的变种树木围绕着叫做‘米雷’的圣地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000116,Mileng,米雷
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000117,Mileng is a holy place surrounded by giant trees shaped like mushrooms.\nThe Heroes of Madrigal won their first victory here.,被貌似香菇的变种树木围绕着的圣地\n谣传是英雄战争时期，英雄们第一次获得胜利而占据的地方。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000118,Darkon 3\nGuardiane,达肯第3区\n圣堂
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000119,This is a place of Guardians.\nThe final battle in the Hero War happened here\nAdventurers who wish to follow the will of heroes come here.,由守护者保护着英雄的地方\n也是英雄们进行最后战役的地方！\n想要遵循英雄之意的冒险者必须在此处接受守护者的试练。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000120,Darkon 3\nRoom of Guardian,达肯第3区\n守卫之室
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000121,There is a monster called Venel Guardian protecting the symbol of the wisdom of the heroes.,里面有着看守英雄的守护纹章的守护兽‘贝纳卡度温’
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000122,Altar of Ringmaster,守护使者祭坛
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000123,The place where the Soulstone of the Ringmaster is kept.\nThe admirers of the hero Aenn\nmake a pilgrimage here every year.,保管守护使者的灵魂之石的地方\n崇拜守护者英雄艾诺的人\n每年皆会到此地朝拜
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000124,Altar of Elementor,元素使者祭坛
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000125,The place where the Soulstone of the Elementor is kept.\nThe admirers of the hero Lillip\nmake a pilgrimage here every year.,保管元素使者的灵魂之石的地方\n崇拜研究者英雄莉莉普的人\n每年皆会到此地朝拜
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000126,Altar of Ranger,游侠祭坛
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000127,The place where the Soulstone of the Ranger is kept.\nThe admirers of the hero Hynan\nmake a pilgrimage here every year.,保管游侠的灵魂之石的地方\n崇拜游侠英雄海楠的人\n每年皆会到此地朝拜
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000128,Altar of Billposter,暴力技师祭坛
