Key,English,Dutch
UI_CHARINFO_STATPOINTS,Stat Points,Stat Punten
UI_CHARINFO_APPLY,Confirm,Toepassen
UI_CHARINFO_RESET,Revert,Revert
UI_CHARINFO_CHANGESTATE,Change State,Toestand Wijzigen
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Current Stat Page: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Switch Stat Page,Switch Stat Page
UI_CHARINFO_APPLY_TOOLTIP,Confirm stat allocation,Nieuwe Stats Toepassen.
UI_CHARINFO_RESET_TOOLTIP,Revert allocation and return to previous stats,Naar Vorige Stats Terugkeren
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Switch to a different stat page,Switch to a different stat page
UI_CHARINFO_PLUSMINUS_TOOLTIP,"After allocating your stat points, press Confirm.",Selecteer Toepassen na het wijzigen van je Stat punten.
UI_CHARINFO_STR_TOOLTIP,Increases the weapon's Attack Power (#cffb40000except wands and bows#nc).,Increases the weapon's Attack Power (#cffb40000except wands and bows#nc).
UI_CHARINFO_STA_TOOLTIP,"Increases Defense, Max HP, and Max FP.\nIncreases HP and FP recovery rate.","Increases Defense, Max HP, and Max FP.\nIncreases HP and FP recovery rate."
UI_CHARINFO_DEX_TOOLTIP,"Increases Attack Speed, Parry, Block and Critical Chance.\n#cffb40000Increases bow damage.#nc","Increases Attack Speed, Parry, Block and Critical Chance.\n#cffb40000Increases bow damage.#nc"
UI_CHARINFO_INT_TOOLTIP,Increases Max MP.\nIncreases Magic Attack Power.,Increases Max MP.\nIncreases Magic Attack Power.
UI_CHARINFO_GP_TOOLTIP,"After allocating your stat points, press Confirm.",Selecteer Toepassen na het wijzigen van je Stat punten.
UI_CHARINFO_PVP_DUELFAME,Duel Fame,Duel Fame
UI_CHARINFO_PVP_DUELPOINT,Duel Points,Duel Punten
UI_CHARINFO_PVP_KILLPOINT,Killing Points,Moord Punten
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,Karma Level
UI_CHARINFO_PVP_KARMAPOINT,Karma Points,Karma Punt
UI_CHARINFO_PVPPK,PvP/PK,PvP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,Geslacht: Man
UI_TOOLTIP_SEX_FEMALE,Sex: Female,Geslacht: Vrouw
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,Time Reduction Level
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,Yield Bonus Level
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,Carrier Chance Bonus Level
UI_TOOLTIP_ONEHAND,One-handed weapon.,Eenhandig Wapen.
UI_TOOLTIP_TWOHAND,Two-handed weapon.,Tweehandig Wapen.
UI_TOOLTIP_ATTACK_BASE,Base Attack:,Base Attack:
UI_TOOLTIP_DEF_BASE,Base Defense:,Base Defense:
UI_TOOLTIP_ATTACK,Attack:,Aanval:
UI_TOOLTIP_DEF_A,Defense:,Defense:
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s,Attack speed: %s
UI_TOOLTIP_REQ_JOB,Req Job:,Vereiste Job:
UI_TOOLTIP_REQ_LEVEL,Required Level: %d,Vereiste Level: %d
UI_TOOLTIP_REQ,Requires %s,Requires %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d,Restore MP: %d
UI_TOOLTIP_CONSUME_MP,MP: %d,MP: %d
UI_TOOLTIP_CONSUME_FP,FP: %d,FP: %d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d,Restore HP: %d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d,Restore FP: %d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d,Effectief tot %d
UI_TOOLTIP_INV_SUIT,Suit,Pak
UI_TOOLTIP_INV_GAUNTLET,Gauntlet,Handschoen
UI_TOOLTIP_INV_BOOTS,Boots,Boots
UI_TOOLTIP_INV_HELMET,Helmet,Helm
UI_TOOLTIP_INV_CLO,Cloak,Mantel
UI_TOOLTIP_INV_WEAPON,Weapon,Wapen
UI_TOOLTIP_INV_GUARD,Shield,Schild
UI_TOOLTIP_INV_MASK,Mask,Masker
UI_TOOLTIP_INV_RID,Flying Item,Flying Item
UI_TOOLTIP_INV_NECKLACE,Necklace,Ketting
UI_TOOLTIP_INV_RING,Ring,Ring
UI_TOOLTIP_INV_EARRING,Earring,Earring
UI_TOOLTIP_INV_BULLET,"Ammunition (Arrows, Posters)","Ammunition (Arrows, Posters)"
UI_TOOLTIP_INV_CLOTHES_1,Fashion Hat,Mode hoed
UI_TOOLTIP_INV_CLOTHES_2,Fashion Clothes,Mode kostuum
UI_TOOLTIP_INV_CLOTHES_3,Fashion Gloves,Mode handschoenen
UI_TOOLTIP_INV_CLOTHES_4,Fashion Shoes,Mode schoenen
UI_TOOLTIP_MON_LVL,Lv.,Lv.
UI_TOOLTIP_MON_DROP,Booty:,Buit:
UI_TOOLTIP_MON_NO_DROP,None,Geen
UI_MAP_MONINFO,Toggle monster locations.,Toggle monster locations.
UI_TOOLTIP_DELETE_ITEM,Drag an item here to delete it.,Het hier gesleepte item is verwijderd.
UI_INVENTORY_DELETE,Item Deletion,Bevestiging om te laten vallen
UI_INVENTORY_DELETE_CONFIRM,Delete this item?,Dit item echt verwijderen?
UI_INVENTORY_DELETE_CNT,Qty,Aantal
UI_DIALOG,Dialog,Dialoog
UI_DIALOG_TITLE,Conversation,Gesprek
UI_DIALOG_ABOUT,Ask about %s,Vraag over %s
UI_OPTION_TAB_GAME,Game,Spel
UI_OPTION_TAB_CONTROLS,Controls,Bedieningen
UI_OPTION_TAB_VIDEO,Graphics,Graphics
UI_OPTION_TAB_GRAPHICS,Video,Video
UI_OPTION_TAB_AUDIO,Audio,Audio
UI_OPTION_PM,Whispers and Messages,Whispers and Messages
UI_OPTION_PARTY,Party and Guild Invites,Party and Guild Invites
UI_OPTION_FRIEND,Friend Invites,Vriend Uitnodigingen
UI_OPTION_SIEGE_CAPTION,Guild Siege Captions,Guild Siege Captions
UI_OPTION_DISABLE_PANG,Disable Tutorial Pang,Disable Tutorial Pang
UI_OPTION_COUPLE,Couple Proposals,Couple Proposals
UI_INSTANTMSG_TITLE,Message,Bericht
UI_MESSAGE_SEND,Send,Verzenden
UI_SHOP_TITLE,Shop,Winkel
UI_SHOP_ITEMSLIST,Item List,Itemlijst
UI_TOOLTIP_PRICE,Price: %s,Prijs: %s
UI_TOOLTIP_SELLPRICE,Selling Price: %s,Verkoopprijs: %s
UI_SHOP_FILTER,Search,Zoeken
UI_SHOP_LEVEL,By Level,Op Level
UI_SHOP_GENDER,By Gender,Op Geslacht
UI_SHOP_ITEMPRICE,Item Price,Item Prijs
UI_SELLITEM_TITLE,Confirm Sale,Verkoop Bevestigen
UI_SELLITEM_CONFIRM,Sell this item?,Dit item daadwerkelijk verkopen?
UI_SELLITEM_QTY,Quantity:,Aantal
UI_SELLITEM_PRICE,Selling Price:,Verkoop Prijs:
UI_MSGBOX_VALID,OK,OK
UI_BUYITEM_TITLE,Confirm Item Purchase,Item Aankoop Bevestigen
UI_BUYITEM_CONFIRM,How many would you like to buy?,Wil je dit kopen?
UI_BUYITEM_PRICE,Cost,Kosten
UI_OPTION_GRASS,Grass,Gras
UI_TOOLTIP_MAX_HP,Max. HP,Max. HP
UI_TOOLTIP_MAX_MP,Max. MP,Max. MP
UI_TOOLTIP_MAX_FP,Max. FP,Max. FP
UI_TOOLTIP_SPEED,Speed,Snelheid
UI_TOOLTIP_ATKSPEED,Attack Speed,Attack Speed
UI_TOOLTIP_BLOCKMELEE,Melee Block,Melee Block
UI_TOOLTIP_HITRATE,Hit Rate,Hit Rate
UI_TOOLTIP_ABILITYMIN,Min. Ability,Min. Ability
UI_TOOLTIP_ABILITYMAX,Max. Ability,Max. Ability
UI_TOOLTIP_DEFENSE,Defense,Verdediging
UI_TOOLTIP_DEFMAGIC,Magic Defense,Magic Defense
UI_TOOLTIP_DEFELECTRICITY,Electricity Resistance,Electricity Resistance
UI_TOOLTIP_DEFALLELEMENTAL,All Elements Resistance,All Elements Resistance
UI_TOOLTIP_DEFFIRE,Fire Resistance,Fire Resistance
UI_TOOLTIP_DEFWIND,Wind Resistance,Wind Resistance
UI_TOOLTIP_DEFWATER,Water Resistance,Water Resistance
UI_TOOLTIP_DEFEARTH,Earth Resistance,Earth Resistance
UI_CHARINFO_ELEMENTDEF,Resistance,Resistance
UI_CHARINFO_ELEMENTMASTRY,Mastery,Mastery
UI_TOOLTIP_HP,HP,HP
UI_TOOLTIP_MP,MP,MP
UI_TOOLTIP_FP,FP,FP
UI_TOOLTIP_HPRECOVERY,HP Recovery,HP Recovery
UI_TOOLTIP_MPRECOVERY,MP Recovery,MP Recovery
UI_TOOLTIP_FPRECOVERY,FP Recovery,FP Recovery
UI_TOOLTIP_ALL_RECOVERY,"HP, MP & FP Recovery","HP, MP & FP Recovery"
UI_TOOLTIP_ALL_RECOVERY_RATE,"HP, MP & FP Recovery Rate","HP, MP & FP Recovery Rate"
UI_TOOLTIP_KILL_HP,HP Recovery on Kill,HP Recovery on Kill
UI_TOOLTIP_KILL_MP,MP Recovery on Kill,MP Recovery on Kill
UI_TOOLTIP_KILL_FP,FP Recovery on Kill,FP Recovery on Kill
UI_TOOLTIP_KILL_ALL,"HP, MP & FP Recovery on Kill","HP, MP & FP Recovery on Kill"
UI_TOOLTIP_KILL_HP_RATE,HP Recovery Rate on Kill,HP Recovery Rate on Kill
UI_TOOLTIP_KILL_MP_RATE,MP Recovery Rate on Kill,MP Recovery Rate on Kill
UI_TOOLTIP_KILL_FP_RATE,FP Recovery Rate on Kill,FP Recovery Rate on Kill
UI_TOOLTIP_KILL_ALL_RATE,"HP, MP & FP Recovery Rate on Kill","HP, MP & FP Recovery Rate on Kill"
UI_TOOLTIP_ALL_DEC_RATE,Decreased Rate of MP & FP Consumption,Decreased Rate of MP & FP Consumption
UI_TOOLTIP_CHRDMG,Additional Damage,Extra Schade
UI_TOOLTIP_PARRY,Parry,Parry
UI_TOOLTIP_ATKPOWER,Attack,Attack
UI_TOOLTIP_JUMPING,Jump Height,Jump Height
UI_TOOLTIP_BLOCKRANGE,Ranged Block,Ranged Block
UI_TOOLTIP_ALLSTAT,All Stats,All Stats
UI_TOOLTIP_DST_HP_MAX_RATE,HP,HP
UI_TOOLTIP_CONDITIONRATE,Magical Power,Magical Power
UI_TOOLTIP_DST_ADJDEF_RATE,Defense,Defense
UI_TOOLTIP_DST_MP_MAX_RATE,MP,MP
UI_TOOLTIP_DST_FP_RATE,FP,FP
UI_TOOLTIP_DST_CRITICAL_RATE,Critical Chance,Critical Chance
UI_TOOLTIP_DST_CHR_WEAKATKCHANGE,Attribute Attack,Attribute Attack
UI_TOOLTIP_DST_MASTRY_EARTH,Mastery: Earth,Mastery: Earth
UI_TOOLTIP_DST_MASTRY_FIRE,Mastery: Fire,Mastery: Fire
UI_TOOLTIP_DST_MASTRY_WATER,Mastery: Water,Mastery: Water
UI_TOOLTIP_DST_MASTRY_ELECTRICITY,Mastery: Electricity,Mastery: Electricity
UI_TOOLTIP_DST_MASTRY_WIND,Mastery: Wind,Mastery: Wind
UI_TOOLTIP_DST_MASTRY_ALL,All Elements Mastery,All Elements Mastery
UI_TOOLTIP_DST_REFLECT_DAMAGE,Reflect Damage,Reflect Damage
UI_TOOLTIP_DST_MP_DEC_RATE,MP Consumption Decrease,MP Consumption Decrease
UI_TOOLTIP_DST_FP_DEC_RATE,FP Consumption Decrease,FP Consumption Decrease
UI_TOOLTIP_DST_SPELL_RATE,Casting Speed,Casting Speed
UI_TOOLTIP_DST_ACTION_SPEED,Action Speed,Action Speed
UI_TOOLTIP_DST_PROJ_SPEED,Projectile Speed,Projectile Speed
UI_TOOLTIP_DST_DISABLE_EFF,Disable Effect,Disable Effect
UI_TOOLTIP_DST_WEAKEN_EFF,Weaken Effect,Weaken Effect
UI_TOOLTIP_DST_CRITICAL_BONUS,Critical Damage,Critical Damage
UI_TOOLTIP_DST_YOY_DMG,Attack Power (Yo-Yo),Attack Power (Yo-Yo)
UI_TOOLTIP_DST_BOW_DMG,Attack Power (Bow),Attack Power (Bow)
UI_TOOLTIP_DST_KNUCKLE_DMG,Attack Power (Knuckle),Attack Power (Knuckle)
UI_TOOLTIP_DST_SWD_DMG,Attack Power (Sword),Attack Power (Sword)
UI_TOOLTIP_DST_AXE_DMG,Attack Power (Axe),Attack Power (Axe)
UI_TOOLTIP_ATTACKSPEED_RATE,Attack Speed Rate,Attack Speed Rate
UI_TOOLTIP_DST_DMG_GET,Lifesteal,Lifesteal
UI_TOOLTIP_DST_HPDMG_UP,Attack power and HP,Attack power and HP
UI_TOOLTIP_DST_DEFHIRATE_DOWN,Defense power and accuracy decrease,Defense power and accuracy decrease
UI_TOOLTIP_DST_DEATHRUSH,Death's Rush Chance,Death's Rush Chance
UI_TOOLTIP_DST_ANKOUHARVEST,Ankou's Harvest,Ankou's Harvest
UI_TOOLTIP_DST_MURANWRATH,Muran's Wrath,Muran's Wrath
UI_TOOLTIP_LOCOMOTION,Movement,Beweging
UI_TOOLTIP_RETURN_USE,Return to your former position.,Keer terug naar je vorige positie.
UI_DISPLAY_BUFFS,Show/hide buffs,Buffs weergeven/verbergen
UI_SELECTJOB_TITLE,Select new job,Select new job
UI_NOTICE_DISCORD,Join our Discord server,Wordt lid van onze Discord server
UI_TOOLTIP_COMBO,Use skills in the Action Slot,Use skills in the Action Slot
UI_OPTION_ANTIALIAS,Antialiasing,Anti-aliasing
UI_OPTION_LIGHTS,Lights,Lights
UI_TOOLTIP_HOTKEY,[Hotkey %s],[Sneltoets %s]
UI_STATUS_HP,HP,HP
UI_STATUS_FP,FP,FP
UI_STATUS_MP,MP,MP
UI_STATUS_EXP,Exp,Exp
UI_HELPTIPS_TITLE,Today's Tips,Tips van vandaag
UI_HELPTIPS_DOYOUKNOW,Did you know?,Wist je dat?
UI_HELPFAQ_QUESTION,Q.,Q.
UI_HIDE,Hide,Verbergen
UI_PARTY_INFO,Members,Leden
UI_PARTY_SKILL,Skills,Vaardigheden
UI_PARTY_SETTINGS,Settings,Instellingen
UI_PARTY_NAME,Name:,Naam:
UI_PARTY_LEVEL,Level:,Level:
UI_PARTY_POINT,Points:,Punten:
UI_PARTY_EXPSHARE,EXP Share,EXP Share
UI_PARTY_EXPMODE_LEVEL,Level,Level
UI_PARTY_EXPMODE_LEVEL_TIP,EXP is distributed among party members based on their levels.,EXP is distributed among party members based on their levels.
UI_PARTY_EXPMODE_CONTRIB,Contribution,Contributie
UI_PARTY_EXPMODE_CONTRIB_TIP,"EXP is distributed among party members based on their contribution in combat. Contributions include attacking, healing, and tanking.","EXP is distributed among party members based on their contribution in combat. Contributions include attacking, healing, and tanking."
UI_PARTY_LOOT,Loot Distribution,Item Verdeling
UI_PARTY_LOOTMODE_IND,Free-for-All,Individueel
UI_PARTY_LOOTMODE_IND_TIP,Loot goes to whoever picks it up. Anyone can loot and keep what they collect.,Loot goes to whoever picks it up. Anyone can loot and keep what they collect.
UI_PARTY_LOOTMODE_SEQ,Sequentially,Achtereenvolgend
UI_PARTY_LOOTMODE_SEQ_TIP,Loot is distributed to party members in order.,Loot is distributed to party members in order.
UI_PARTY_LOOTMODE_MAN,Leader Only,Handmatig
UI_PARTY_LOOTMODE_MAN_TIP,All loot goes to the party leader. The party leader can then distribute it at their discretion.,Alle items gaan naar de Groepsleider. De Groepsleider kan ze dan naar eigen inzicht verdelen.
UI_PARTY_LOOTMODE_RAND,Randomly,Willekeurig
UI_PARTY_LOOTMODE_RAND_TIP,Loot is distributed randomly among party members.,Items worden willekeurig verdeeld.
UI_PARTY_LOOTMODE_KILL,Top Damage,Top Damage
UI_PARTY_LOOTMODE_KILL_TIP,Loot goes to the player who inflicted the most damage to the monster.,Loot goes to the player who inflicted the most damage to the monster.
UI_PARTY_SEARCHMODE,Joining via Finder,Zoekmodus
UI_PARTY_TRANSFER,Transfer,Overdracht
UI_PARTY_LEAVE,Leave,Verlaten
UI_PARTY_KICK,Kick,Verwijderen
UI_PARTY_CHANGE,Upgrade,Upgrade
UI_PARTY_CONFIRM,Confirm Party,Bevestig Party
UI_PARTY_INVITEQUESTION,%s invites you to join their party. Accept the invitation?,%s invites you to join their party. Accept the invitation?
UI_PARTY_LEAVE_TIP,"Leave the party. If you're the party leader, selecting a member changes this button to Kick, allowing you to remove them.","Leave the party. If you're the party leader, selecting a member changes this button to Kick, allowing you to remove them."
UI_PARTY_TRANSFER_TIP,Transfer party leadership to the selected member.,Transfer party leadership to the selected member.
UI_PARTY_CONFIRM_TIP,Upgrade the party to an Advanced Party.,Upgrade the party to an Advanced Party.
UI_PARTY_LEAVE_CONFIRM,Confirm Party Leave,Confirm Party Leave
UI_PARTY_LEAVE_QUESTION,Leave the party?,Leave the party?
UI_PARTY_LEAVE_OTHER,Kick this player from the party?,Kick this player from the party?
UI_PARTY_QUICK_TIP,View basic party information,View basic party information
UI_PARTY_DETAIL_TIP,View detailed party information,View detailed party information
UI_PARTY_CHANGETROUP,Upgrade to an Advanced Party?,Upgrade to an Advanced Party?
UI_PARTY_CHANGEPARTY,Upgrade Party,Upgrade Party
UI_PARTYNAME_ENTER,Enter party name:,Enter party name:
UI_PARTYNAME_TITLE,Change Party Name,Change Party Name
UI_FRIEND_CONFIRM,Confirm Friend Request,Confirm Friend Request
UI_FRIEND_INVITEQUESTION,%s wants to add you as a friend. Accept the request?,%s wil je vriend zijn. Accepteer je?
UI_MESSENGER_ONLINE,Online,Online
UI_MESSENGER_OFFLINE,Offline,Offline
UI_MESSENGER_ABSENT,AFK,AFK
UI_MESSENGER_HARDPLAY,Addict Mode,Addict Mode
UI_MESSENGER_REST,Resting / Vending,Rusten / Verkopen
UI_MESSENGER_EAT,Eating,Aan het eten
UI_MESSENGER_MOVE,Moving,In beweging
UI_MESSENGER_FRIEND,Friend,Vriend
UI_MESSENGER_SORT_CHANNEL,Ch.,Ch.
UI_MESSENGER_SORT_STATE,State,Toestand
UI_MESSENGER_SORT_LEVEL,Level,Level
UI_MESSENGER_SORT_NAME,Name,Naam
UI_MESSENGER_SORT_JOB,Job,Beroep
UI_INSTANTMSG_JOIN,has logged into the game.,heeft ingelogd op het spel.
UI_OPTION_JOIN_NOTIFICATION,Message alarm,Bericht alarm
UI_MESSENGER_MENU_MESSAGE,Message,Bericht
UI_MESSENGER_MENU_UNBLOCK,Unblock,Deblokkeren
UI_MESSENGER_MENU_BLOCK,Block,Blokkeren
UI_MESSENGER_MENU_DELETE,Delete,Verwijder
UI_MESSENGER_MENU_MOVE,Move,Verplaats
UI_MESSENGER_MENU_TAGSEND,Send memo,Verstuur een memo
UI_MESSENGER_ADD_FRIEND,Add a new friend,Een nieuwe vriend toevoegen
UI_ADDFRIEND_TITLE,Add Friend,Vriend toevoegen
UI_ADDFRIEND_NAME,Enter player name:,Voer een spelersnaam in
UI_READMEMO_TITLE,Memos,Memos
UI_SENDMEMO_TITLE,Send Memo,Venster voor het verzenden van berichten
UI_POST_TITLE,Mailbox,Mailbox
UI_POST_TAB_SEND,Send Mail,Verstuur Mail
UI_POST_TAB_RECEIVE,Inbox,Inbox
UI_OPTION_UISCALE,Scale,Schaal
UI_OPTION_TEXTSCALE,Font Size,Lettergrootte
UI_IGNORELIST_TITLE,Ignore List,Negeerlijst
UI_IGNORELIST_COUNT,Ignored Players: %d,Genegeerde lijst: %d
UI_CHATFILTER_TITLE,Chat Filter,Chatfilter
UI_CHATFILTER_GENERAL,General,Algemeen
UI_CHATFILTER_WHISPER,Whispers,Fluister
UI_CHATFILTER_SHOUT,Shouts,Roepen
UI_CHATFILTER_PARTY,Party,Party
UI_CHATFILTER_GUILD,Guild,Guild
UI_CHATFILTER_RESET_COLORS,Reset to Default,Reset to Default
UI_POSTSEND_TO,Recipient,Ontvanger
UI_POSTSEND_TITLE,Title,Titel
UI_POSTSEND_GOLD,Penya,Penya
UI_POSTSEND_PRICE,Mailing Fee: %d Penya,Huurtarief: %d Penya
UI_POSTSEND_SEND,Send,Verzenden
UI_ITEMSLOT_TITLE,Confirm Item Selection,Item bevestiging
UI_ITEMSLOT_QUESTION,How many items?,Hoeveel items?
UI_ITEMSLOT_COUNT,Count:,Aantal:
UI_POSTSEND_CONFIRM,Send this mail?\nMail expires after %d days.,Weet je zeker dat je wilt verzenden?\nMail verloopt na %d dagen
UI_POST_NO_MAIL,You have no mail.,Je hebt geen post
UI_POST_UNKNOWN,Unknown,Onbekend
UI_POST_RECEIVE_DATE,Received on: %s,Datum Ontvangen: %s
UI_POSTREAD_TITLE,Mail Message,Controleer Brievenbus
UI_POSTREAD_FROM,From,Verstuurder
UI_POSTREAD_DELETE,Delete,Verwijder
UI_POSTREAD_DELETE_ALL,Delete all read mail,Delete all read mail
UI_POSTREAD_DELETEALL_CONFIRM,Delete all read mail? Any attached items and Penya will also be deleted.,Delete all read mail? Any attached items and Penya will also be deleted.
UI_POSTREAD_REPLY,Reply,Antwoord
UI_POSTREAD_DELETETITLE,Delete Mail,Verwijder Mail
UI_POSTREAD_DELETECONFIRM,Delete this mail? Any attached items and Penya will also be deleted.,Delete this mail? Any attached items and Penya will also be deleted.
UI_POSTREAD_MAILEXPIRED,Mail Expired,Mail Verlopen
UI_POSTREAD_KEEP_PAY,This mail expired %d days ago. You must pay %s Penya to retrieve it.,Deze mail is %d dagen geleden verlopen. Je moet %s penya betalen om het te herstellen.
UI_QUEST_CANCEL,Remove quest,Missie Verwijderen
UI_QUEST_CANCEL_TIP,Cancel Quest in Progress,Quest in Uitvoering Annuleren
UI_QUEST_ALLQUESTS,All Quests,Alle Missies
UI_QUEST_INPROGRESS,In Progress,Bezig
UI_QUEST_COMPLETED,Completed,Voltooid
UI_QUEST_LIST,Quest List,Quest Lijst
UI_QUEST_DETAIL,Quest Details,Quest Details
UI_QUEST_REWARDS,Reward List,Beloningslijst
UI_QUEST_CONDITIONS,Quest Condition,Quest voortgang
UI_QUEST_GOLD1,Penya: %d,Penya: %d
UI_QUEST_GOLD2,Penya: %d~%d,Penya: %d~%d
UI_QUEST_GOLD3,Penya: ????,Penya: ????
UI_QUEST_EXP1,Experience Gained.,Experience opgedaan.
UI_QUEST_EXP2,Experience: %.2f%%,Experience: %.2f%%
UI_QUEST_EXP_COUPLE,Couple Experience: %.2f%%,Couple Experience: %.2f%%
UI_QUEST_SKILLPOINT,Skill Points,Skill punten
UI_QUEST_INVENTORYSLOT1,Inventory Space,Inventory Space
UI_QUEST_INVENTORYSLOT2,Inventory Space: %d,Inventory Space: %d
UI_QUEST_MODIFY_KARMA1,Collected Karma Point: %d,Verzamelde Karmapunten: %d
UI_QUEST_MODIFY_KARMA2,Collected Karma Point: ????,Verzamelde Karmapunten: ????
UI_QUEST_ADD_KARMA1,Added Karma Point: %d,Toegevoegde Karmapunten: %d
UI_QUEST_ADD_KARMA2,Added Karma Point: ????,Toegevoegde Karmapunten: ????
UI_QUEST_ITEM1,Item: %s(%d),Item: %s(%d)
UI_QUEST_ITEM2,Item: ????,Item: ????
UI_QUEST_COND_COMPLETED,Quest completed.,Quest voltooid.
UI_QUEST_LIMIT_TIME,Time Left: #b%d minutes#nb,Tijd Over: #b%d minutes#nb
