Key,English,Thai
UI_TOOLTIP_DEFALLELEMENTAL,All Elements Resistance,ต้านทานธาตุทั้งหมด
UI_TOOLTIP_DEFFIRE,Fire Resistance,ต้านทานธาตุไฟ
UI_TOOLTIP_DEFWIND,Wind Resistance,ต้านทานธาตุลม
UI_TOOLTIP_DEFWATER,Water Resistance,ต้านทานธาตุน้ำ
UI_TOOLTIP_DEFEARTH,Earth Resistance,ต้านทานธาตุดิน
UI_CHARINFO_ELEMENTDEF,Resistance,ต้านทาน
UI_CHARINFO_ELEMENTMASTRY,Mastery,เชี่ยวชาญ
UI_TOOLTIP_HP,HP,HP
UI_TOOLTIP_MP,MP,MP
UI_TOOLTIP_FP,FP,FP
UI_TOOLTIP_HPRECOVERY,HP Recovery,ฟื้นฟู HP
UI_TOOLTIP_MPRECOVERY,MP Recovery,ฟื้นฟู MP
UI_TOOLTIP_FPRECOVERY,FP Recovery,ฟื้นฟู FP
UI_TOOLTIP_ALL_RECOVERY,"HP, MP & FP Recovery","ฟื้นฟู HP, MP และ FP"
UI_TOOLTIP_ALL_RECOVERY_RATE,"HP, MP & FP Recovery Rate","อัตราการฟื้นฟู HP, MP และ FP"
UI_TOOLTIP_KILL_HP,HP Recovery on Kill,ฟื้นฟู HP เมื่อฆ่า
UI_TOOLTIP_KILL_MP,MP Recovery on Kill,ฟื้นฟู MP เมื่อฆ่า
UI_TOOLTIP_KILL_FP,FP Recovery on Kill,ฟื้นฟู FP เมื่อฆ่า
UI_TOOLTIP_KILL_ALL,"HP, MP & FP Recovery on Kill","ฟื้นฟู HP, MP และ FP เมื่อฆ่า"
UI_TOOLTIP_KILL_HP_RATE,HP Recovery Rate on Kill,เพิ่มอัตราการฟื้นฟู HP เมื่อฆ่า
UI_TOOLTIP_KILL_MP_RATE,MP Recovery Rate on Kill,เพิ่มอัตราการฟื้นฟู MP เมื่อฆ่า
UI_TOOLTIP_KILL_FP_RATE,FP Recovery Rate on Kill,เพิ่มอัตราการฟื้นฟู FP เมื่อฆ่า
UI_TOOLTIP_KILL_ALL_RATE,"HP, MP & FP Recovery Rate on Kill","เพิ่มอัตราการฟื้นฟู HP, MP และ FP เมื่อฆ่า"
UI_TOOLTIP_ALL_DEC_RATE,Decreased Rate of MP & FP Consumption,อัตราการใช้ MP และ FP ลดลง
UI_TOOLTIP_CHRDMG,Additional Damage,เพิ่มพลังการโจมตี
UI_TOOLTIP_PARRY,Parry,หลบหลีก
UI_TOOLTIP_ATKPOWER,Attack,เพิ่มการโจมตี
UI_TOOLTIP_JUMPING,Jump Height,กระโดดสูง
UI_TOOLTIP_BLOCKRANGE,Ranged Block,Block โจมตีระยะไกล
UI_TOOLTIP_ALLSTAT,All Stats,Stat ทั้งหมด
UI_TOOLTIP_DST_HP_MAX_RATE,HP,เพิ่ม HP
UI_TOOLTIP_CONDITIONRATE,Magical Power,พลังเวทย์
UI_TOOLTIP_DST_ADJDEF_RATE,Defense,เพิ่มการป้องกัน
UI_TOOLTIP_DST_MP_MAX_RATE,MP,เพิ่ม MP
UI_TOOLTIP_DST_FP_RATE,FP,เพิ่ม FP
UI_TOOLTIP_DST_CRITICAL_RATE,Critical Chance,อัตรา Critical
UI_TOOLTIP_DST_CHR_WEAKATKCHANGE,Attribute Attack,คุณสมบัติการโจมตี
UI_TOOLTIP_DST_MASTRY_EARTH,Mastery: Earth,เชี่ยวชาญ: ดิน
UI_TOOLTIP_DST_MASTRY_FIRE,Mastery: Fire,เชี่ยวชาญ: ไฟ
UI_TOOLTIP_DST_MASTRY_WATER,Mastery: Water,เชี่ยวชาญ: น้ำ
UI_TOOLTIP_DST_MASTRY_ELECTRICITY,Mastery: Electricity,เชี่ยวชาญ: ไฟฟ้า
UI_TOOLTIP_DST_MASTRY_WIND,Mastery: Wind,เชี่ยวชาญ: ลม
UI_TOOLTIP_DST_MASTRY_ALL,All Elements Mastery,เชี่ยวชาญธาตุทั้งหมด
UI_TOOLTIP_DST_REFLECT_DAMAGE,Reflect Damage,สะท้อนความเสียหาย
UI_TOOLTIP_DST_MP_DEC_RATE,MP Consumption Decrease,ลดการใช้ MP
UI_TOOLTIP_DST_FP_DEC_RATE,FP Consumption Decrease,ลดการใช้ FP
UI_TOOLTIP_DST_SPELL_RATE,Casting Speed,ความเร็วในการร่ายเวทย์
UI_TOOLTIP_DST_ACTION_SPEED,Action Speed,Action Speed
UI_TOOLTIP_DST_PROJ_SPEED,Projectile Speed,Projectile Speed
UI_TOOLTIP_DST_DISABLE_EFF,Disable Effect,Disable Effect
UI_TOOLTIP_DST_WEAKEN_EFF,Weaken Effect,Weaken Effect
UI_TOOLTIP_DST_CRITICAL_BONUS,Critical Damage,Critical Damage
UI_TOOLTIP_DST_YOY_DMG,Attack Power (Yo-Yo),พลังโจมตี (Yo-Yo)
UI_TOOLTIP_DST_BOW_DMG,Attack Power (Bow),พลังโจมตี (Bow)
UI_TOOLTIP_DST_KNUCKLE_DMG,Attack Power (Knuckle),พลังโจมตี (Knuckle)
UI_TOOLTIP_DST_SWD_DMG,Attack Power (Sword),พลังโจมตี (Sword)
UI_TOOLTIP_DST_AXE_DMG,Attack Power (Axe),พลังโจมตี (Axe)
UI_TOOLTIP_ATTACKSPEED_RATE,Attack Speed Rate,อัตราความเร็วโจมตี
UI_TOOLTIP_DST_DMG_GET,Lifesteal,ดูดซับความเสียหาย
UI_TOOLTIP_DST_HPDMG_UP,Attack power and HP,พลังโจมตีและ HP
UI_TOOLTIP_DST_DEFHIRATE_DOWN,Defense power and accuracy decrease,พลังป้องกันและความแม่นยำลดลง
UI_TOOLTIP_DST_DEATHRUSH,Death's Rush Chance,Death's Rush Chance
UI_TOOLTIP_DST_ANKOUHARVEST,Ankou's Harvest,Ankou's Harvest
UI_TOOLTIP_DST_MURANWRATH,Muran's Wrath,Muran's Wrath
UI_TOOLTIP_LOCOMOTION,Movement,การเคลื่อนที่
UI_TOOLTIP_RETURN_USE,Return to your former position.,กลับไปที่ตำแหน่งเดิมของคุณ
UI_DISPLAY_BUFFS,Show/hide buffs,แสดง/ซ่อน buffs
UI_SELECTJOB_TITLE,Select new job,เลือกอาชีพใหม่
UI_NOTICE_DISCORD,Join our Discord server,เข้าร่วม Discord เซิร์ฟเวอร์ของเรา
UI_TOOLTIP_COMBO,Use skills in the Action Slot,ใช้ Skill ใน Action Slot 
UI_OPTION_ANTIALIAS,Antialiasing,การลบรอยหยัก
UI_OPTION_LIGHTS,Lights,แสง
UI_TOOLTIP_HOTKEY,[Hotkey %s],[คีย์ลัด %s]
UI_STATUS_HP,HP,HP
UI_STATUS_FP,FP,FP
UI_STATUS_MP,MP,MP
UI_STATUS_EXP,Exp,Exp
UI_HELPTIPS_TITLE,Today's Tips,Tips ประจำวัน
UI_HELPTIPS_DOYOUKNOW,Did you know?,คุณรู้หรือไม่?
UI_HELPFAQ_QUESTION,Q.,Q.
UI_HIDE,Hide,ซ่อน
UI_PARTY_INFO,Members,สมาชิก
UI_PARTY_SKILL,Skills,สกิล
UI_PARTY_SETTINGS,Settings,ตั้งค่า
UI_PARTY_NAME,Name:,ชื่อ:
UI_PARTY_LEVEL,Level:,Level:
UI_PARTY_POINT,Points:,Points:
UI_PARTY_EXPSHARE,EXP Share,แบ่งปัน EXP
UI_PARTY_EXPMODE_LEVEL,Level,เลเวล
UI_PARTY_EXPMODE_LEVEL_TIP,EXP is distributed among party members based on their levels.,Exp ถูกแจกจ่ายให้กับสมาชิกในปาร์ตี้ตามระดับเลเวลของพวกเขา
UI_PARTY_EXPMODE_CONTRIB,Contribution,ผลงาน
UI_PARTY_EXPMODE_CONTRIB_TIP,"EXP is distributed among party members based on their contribution in combat. Contributions include attacking, healing, and tanking.",Exp ถูกแจกจ่ายให้กับสมาชิกปาร์ตี้ ตามการมีส่วนร่วมในการต่อสู้ ผลงาน รวมถึงการโจมตี การรักษา และแทงค์
UI_PARTY_LOOT,Loot Distribution,แจกจ่ายไอเท็ม
UI_PARTY_LOOTMODE_IND,Free-for-All,ส่วนบุคคล
UI_PARTY_LOOTMODE_IND_TIP,Loot goes to whoever picks it up. Anyone can loot and keep what they collect.,Free-For-All ทุกคนสามารถเก็บได้ ขึ้นอยู่ว่าใครจะเป็นคนเก็บหรือเก็บไอเท็มก่อน
UI_PARTY_LOOTMODE_SEQ,Sequentially,แบ่งตามลำดับ
UI_PARTY_LOOTMODE_SEQ_TIP,Loot is distributed to party members in order.,ไอเทมจะกระจายไปยังสมาชิก ตามลำดับ อย่างทั่วถึง
UI_PARTY_LOOTMODE_MAN,Leader Only,ด้วยตนเอง
UI_PARTY_LOOTMODE_MAN_TIP,All loot goes to the party leader. The party leader can then distribute it at their discretion.,ไอเทมทั้งหมดมอบให้หัวหน้าปาร์ตี้ หัวหน้าปาร์ตี้จะสามารถแจกจ่ายไอเท็มที่ได้รับให้ใครก็ได้ ตามที่เห็นสมควร
UI_PARTY_LOOTMODE_RAND,Randomly,แบบสุ่ม
UI_PARTY_LOOTMODE_RAND_TIP,Loot is distributed randomly among party members.,การแจกจ่ายไอเท็มจะเป็นไปในรูปแบบสุ่ม
UI_PARTY_LOOTMODE_KILL,Top Damage,Top Damage
UI_PARTY_LOOTMODE_KILL_TIP,Loot goes to the player who inflicted the most damage to the monster.,ไอเทมจะแจกจ่ายให้กับผู้เล่นที่ทำดาเมจกับมอนสเตอร์มากที่สุด
UI_PARTY_SEARCHMODE,Joining via Finder,โหมดค้นหา
UI_PARTY_TRANSFER,Transfer,โอนย้าย
UI_PARTY_LEAVE,Leave,ออก
UI_PARTY_KICK,Kick,ไล่ออก
UI_PARTY_CHANGE,Upgrade,เปลี่ยน
UI_PARTY_CONFIRM,Confirm Party,ยืนยันปาร์ตี้
UI_PARTY_INVITEQUESTION,%s invites you to join their party. Accept the invitation?,%s ขอเชิญคุณเข้าร่วมปาร์ตี้ ตกลงไหม ?
UI_PARTY_LEAVE_TIP,"Leave the party. If you're the party leader, selecting a member changes this button to Kick, allowing you to remove them.",ตัวเลือกนี้จะอนุญาตให้สมาชิกออกจากปาร์ตี้หรือให้หัวหน้าปาร์ตี้สามารถถอดสมาชิกออกได้ ในการไล่สมาชิกออก คุณจะต้องเลือกคนที่คุณต้องการก่อน แล้วจึงกดปุ่มไล่ออก
UI_PARTY_TRANSFER_TIP,Transfer party leadership to the selected member.,โอนปาร์ตี้ให้ผู้เล่นอื่น เลือกผู้นำใหม่และกดปุ่มโอน
UI_PARTY_CONFIRM_TIP,Upgrade the party to an Advanced Party.,เปลี่ยนปาร์ตี้เป็นปาร์ตี้ขั้นสูง
UI_PARTY_LEAVE_CONFIRM,Confirm Party Leave,ยืนยันออกจากปาร์ตี้
UI_PARTY_LEAVE_QUESTION,Leave the party?,คุณจะออกจากปาร์ตี้หรือไม่?
UI_PARTY_LEAVE_OTHER,Kick this player from the party?,คุณยืนยันที่จะไล่ผู้เล่นคนนี้ออกจากปาร์ตี้หรือไม่?
UI_PARTY_QUICK_TIP,View basic party information,โปรดคลิกปุ่มเพื่อแสดงข้อมูลพื้นฐานของปาร์ตี้
UI_PARTY_DETAIL_TIP,View detailed party information,โปรดคลิกปุ่มเพื่อดูข้อมูลปาร์ตี้โดยละเอียด
UI_PARTY_CHANGETROUP,Upgrade to an Advanced Party?,ต้องการเปลี่ยนเป็นปาร์ตี้ขั้นสูงหรือไม่?
UI_PARTY_CHANGEPARTY,Upgrade Party,เปลี่ยนปาร์ตี้
UI_PARTYNAME_ENTER,Enter party name:,ระบุชื่อปาร์ตี้
UI_PARTYNAME_TITLE,Change Party Name,เปลี่ยนชื่อปาร์ตี้
UI_FRIEND_CONFIRM,Confirm Friend Request,ยืนยันการเพิ่มเพื่อน
UI_FRIEND_INVITEQUESTION,%s wants to add you as a friend. Accept the request?,%s ต้องการเป็นเพื่อนกับคุณ ตกลงไหม?
UI_MESSENGER_ONLINE,Online,ออนไลน์
UI_MESSENGER_OFFLINE,Offline,ออฟไลน์
UI_MESSENGER_ABSENT,AFK,AFK
UI_MESSENGER_HARDPLAY,Addict Mode,กำลังต่อสู้!!
UI_MESSENGER_REST,Resting / Vending,กำลังพักผ่อน
UI_MESSENGER_EAT,Eating,กำลังกิน
UI_MESSENGER_MOVE,Moving,กำลังเคลื่อนที่
UI_MESSENGER_FRIEND,Friend,เพื่อน
UI_MESSENGER_SORT_CHANNEL,Ch.,Ch.
UI_MESSENGER_SORT_STATE,State,State
UI_MESSENGER_SORT_LEVEL,Level,เลเวล
UI_MESSENGER_SORT_NAME,Name,ชื่อ
UI_MESSENGER_SORT_JOB,Job,อาชีพ
UI_INSTANTMSG_JOIN,has logged into the game.,Login เข้าสู่ระบบแล้ว
UI_OPTION_JOIN_NOTIFICATION,Message alarm,แจ้งเตือนข้อความ
UI_MESSENGER_MENU_MESSAGE,Message,ข้อความ
UI_MESSENGER_MENU_UNBLOCK,Unblock,ยกเลิกการ block
UI_MESSENGER_MENU_BLOCK,Block,บล็อค
UI_MESSENGER_MENU_DELETE,Delete,ลบ
UI_MESSENGER_MENU_MOVE,Move,เคลื่อนที่
UI_MESSENGER_MENU_TAGSEND,Send memo,ส่ง Memo
UI_MESSENGER_ADD_FRIEND,Add a new friend,เพิ่มเพื่อนใหม่
UI_ADDFRIEND_TITLE,Add Friend,เพิ่มเพื่อน
UI_ADDFRIEND_NAME,Enter player name:,ระบุชื่อผู้เล่น
UI_READMEMO_TITLE,Memos,หน้าต่างข้อความ
UI_SENDMEMO_TITLE,Send Memo,หน้าต่างข้อความที่ส่ง
UI_POST_TITLE,Mailbox,ไปรษณีย์
UI_POST_TAB_SEND,Send Mail,ส่งจดหมาย
UI_POST_TAB_RECEIVE,Inbox,กล่องจดหมาย
UI_OPTION_UISCALE,Scale,อัตราส่วน
UI_OPTION_TEXTSCALE,Font Size,Font Size
UI_IGNORELIST_TITLE,Ignore List,รายชื่อที่ไม่สนใจ
UI_IGNORELIST_COUNT,Ignored Players: %d,รายชื่อที่ไม่สนใจ: %d
