Key,English,Russian
PROPMOVER_TXT_000096,Wagsaac,Злопух
PROPMOVER_TXT_000098,Captain Wagsaac,Сильный злопух
PROPMOVER_TXT_000100,Giant Wagsaac,Громадный злопух
PROPMOVER_TXT_000102,Small Mia,Юная Миа
PROPMOVER_TXT_000104,Mia,Миа
PROPMOVER_TXT_000106,Captain Mia,Ужасная Миа
PROPMOVER_TXT_000108,Giant Mia,Гигантская Миа
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,Гнилой мистер Тыквер
PROPMOVER_TXT_000112,Mr. Pumpkin,Мистер Тыквер
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,Зрелый мистер Тыквер
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,Гигантский мистер Тыквер
PROPMOVER_TXT_000118,Red Mantis C,Слабый красный богомол
PROPMOVER_TXT_000120,Red Mantis B,Красный богомол
PROPMOVER_TXT_000122,Red Mantis A,Сильный красный богомол
PROPMOVER_TXT_000124,Giant Red Mantis,Громадный красный богомол
PROPMOVER_TXT_000126,Small Jack the Hammer,Слабый Кувалда Джек
PROPMOVER_TXT_000128,Jack the Hammer,Кувалда Джек
PROPMOVER_TXT_000130,Captain Jack the Hammer,Ужасный Кувалда Джек
PROPMOVER_TXT_000132,Giant Jack the Hammer,Гигантский Кувалда Джек
PROPMOVER_TXT_000134,Small Giggle Box,Слабый хохотун
PROPMOVER_TXT_000136,Giggle Box,Хохотун
PROPMOVER_TXT_000138,Captain Giggle Box,Сильный хохотун
PROPMOVER_TXT_000140,Giant Giggle Box,Громадный хохотун
PROPMOVER_TXT_000142,Small Rock Muscle,Слабый камнетавр
PROPMOVER_TXT_000144,Rock Muscle,Камнетавр
PROPMOVER_TXT_000146,Captain Rock Muscle,Сильный камнетавр
PROPMOVER_TXT_000148,Giant Rock Muscle,Громадный камнетавр
PROPMOVER_TXT_000150,Small Hobo,Слабый однорукий бандит
PROPMOVER_TXT_000152,Hobo,Однорукий бандит
PROPMOVER_TXT_000154,Captain Hobo,Сильный однорукий бандит
PROPMOVER_TXT_000156,Giant Hobo,Гигантский однорукий бандит
PROPMOVER_TXT_000158,Small Dumb Bull,Слабая быказа-рогаза
PROPMOVER_TXT_000160,Dumb Bull,Быказа-рогаза
PROPMOVER_TXT_000162,Captain Dumb Bull,Сильная быказа-рогаза
PROPMOVER_TXT_000164,Giant Dumb Bull,Гигантская быказа-рогаза
PROPMOVER_TXT_000166,Small Totemia,Слабый истукан
PROPMOVER_TXT_000168,Totemia,Истукан
PROPMOVER_TXT_000170,Captain Totemia,Сильный истукан
PROPMOVER_TXT_000172,Giant Totemia,Гигантский истукан
PROPMOVER_TXT_000174,Maid Cardpuppet,Слабая заводная кукла
PROPMOVER_TXT_000176,Cardpuppet,Заводная кукла
PROPMOVER_TXT_000178,Manager Cardpuppet,Сильная заводная кукла
PROPMOVER_TXT_000180,Boss Cardpuppet,Гигантская заводная кукла
PROPMOVER_TXT_000182,Small Tombstone Bearer,Слабый гробокоп
PROPMOVER_TXT_000184,Tombstone Bearer,Гробокоп
PROPMOVER_TXT_000186,Captain Tombstone Bearer,Сильный гробокоп
PROPMOVER_TXT_000188,Giant Tombstone Bearer,Гигантский гробокоп
PROPMOVER_TXT_000190,Phantom Basque,Слабый стрелорк
PROPMOVER_TXT_000192,Basque,Стрелорк
PROPMOVER_TXT_000194,Lumping Basque,Сильный стрелорк
PROPMOVER_TXT_000196,Giant Basque,Гигантский стрелорк
PROPMOVER_TXT_000198,Small Mage Prankster,Слабый паяц
PROPMOVER_TXT_000200,Prankster,Паяц
PROPMOVER_TXT_000202,Master Mage Prankster,Сильный паяц
PROPMOVER_TXT_000204,Giantmage Prankster,Гигантский паяц
PROPMOVER_TXT_000206,Rough Wheelem,Слабый ушатрон
PROPMOVER_TXT_000208,Wheelem,Ушатрон
PROPMOVER_TXT_000210,Bouncing Wheelem,Сильный ушатрон
PROPMOVER_TXT_000212,Giant Wheelem,Гигантский ушатрон
PROPMOVER_TXT_000214,Small Leyena,Слабая лиена
PROPMOVER_TXT_000216,Leyena,Лиена
PROPMOVER_TXT_000218,Captain Leyena,Сильная лиена
PROPMOVER_TXT_000220,Giant Leyena,Громадная лиена
PROPMOVER_TXT_000222,Small Steam Walker,Слабый паробот
PROPMOVER_TXT_000224,Steam Walker,Паробот
PROPMOVER_TXT_000226,Captain Steam Walker,Сильный паробот
PROPMOVER_TXT_000228,Giant Steam Walker,Гигантский паробот
PROPMOVER_TXT_000230,Small Steel Knight,Слабый стальной курицырь
PROPMOVER_TXT_000232,Steel Knight,Стальной курицырь
PROPMOVER_TXT_000234,Captain Steel Knight,Сильный стальной курицырь
PROPMOVER_TXT_000236,Giant Steel Knight,Гигантский стальной курицырь
PROPMOVER_TXT_000238,Small Nutty Wheel,Малый шестекрут
PROPMOVER_TXT_000240,Nutty Wheel,Шестекрут
PROPMOVER_TXT_000242,Captain Nutty Wheel,Сильный шестекрут
PROPMOVER_TXT_000244,Giant Nutty Wheel,Гигантский шестекрут
PROPMOVER_TXT_000246,Small Driller,Слабый бур
PROPMOVER_TXT_000248,Driller,Бур
PROPMOVER_TXT_000250,Captain Driller,Сильный бур
PROPMOVER_TXT_000252,Giant Driller,Гигантский бур
PROPMOVER_TXT_000254,Small Volt,Слабый вольт
PROPMOVER_TXT_000256,Volt,Вольт
PROPMOVER_TXT_000258,Captain Volt,Сильный вольт
PROPMOVER_TXT_000260,Giant Volt,Гигантский вольт
PROPMOVER_TXT_000262,Small Elderguard,Слабый железный страж
PROPMOVER_TXT_000264,Elderguard,Железный страж
PROPMOVER_TXT_000266,Captain Elderguard,Сильный железный страж
PROPMOVER_TXT_000268,Giant Elderguard,Гигантский железный страж
PROPMOVER_TXT_000270,Small Garbagespider,Слабый мусоробот
PROPMOVER_TXT_000272,Garbagespider,Мусоробот
PROPMOVER_TXT_000274,Captain Garbagespider,Сильный мусоробот
PROPMOVER_TXT_000276,Giant Garbagespider,Гигантский мусоробот
PROPMOVER_TXT_000278,Small Crane Machinery,Слабый краноход
PROPMOVER_TXT_000280,Crane Machinery,Краноход
PROPMOVER_TXT_000282,Captain Crane Machinery,Сильный краноход
PROPMOVER_TXT_000284,Giant Crane Machinery,Гигантский краноход
PROPMOVER_TXT_000286,Small Mothbee,Слабый мухаон
PROPMOVER_TXT_000288,Mothbee,Мухаон
PROPMOVER_TXT_000290,Captain Mothbee,Сильный мухаон
PROPMOVER_TXT_000292,Giant Mothbee,Громадный мухаон
PROPMOVER_TXT_000294,Small Flybrigen,Слабый хвостокол
PROPMOVER_TXT_000296,Flybrigen,Хвостокол
PROPMOVER_TXT_000298,Captain Flybrigen,Сильный хвостокол
PROPMOVER_TXT_000300,Giant Flybrigen,Громадный хвостокол
PROPMOVER_TXT_000302,Small Rockepeller,Слабый пропеллац
PROPMOVER_TXT_000304,Rockepeller,Пропеллац
PROPMOVER_TXT_000306,Captain Rockepeller,Сильный пропеллац
PROPMOVER_TXT_000308,Giant Rockepeller,Громадный пропеллац
PROPMOVER_TXT_000318,Pawn Popcrank,Слабый клоун
PROPMOVER_TXT_000320,Knight Popcrank,Клоун
PROPMOVER_TXT_000322,Rook Popcrank,Сильный клоун
PROPMOVER_TXT_000324,Bishop Popcrank,Гигантский клоун
PROPMOVER_TXT_000326,Small Greemong,Слабый илий
PROPMOVER_TXT_000328,Greemong,Илий
PROPMOVER_TXT_000330,Captain Greemong,Сильный илий
PROPMOVER_TXT_000332,Giant Greemong,Громадный илий
PROPMOVER_TXT_000336,Roy,Глыбень
PROPMOVER_TXT_000338,Cardinal Guardian,Cardinal Guardian
PROPMOVER_TXT_000350,Small Carrierbomb,Слабый бомбот
PROPMOVER_TXT_000352,Carrierbomb,Бомбот
PROPMOVER_TXT_000354,Captain Carrierbomb,Сильный бомбот
PROPMOVER_TXT_000356,Giant Carrierbomb,Гигантский бомбот
PROPMOVER_TXT_000382,Clockworks,Часонизм
PROPMOVER_TXT_000392,Small Nuctuvehicle,Слабый шлак
PROPMOVER_TXT_000394,Nuctuvehicle,Шлак
PROPMOVER_TXT_000396,Captain Nuctuvehicle,Сильный шлак
PROPMOVER_TXT_000398,Giant Nuctuvehicle,Громадный шлак
PROPMOVER_TXT_000400,Young Syliaca,Слабая зубатка
PROPMOVER_TXT_000402,Syliaca,Зубатка
PROPMOVER_TXT_000404,Grownup Syliaca,Сильная зубатка
PROPMOVER_TXT_000406,Giant Syliaca,Гигантская зубатка
PROPMOVER_TXT_000408,Small Risem,Слабый каменталь
PROPMOVER_TXT_000410,Risem,Каменталь
PROPMOVER_TXT_000412,Captain Risem,Сильный каменталь
PROPMOVER_TXT_000414,Giant Risem,Громадный каменталь
PROPMOVER_TXT_000416,Small Zombiger,Слабый зомбойщик
PROPMOVER_TXT_000418,Zombiger,Зомбойщик
PROPMOVER_TXT_000420,Captain Zombiger,Сильный зомбойщик
PROPMOVER_TXT_000422,Giant Zombiger,Громадный зомбойщик
PROPMOVER_TXT_000424,Small Flybat,Слабый циклопырь
PROPMOVER_TXT_000426,Flybat,Циклопырь
PROPMOVER_TXT_000428,Captain Flybat,Сильный циклопырь
PROPMOVER_TXT_000430,Giant Flybat,Громадный циклопырь
PROPMOVER_TXT_000432,Small Bucrow,Слабый тавродемон
PROPMOVER_TXT_000434,Bucrow,Тавродемон
PROPMOVER_TXT_000436,Captain Bucrow,Сильный тавродемон
PROPMOVER_TXT_000438,Giant Bucrow,Громадный тавродемон
PROPMOVER_TXT_000440,Small Scorpicon,Слабый скорпихвост
PROPMOVER_TXT_000442,Scorpicon,Скорпихвост
PROPMOVER_TXT_000444,Captain Scorpicon,Сильный скорпихвост
PROPMOVER_TXT_000446,Giant Scorpicon,Громадный скорпихвост
PROPMOVER_TXT_000448,Small Trangfoma,Слабый дезинфектор
PROPMOVER_TXT_000450,Trangfoma,Дезинфектор
PROPMOVER_TXT_000452,Captain Trangfoma,Сильный дезинфектор
PROPMOVER_TXT_000454,Giant Trangfoma,Гигантский дезинфектор
PROPMOVER_TXT_000456,Mine Catcher,Рудеит
PROPMOVER_TXT_000458,Erons Catcher,Эронит
PROPMOVER_TXT_000460,Krasec Catcher,Кразеит
PROPMOVER_TXT_000462,Guru Catcher,Гуронит
PROPMOVER_TXT_000464,Small Grrr,Слабый гр-р
PROPMOVER_TXT_000466,Grrr,Гр-р
PROPMOVER_TXT_000468,Captain Grrr,Сильный гр-р
PROPMOVER_TXT_000470,Giant Grrr,Громадный гр-р
PROPMOVER_TXT_000472,Small Dump,Слабый трактотрон
PROPMOVER_TXT_000474,Dump,Трактотрон
PROPMOVER_TXT_000476,Captain Dump,Сильный трактотрон
PROPMOVER_TXT_000478,Giant Dump,Гигантский трактотрон
PROPMOVER_TXT_000480,Small Nautrepy,Слабая белка-пилотяга
PROPMOVER_TXT_000482,Nautrepy,Белка-пилотяга
PROPMOVER_TXT_000484,Captain Nautrepy,Сильная белка-пилотяга
PROPMOVER_TXT_000486,Giant Nautrepy,Громадная белка-пилотяга
PROPMOVER_TXT_000488,Small Boo,Слабая задушица
PROPMOVER_TXT_000490,Boo,Задушица
PROPMOVER_TXT_000492,Captain Boo,Сильная задушица
PROPMOVER_TXT_000494,Giant Boo,Громадная задушица
PROPMOVER_TXT_000496,Small Hoppre,Слабый сарранч
PROPMOVER_TXT_000498,Hoppre,Сарранч
PROPMOVER_TXT_000500,Captain Hoppre,Сильный сарранч
PROPMOVER_TXT_000502,Giant Hoppre,Громадный сарранч
PROPMOVER_TXT_000504,Small Mushpoie,Слабый подгрызиновик
PROPMOVER_TXT_000506,Mushpoie,Подгрызиновик
PROPMOVER_TXT_000508,Captain Mushpoie,Сильный подгрызиновик
PROPMOVER_TXT_000510,Giant Mushpoie,Громадный подгрызиновик
PROPMOVER_TXT_000512,Small Iren,Слабая жужелица
PROPMOVER_TXT_000514,Iren,Жужелица
PROPMOVER_TXT_000516,Captain Iren,Сильная жужелица
PROPMOVER_TXT_000518,Giant Iren,Громадная жужелица
PROPMOVER_TXT_000520,Small Watangka,Слабый Ва-танка
PROPMOVER_TXT_000522,Watangka,Ва-танка
PROPMOVER_TXT_000524,Captain Watangka,Сильный Ва-танка
PROPMOVER_TXT_000526,Giant Watangka,Гигантский Ва-танка
PROPMOVER_TXT_000528,Small Antiquery,Слабый мутэнт
PROPMOVER_TXT_000530,Antiquery,Мутэнт
PROPMOVER_TXT_000532,Captain Antiquery,Сильный мутэнт
PROPMOVER_TXT_000534,Giant Antiquery,Громадный мутэнт
PROPMOVER_TXT_000536,Small Luia,Слабый лавлин
PROPMOVER_TXT_000538,Luia,Лавлин
PROPMOVER_TXT_000540,Captain Luia,Сильный лавлин
PROPMOVER_TXT_000542,Giant Luia,Громадный лавлин
PROPMOVER_TXT_000544,Small Gongury,Слабый армадон
PROPMOVER_TXT_000546,Gongury,Армадон
PROPMOVER_TXT_000548,Captain Gongury,Сильный армадон
PROPMOVER_TXT_000550,Giant Gongury,Громадный армадон
PROPMOVER_TXT_000552,Small Shuhamma,Слабый сталефант
PROPMOVER_TXT_000554,Shuhamma,Сталефант
PROPMOVER_TXT_000556,Captain Shuhamma,Сильный сталефант
PROPMOVER_TXT_000558,Giant Shuhamma,Громадный сталефант
PROPMOVER_TXT_000560,Small Kern,Слабый вогробушек
PROPMOVER_TXT_000562,Kern,Вогробушек
PROPMOVER_TXT_000564,Captain Kern,Сильный вогробушек
PROPMOVER_TXT_000566,Giant Kern,Громадный вогробушек
PROPMOVER_TXT_000568,Small Glaphan,Слабый эктор
PROPMOVER_TXT_000570,Glaphan,Эктор
PROPMOVER_TXT_000572,Captain Glaphan,Сильный эктор
PROPMOVER_TXT_000574,Giant Glaphan,Гигантский эктор
PROPMOVER_TXT_000576,Trainee Chef Muffrin,Поваренок Кромсатти
PROPMOVER_TXT_000578,3rd Chef Muffrin,Младший повар Кромсатти
PROPMOVER_TXT_000580,2nd Chef Muffrin,Повар Кромсатти
PROPMOVER_TXT_000582,1st Chef Muffrin,Старший повар Кромсатти
PROPMOVER_TXT_000584,Mutant Fefern,Крыжорник-мутант
PROPMOVER_TXT_000586,Mutant Fefern King,Сильный крыжорник-мутант
PROPMOVER_TXT_000588,Mutant Giant 2nd Class Fefern,Громадный крыжорник-мутант
PROPMOVER_TXT_000590,Mutant Nyangnyang,Кисандра-мутант
PROPMOVER_TXT_000592,Mutant Nyangnyang Queen,Сильная Кисандра-мутант
PROPMOVER_TXT_000594,Mutant Giant Nyangnyang,Гигантская Кисандра-мутант
PROPMOVER_TXT_000596,Mutant Bang,Гром-мутант
PROPMOVER_TXT_000598,Mutant Boss Bang,Сильный Гром-мутант
PROPMOVER_TXT_000600,Mutant Giant Bang King,Гигантский Гром-мутант
PROPMOVER_TXT_000602,Worm Veduque,Арахнага
PROPMOVER_TXT_000604,Serus Uriel,Фобия
PROPMOVER_TXT_000606,Vice Veduque,Зловещая арахнага
PROPMOVER_TXT_000608,Brazenface Pukepuke,Меднолицый Вуки-туки
PROPMOVER_TXT_000610,Heartless Bang,Бессердечный Гром
PROPMOVER_TXT_000612,Tough Rock Muscle,Ужасающий камнетавр
PROPMOVER_TXT_000614,Flying Aibatt,Летучий циклопырь
PROPMOVER_TXT_000616,Beast Mr. Pumpkin,Ужасный мистер Тыквер
PROPMOVER_TXT_000618,Master Demian,Ужасный злыдень
PROPMOVER_TXT_000620,Master Keakoon,Свин-убийца
PROPMOVER_TXT_000622,Master Muffrin,Шеф-повар Кромсатти
PROPMOVER_TXT_000624,Info-Pang,Пингвид
PROPMOVER_TXT_000626,Losha,Люша
PROPMOVER_TXT_000628,Boboku,Бобохан
PROPMOVER_TXT_000630,Julia,Джулия
PROPMOVER_TXT_000632,Lui,Луи
PROPMOVER_TXT_000634,Marche,Марша
PROPMOVER_TXT_000636,Bulrox,Булрокс
PROPMOVER_TXT_000638,Tina,Тина
PROPMOVER_TXT_000640,Karin,Тетушка Карина
PROPMOVER_TXT_000642,Martin,Мартин
PROPMOVER_TXT_000644,Bill,Билл
PROPMOVER_TXT_000646,Dwarpet,Карлик
PROPMOVER_TXT_000648,Master Dwarpet,Высокий карлик
PROPMOVER_TXT_000650,Iblis,Параллельна
PROPMOVER_TXT_000652,Shade,Тень
PROPMOVER_TXT_000654,Stima,Элла
PROPMOVER_TXT_000656,Phacham,Фахам
PROPMOVER_TXT_000658,Bubble,Лучик
PROPMOVER_TXT_000660,Rhine,Райн
PROPMOVER_TXT_000662,Roocky,Рукер
PROPMOVER_TXT_000664,Ollien,Хельга
PROPMOVER_TXT_000666,Haven,Амфора
PROPMOVER_TXT_000668,Chitller,Читлер
PROPMOVER_TXT_000670,Bolpor,Бутчер
PROPMOVER_TXT_000672,Almani,Алан
PROPMOVER_TXT_000674,Achaben,Апчхен
PROPMOVER_TXT_000676,Eshylop,Вейдер
PROPMOVER_TXT_000678,Remine,Рамина
PROPMOVER_TXT_000680,Unknown,Незнакомец
PROPMOVER_TXT_000682,Agent,Агент
PROPMOVER_TXT_000684,Ancimys,Бэддини
PROPMOVER_TXT_000686,Guardian,Хранительница
PROPMOVER_TXT_000688,Captain Guard,Капитан стражи
PROPMOVER_TXT_000692,Venel Guardian,Виндигго
PROPMOVER_TXT_000694,Ren,Потрошонок
PROPMOVER_TXT_000696,Rubo,Руколоб
PROPMOVER_TXT_000698,Sisif,Руки-крюки
PROPMOVER_TXT_000700,Shuraiture,Шушура
PROPMOVER_TXT_000702,Babari,Бобрь
PROPMOVER_TXT_000704,Chaner,Циклопион
PROPMOVER_TXT_000706,Seido,Хруст
PROPMOVER_TXT_000708,Red Bang Troupe Member,Проходимец из 'Труппы товарищей'
PROPMOVER_TXT_000710,Emerald Mantis,Изумрудный богомол
PROPMOVER_TXT_000712,Lord Bang Hanoyan,Новый Папаша Гром
PROPMOVER_TXT_000714,Member of the Violet Magician Troupe,Артист труппы Лилового Фокусника
PROPMOVER_TXT_000716,Master of the Violet Magician Troupe,Опытный артист труппы Лилового Фокусника
PROPMOVER_TXT_000718,Grand Master of the Violet Magician Troupe,Лидер труппы Лилового Фокусника
PROPMOVER_TXT_000720,Red Bang Troupe Leader,Главарь 'Труппы товарищей'
PROPMOVER_TXT_000722,Lord Bang,Папаша Гром
PROPMOVER_TXT_000724,Organigor,Книгожор
PROPMOVER_TXT_000726,Gangard,Ганмар
PROPMOVER_TXT_000728,Hadeseor,Бригадир зомбойщиков
PROPMOVER_TXT_000730,Santa,Санта Клоунс
PROPMOVER_TXT_000732,Priest,Жрец
PROPMOVER_TXT_000734,Guard,Стражник
PROPMOVER_TXT_000736,Chaos Guard,Злодейский стражник
PROPMOVER_TXT_000738,Criminal Fefern,Злодейский крыжорник
PROPMOVER_TXT_000740,Criminal Wagsaac,Злодейский злопух
PROPMOVER_TXT_000742,Criminal Mr. Pumpkin,Злодейский мистер Тыквер
PROPMOVER_TXT_000744,Criminal Giggle Box,Злодейский хохотун
PROPMOVER_TXT_000746,Criminal Hobo,Злодейский однорукий бандит
PROPMOVER_TXT_000748,Criminal Cardpuppet,Злодейская заводная кукла
PROPMOVER_TXT_000750,Criminal Basque,Злодейский стрелорк
PROPMOVER_TXT_000752,Criminal Leyena,Злодейская лиена
PROPMOVER_TXT_000754,Criminal Steel Knight,Злодейский стальной рыцарь
PROPMOVER_TXT_000756,Criminal Volt,Злодейский вольт
PROPMOVER_TXT_000758,Criminal Garbagespider,Злодейский мусоробот
PROPMOVER_TXT_000760,Criminal Greemong,Злодейский илий
PROPMOVER_TXT_000762,Criminal Hoppre,Злодейский сарранч
PROPMOVER_TXT_000764,Criminal Iren,Злодейская жужелица
PROPMOVER_TXT_000766,Criminal Watangka,Злодейский Ва-танка
PROPMOVER_TXT_000768,Criminal Luia,Злодейский лавлин
PROPMOVER_TXT_000770,Criminal Shuhamma,Злодейский сталефант
PROPMOVER_TXT_000772,Criminal Glaphan,Злодейский эктор
PROPMOVER_TXT_000774,Keakoon Worker,Свин-шахтер
PROPMOVER_TXT_000776,Keakoon Guard,Свин-охранник
PROPMOVER_TXT_000778,Keakoon Worker Leader,Свин-надсмотрщик
PROPMOVER_TXT_000780,Keakoon Guard Leader,Свин-капитан
PROPMOVER_TXT_000782,Elite Keakoon Worker,Элитный свин-шахтер
PROPMOVER_TXT_000784,Elite Keakoon Guard,Элитный свин-охранник
PROPMOVER_TXT_000786,Elite Keakoon Worker Leader,Элитный свин-надсмотрщик
PROPMOVER_TXT_000788,Elite Keakoon Guard Leader,Элитный свин-капитан
PROPMOVER_TXT_000790,Mutant Keakoon Worker,Мутировавший свин-шахтер
PROPMOVER_TXT_000792,Mutant Keakoon Guard,Мутировавший свин-охранник
PROPMOVER_TXT_000794,Mutant Keakoon Worker Leader,Мутировавший свин-надсмотрщик
PROPMOVER_TXT_000796,Mutant Keakoon Guard Leader,Мутировавший свин-капитан
PROPMOVER_TXT_000798,Pink Roach,Розовый кукарач
PROPMOVER_TXT_000800,Blue Roach,Синий кукарач
PROPMOVER_TXT_000802,Pink Roach Queen,Царица розовых кукарачей
PROPMOVER_TXT_000804,Blue Roach Queen,Царица синих кукарачей
PROPMOVER_TXT_000806,Pink Roach Larva,Розовая личинка
PROPMOVER_TXT_000808,Blue Roach Larva,Синяя личинка
PROPMOVER_TXT_000810,Green Trillipy,Зеленый хватоглот
PROPMOVER_TXT_000812,Hazardous Green Trillipy,Опасный зеленый хватоглот
PROPMOVER_TXT_000814,Violet Trillipy,Лиловый хватоглот
PROPMOVER_TXT_000816,Hazardous Violet Trillipy,Опасный лиловый хватоглот
PROPMOVER_TXT_000818,Blood Trillipy,Кровавый хватоглот
PROPMOVER_TXT_000820,Hazardous Blood Trillipy,Опасный кровавый хватоглот
PROPMOVER_TXT_000822,Chimeradon,Химерадон
PROPMOVER_TXT_000824,Giant Chimeradon,Громадный химерадон
PROPMOVER_TXT_000826,Meteonyker,Метеоракон
PROPMOVER_TXT_000828,Baby Lawolf,Крошка-волкопард
PROPMOVER_TXT_000830,Baby Aibatt,Крошка-сглаз
PROPMOVER_TXT_000832,Baby Leyena,Крошка-лиена
PROPMOVER_TXT_000834,Baby Luia,Крошка-лавлин
PROPMOVER_TXT_000836,Kitty,Котенок
PROPMOVER_TXT_000838,Doggy,Щенок
PROPMOVER_TXT_000840,Ant Turtle,Бронтопаха
PROPMOVER_TXT_000842,Hammer Kick,Молотчик
PROPMOVER_TXT_000844,Big Muscle,Тиранотавр
PROPMOVER_TXT_000846,Krrr,Кр-р
PROPMOVER_TXT_000848,Mushmoot,Жюльен
PROPMOVER_TXT_000852,Beast Zombiger,Зверский зомбойщик
PROPMOVER_TXT_000854,Lord Clockworks Alpha,Главнокомандующий Часонизм
PROPMOVER_TXT_000856,Brigadier General Crumple,Бригадный генерал Громвель
PROPMOVER_TXT_000858,Lieutenant General Scythoid,Генерал-лейтенант Жнец
PROPMOVER_TXT_000860,Air Marshall Spiketail,Маршал авиации Боинг
PROPMOVER_TXT_000862,General Glyphaxz,Генерал Горгулакс
PROPMOVER_TXT_000866,Soccerball Angel,Футбольный ангелочек
PROPMOVER_TXT_000868,Kidler,Шиндлер
PROPMOVER_TXT_000870,Shacalpion,Шакалоп
PROPMOVER_TXT_000872,Hoiren,Лойф Дунгрен
PROPMOVER_TXT_000874,Hunter X,Фуметокс
PROPMOVER_TXT_000876,Kynsy,Киса
PROPMOVER_TXT_000878,Iblis Crasher,Ужассный каменталь
PROPMOVER_TXT_000880,Iblis Poisoner,Ужассный скорпихвост
PROPMOVER_TXT_000882,Iblis Wrecker,Ужассный камнетавр
PROPMOVER_TXT_000884,Iblis Destroyer,Ужассный шлак
PROPMOVER_TXT_000886,Iblis Puppet,Ужассная кукла
PROPMOVER_TXT_000888,Iblis Thief,Ужассный гробокоп
PROPMOVER_TXT_000890,Iblis Guardian,Ужассный страж
PROPMOVER_TXT_000892,Iblis Quaker,Ужассный сотрясатель
PROPMOVER_TXT_000894,Iblis Mushellizer,Ужассный илий
PROPMOVER_TXT_000896,Iblis Leanes,Черно-белый Ужосс
PROPMOVER_TXT_000898,Iblis Red Otem,Ужассное идолище
PROPMOVER_TXT_000900,Iblis Black Otem,Ужассный истукан
PROPMOVER_TXT_000902,Iblis Boxter,Ужассный хохотун
PROPMOVER_TXT_000904,Iblis Dandysher,Ужассный паяц
PROPMOVER_TXT_000906,Chitos,Читос
PROPMOVER_TXT_000908,Clocks,Миничас
PROPMOVER_TXT_000910,Soldier Chimeradon,Слабый химерадон
PROPMOVER_TXT_000912,Brigadier Chimeradon,Химерадон
PROPMOVER_TXT_000914,Major Chimeradon,Сильный химерадон
PROPMOVER_TXT_000916,Lieutenant Chimeradon,Громадный химерадон
PROPMOVER_TXT_000918,General Chimeradon,Исполинский химерадон
PROPMOVER_TXT_000920,Private Bearnerky,Слабый грызли
PROPMOVER_TXT_000922,Specialist Bearnerky,Грызли
