Key,English,Vietnamese
PROPMOVER_TXT_000164,Giant Dumb Bull,Dumb Bull khổng lồ
PROPMOVER_TXT_000166,Small Totemia,Totemia nhỏ
PROPMOVER_TXT_000168,Totemia,Totemia
PROPMOVER_TXT_000170,Captain Totemia,Thuyền trưởng Totemia
PROPMOVER_TXT_000172,Giant Totemia,Totemia khổng lồ
PROPMOVER_TXT_000174,Maid Cardpuppet,Cô hầu gái Cardpuppet
PROPMOVER_TXT_000176,Cardpuppet,Cardpuppet
PROPMOVER_TXT_000178,Manager Cardpuppet,Người quản lý Cardpuppet
PROPMOVER_TXT_000180,Boss Cardpuppet,Ông chủ Cardpuppet
PROPMOVER_TXT_000182,Small Tombstone Bearer,Tombstone Bearer nhỏ
PROPMOVER_TXT_000184,Tombstone Bearer,Tombstone Bearer
PROPMOVER_TXT_000186,Captain Tombstone Bearer,Thuyền trưởng Tombstone Bearer
PROPMOVER_TXT_000188,Giant Tombstone Bearer,Tombstone Bearer khổng lồ
PROPMOVER_TXT_000190,Phantom Basque,Bóng ma Basque
PROPMOVER_TXT_000192,Basque,Basque
PROPMOVER_TXT_000194,Lumping Basque,Basque vụng về
PROPMOVER_TXT_000196,Giant Basque,Basque khổng lồ
PROPMOVER_TXT_000198,Small Mage Prankster,Mage Prankster nhỏ
PROPMOVER_TXT_000200,Prankster,Prankster
PROPMOVER_TXT_000202,Master Mage Prankster,Mage Prankster bậc thầy
PROPMOVER_TXT_000204,Giantmage Prankster,Mage Prankster khổng lồ
PROPMOVER_TXT_000206,Rough Wheelem,Wheelem dữ dội
PROPMOVER_TXT_000208,Wheelem,Wheelem
PROPMOVER_TXT_000210,Bouncing Wheelem,Wheelem sung sức
PROPMOVER_TXT_000212,Giant Wheelem,Wheelem khổng lồ
PROPMOVER_TXT_000214,Small Leyena,Leyena nhỏ
PROPMOVER_TXT_000216,Leyena,Leyena
PROPMOVER_TXT_000218,Captain Leyena,Thuyền trưởng Leyena
PROPMOVER_TXT_000220,Giant Leyena,Leyena khổng lồ
PROPMOVER_TXT_000222,Small Steam Walker,Steam Walker nhỏ
PROPMOVER_TXT_000224,Steam Walker,Steam Walker
PROPMOVER_TXT_000226,Captain Steam Walker,Thuyền trưởng Steam Walker
PROPMOVER_TXT_000228,Giant Steam Walker,Steam Walker khổng lồ
PROPMOVER_TXT_000230,Small Steel Knight,Steel Knight nhỏ
PROPMOVER_TXT_000232,Steel Knight,Steel Knight
PROPMOVER_TXT_000234,Captain Steel Knight,Thuyền trưởng Steel Knight
PROPMOVER_TXT_000236,Giant Steel Knight,Steel Knight khổng lồ
PROPMOVER_TXT_000238,Small Nutty Wheel,Nutty Wheel nhỏ
PROPMOVER_TXT_000240,Nutty Wheel,Nutty Wheel
PROPMOVER_TXT_000242,Captain Nutty Wheel,Thuyền trưởng Nutty Wheel
PROPMOVER_TXT_000244,Giant Nutty Wheel,Nutty Wheel khổng lồ
PROPMOVER_TXT_000246,Small Driller,Driller nhỏ
PROPMOVER_TXT_000248,Driller,Driller
PROPMOVER_TXT_000250,Captain Driller,Thuyền trưởng Driller
PROPMOVER_TXT_000252,Giant Driller,Driller khổng lồ
PROPMOVER_TXT_000254,Small Volt,Volt nhỏ
PROPMOVER_TXT_000256,Volt,Volt
PROPMOVER_TXT_000258,Captain Volt,Thuyền trưởng Volt
PROPMOVER_TXT_000260,Giant Volt,Volt khổng lồ
PROPMOVER_TXT_000262,Small Elderguard,Elderguard nhỏ
PROPMOVER_TXT_000264,Elderguard,Elderguard
PROPMOVER_TXT_000266,Captain Elderguard,Thuyền trưởng Elderguard
PROPMOVER_TXT_000268,Giant Elderguard,Elderguard khổng lồ
PROPMOVER_TXT_000270,Small Garbagespider,Garbagespider nhỏ
PROPMOVER_TXT_000272,Garbagespider,Garbagespider
PROPMOVER_TXT_000274,Captain Garbagespider,Thuyền trưởng Garbagespider
PROPMOVER_TXT_000276,Giant Garbagespider,Garbagespider khổng lồ
PROPMOVER_TXT_000278,Small Crane Machinery,Crane Machinery nhỏ
PROPMOVER_TXT_000280,Crane Machinery,Crane Machinery
PROPMOVER_TXT_000282,Captain Crane Machinery,Thuyền trưởng Crane Machinery
PROPMOVER_TXT_000284,Giant Crane Machinery,Crane Machinery khổng lồ
PROPMOVER_TXT_000286,Small Mothbee,Mothbee nhỏ
PROPMOVER_TXT_000288,Mothbee,Mothbee
PROPMOVER_TXT_000290,Captain Mothbee,Thuyền trưởng Mothbee
PROPMOVER_TXT_000292,Giant Mothbee,Mothbee khổng lồ
PROPMOVER_TXT_000294,Small Flybrigen,Flybrigen nhỏ
PROPMOVER_TXT_000296,Flybrigen,Flybrigen
PROPMOVER_TXT_000298,Captain Flybrigen,Thuyền trưởng Flybrigen
PROPMOVER_TXT_000300,Giant Flybrigen,Flybrigen khổng lồ
PROPMOVER_TXT_000302,Small Rockepeller,Rockepeller nhỏ
PROPMOVER_TXT_000304,Rockepeller,Rockepeller
PROPMOVER_TXT_000306,Captain Rockepeller,Thuyền trưởng Rockepeller
PROPMOVER_TXT_000308,Giant Rockepeller,Rockepeller khổng lồ
PROPMOVER_TXT_000318,Pawn Popcrank,Tiệm cầm đồ Popcrank
PROPMOVER_TXT_000320,Knight Popcrank,Hiệp sỹ Popcrank
PROPMOVER_TXT_000322,Rook Popcrank,Quân cờ tháp Popcrank
PROPMOVER_TXT_000324,Bishop Popcrank,Giám mục Popcrank
PROPMOVER_TXT_000326,Small Greemong,Greemong nhỏ
PROPMOVER_TXT_000328,Greemong,Greemong
PROPMOVER_TXT_000330,Captain Greemong,Thuyền trưởng Greemong
PROPMOVER_TXT_000332,Giant Greemong,Greemong khổng lồ
PROPMOVER_TXT_000336,Roy,Roy
PROPMOVER_TXT_000338,Cardinal Guardian,Người giám hộ hồng y
PROPMOVER_TXT_000350,Small Carrierbomb,Carrierbomb nhỏ
PROPMOVER_TXT_000352,Carrierbomb,Carrierbomb
PROPMOVER_TXT_000354,Captain Carrierbomb,Thuyền trưởng Carrierbomb
PROPMOVER_TXT_000356,Giant Carrierbomb,Carrierbomb khổng lồ
PROPMOVER_TXT_000382,Clockworks,Clockworks
PROPMOVER_TXT_000392,Small Nuctuvehicle,Nuctuvehicle nhỏ
PROPMOVER_TXT_000394,Nuctuvehicle,Nuctuvehicle
PROPMOVER_TXT_000396,Captain Nuctuvehicle,Thuyền trưởng Nuctuvehicle
PROPMOVER_TXT_000398,Giant Nuctuvehicle,Nuctuvehicle khổng lồ
PROPMOVER_TXT_000400,Young Syliaca,Syliaca trẻ
PROPMOVER_TXT_000402,Syliaca,Syliaca
PROPMOVER_TXT_000404,Grownup Syliaca,Syliaca trưởng thành
PROPMOVER_TXT_000406,Giant Syliaca,Syliaca khổng lồ
PROPMOVER_TXT_000408,Small Risem,Risem nhỏ
PROPMOVER_TXT_000410,Risem,Risem
PROPMOVER_TXT_000412,Captain Risem,Thuyền trưởng Risem
PROPMOVER_TXT_000414,Giant Risem,Risem khổng lồ
PROPMOVER_TXT_000416,Small Zombiger,Zombiger nhỏ
PROPMOVER_TXT_000418,Zombiger,Zombiger
PROPMOVER_TXT_000420,Captain Zombiger,Thuyền trưởng Zombiger
PROPMOVER_TXT_000422,Giant Zombiger,Zombiger khổng lồ
PROPMOVER_TXT_000424,Small Flybat,Flybat nhỏ
PROPMOVER_TXT_000426,Flybat,Flybat
PROPMOVER_TXT_000428,Captain Flybat,Thuyền trưởng Flybat
PROPMOVER_TXT_000430,Giant Flybat,Flybat khổng lồ
PROPMOVER_TXT_000432,Small Bucrow,Bucrow nhỏ
PROPMOVER_TXT_000434,Bucrow,Bucrow
PROPMOVER_TXT_000436,Captain Bucrow,Thuyền trưởng Bucrow
PROPMOVER_TXT_000438,Giant Bucrow,Bucrow khổng lồ
PROPMOVER_TXT_000440,Small Scorpicon,Scorpicon nhỏ
PROPMOVER_TXT_000442,Scorpicon,Scorpicon
PROPMOVER_TXT_000444,Captain Scorpicon,Thuyền trưởng Scorpicon
PROPMOVER_TXT_000446,Giant Scorpicon,Scorpicon khổng lồ
PROPMOVER_TXT_000448,Small Trangfoma,Trangfoma nhỏ
PROPMOVER_TXT_000450,Trangfoma,Trangfoma
PROPMOVER_TXT_000452,Captain Trangfoma,Thuyền trưởng Trangfoma
PROPMOVER_TXT_000454,Giant Trangfoma,Trangfoma khổng lồ
PROPMOVER_TXT_000456,Mine Catcher,Mine Catcher
PROPMOVER_TXT_000458,Erons Catcher,Erons Catcher
PROPMOVER_TXT_000460,Krasec Catcher,Krasec Catcher
PROPMOVER_TXT_000462,Guru Catcher,Guru Catcher
PROPMOVER_TXT_000464,Small Grrr,Grrr nhỏ
PROPMOVER_TXT_000466,Grrr,Grrr
PROPMOVER_TXT_000468,Captain Grrr,Thuyền trưởng Grrr
PROPMOVER_TXT_000470,Giant Grrr,Grrr khổng lồ
PROPMOVER_TXT_000472,Small Dump,Dump nhỏ
PROPMOVER_TXT_000474,Dump,Dump
PROPMOVER_TXT_000476,Captain Dump,Thuyền trưởng Dump
PROPMOVER_TXT_000478,Giant Dump,Dump khổng lồ
PROPMOVER_TXT_000480,Small Nautrepy,Nautrepy nhỏ
PROPMOVER_TXT_000482,Nautrepy,Nautrepy
PROPMOVER_TXT_000484,Captain Nautrepy,Thuyền trưởng Nautrepy
PROPMOVER_TXT_000486,Giant Nautrepy,Nautrepy khổng lồ
PROPMOVER_TXT_000488,Small Boo,Boo nhỏ
PROPMOVER_TXT_000490,Boo,Boo
PROPMOVER_TXT_000492,Captain Boo,Thuyền trưởng Boo
PROPMOVER_TXT_000494,Giant Boo,Boo khổng lồ
PROPMOVER_TXT_000496,Small Hoppre,Hoppre nhỏ
PROPMOVER_TXT_000498,Hoppre,Hoppre
PROPMOVER_TXT_000500,Captain Hoppre,Thuyền trưởng Hoppre
PROPMOVER_TXT_000502,Giant Hoppre,Hoppre khổng lồ
PROPMOVER_TXT_000504,Small Mushpoie,Mushpoie nhỏ
PROPMOVER_TXT_000506,Mushpoie,Mushpoie
PROPMOVER_TXT_000508,Captain Mushpoie,Thuyền trưởng Mushpoie
PROPMOVER_TXT_000510,Giant Mushpoie,Mushpoie khổng lồ
PROPMOVER_TXT_000512,Small Iren,Iren nhỏ
PROPMOVER_TXT_000514,Iren,Iren
PROPMOVER_TXT_000516,Captain Iren,Thuyền trưởng Iren
PROPMOVER_TXT_000518,Giant Iren,Iren khổng lồ
PROPMOVER_TXT_000520,Small Watangka,Watangka nhỏ
PROPMOVER_TXT_000522,Watangka,Watangka
PROPMOVER_TXT_000524,Captain Watangka,Thuyền trưởng Watangka
PROPMOVER_TXT_000526,Giant Watangka,Watangka khổng lồ
PROPMOVER_TXT_000528,Small Antiquery,Antiquery nhỏ
PROPMOVER_TXT_000530,Antiquery,Antiquery
PROPMOVER_TXT_000532,Captain Antiquery,Thuyền trưởng Antiquery
PROPMOVER_TXT_000534,Giant Antiquery,Antiquery khổng lồ
PROPMOVER_TXT_000536,Small Luia,Luia nhỏ
PROPMOVER_TXT_000538,Luia,Luia
PROPMOVER_TXT_000540,Captain Luia,Thuyền trưởng Luia
PROPMOVER_TXT_000542,Giant Luia,Luia khổng lồ
PROPMOVER_TXT_000544,Small Gongury,Gongury nhỏ
PROPMOVER_TXT_000546,Gongury,Gongury
PROPMOVER_TXT_000548,Captain Gongury,Thuyền trưởng Gongury
PROPMOVER_TXT_000550,Giant Gongury,Gongury khổng lồ
PROPMOVER_TXT_000552,Small Shuhamma,Shuhamma nhỏ
PROPMOVER_TXT_000554,Shuhamma,Shuhamma
PROPMOVER_TXT_000556,Captain Shuhamma,Thuyền trưởng Shuhamma
PROPMOVER_TXT_000558,Giant Shuhamma,Shuhamma khổng lồ
PROPMOVER_TXT_000560,Small Kern,Kern nhỏ
PROPMOVER_TXT_000562,Kern,Kern
PROPMOVER_TXT_000564,Captain Kern,Thuyền trưởng Kern
PROPMOVER_TXT_000566,Giant Kern,Kern khổng lồ
PROPMOVER_TXT_000568,Small Glaphan,Glaphan nhỏ
PROPMOVER_TXT_000570,Glaphan,Glaphan
PROPMOVER_TXT_000572,Captain Glaphan,Thuyền trưởng Glaphan
PROPMOVER_TXT_000574,Giant Glaphan,Glaphan khổng lồ
PROPMOVER_TXT_000576,Trainee Chef Muffrin,Đầu bếp tập sự Muffrin
PROPMOVER_TXT_000578,3rd Chef Muffrin,Đầu bếp thứ 3 Muffrin
PROPMOVER_TXT_000580,2nd Chef Muffrin,Đầu bếp thứ 2 Muffrin
PROPMOVER_TXT_000582,1st Chef Muffrin,Đầu bếp thứ 1 Muffrin
PROPMOVER_TXT_000584,Mutant Fefern,Fefern đột biến
PROPMOVER_TXT_000586,Mutant Fefern King,Mutant Fefern King
PROPMOVER_TXT_000588,Mutant Giant 2nd Class Fefern,Mutant Giant 2nd Class Fefern
PROPMOVER_TXT_000590,Mutant Nyangnyang,Mutant Nyangnyang
PROPMOVER_TXT_000592,Mutant Nyangnyang Queen,Mutant Nyangnyang Queen
PROPMOVER_TXT_000594,Mutant Giant Nyangnyang,Mutant Giant Nyangnyang
PROPMOVER_TXT_000596,Mutant Bang,Mutant Bang
PROPMOVER_TXT_000598,Mutant Boss Bang,Mutant Boss Bang
PROPMOVER_TXT_000600,Mutant Giant Bang King,Mutant Giant Bang King
PROPMOVER_TXT_000602,Worm Veduque,Worm Veduque
PROPMOVER_TXT_000604,Serus Uriel,Serus Uriel
PROPMOVER_TXT_000606,Vice Veduque,Vice Veduque
PROPMOVER_TXT_000608,Brazenface Pukepuke,Brazenface Pukepuke
PROPMOVER_TXT_000610,Heartless Bang,Heartless Bang
PROPMOVER_TXT_000612,Tough Rock Muscle,Tough Rock Muscle
PROPMOVER_TXT_000614,Flying Aibatt,Flying Aibatt
PROPMOVER_TXT_000616,Beast Mr. Pumpkin,Beast Mr. Pumpkin
PROPMOVER_TXT_000618,Master Demian,Master Demian
PROPMOVER_TXT_000620,Master Keakoon,Master Keakoon
PROPMOVER_TXT_000622,Master Muffrin,Master Muffrin
PROPMOVER_TXT_000624,Info-Pang,Info-Pang
PROPMOVER_TXT_000626,Losha,Losha
PROPMOVER_TXT_000628,Boboku,Boboku
PROPMOVER_TXT_000630,Julia,Julia
PROPMOVER_TXT_000632,Lui,Lui
PROPMOVER_TXT_000634,Marche,Marche
PROPMOVER_TXT_000636,Bulrox,Bulrox
PROPMOVER_TXT_000638,Tina,Tina
PROPMOVER_TXT_000640,Karin,Karin
PROPMOVER_TXT_000642,Martin,Martin
PROPMOVER_TXT_000644,Bill,Bill
PROPMOVER_TXT_000646,Dwarpet,Dwarpet
PROPMOVER_TXT_000648,Master Dwarpet,Master Dwarpet
PROPMOVER_TXT_000650,Iblis,Iblis
PROPMOVER_TXT_000652,Shade,Shade
PROPMOVER_TXT_000654,Stima,Stima
PROPMOVER_TXT_000656,Phacham,Phacham
PROPMOVER_TXT_000658,Bubble,Bubble
PROPMOVER_TXT_000660,Rhine,Rhine
PROPMOVER_TXT_000662,Roocky,Roocky
PROPMOVER_TXT_000664,Ollien,Ollien
PROPMOVER_TXT_000666,Haven,Haven
PROPMOVER_TXT_000668,Chitller,Chitller
PROPMOVER_TXT_000670,Bolpor,Bolpor
PROPMOVER_TXT_000672,Almani,Almani
PROPMOVER_TXT_000674,Achaben,Achaben
PROPMOVER_TXT_000676,Eshylop,Eshylop
PROPMOVER_TXT_000678,Remine,Remine
PROPMOVER_TXT_000680,Unknown,Không xác định
PROPMOVER_TXT_000682,Agent,Đại lý
PROPMOVER_TXT_000684,Ancimys,Ancimys
PROPMOVER_TXT_000686,Guardian,Người bảo hộ
PROPMOVER_TXT_000688,Captain Guard,Đội trưởng đội bảo vệ
PROPMOVER_TXT_000692,Venel Guardian,Người bảo vệ Venel
PROPMOVER_TXT_000694,Ren,Ren
PROPMOVER_TXT_000696,Rubo,Rubo
PROPMOVER_TXT_000698,Sisif,Sisif
PROPMOVER_TXT_000700,Shuraiture,Shuraiture
PROPMOVER_TXT_000702,Babari,Babari
PROPMOVER_TXT_000704,Chaner,Chaner
PROPMOVER_TXT_000706,Seido,Seido
PROPMOVER_TXT_000708,Red Bang Troupe Member,Thành viên nhóm Red Bang
PROPMOVER_TXT_000710,Emerald Mantis,Emerald Mantis
PROPMOVER_TXT_000712,Lord Bang Hanoyan,Chúa tể Bang Hanoyan
PROPMOVER_TXT_000714,Member of the Violet Magician Troupe,Thành viên của Violet Magician Troupe
PROPMOVER_TXT_000716,Master of the Violet Magician Troupe,Ông chủ của Violet Magician Troupe
PROPMOVER_TXT_000718,Grand Master of the Violet Magician Troupe,Tông sư của Violet Magician Troupe
PROPMOVER_TXT_000720,Red Bang Troupe Leader,Bang chủ Red Bang Troupe
PROPMOVER_TXT_000722,Lord Bang,Chúa tể Bang
PROPMOVER_TXT_000724,Organigor,Organigor
PROPMOVER_TXT_000726,Gangard,Gangard
PROPMOVER_TXT_000728,Hadeseor,Hadeseor
PROPMOVER_TXT_000730,Santa,Santa
PROPMOVER_TXT_000732,Priest,Mục sư
PROPMOVER_TXT_000734,Guard,Người bảo vệ
PROPMOVER_TXT_000736,Chaos Guard,Người bảo vệ hỗn loạn
PROPMOVER_TXT_000738,Criminal Fefern,Fefern tội phạm
PROPMOVER_TXT_000740,Criminal Wagsaac,Wagsaac tội phạm
PROPMOVER_TXT_000742,Criminal Mr. Pumpkin,Mr. Pumpkin tội phạm
PROPMOVER_TXT_000744,Criminal Giggle Box,Giggle Box tội phạm
PROPMOVER_TXT_000746,Criminal Hobo,Hobo tội phạm
PROPMOVER_TXT_000748,Criminal Cardpuppet,Cardpuppet tội phạm
PROPMOVER_TXT_000750,Criminal Basque,Basque tội phạm
PROPMOVER_TXT_000752,Criminal Leyena,Leyena tội phạm
PROPMOVER_TXT_000754,Criminal Steel Knight,Steel Knight tội phạm
PROPMOVER_TXT_000756,Criminal Volt,Volt tội phạm
PROPMOVER_TXT_000758,Criminal Garbagespider,Garbagespider tội phạm
PROPMOVER_TXT_000760,Criminal Greemong,Greemong tội phạm
PROPMOVER_TXT_000762,Criminal Hoppre,Hoppre tội phạm
PROPMOVER_TXT_000764,Criminal Iren,Iren tội phạm
PROPMOVER_TXT_000766,Criminal Watangka,Watangka tội phạm
PROPMOVER_TXT_000768,Criminal Luia,Luia tội phạm
PROPMOVER_TXT_000770,Criminal Shuhamma,Shuhamma tội phạm
PROPMOVER_TXT_000772,Criminal Glaphan,Glaphan tội phạm
PROPMOVER_TXT_000774,Keakoon Worker,Công nhân Keakoon
PROPMOVER_TXT_000776,Keakoon Guard,Người bảo vệ Keakoon
PROPMOVER_TXT_000778,Keakoon Worker Leader,Lãnh đạo công nhân Keakoon
PROPMOVER_TXT_000780,Keakoon Guard Leader,Lãnh đạo bảo vệ Keakoon
PROPMOVER_TXT_000782,Elite Keakoon Worker,Công nhân tinh anh Keakoon
PROPMOVER_TXT_000784,Elite Keakoon Guard,Người bảo vệ tinh anh Keakoon
PROPMOVER_TXT_000786,Elite Keakoon Worker Leader,Lãnh đạo công nhân tinh anh Keakoon
PROPMOVER_TXT_000788,Elite Keakoon Guard Leader,Lãnh đạo bảo vệ tinh anh Keakoon
PROPMOVER_TXT_000790,Mutant Keakoon Worker,Công nhân đột biến Keakoon
PROPMOVER_TXT_000792,Mutant Keakoon Guard,Người bảo vệ đột biến Keakoon
PROPMOVER_TXT_000794,Mutant Keakoon Worker Leader,Lãnh đạo công nhân đột biến Keakoon
PROPMOVER_TXT_000796,Mutant Keakoon Guard Leader,Lãnh đạo bảo vệ đột biến Keakoon
PROPMOVER_TXT_000798,Pink Roach,Pink Roach
PROPMOVER_TXT_000800,Blue Roach,Blue Roach
PROPMOVER_TXT_000802,Pink Roach Queen,Pink Roach Queen
PROPMOVER_TXT_000804,Blue Roach Queen,Blue Roach Queen
PROPMOVER_TXT_000806,Pink Roach Larva,Pink Roach Larva
PROPMOVER_TXT_000808,Blue Roach Larva,Blue Roach Larva
PROPMOVER_TXT_000810,Green Trillipy,Green Trillipy
PROPMOVER_TXT_000812,Hazardous Green Trillipy,Hazardous Green Trillipy
PROPMOVER_TXT_000814,Violet Trillipy,Violet Trillipy
PROPMOVER_TXT_000816,Hazardous Violet Trillipy,Hazardous Violet Trillipy
PROPMOVER_TXT_000818,Blood Trillipy,Blood Trillipy
PROPMOVER_TXT_000820,Hazardous Blood Trillipy,Hazardous Blood Trillipy
PROPMOVER_TXT_000822,Chimeradon,Chimeradon
PROPMOVER_TXT_000824,Giant Chimeradon,Chimeradon khổng lồ
PROPMOVER_TXT_000826,Meteonyker,Meteonyker
PROPMOVER_TXT_000828,Baby Lawolf,Baby Lawolf
PROPMOVER_TXT_000830,Baby Aibatt,Baby Aibatt
PROPMOVER_TXT_000832,Baby Leyena,Baby Leyena
PROPMOVER_TXT_000834,Baby Luia,Baby Luia
PROPMOVER_TXT_000836,Kitty,Kitty
PROPMOVER_TXT_000838,Doggy,Doggy
PROPMOVER_TXT_000840,Ant Turtle,Ant Turtle
PROPMOVER_TXT_000842,Hammer Kick,Hammer Kick
PROPMOVER_TXT_000844,Big Muscle,Big Muscle
PROPMOVER_TXT_000846,Krrr,Krrr
PROPMOVER_TXT_000848,Mushmoot,Mushmoot
PROPMOVER_TXT_000852,Beast Zombiger,Beast Zombiger
PROPMOVER_TXT_000854,Lord Clockworks Alpha,Lord Clockworks Alpha
PROPMOVER_TXT_000856,Brigadier General Crumple,Brigadier General Crumple
PROPMOVER_TXT_000858,Lieutenant General Scythoid,Lieutenant General Scythoid
PROPMOVER_TXT_000860,Air Marshall Spiketail,Air Marshall Spiketail
PROPMOVER_TXT_000862,General Glyphaxz,General Glyphaxz
PROPMOVER_TXT_000866,Soccerball Angel,Soccerball Angel
PROPMOVER_TXT_000868,Kidler,Kidler
PROPMOVER_TXT_000870,Shacalpion,Shacalpion
PROPMOVER_TXT_000872,Hoiren,Hoiren
PROPMOVER_TXT_000874,Hunter X,Hunter X
PROPMOVER_TXT_000876,Kynsy,Kynsy
PROPMOVER_TXT_000878,Iblis Crasher,Iblis Crasher
PROPMOVER_TXT_000880,Iblis Poisoner,Iblis Poisoner
PROPMOVER_TXT_000882,Iblis Wrecker,Iblis Wrecker
