Key,English,Portuguese
PROPITEMETC_INC_000060,Paxt Set,Conjunto Paxt
PROPITEMETC_INC_000061,Shupon Set,Conjunto Shupon
PROPITEMETC_INC_000062,Shrian Set,Conjunto Shrian
PROPITEMETC_INC_000063,Navil Set,Conjunto Navill
PROPITEMETC_INC_000064,Neclus Set,Conjunto Neklrus
PROPITEMETC_INC_000065,Alext Set,Conjunto Alext
PROPITEMETC_INC_000066,Ales Set,Conjunto Ales
PROPITEMETC_INC_000067,Akent Set,Conjunto Akent
PROPITEMETC_INC_000068,Aken Set,Conjunto Aken
PROPITEMETC_INC_000069,Rody Set,Conjunto Rody
PROPITEMETC_INC_000070,Rodey Set,Conjunto Rodey
PROPITEMETC_INC_000071,Ropang Set,Conjunto Lopang
PROPITEMETC_INC_000072,Roshel Set,Conjunto Loshuel
PROPITEMETC_INC_000073,Geniun Set,Conjunto Geniun
PROPITEMETC_INC_000074,Gynas Set,Conjunto Gynas
PROPITEMETC_INC_000075,Mekatro Set,Conjunto Mekatro
PROPITEMETC_INC_000076,Mekaron Set,Conjunto Mekaron
PROPITEMETC_INC_000077,Myuran Set,Conjunto Myuran
PROPITEMETC_INC_000078,Myurian Set,Conjunto Myurian
PROPITEMETC_INC_000079,Elder Set,Conjunto Elder
PROPITEMETC_INC_000080,Ellean Set,Conjunto Ellean
PROPITEMETC_INC_000081,Shabel Set,Conjunto Shabel
PROPITEMETC_INC_000082,Shurian Set,Conjunto Shurian
PROPITEMETC_INC_000131,Knighert Set,Conjunto Knighert
PROPITEMETC_INC_000132,Knighz Set,Conjunto Knighz
PROPITEMETC_INC_000133,Blain Set,Conjunto Blain
PROPITEMETC_INC_000134,Virain Set,Conjunto Virain
PROPITEMETC_INC_000135,Jesis Set,Conjunto Jesis
PROPITEMETC_INC_000136,Jenes Set,Conjunto Jenes
PROPITEMETC_INC_000137,Ranerz Set,Conjunto Ranerz
PROPITEMETC_INC_000138,Raze Set,Conjunto Raze
PROPITEMETC_INC_000139,Rimyth Set,Conjunto Rimyth
PROPITEMETC_INC_000140,Remingster Set,Conjunto Rimingster
PROPITEMETC_INC_000141,Billst Set,Conjunto Billst
PROPITEMETC_INC_000142,Billporon Set,Conjunto Billporon
PROPITEMETC_INC_000143,Psykon Set,Conjunto Psykon
PROPITEMETC_INC_000144,Psyuniper Set,Conjunto Psyuniper
PROPITEMETC_INC_000145,Ellis Set,Conjunto Ellis
PROPITEMETC_INC_000146,Ellsis Set,Conjunto Ellsis
PROPITEMETC_INC_000147,PvE Cruentus Set,Conjunto Cruentus
PROPITEMETC_INC_000148,PvE Cruenta Set,Conjunto Cruenta
PROPITEMETC_INC_000149,PvE Noctis Set,Conjunto Noctis
PROPITEMETC_INC_000150,PvE Nox Set,Conjunto Nox
PROPITEMETC_INC_000151,PvE Velox Set,Conjunto Velox
PROPITEMETC_INC_000152,PvE Valentis Set,Conjunto Valentis
PROPITEMETC_INC_000153,PvE Acer Set,Conjunto Acer
PROPITEMETC_INC_000154,PvE Acris Set,Conjunto Acris
PROPITEMETC_INC_000155,PvE Revenio Set,Conjunto Revenio
PROPITEMETC_INC_000156,PvE Revenis Set,Conjunto Revenis
PROPITEMETC_INC_000157,PvE Grim Set,Conjunto Grim
PROPITEMETC_INC_000158,PvE Gravis Set,Conjunto Gravis
PROPITEMETC_INC_000159,PvE Twilight Set,Conjunto do Crepúsculo
PROPITEMETC_INC_000160,PvE Eclipse Set,Conjunto Eclipse
PROPITEMETC_INC_000161,PvE Nanemvis Set,Conjunto Nanemvis
PROPITEMETC_INC_000162,PvE Namavis Set,Conjunto Namavis
PROPITEMETC_INC_000163,PvP Obsidian Cruentus Set,Conjunto Cruentus de Obsidiana
PROPITEMETC_INC_000164,PvP Obsidian Cruenta Set,Conjunto Cruenta de Obsidiana
PROPITEMETC_INC_000165,PvP Obsidian Noctis Set,Conjunto Noctis de Obsidiana
PROPITEMETC_INC_000166,PvP Obsidian Nox Set,Conjunto Nox de Obsidiana
PROPITEMETC_INC_000167,PvP Obsidian Velox Set,Conjunto Velox de Obsidiana
PROPITEMETC_INC_000168,PvP Obsidian Valentis Set,Conjunto Valentis de Obsidiana
PROPITEMETC_INC_000169,PvP Obsidian Acer Set,Conjunto Acer de Obsidiana
PROPITEMETC_INC_000170,PvP Obsidian Acris Set,Conjunto Acris de Obsidiana
PROPITEMETC_INC_000171,PvP Obsidian Revenio Set,Conjunto Revenio de Obsidiana
PROPITEMETC_INC_000172,PvP Obsidian Revenis Set,Conjunto Revenis de Obsidiana
PROPITEMETC_INC_000173,PvP Obsidian Grim Set,Conjunto Grim de Obsidiana
PROPITEMETC_INC_000174,PvP Obsidian Gravis Set,Conjunto Gravis de Obsidiana
PROPITEMETC_INC_000175,PvP Obsidian Twilight Set,Conjunto do Crepúsculo de Obsidiana
PROPITEMETC_INC_000176,PvP Obsidian Eclipse Set,Conjunto do Eclipse de Obsidiana
PROPITEMETC_INC_000177,PvP Obsidian Nanemvis Set,Conjunto Nanemvis de Obsidiana
PROPITEMETC_INC_000178,PvP Obsidian Namavis Set,Conjunto Namavis de Obsidiana
PROPITEMETC_INC_000179,Cryro Set,Conjunto Cryro
PROPITEMETC_INC_000180,Cyrent Set,Conjunto Cyrent
PROPITEMETC_INC_000181,Forrben Set,Conjunto Forrben
PROPITEMETC_INC_000182,Forrain Set,Conjunto Forrain
PROPITEMETC_INC_000183,Naneon Set,Conjunto Naneon
PROPITEMETC_INC_000184,Nanex Set,Conjunto Nanex
PROPITEMETC_INC_000185,Vizes Set,Conjunto Vizes
PROPITEMETC_INC_000186,Vizith Set,Conjunto Vizith
PROPITEMETC_INC_000187,Keinos Set,Conjunto Keinos
PROPITEMETC_INC_000188,Keisan Set,Conjunto Keisan
PROPITEMETC_INC_000189,Ouken Set,Conjunto Ouken
PROPITEMETC_INC_000190,Oukest Set,Conjunto Oukest
PROPITEMETC_INC_000191,Peinn Set,Conjunto Peinn
PROPITEMETC_INC_000192,Penel Set,Conjunto Penel
PROPITEMETC_INC_000193,Quinox Set,Conjunto Quinox
PROPITEMETC_INC_000194,Quition Set,Conjunto Quition
PROPITEMETC_INC_000195,FWC Golden Cryro Set,Conjunto FWC Dourado Cryro 
PROPITEMETC_INC_000196,FWC Golden Cyrent Set,Conjunto FWC Dourado Cyrent 
PROPITEMETC_INC_000197,FWC Golden Forrben Set,Conjunto FWC Dourado Forrben 
PROPITEMETC_INC_000198,FWC Golden Forrain Set,Conjunto FWC Dourado Forrain 
PROPITEMETC_INC_000199,FWC Golden Naneon Set,Conjunto FWC Dourado Naneon 
PROPITEMETC_INC_000200,FWC Golden Nanex Set,Conjunto FWC Dourado Nanex 
PROPITEMETC_INC_000201,FWC Golden Vizes Set,Conjunto FWC Dourado Vizes 
PROPITEMETC_INC_000202,FWC Golden Vizith Set,Conjunto FWC Dourado Vizith 
PROPITEMETC_INC_000203,FWC Golden Keinos Set,Conjunto FWC Dourado Keinos 
PROPITEMETC_INC_000204,FWC Golden Keisan Set,Conjunto FWC Dourado Keisan 
PROPITEMETC_INC_000205,FWC Golden Ouken Set,Conjunto FWC Dourado Ouken 
PROPITEMETC_INC_000206,FWC Golden Oukest Set,Conjunto FWC Dourado Oukest 
PROPITEMETC_INC_000207,FWC Golden Peinn Set,Conjunto FWC Dourado Peinn 
PROPITEMETC_INC_000208,FWC Golden Penel Set,Conjunto FWC Dourado Penel 
PROPITEMETC_INC_000209,FWC Golden Quinox Set,Conjunto FWC Dourado Quinox 
PROPITEMETC_INC_000210,FWC Golden Quition Set,Conjunto FWC Dourado Quition 
PROPITEMETC_INC_000211,Warbringer's Set,Conjunto do Conquistador
PROPITEMETC_INC_000212,Sentinel's Set,Conjunto do Sentinela
PROPITEMETC_INC_000213,Spellweaver's Set,Conjunto do Feiticeiro
PROPITEMETC_INC_000214,Hawkeye's Set,Conjunto do Olhar-Falcão
PROPITEMETC_INC_000215,Champion's Set,Conjunto do Campeão
PROPITEMETC_INC_000216,Defender's Set,Conjunto do Defensor
PROPITEMETC_INC_000217,Adept's Set,Conjunto do Adepto
PROPITEMETC_INC_000218,Marksman's Set,Conjunto do Atirador
PROPITEMETC_INC_000288,Manebound Set,Conjunto Juba do Destino
PROPITEMETC_INC_000289,Manetress Set,Conjunto Senhora das Jubas
PROPITEMETC_INC_000290,Lycanith Set,Conjunto Licantídeo
PROPITEMETC_INC_000291,Lyceris Set,Conjunto Licéris
PROPITEMETC_INC_000292,Wingwalker Set,Conjunto Andarilho Alado
PROPITEMETC_INC_000293,Wingwander Set,Conjunto Errante Alado
PROPITEMETC_INC_000294,Fennith Set,Conjunto Fennith
PROPITEMETC_INC_000295,Fennia Set,Conjunto Fennia
PROPITEMETC_INC_000296,Luminis Set,Conjunto Luminis
PROPITEMETC_INC_000297,Luminia Set,Conjunto Luminia
PROPITEMETC_INC_000298,Tigraknar Set,Conjunto Tigraknar
PROPITEMETC_INC_000299,Tigressa Set,Conjunto Tigressa
PROPITEMETC_INC_000300,Primamind Set,Conjunto Mente Prima
PROPITEMETC_INC_000301,Primalix Set,Conjunto Primalix
PROPITEMETC_INC_000302,Drakorin Set,Conjunto Drakorin
PROPITEMETC_INC_000303,Drakoria Set,Conjunto Drakoria
PROPITEMETC_INC_000304,Bileire Set,Conjunto Bileire
PROPITEMETC_INC_000305,Bilari Set,Conjunto Bilari
PROPITEMETC_INC_000306,Heraud Set,Conjunto Heraud
PROPITEMETC_INC_000307,Herainn Set,Conjunto Herainn
PROPITEMETC_INC_000308,Curio Set,Conjunto Curio
PROPITEMETC_INC_000309,Curena Set,Conjunto Curena
PROPITEMETC_INC_000310,Hainure Set,Conjunto Hainure
PROPITEMETC_INC_000311,Hanira Set,Conjunto Hanira
PROPITEMETC_INC_000312,Reine Set,Conjunto Reine
PROPITEMETC_INC_000313,Rayne Set,Conjunto Rayne
PROPITEMETC_INC_000314,Roenier Set,Conjunto Roenier
PROPITEMETC_INC_000315,Roelayne Set,Conjunto Roelayne
PROPITEMETC_INC_000316,Reffiro Set,Conjunto Reffiro
PROPITEMETC_INC_000317,Rephira Set,Conjunto Rephira
PROPITEMETC_INC_000318,Lippin Set,Conjunto Lippin
PROPITEMETC_INC_000319,Lypine Set,Conjunto Lypine
PROPITEMETC_INC_000320,FWC Golden Bileire Set,Conjunto Golden Bileire FWC
PROPITEMETC_INC_000321,FWC Golden Bilari Set,Conjunto Golden Bilari FWC
PROPITEMETC_INC_000322,FWC Golden Heraud Set,Conjunto Golden Heraud FWC
PROPITEMETC_INC_000323,FWC Golden Herainn Set,Conjunto Golden Herainn FWC
PROPITEMETC_INC_000324,FWC Golden Curio Set,Conjunto Golden Curio FWC
PROPITEMETC_INC_000325,FWC Golden Curena Set,Conjunto Golden Curena FWC
PROPITEMETC_INC_000326,FWC Golden Hainure Set,Conjunto Golden Hainure FWC
PROPITEMETC_INC_000327,FWC Golden Hanira Set,Conjunto Golden Hanira FWC
PROPITEMETC_INC_000328,FWC Golden Reine Set,Conjunto Golden Reine FWC
PROPITEMETC_INC_000329,FWC Golden Rayne Set,Conjunto Golden Rayne FWC
PROPITEMETC_INC_000330,FWC Golden Roenier Set,Conjunto Golden Roenier FWC
PROPITEMETC_INC_000331,FWC Golden Roelayne Set,Conjunto Golden Roelayne FWC
PROPITEMETC_INC_000332,FWC Golden Reffiro Set,Conjunto Golden Reffiro FWC
PROPITEMETC_INC_000333,FWC Golden Rephira Set,Conjunto Golden Rephira FWC
PROPITEMETC_INC_000334,FWC Golden Lippin Set,Conjunto Golden Lippin FWC
PROPITEMETC_INC_000335,FWC Golden Lypine Set,Conjunto Golden Lypine FWC
PROPITEMETC_INC_000336,FWC 2025 Bloody Death Messenger’s Set (Winners),FWC 2025 Bloody Death Messenger’s Set (Winners)
PROPITEMETC_INC_000337,FWC 2025 Golden Death Messenger’s Set (Finalists),FWC 2025 Golden Death Messenger’s Set (Finalists)
PROPITEMETC_INC_000338,Runthiel Set,Runthiel Set
PROPITEMETC_INC_000339,Runthien Set,Runthien Set
PROPITEMETC_INC_000340,Rethanor Set,Rethanor Set
PROPITEMETC_INC_000341,Rethanar Set,Rethanar Set
PROPITEMETC_INC_000342,Zendric Set,Zendric Set
PROPITEMETC_INC_000343,Zendricar Set,Zendricar Set
PROPITEMETC_INC_000344,Khorviel Set,Khorviel Set
PROPITEMETC_INC_000345,Khorvien Set,Khorvien Set
PROPITEMETC_INC_000346,Zaythor Set,Zaythor Set
PROPITEMETC_INC_000347,Zaythar Set,Zaythar Set
PROPITEMETC_INC_000348,Vornithic Set,Vornithic Set
PROPITEMETC_INC_000349,Vornithicar Set,Vornithicar Set
PROPITEMETC_INC_000350,Dornith Set,Dornith Set
PROPITEMETC_INC_000351,Dornyth Set,Dornyth Set
PROPITEMETC_INC_000352,Quostrel Set,Quostrel Set
PROPITEMETC_INC_000353,Quostren Set,Quostren Set
PROPITEMETC_INC_000354,Chyrelle Set,Chyrelle Set
PROPITEMETC_INC_000355,Chyrella Set,Chyrella Set
PROPITEMETC_INC_000356,Noltrave Set,Noltrave Set
PROPITEMETC_INC_000357,Noltrava Set,Noltrava Set
PROPITEMETC_INC_000358,Frodral Set,Frodral Set
PROPITEMETC_INC_000359,Frodrel Set,Frodrel Set
PROPITEMETC_INC_000360,Treviron Set,Treviron Set
PROPITEMETC_INC_000361,Treviran Set,Treviran Set
PROPITEMETC_INC_000362,Lenvire Set,Lenvire Set
PROPITEMETC_INC_000363,Lenvira Set,Lenvira Set
PROPITEMETC_INC_000364,Ordelin Set,Ordelin Set
PROPITEMETC_INC_000365,Ordelyn Set,Ordelyn Set
PROPITEMETC_INC_000366,Tracien Set,Tracien Set
PROPITEMETC_INC_000367,Tracior Set,Tracior Set
PROPITEMETC_INC_000368,Lorvenic Set,Lorvenic Set
PROPITEMETC_INC_000369,Lorvenicar Set,Lorvenicar Set
PROPITEMETC_INC_000370,Etranor Set,Etranor Set
PROPITEMETC_INC_000371,Etranar Set,Etranar Set
PROPITEMETC_INC_000372,Lyzarel Set,Lyzarel Set
PROPITEMETC_INC_000373,Lyzaren Set,Lyzaren Set
PROPITEMETC_INC_000374,Exiran Set,Exiran Set
PROPITEMETC_INC_000375,Exiren Set,Exiren Set
PROPITEMETC_INC_000376,Haskrel Set,Haskrel Set
PROPITEMETC_INC_000377,Haskren Set,Haskren Set
PROPITEMETC_INC_000378,Kevric Set,Kevric Set
PROPITEMETC_INC_000379,Kevricar Set,Kevricar Set
PROPITEMETC_INC_000380,Brakiven Set,Brakiven Set
PROPITEMETC_INC_000381,Brakivar Set,Brakivar Set
PROPITEMETC_INC_000382,Zorect Set,Zorect Set
PROPITEMETC_INC_000383,Zoracet Set,Zoracet Set
PROPITEMETC_INC_000384,Sholthar Set,Sholthar Set
PROPITEMETC_INC_000385,Sholtharen Set,Sholtharen Set
PROPITEMETC_INC_000386,Ustamel Set,Ustamel Set
PROPITEMETC_INC_000387,Ustamen Set,Ustamen Set
PROPITEMETC_INC_000388,Obbric Set,Obbric Set
PROPITEMETC_INC_000389,Obbricar Set,Obbricar Set
PROPITEMETC_INC_000390,Yrenoth Set,Yrenoth Set
PROPITEMETC_INC_000391,Yrenath Set,Yrenath Set
PROPITEMETC_INC_000392,Vostran Set,Vostran Set
PROPITEMETC_INC_000393,Vostren Set,Vostren Set
PROPITEMETC_INC_000394,Virashon Set,Virashon Set
PROPITEMETC_INC_000395,Verashan Set,Verashan Set
PROPITEMETC_INC_000396,Menicor Set,Menicor Set
PROPITEMETC_INC_000397,Maenicar Set,Maenicar Set
PROPITEMETC_INC_000398,Tremiel Set,Tremiel Set
PROPITEMETC_INC_000399,Tramien Set,Tramien Set
PROPITEMETC_INC_000400,Calthien Set,Calthien Set
PROPITEMETC_INC_000401,Calthior Set,Calthior Set
PROPITEMETC_INC_000402,2026 FWC Golden Virashon Set,2026 FWC Golden Virashon Set
PROPITEMETC_INC_000403,2026 FWC Golden Verashan Set,2026 FWC Golden Verashan Set
PROPITEMETC_INC_000404,2026 FWC Golden Lenvire Set,2026 FWC Golden Lenvire Set
PROPITEMETC_INC_000405,2026 FWC Golden Lenvira Set,2026 FWC Golden Lenvira Set
PROPITEMETC_INC_000406,2026 FWC Golden Kevric Set,2026 FWC Golden Kevric Set
PROPITEMETC_INC_000407,2026 FWC Golden Kevricar Set,2026 FWC Golden Kevricar Set
PROPITEMETC_INC_000408,2026 FWC Golden Chyrelle Set,2026 FWC Golden Chyrelle Set
PROPITEMETC_INC_000409,2026 FWC Golden Chyrella Set,2026 FWC Golden Chyrella Set
PROPITEMETC_INC_000410,2026 FWC Golden Ustamel Set,2026 FWC Golden Ustamel Set
PROPITEMETC_INC_000411,2026 FWC Golden Ustamen Set,2026 FWC Golden Ustamen Set
PROPITEMETC_INC_000412,2026 FWC Golden Etranor Set,2026 FWC Golden Etranor Set
PROPITEMETC_INC_000413,2026 FWC Golden Etranar Set,2026 FWC Golden Etranar Set
PROPITEMETC_INC_000414,2026 FWC Golden Zaythor Set,2026 FWC Golden Zaythor Set
PROPITEMETC_INC_000415,2026 FWC Golden Zaythar Set,2026 FWC Golden Zaythar Set
PROPITEMETC_INC_000416,2026 FWC Golden Runthiel Set,2026 FWC Golden Runthiel Set
PROPITEMETC_INC_000417,2026 FWC Golden Runthien Set,2026 FWC Golden Runthien Set
PROPITEMETC_INC_000418,Celestial Phoenix Orange Set,Celestial Phoenix Orange Set
PROPITEMETC_INC_000419,Celestial Phoenix Purple Set,Celestial Phoenix Purple Set
PROPITEMETC_INC_000420,Celestial Phoenix Green Set,Celestial Phoenix Green Set
PROPITEMETC_INC_000421,Celestial Phoenix Cyan Set,Celestial Phoenix Cyan Set
PROPITEMETC_INC_000422,Celestial Phoenix Blue Set,Celestial Phoenix Blue Set
PROPITEMETC_INC_000423,Celestial Phoenix Amethyst Set,Celestial Phoenix Amethyst Set
PROPITEMETC_INC_000424,Celestial Phoenix Magenta Set,Celestial Phoenix Magenta Set
PROPITEMETC_INC_000425,Celestial Phoenix Gold Set,Celestial Phoenix Gold Set
PROPITEMETC_INC_000426,Primordial Runthiel Set,Primordial Runthiel Set
PROPITEMETC_INC_000427,Primordial Runthien Set,Primordial Runthien Set
PROPITEMETC_INC_000428,Primordial Zaythor Set,Primordial Zaythor Set
PROPITEMETC_INC_000429,Primordial Zaythar Set,Primordial Zaythar Set
PROPITEMETC_INC_000430,Primordial Chyrelle Set,Primordial Chyrelle Set
PROPITEMETC_INC_000431,Primordial Chyrella Set,Primordial Chyrella Set
PROPITEMETC_INC_000432,Primordial Lenvire Set,Primordial Lenvire Set
PROPITEMETC_INC_000433,Primordial Lenvira Set,Primordial Lenvira Set
PROPITEMETC_INC_000434,Primordial Etranor Set,Primordial Etranor Set
PROPITEMETC_INC_000435,Primordial Etranar Set,Primordial Etranar Set
PROPITEMETC_INC_000436,Primordial Kevric Set,Primordial Kevric Set
PROPITEMETC_INC_000437,Primordial Kevricar Set,Primordial Kevricar Set
PROPITEMETC_INC_000438,Primordial Ustamel Set,Primordial Ustamel Set
PROPITEMETC_INC_000439,Primordial Ustamen Set,Primordial Ustamen Set
PROPITEMETC_INC_000440,Primordial Virashon Set,Primordial Virashon Set
PROPITEMETC_INC_000441,Primordial Verashan Set,Primordial Verashan Set
