Key,English,Portuguese
TEXTCLIENT_ADMIN,Admin,Admin
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Game Master
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[Lojista]
TEXTCLIENT_APP_CHAT,Chat Window,Conversa
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,Seu login ou senha é inválido.
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,"Falha na autenticação. Por favor, tente novamente."
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f","Posição: x = %f, y = %f, z = %f, ângulo = %f"
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,Você não pode enviar uma mensagem privada para si mesmo.
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s não existe ou não está conectado.
TEXTCLIENT_APP_NOTICE,Notice,Aviso
TEXTCLIENT_APP_STATUS,Status,Status
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s - Nv. %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,Você não pode usar a habilidade em movimento.
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,Você não pode usar um teleporte enquanto estiver sentado.
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,Você não pode conjurar isto no momento.
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,Não é possível usar durante o voo.
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,Você não pode voar aqui.
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,Você não tem permissão para falar.
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,Você recebeu uma penalidade de %d minutos por excesso de mensagens.
TEXTCLIENT_APP_MOTION,Emotes,Movimento
TEXTCLIENT_APP_CHARINFO,Character,Personagem
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,Recuperação de %s limitada a %d.
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,"Em tempo de recarga, aguarde."
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,Pressione Ressurgir para ressuscitar na cidade mais próxima ou use um item para ressuscitar neste mesmo lugar.
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,Pressione Ressurgir para ressuscitar próximo à Arena.
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,Você não pode atacar um monstro que esteja lutando contra outro jogador.
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,Você não pode sair durante um combate.
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,Seu nível aumentou! Você pode distribuir pontos de atributos na janela do personagem.
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,Parabéns! Seu nível aumentou!
TEXTCLIENT_CHARSTATUS_APPLY_Q,Do you want to use the current Stat setup?,Confirmar a distribuição de atributos atual?
TEXTCLIENT_CHARSTATUS_FIRSTJOB,Your stat values will reset after your 1st job change.,Seus atributos reiniciam após a 1ª mudança de classe.
TEXTCLIENT_BATTLEPASS_REQUIRED,This feature is only available with the Extended Flyff Pass or Hero Quest.,Este recurso está disponível apenas com o Passe de Batalha Estendido.
TEXTCLIENT_STATPAGE_COOLDOWN,You can swap stat pages in %d seconds.,Você pode alternar entre as páginas de atributos a cada %d segundos.
TEXTCLIENT_ADMIN_STATE,Status,Status
TEXTCLIENT_ADMIN_NORMAL,Normal,Normal
TEXTCLIENT_SPEED_VERYSLOW,Very slow,Muito lento
TEXTCLIENT_SPEED_LOW,Slow,Lento
TEXTCLIENT_SPEED_NORMAL,Normal,Normal
TEXTCLIENT_SPEED_FAST,Fast,Rápido
TEXTCLIENT_SPEED_VERYFAST,Very fast,Muito rápido
TEXTCLIENT_SPEED_FASTEST,Fastest,O Mais Rápido
TEXTCLIENT_ITEMPRIORITY,The %s belongs to another player at the moment. Please wait a while.,"No momento, %s pertence a outro jogador. Aguarde."
TEXTCLIENT_LACKSPACE,Inventory is full. Please make room and try again.,Não há espaço em seu inventário.
TEXTCLIENT_REAPITEM,You received %s.,Você recebeu %s.
TEXTCLIENT_REAPITEM_UPGRADE,You received %s +%d.,Você recebeu %s +%d.
TEXTCLIENT_TROUPEREAPITEM,%s has gained %s.,%s recebeu %s.
TEXTCLIENT_APP_INVENTORY,Inventory,Inventário
TEXTCLIENT_REAPMONEY,You received %s Penya (Total: %s Penya).,Você recebeu %s Penya(s) [Penya Total: %s].
TEXTCLIENT_ERROR_SEX,%s is not for your gender.,%s não é adequado para seu sexo.
TEXTCLIENT_ERROR_JOB,You cannot equip the %s. Requirements not met.,Você não pode equipar %s. Requisitos não atendidos.
TEXTCLIENT_ERROR_LEVEL,You cannot equip this item because your level is too low. (Req Lev: %d),Você não pode equipar este item porque seu nível é muito baixo. (Nível Requerido: %d)
TEXTCLIENT_ERROR_UNDESTRUCTABLE,You can not discard this item.,Você não pode descartar esse item.
TEXTCLIENT_ERROR_USINGITEM,You are already using this item.,You are already using this item.
TEXTCLIENT_SUCCESSREMOVEITEM,Number of %s deleted: %d.,Número de %s excluídos: %d.
TEXTCLIENT_NOTARGET,"Cannot attack, no monster targeted.",Não é possível atacar. Nenhum alvo válido selecionado.
TEXTCLIENT_NOTUSE,You cannot use this yet.,Você ainda não pode utilizar isso.
TEXTCLIENT_ERROR_NOTLEVEL,Your level is too low.,Seu nível é muito baixo.
TEXTCLIENT_BLOCK_PM,%s is in the 'Refuse to Whisper/Messenger' setting.,"%s está no modo ""Recusar Sussurros/Mensagens""."
TEXTCLIENT_YETTRADE,That player is currently busy. Please try again after few minutes.,O jogador está ocupado. Espere alguns minutos e tente novamente.
TEXTCLIENT_ITEMNOTUSE_TRADING,You cannot use items while trading.,Você não pode utilizar um item durante uma negociação.
TEXTCLIENT_REDCHIP,Red Chip,Chip Vermelho
TEXTCLIENT_ERROR_EQUIPTRADE,Please unequip the item before selling it.,Desequipe o item antes de vendê-lo.
TEXTCLIENT_ERROR_NPCBUFFLEVEL,Only level %d~%d character can get buffs.,Somente personagens do nível %d ao %d podem receber buffs.
TEXTCLIENT_ERROR_NPCBUFFFAIL,You cannot use %s right now.,Você não pode usar %s agora.
TEXTCLIENT_LEVEL15JOB,Now it's time to choose your job.,Agora você pode escolher sua classe.
TEXTCLIENT_CHANGEJOB,Congratulations! You have advanced to the %s job class.,Parabéns! Você avançou para a classe %s.
TEXTCLIENT_APP_SKILL,Skills,Habilidades
TEXTCLIENT_BASESKILLLEVEL,Character Level: %d,Nível do Personagem: %d
TEXTCLIENT_PATTERNUP,You are learning new attack patterns!,Você está aprendendo novos padrões de ataque!
TEXTCLIENT_WRONGITEM,You need to equip the correct weapon or item to use that skill.,Você precisa equipar a Arma ou Item correto para utilizar esta habilidade.
TEXTCLIENT_REQFP,Not enough FP.,Foco insuficiente.
TEXTCLIENT_REQMP,Not enough MP.,Mana insuficiente.
TEXTCLIENT_REQHP,Not enough HP.,HP insuficiente.
TEXTCLIENT_BLOCKTARGETING,This action has been blocked by an obstacle..,Ação bloqueada por um obstáculo.
TEXTCLIENT_SKILLREQUIRED,%s skill level %d is needed.,Requisito: %s nível %d.
TEXTCLIENT_SKILLLEVELUP,%s skill level increased.,O nível da habilidade %s aumentou.
TEXTCLIENT_APP_PRIVATE_SHOP,Private Shop,Loja pessoal
TEXTCLIENT_APP_QUEST,Quests,Quests
TEXTCLIENT_APP_CASH_SHOP,Flyff Shop,Loja Flyff
TEXTCLIENT_PREMIUM_ITEMS,Premium Items,Itens especiais
TEXTCLIENT_COMMUNICATION,Communication,Comunicação
TEXTCLIENT_COMMUNITY,Community,Comunidade
TEXTCLIENT_HELPER,Helper,Ajuda
TEXTCLIENT_APP_ITEM_DURATION,Duration,Duração
TEXTCLIENT_APP_MESSENGER,Messenger,Mensageiro
TEXTCLIENT_APP_PARTY,Party,Grupo
TEXTCLIENT_APP_GUILD,Guild,Guilda
TEXTCLIENT_APP_COUPLE,Couple,Couple
TEXTCLIENT_APP_HELP,Help,Ajuda
TEXTCLIENT_APP_HELP_TIPS,Tips,Dicas
TEXTCLIENT_APP_FAQ,FAQ,Perguntas Frequentes
TEXTCLIENT_APP_FITTINGROOM,Fitting Room,Provador de Trajes
TEXTCLIENT_APP_HELP_WIKI,Wiki Help,Wiki
TEXTCLIENT_APP_INFO_PANG,Info-Pang,Info-Pang
TEXTCLIENT_GUILDCOMBAT_CANNOT_PARTY,You cannot make a party in the Guild Siege arena.,Você não pode criar um Grupo na arena da Batalha de Guildas.
TEXTCLIENT_PPVP_ADD_PARTY,You cannot invite another character to join the party during party PvP.,Você não pode convidar outro personagem para entrar no grupo durante um PvP entre grupos.
TEXTCLIENT_DUEL_ADD_PARTY,You cannot join the party during duel.,Você não pode entrar em um grupo durante um duelo.
TEXTCLIENT_DUEL_ADD_GUILD,You cannot join the guild during duel.,Você não pode entrar em uma guilda durante um duelo.
TEXTCLIENT_BATTLE_NOTPARTY,You cannot invite others to join your party during a battle.,Você não pode convidar outros para se juntarem ao seu grupo durante uma batalha.
TEXTCLIENT_PARTYINVITE_DIFFERENTSERVER,Cannot invite a player from a different channel.,Não é possível convidar um jogador de outro canal.
TEXTCLIENT_PARTYOTHER,%s is currently in another party.,%s está atualmente em outro grupo.
TEXTCLIENT_PARTYEXISTCHR,%s is already in your party.,%s já está no seu grupo.
TEXTCLIENT_DIFFERENTPARTY,Player cannot join the party.,O jogador não pode se juntar ao grupo.
TEXTCLIENT_PARTYFAILINVITATE,%s has refused to join the party.,%s recusou o convite para entrar no grupo.
TEXTCLIENT_PARTYDENY,%s is currently not accepting Party Invitations,"%s está no modo ""Recusar convite para grupo""."
TEXTCLIENT_PARTYNOINVATE,Only the party leader can invite new members.,Apenas o líder do grupo pode convidar novos membros.
TEXTCLIENT_PARTYFULL,The maximum party limit of 8 players has already been reached.,O limite máximo de 8 jogadores no grupo já foi atingido.
TEXTCLIENT_PARTYFAILENTER,You have failed to join the party.,Você não conseguiu se juntar ao grupo.
TEXTCLIENT_GUILDFAILENTER,You have failed to join the guild.,Você falhou em entrar na guilda.
TEXTCLIENT_PARTYCREATE,Party has been created.,O grupo foi criado.
TEXTCLIENT_PARTYJOIN,%s has joined the party.,%s entrou no grupo.
TEXTCLIENT_PARTYREMOVE,%s has left the party.,%s deixou o grupo.
TEXTCLIENT_PARTYEXIT,You have left the party.,Você deixou o grupo.
TEXTCLIENT_PARTYDESTROY,Party has been disbanded.,O grupo foi separado.
TEXTCLIENT_LODELIGHT,You have chosen the Lodelight as your re-spawn point.,Você escolheu o Lodelight como seu ponto de ressurgimento.
TEXTCLIENT_PARTY_ISNOTMASTER,Only the Party Leader is able to transfer the Leader Status to another member of the party.,Apenas o Líder do Grupo pode transferir a Liderança para outro membro do grupo.
TEXTCLIENT_PARTY_MASTERAWAY,You cannot pass party leadership to an offline player.,Você não pode entregar a liderança do grupo para um jogador que está desconectado.
TEXTCLIENT_PARTY_ALREADYMASTER,You are already the Party Leader.,Você já é o Líder do Grupo.
TEXTCLIENT_PARTY_LEADERNOCHANGEPK,Unable to change the party leader during a party duel.,Não é possível mudar o líder do grupo durante um duelo de grupos.
TEXTCLIENT_PARTY_TROUPEUP,Party level increased to 10.,O grupo atingiu o nível 10.
TEXTCLIENT_PARTY_LEVELUP,Party level increased.,O grupo subiu de nível.
TEXTCLIENT_PARTY_NAMEINUSE,That party name is already in use. Please choose another one.,"Este nome de grupo já está em uso. Por favor, escolha outro."
TEXTCLIENT_PARTY_INVALIDNAME,This party name contains unauthorized characters or words.,O nome do grupo contém palavras ou caracteres não autorizadas.
TEXTCLIENT_ERROR,Error,Erro
TEXTCLIENT_PARTY_CHANGE,The party has been changed to an Advanced Party.,Seu grupo se tornou um Grupo Avançado.
TEXTCLIENT_PARTY_NAMECHANGED,Party name has been changed to %s.,Agora seu grupo é chamado de %s.
TEXTCLIENT_PARTYSKILL_LEADER,Only the party leader can use party skills.,Somente o líder do grupo pode ativar as habilidades do grupo.
TEXTCLIENT_PARTYSKILL_REQLEVEL,Your party does not have the required level.,Seu grupo não possui o nível requerido.
TEXTCLIENT_PARTYSKILL_POINTS,Cannot use skill. Insufficient party experience.,Não é possível utilizar a habilidade. Experiência do grupo insuficiente.
TEXTCLIENT_PARTYSKILL_NOTTIME,You are still using the %s party skill. Try again later.,Você ainda está utilizando a habilidade do grupo %s. Tente novamente mais tarde.
TEXTCLIENT_PARTYSKILL_USE,The party skill %s has been used.,A habilidade %s está sendo utilizada pelo grupo.
TEXTCLIENT_PARTYSKILL_STOP,The effect of %s has ended.,O efeito da habilidade de grupo %s está acabando.
TEXTCLIENT_ACR_FAME01,Rogue,Trapaceiro
TEXTCLIENT_ACR_FAME02,Outlaw,Fora da Lei
TEXTCLIENT_ACR_FAME03,Vigilante,Vigilante
TEXTCLIENT_ACR_FAME04,Pathfinder,Descobridor
TEXTCLIENT_ACR_FAME05,Pursuer,Perseguidor
TEXTCLIENT_ACR_FAME06,Hejerdor,Especialista
TEXTCLIENT_ACR_FAME07,Phoenix,Fênix
TEXTCLIENT_ACR_FAME08,Splitter,Estilhaçador
TEXTCLIENT_ACR_FAME09,Valcan,Harlequinn
TEXTCLIENT_ACR_FAME10,Lamia,Relíquia de Guerra
TEXTCLIENT_MER_FAME01,Trainer,Recruta
TEXTCLIENT_MER_FAME02,Fighter,Lutador
TEXTCLIENT_MER_FAME03,Gladiator,Gladiador
TEXTCLIENT_MER_FAME04,Berserker,Frenético
TEXTCLIENT_MER_FAME05,Wardancer,Espadachim
TEXTCLIENT_MER_FAME06,Blaster,Destruidor
TEXTCLIENT_MER_FAME07,Eraser,Assassino
TEXTCLIENT_MER_FAME08,Champion,Campeão
TEXTCLIENT_MER_FAME09,Warrior,Guerreiro
TEXTCLIENT_MER_FAME10,Bearcat,Aniquilador
TEXTCLIENT_MAG_FAME01,Apprentice,Aprendiz
TEXTCLIENT_MAG_FAME02,Mage,Mago
TEXTCLIENT_MAG_FAME03,War Mage,Mago de Guerra
TEXTCLIENT_MAG_FAME04,Grand Mage,Mago Imponente
TEXTCLIENT_MAG_FAME05,Arch Mage,Arquimago
TEXTCLIENT_MAG_FAME06,Sorcerer,Feiticeiro
TEXTCLIENT_MAG_FAME07,Warlock,Bruxo
TEXTCLIENT_MAG_FAME08,Sage,Sábio
TEXTCLIENT_MAG_FAME09,Arch Sage,Astuto
TEXTCLIENT_MAG_FAME10,Elder,Ancião
TEXTCLIENT_ASS_FAME01,Protector,Protetor
TEXTCLIENT_ASS_FAME02,Guardian,Guardião
TEXTCLIENT_ASS_FAME03,Knight,Cavaleiro
TEXTCLIENT_ASS_FAME04,Paladin,Paladino
TEXTCLIENT_ASS_FAME05,Crusader,Cruzador
TEXTCLIENT_ASS_FAME06,Crusader,Cruzador
TEXTCLIENT_ASS_FAME07,Chaplain,Capelão
TEXTCLIENT_ASS_FAME08,Luminary,Erudito
TEXTCLIENT_ASS_FAME09,Prophet,Profeta
TEXTCLIENT_ASS_FAME10,Oracle,Oráculo
TEXTCLIENT_ALREADYFRIEND,That player is already in your friends list.,O jogador já está na sua lista de amigos.
TEXTCLIENT_MSGINVATE,You have asked for permission to add %s to your messenger.,Você enviou um pedido de amizade para %s.
TEXTCLIENT_GUILDCOMBAT_CANNOT_FRIENDADD,You cannot add friends in the Guild Siege arena.,Você não pode adicionar amigos na arena de Batalha de Guildas.
TEXTCLIENT_BATTLE_NOTFRIEND,You cannot add someone to your friends list while dueling.,Você não pode adicionar alguém à sua lista de amigos durante um duelo.
TEXTCLIENT_MSGDENYINVATE,Invitation has been refused.,O pedido foi recusado.
TEXTCLIENT_MSGDENY,%s is in the 'Refuse Messenger' setting.,"%s está no modo ""Recusar pedidos de amizade""."
TEXTCLIENT_MSGMAXUSER,The maximum number of players that can be registered into the messenger is 200.,O número máximo de jogadores que podem ser registrados na lista de amigos é 200.
TEXTCLIENT_MSGINVATECOM,%s has added you to their Messenger.,%s te adicionou como amigo.
TEXTCLIENT_NOTLOGIN,That player is offline.,Este jogador está desconectado.
TEXTCLIENT_MSGBLOCKCHR,"Failure to send message, %s is blocked.",Falha ao enviar a mensagem. %s está bloqueado.
TEXTCLIENT_MESSNEWNOTE,You have %d new message(s).,%d nova mensagem(ns) chegou.
TEXTCLIENT_MESSFULLNOTE,Your message cannot be sent. The receiving inbox may be full.,Sua mensagem não pôde ser enviada. A caixa de entrada do receptor pode estar cheia.
TEXTCLIENT_MESSNOTE,You sent the memo.,Você enviou o memorando.
TEXTCLIENT_MAILRECEIVE,You have received new mail!,Você recebeu uma nova correspondência!
TEXTCLIENT_CANT_SHOUT_BELOW_20,Characters under Level %d cannot shout.,Personagens abaixo do nível %d não podem gritar.
TEXTCLIENT_NOPARTY,Party does not exist.,O Grupo não existe.
TEXTCLIENT_NOGUILD,Guild does not exist.,A Guilda não existe.
TEXTCLIENT_WHISPERAGREE,Private messages allowed,Mensagens privadas permitidas
TEXTCLIENT_WHISPERREFUSE,Private messages refused,Mensagens privadas recusadas
TEXTCLIENT_MSGERAGREE,Messenger allowed,Mensageiro permitido
TEXTCLIENT_MSGERREFUSE,Messenger refused,Mensageiro recusado
TEXTCLIENT_STAGEAGREE,Party & guild invites allowed,Convites para Grupo & Guilda permitidos
TEXTCLIENT_STAGEREFUSE,Party & guild invites refused,Pedidos para Grupo & Guilda recusados
TEXTCLIENT_CONNAGREE,Post connection status,Enviar status de conexão
TEXTCLIENT_CONNREFUSE,Do not post connection status.,Não enviar status de conexão.
TEXTCLIENT_FULL_BLOCKED_USER_LIST,Ignore List is full. Please unignore some characters or relog to reset your Ignore List.,"A Lista de Ignorados está cheia. Por favor, deixe de ignorar alguns personagens ou conecte-se novamente para redefinir a lista."
TEXTCLIENT_MY_CHARACTER_CANT_BLOCK,You shouldn't ignore yourself. You might have something important to say!,Você não deve ignorar a si mesmo. Você pode ter algo importante a dizer!
TEXTCLIENT_ALREADY_BLOCKED,That character is already on your Ignore List.,Este jogador já está na sua lista de ignorados.
TEXTCLIENT_USER_CHATTING_BLOCKING,%s has been ignored. Type /unignore <NAME> to remove them from your Ignore List.,%s agora está sendo ignorado(a). Escreva /unignore NOME para removê-lo(a) da sua Lista de Ignorados.
TEXTCLIENT_USER_CHATTING_UNBLOCKING,%s is now unignored.,%s não está mais sendo ignorado(a).
TEXTCLIENT_THERE_IS_NO_BLOCKED_TARGET,That character is not on your Ignore List.,Este jogador não está na sua lista de ignorados.
TEXTCLIENT_EQUIPPUT,Please unequip the item first.,"Por favor, primeiro desequipe o item."
TEXTCLIENT_CHARGED_NOTUSE,You can not use the premium items.,Você não pode usar os itens especiais.
TEXTCLIENT_MSGSELFSENDERERROR,"You cannot send a message to yourself, silly.",Você não pode enviar uma mensagem para você mesmo.
TEXTCLIENT_MAILBOX_FULL,%s's mail box is full.,A caixa de entrada de %s está cheia.
TEXTCLIENT_LACKMONEY,You do not have enough Penya.,Você não possui Penyas suficientes.
TEXTCLIENT_CANNOTPOST,You cannot send this item.,Você não pode enviar esse item.
TEXTCLIENT_MAIL_UNKNOWN,Unknown user,Usuário desconhecido
TEXTCLIENT_POST_ERROR,You have failed to send.,Houve falha no envio.
TEXTCLIENT_MAIL_SEND_OK,Your mail has been sent successfully.,Correspondência enviada com sucesso!
TEXTCLIENT_ERROR_RETRY,"An error occured, please retry the operation.","Ocorreu um erro, por favor tente novamente."
TEXTCLIENT_REALTIME,Real Time - %s,Horário Real - %s
TEXTCLIENT_MADRIGALTIME,Madrigal Time - %s,Horário de Madrigal - %s
TEXTCLIENT_NEW_QUEST,New Quest,Nova Quest
TEXTCLIENT_CURRENT_QUEST,Quests in Progress,Quest em progresso
TEXTCLIENT_STARTQUEST,You've received the quest: %s. Open your Quest Window for details.,A quest %s começou. Abra sua Janela de Quests para mais detalhes.
TEXTCLIENT_REMOVEQUEST,%s quest has been cancelled.,A quest %s foi cancelada.
TEXTCLIENT_QUEST_FAILURE,Quest cancelled.,Quest cancelada.
TEXTCLIENT_NOTPLAYSERVER,This channel is not available. Please select another.,Este canal não está disponível. Insira outro.
TEXTCLIENT_PK_NO_FLIGHTAREA,Flying is forbidden inside.,É proibido voar no interior.
TEXTCLIENT_ITEMBOX_MESSAGE1,You need %s item to open it.,Você precisa do item %s para abrir.
TEXTCLIENT_ITEMBOX_MESSAGE2,"Wrong level, unable to open itembox.",Nível incorreto. Não é possível abrir a caixa de item.
TEXTCLIENT_ITEMBOX_MESSAGE3,"Wrong sex, unable to open itembox.",Sexo incorreto. Não é possível abrir a caixa de item.
TEXTCLIENT_ITEMBOX_MESSAGE4,You need to be on the %s quest to open it.,Você precisa estar na quest %s para poder abrir.
TEXTCLIENT_ITEMBOX_MESSAGE5,"Wrong job, unable to open itembox.",Classe incorreta. Não é possível abrir a caixa de item.
TEXTCLIENT_QUEST_NOINVENTORYSPACE,Unable to complete quest. Not enough room in your inventory.,Não é possível completar a quest. Não há espaço suficiente no seu inventário.
TEXTCLIENT_REAPEXP,You have gained Experience.,Você ganhou Experiência.
TEXTCLIENT_ENDQUEST,Congratulations! %s has been completed.,Parabéns! %s foi completado.
TEXTCLIENT_PARTYQUEST_NOTJOIN,"If a member of party is over level %d, he cannot enter.","Se algum membro do grupo estiver acima do nível %d, ele não poderá entrar."
TEXTCLIENT_ERROR_DONTCHECK,You cannot check that anymore.,Já não é possível verificar.
TEXTCLIENT_COMACCEPT,You have joined the %s guild.,Você se juntou à guilda %s.
TEXTCLIENT_COMLEAVE,You are no longer a member of the %s guild.,Você não é mais um membro da guilda %s.
TEXTCLIENT_GUILDWARERRORLOGO,You cannot change your guild logo during a guild duel.,Você não pode alterar a logo da sua guilda durante um duelo de guildas.
TEXTCLIENT_GUILDWARERRORNAME,You cannot change your guild name during a guild duel.,Você não pode alterar o nome da sua guilda durante um duelo de guildas.
TEXTCLIENT_GUILDNOTICEUPDATE,A new Guild Notice has been posted. Please check it in the guild window.,"Um novo Aviso da Guilda foi publicado. Por favor, cheque na janela de guilda."
TEXTCLIENT_GUILD_NAMEINUSE,That guild name is already in use. Please choose another one.,"Este nome de guilda já está sendo usado. Por favor, escolha outro."
TEXTCLIENT_GUILD_INVALIDNAME,This guild name contains unauthorized characters or words.,Este nome de guilda contém caracteres ou palavras não autorizadas.
TEXTCLIENT_GUILDCHANGENAME,%s guild has changed their name to %s.,A guilda %s mudou o nome para %s.
TEXTCLIENT_GUILDWARNODISMISS,You cannot disband your guild during a guild duel.,Você não pode separar sua guilda durante um duelo de guildas.
TEXTCLIENT_GUILDSALARYCHANGED,Salary for each title has been changed.,O salário de cada título foi alterado.
TEXTCLIENT_GUILDPOWERCHANGED,Authority for each title has been changed.,A autoridade de cada título foi alterada.
TEXTCLIENT_GUILDWARNOMEMBER,Unable to use the member management function during a guild duel.,Não é possível utilizar a função de gerenciamento de membros durante um duelo de guildas.
TEXTCLIENT_GUILDMEMBER_PROMOTED,%s has been promoted.,%s foi promovido(a).
TEXTCLIENT_GUILDMEMBER_DEMOTED,%s has been demoted.,%s foi rebaixado(a).
TEXTCLIENT_GUILD_TRANSFERLEADER,%s has become the guild master.,%s se tornou o mestre da guilda.
TEXTCLIENT_GUILD_MEMBERLEAVE,%s has left the guild.,%s deixou a guilda.
TEXTCLIENT_COMACCEPTHAVECOM,%s is already in a guild.,%s está em uma guilda.
TEXTCLIENT_BATTLE_NOTGUILD,You cannot invite others to join your guild during a battle.,Você não pode convidar outros para se juntarem à sua guilda durante uma batalha.
TEXTCLIENT_COMACCEPTKINGPIN,You invited %s to your guild.,Você convidou %s à sua guilda.
TEXTCLIENT_GUILDCHROFFLINE,The character you invited is offline.,O personagem que você convidou está off-line.
TEXTCLIENT_GUILDNOTINCLUDE,You have to wait 2 days before joining another guild.,Você tem que esperar 2 dias para poder entrar em outra guilda
TEXTCLIENT_GUILDFAILINVITATE,%s has refused to join the guild.,%s não deseja entrar na guilda.
TEXTCLIENT_COMNOEXCOM,That guild does not exist.,A guilda não existe.
