Key,English
ACHIEVEMENT_KILL_WATANGKA_NAME,Watangka
ACHIEVEMENT_KILL_FAFNIR_NAME,Fafnir
ACHIEVEMENT_KILL_ANTIQUERY_NAME,Antiquery
ACHIEVEMENT_KILL_LUIA_NAME,Luia
ACHIEVEMENT_KILL_GONGURY_NAME,Gongury
ACHIEVEMENT_KILL_SHUHAMMA_NAME,Shuhamma
ACHIEVEMENT_KILL_KERN_NAME,Kern
ACHIEVEMENT_KILL_GORRUDA_NAME,Gorruda
ACHIEVEMENT_KILL_GLAPHAN_NAME,Glaphan
ACHIEVEMENT_KILL_KIMERADON_NAME,Chimeradon
ACHIEVEMENT_KILL_BEARNUCKY_NAME,Bearnerky
ACHIEVEMENT_KILL_MUFFRIN_NAME,Muffrin
ACHIEVEMENT_KILL_POPCRANK_NAME,Popcrank
ACHIEVEMENT_KILL_CLOCKWORKS_NAME,Clockworks
ACHIEVEMENT_KILL_METEONYKER_NAME,Meteonyker
ACHIEVEMENT_KILL_MEDUMET_NAME,Medumet
ACHIEVEMENT_KILL_YETTI_NAME,Yetti
ACHIEVEMENT_KILL_AUGU_NAME,Augu
ACHIEVEMENT_KILL_GHOSTKING_NAME,Ghost King
ACHIEVEMENT_KILL_MAMMOTH_NAME,Mammoth
ACHIEVEMENT_KILL_ATROX_NAME,Atrox
ACHIEVEMENT_KILL_TIGAR_NAME,Tigar
ACHIEVEMENT_KILL_MERAL_NAME,Meral
ACHIEVEMENT_KILL_KINGSTER_NAME,Kingster
ACHIEVEMENT_KILL_CREPER_NAME,Creper
ACHIEVEMENT_KILL_NAGA_NAME,Naga
ACHIEVEMENT_KILL_DORIAN_NAME,Dorian
ACHIEVEMENT_KILL_OKEAN_NAME,Okean
ACHIEVEMENT_KILL_KRAKEN_NAME,Kraken
ACHIEVEMENT_KILL_DREADFIN_NAME,Dreadfin
ACHIEVEMENT_KILL_DREADSCALE_NAME,Dreadscale
ACHIEVEMENT_KILL_LUMINFIN_NAME,Luminfin
ACHIEVEMENT_KILL_REDMETEONYKER_NAME,Red Meteonyker
ACHIEVEMENT_KILL_CAVEMANCHIEF_NAME,Caveman Chief
ACHIEVEMENT_KILL_TEMPLEGUARDIAN_NAME,Temple Guardian
ACHIEVEMENT_KILL_GREATKRAKEN_NAME,Great Kraken
ACHIEVEMENT_KILL_PYRAMIDGUARDIAN_NAME,Pyramid Guardian
ACHIEVEMENT_KILL_CRYSTALDEVIL_NAME,Crystal Demon Lord
ACHIEVEMENT_KILL_BEASTKINGKHAN_NAME,Beast King Khan
ACHIEVEMENT_KILL_SHADEKRITON_NAME,[Shade Lieutenant] Kriton
ACHIEVEMENT_KILL_PUPPETWOLF_NAME,Hundur Sharpfoot
ACHIEVEMENT_KILL_RYSENTRY_NAME,Samoset
ACHIEVEMENT_KILL_RYGUARD_NAME,Kyouchish
ACHIEVEMENT_KILL_RYARCHER_NAME,Kanonicus
ACHIEVEMENT_KILL_RYMAGI_NAME,Mage Redcloud
ACHIEVEMENT_KILL_RYWARRIOR_NAME,Taiaha
ACHIEVEMENT_KILL_SKELWOLF_NAME,Hellhound
ACHIEVEMENT_KILL_RYBARGA_NAME,Chief Keokuk
ACHIEVEMENT_KILL_BEHEMOTH03_NAME,[God of Death] Demonic Ankou
ACHIEVEMENT_KILL_AIBATT_LVL1,Aibatt Slayer 1
ACHIEVEMENT_KILL_AIBATT_LVL2,Aibatt Slayer 2
ACHIEVEMENT_KILL_AIBATT_LVL3,Aibatt Slayer 3
ACHIEVEMENT_KILL_AIBATT_LVL4,Aibatt Slayer 4
ACHIEVEMENT_KILL_AIBATT_LVL5,Aibatt Hunter
ACHIEVEMENT_KILL_MUSHPANG_LVL1,Mushpang Slayer 1
ACHIEVEMENT_KILL_MUSHPANG_LVL2,Mushpang Slayer 2
ACHIEVEMENT_KILL_MUSHPANG_LVL3,Mushpang Slayer 3
ACHIEVEMENT_KILL_MUSHPANG_LVL4,Mushpang Slayer 4
ACHIEVEMENT_KILL_MUSHPANG_LVL5,Mushpang Hunter
ACHIEVEMENT_KILL_BURUDENG_LVL1,Burudeng Slayer 1
ACHIEVEMENT_KILL_BURUDENG_LVL2,Burudeng Slayer 2
ACHIEVEMENT_KILL_BURUDENG_LVL3,Burudeng Slayer 3
ACHIEVEMENT_KILL_BURUDENG_LVL4,Burudeng Slayer 4
ACHIEVEMENT_KILL_BURUDENG_LVL5,Burudeng Hunter
ACHIEVEMENT_KILL_PUKEPUKE_LVL1,Pukepuke Slayer 1
ACHIEVEMENT_KILL_PUKEPUKE_LVL2,Pukepuke Slayer 2
ACHIEVEMENT_KILL_PUKEPUKE_LVL3,Pukepuke Slayer 3
ACHIEVEMENT_KILL_PUKEPUKE_LVL4,Pukepuke Slayer 4
ACHIEVEMENT_KILL_PUKEPUKE_LVL5,Pukepuke Hunter
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL1,Peakyturtle Slayer 1
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL2,Peakyturtle Slayer 2
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL3,Peakyturtle Slayer 3
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL4,Peakyturtle Slayer 4
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL5,Peakyturtle Hunter
ACHIEVEMENT_KILL_DEMIAN_LVL1,Demian Slayer 1
ACHIEVEMENT_KILL_DEMIAN_LVL2,Demian Slayer 2
ACHIEVEMENT_KILL_DEMIAN_LVL3,Demian Slayer 3
ACHIEVEMENT_KILL_DEMIAN_LVL4,Demian Slayer 4
ACHIEVEMENT_KILL_DEMIAN_LVL5,Demian Hunter
ACHIEVEMENT_KILL_DORIDOMA_LVL1,Doridoma Slayer 1
ACHIEVEMENT_KILL_DORIDOMA_LVL2,Doridoma Slayer 2
ACHIEVEMENT_KILL_DORIDOMA_LVL3,Doridoma Slayer 3
ACHIEVEMENT_KILL_DORIDOMA_LVL4,Doridoma Slayer 4
ACHIEVEMENT_KILL_DORIDOMA_LVL5,Doridoma Hunter
ACHIEVEMENT_KILL_LAWOLF_LVL1,Lawolf Slayer 1
ACHIEVEMENT_KILL_LAWOLF_LVL2,Lawolf Slayer 2
ACHIEVEMENT_KILL_LAWOLF_LVL3,Lawolf Slayer 3
ACHIEVEMENT_KILL_LAWOLF_LVL4,Lawolf Slayer 4
ACHIEVEMENT_KILL_LAWOLF_LVL5,Lawolf Hunter
ACHIEVEMENT_KILL_FEFERN_LVL1,Fefern Slayer 1
ACHIEVEMENT_KILL_FEFERN_LVL2,Fefern Slayer 2
ACHIEVEMENT_KILL_FEFERN_LVL3,Fefern Slayer 3
ACHIEVEMENT_KILL_FEFERN_LVL4,Fefern Slayer 4
ACHIEVEMENT_KILL_FEFERN_LVL5,Fefern Hunter
ACHIEVEMENT_KILL_NYANGNYANG_LVL1,Nyangnyang Slayer 1
ACHIEVEMENT_KILL_NYANGNYANG_LVL2,Nyangnyang Slayer 2
ACHIEVEMENT_KILL_NYANGNYANG_LVL3,Nyangnyang Slayer 3
ACHIEVEMENT_KILL_NYANGNYANG_LVL4,Nyangnyang Slayer 4
ACHIEVEMENT_KILL_NYANGNYANG_LVL5,Nyangnyang Hunter
ACHIEVEMENT_KILL_BANG_LVL1,Bang Slayer 1
ACHIEVEMENT_KILL_BANG_LVL2,Bang Slayer 2
ACHIEVEMENT_KILL_BANG_LVL3,Bang Slayer 3
ACHIEVEMENT_KILL_BANG_LVL4,Bang Slayer 4
ACHIEVEMENT_KILL_BANG_LVL5,Bang Hunter
ACHIEVEMENT_KILL_MOTHBEE_LVL1,Mothbee Slayer 1
ACHIEVEMENT_KILL_MOTHBEE_LVL2,Mothbee Slayer 2
ACHIEVEMENT_KILL_MOTHBEE_LVL3,Mothbee Slayer 3
ACHIEVEMENT_KILL_MOTHBEE_LVL4,Mothbee Slayer 4
ACHIEVEMENT_KILL_MOTHBEE_LVL5,Mothbee Hunter
ACHIEVEMENT_KILL_WAGSAAC_LVL1,Wagsaac Slayer 1
ACHIEVEMENT_KILL_WAGSAAC_LVL2,Wagsaac Slayer 2
ACHIEVEMENT_KILL_WAGSAAC_LVL3,Wagsaac Slayer 3
ACHIEVEMENT_KILL_WAGSAAC_LVL4,Wagsaac Slayer 4
ACHIEVEMENT_KILL_WAGSAAC_LVL5,Wagsaac Hunter
ACHIEVEMENT_KILL_FLYBAT_LVL1,Flybat Slayer 1
ACHIEVEMENT_KILL_FLYBAT_LVL2,Flybat Slayer 2
ACHIEVEMENT_KILL_FLYBAT_LVL3,Flybat Slayer 3
ACHIEVEMENT_KILL_FLYBAT_LVL4,Flybat Slayer 4
ACHIEVEMENT_KILL_FLYBAT_LVL5,Flybat Hunter
ACHIEVEMENT_KILL_MIA_LVL1,Mia Slayer 1
ACHIEVEMENT_KILL_MIA_LVL2,Mia Slayer 2
ACHIEVEMENT_KILL_MIA_LVL3,Mia Slayer 3
ACHIEVEMENT_KILL_MIA_LVL4,Mia Slayer 4
ACHIEVEMENT_KILL_MIA_LVL5,Mia Hunter
ACHIEVEMENT_KILL_MRPUMPKIN_LVL1,Mr. Pumpkin Slayer 1
ACHIEVEMENT_KILL_MRPUMPKIN_LVL2,Mr. Pumpkin Slayer 2
ACHIEVEMENT_KILL_MRPUMPKIN_LVL3,Mr. Pumpkin Slayer 3
ACHIEVEMENT_KILL_MRPUMPKIN_LVL4,Mr. Pumpkin Slayer 4
ACHIEVEMENT_KILL_MRPUMPKIN_LVL5,Mr. Pumpkin Hunter
ACHIEVEMENT_KILL_REDMANTIS_LVL1,Redmantis Slayer 1
ACHIEVEMENT_KILL_REDMANTIS_LVL2,Redmantis Slayer 2
ACHIEVEMENT_KILL_REDMANTIS_LVL3,Redmantis Slayer 3
ACHIEVEMENT_KILL_REDMANTIS_LVL4,Redmantis Slayer 4
ACHIEVEMENT_KILL_REDMANTIS_LVL5,Redmantis Hunter
ACHIEVEMENT_KILL_ZENDROS_LVL1,Zendros Slayer 1
ACHIEVEMENT_KILL_ZENDROS_LVL2,Zendros Slayer 2
ACHIEVEMENT_KILL_ZENDROS_LVL3,Zendros Slayer 3
ACHIEVEMENT_KILL_ZENDROS_LVL4,Zendros Slayer 4
ACHIEVEMENT_KILL_ZENDROS_LVL5,Zendros Hunter
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL1,Jack the Hammer Slayer 1
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL2,Jack the Hammer Slayer 2
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL3,Jack the Hammer Slayer 3
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL4,Jack the Hammer Slayer 4
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL5,Jack the Hammer Hunter
ACHIEVEMENT_KILL_GIGGLEBOX_LVL1,Giggle Box Slayer 1
ACHIEVEMENT_KILL_GIGGLEBOX_LVL2,Giggle Box Slayer 2
ACHIEVEMENT_KILL_GIGGLEBOX_LVL3,Giggle Box Slayer 3
ACHIEVEMENT_KILL_GIGGLEBOX_LVL4,Giggle Box Slayer 4
ACHIEVEMENT_KILL_GIGGLEBOX_LVL5,Giggle Box Hunter
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL1,Rock Muscle Slayer 1
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL2,Rock Muscle Slayer 2
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL3,Rock Muscle Slayer 3
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL4,Rock Muscle Slayer 4
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL5,Rock Muscle Hunter
ACHIEVEMENT_KILL_BUCROW_LVL1,Bucrow Slayer 1
ACHIEVEMENT_KILL_BUCROW_LVL2,Bucrow Slayer 2
ACHIEVEMENT_KILL_BUCROW_LVL3,Bucrow Slayer 3
ACHIEVEMENT_KILL_BUCROW_LVL4,Bucrow Slayer 4
ACHIEVEMENT_KILL_BUCROW_LVL5,Bucrow Hunter
ACHIEVEMENT_KILL_NEPARUBA_LVL1,Neparuba Slayer 1
ACHIEVEMENT_KILL_NEPARUBA_LVL2,Neparuba Slayer 2
ACHIEVEMENT_KILL_NEPARUBA_LVL3,Neparuba Slayer 3
ACHIEVEMENT_KILL_NEPARUBA_LVL4,Neparuba Slayer 4
ACHIEVEMENT_KILL_NEPARUBA_LVL5,Neparuba Hunter
ACHIEVEMENT_KILL_HOBO_LVL1,Hobo Slayer 1
ACHIEVEMENT_KILL_HOBO_LVL2,Hobo Slayer 2
ACHIEVEMENT_KILL_HOBO_LVL3,Hobo Slayer 3
ACHIEVEMENT_KILL_HOBO_LVL4,Hobo Slayer 4
ACHIEVEMENT_KILL_HOBO_LVL5,Hobo Hunter
ACHIEVEMENT_KILL_DUMBBULL_LVL1,Dumbbull Slayer 1
ACHIEVEMENT_KILL_DUMBBULL_LVL2,Dumbbull Slayer 2
ACHIEVEMENT_KILL_DUMBBULL_LVL3,Dumbbull Slayer 3
ACHIEVEMENT_KILL_DUMBBULL_LVL4,Dumbbull Slayer 4
ACHIEVEMENT_KILL_DUMBBULL_LVL5,Dumbbull Hunter
ACHIEVEMENT_KILL_TOTEMIA_LVL1,Totemia Slayer 1
ACHIEVEMENT_KILL_TOTEMIA_LVL2,Totemia Slayer 2
ACHIEVEMENT_KILL_TOTEMIA_LVL3,Totemia Slayer 3
ACHIEVEMENT_KILL_TOTEMIA_LVL4,Totemia Slayer 4
ACHIEVEMENT_KILL_TOTEMIA_LVL5,Totemia Hunter
ACHIEVEMENT_KILL_CARDPUPPET_LVL1,Cardpuppet Slayer 1
ACHIEVEMENT_KILL_CARDPUPPET_LVL2,Cardpuppet Slayer 2
ACHIEVEMENT_KILL_CARDPUPPET_LVL3,Cardpuppet Slayer 3
ACHIEVEMENT_KILL_CARDPUPPET_LVL4,Cardpuppet Slayer 4
ACHIEVEMENT_KILL_CARDPUPPET_LVL5,Cardpuppet Hunter
ACHIEVEMENT_KILL_FLBYRIGEN_LVL1,Flybrigen Slayer 1
ACHIEVEMENT_KILL_FLBYRIGEN_LVL2,Flybrigen Slayer 2
ACHIEVEMENT_KILL_FLBYRIGEN_LVL3,Flybrigen Slayer 3
ACHIEVEMENT_KILL_FLBYRIGEN_LVL4,Flybrigen Slayer 4
ACHIEVEMENT_KILL_FLBYRIGEN_LVL5,Flybrigen Hunter
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL1,Tombstone Bearer Slayer 1
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL2,Tombstone Bearer Slayer 2
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL3,Tombstone Bearer Slayer 3
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL4,Tombstone Bearer Slayer 4
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL5,Tombstone Bearer Hunter
ACHIEVEMENT_KILL_SCOPICON_LVL1,Scorpicon Slayer 1
ACHIEVEMENT_KILL_SCOPICON_LVL2,Scorpicon Slayer 2
ACHIEVEMENT_KILL_SCOPICON_LVL3,Scorpicon Slayer 3
ACHIEVEMENT_KILL_SCOPICON_LVL4,Scorpicon Slayer 4
ACHIEVEMENT_KILL_SCOPICON_LVL5,Scorpicon Hunter
ACHIEVEMENT_KILL_BASQUE_LVL1,Basque Slayer 1
ACHIEVEMENT_KILL_BASQUE_LVL2,Basque Slayer 2
ACHIEVEMENT_KILL_BASQUE_LVL3,Basque Slayer 3
ACHIEVEMENT_KILL_BASQUE_LVL4,Basque Slayer 4
ACHIEVEMENT_KILL_BASQUE_LVL5,Basque Hunter
ACHIEVEMENT_KILL_PRANKSTER_LVL1,Prankster Slayer 1
ACHIEVEMENT_KILL_PRANKSTER_LVL2,Prankster Slayer 2
ACHIEVEMENT_KILL_PRANKSTER_LVL3,Prankster Slayer 3
ACHIEVEMENT_KILL_PRANKSTER_LVL4,Prankster Slayer 4
ACHIEVEMENT_KILL_PRANKSTER_LVL5,Prankster Hunter
ACHIEVEMENT_KILL_ROCKEPELLER_LVL1,Rockepeller Slayer 1
ACHIEVEMENT_KILL_ROCKEPELLER_LVL2,Rockepeller Slayer 2
ACHIEVEMENT_KILL_ROCKEPELLER_LVL3,Rockepeller Slayer 3
ACHIEVEMENT_KILL_ROCKEPELLER_LVL4,Rockepeller Slayer 4
ACHIEVEMENT_KILL_ROCKEPELLER_LVL5,Rockepeller Hunter
ACHIEVEMENT_KILL_WHEELEM_LVL1,Wheelem Slayer 1
ACHIEVEMENT_KILL_WHEELEM_LVL2,Wheelem Slayer 2
ACHIEVEMENT_KILL_WHEELEM_LVL3,Wheelem Slayer 3
ACHIEVEMENT_KILL_WHEELEM_LVL4,Wheelem Slayer 4
ACHIEVEMENT_KILL_WHEELEM_LVL5,Wheelem Hunter
ACHIEVEMENT_KILL_LEYENA_LVL1,Leyena Slayer 1
ACHIEVEMENT_KILL_LEYENA_LVL2,Leyena Slayer 2
ACHIEVEMENT_KILL_LEYENA_LVL3,Leyena Slayer 3
ACHIEVEMENT_KILL_LEYENA_LVL4,Leyena Slayer 4
ACHIEVEMENT_KILL_LEYENA_LVL5,Leyena Hunter
ACHIEVEMENT_KILL_TRANGFOMA_LVL1,Trangfoma Slayer 1
ACHIEVEMENT_KILL_TRANGFOMA_LVL2,Trangfoma Slayer 2
ACHIEVEMENT_KILL_TRANGFOMA_LVL3,Trangfoma Slayer 3
ACHIEVEMENT_KILL_TRANGFOMA_LVL4,Trangfoma Slayer 4
ACHIEVEMENT_KILL_TRANGFOMA_LVL5,Trangfoma Hunter
ACHIEVEMENT_KILL_STEAMWALKER_LVL1,Steam Walker Slayer 1
ACHIEVEMENT_KILL_STEAMWALKER_LVL2,Steam Walker Slayer 2
ACHIEVEMENT_KILL_STEAMWALKER_LVL3,Steam Walker Slayer 3
ACHIEVEMENT_KILL_STEAMWALKER_LVL4,Steam Walker Slayer 4
ACHIEVEMENT_KILL_STEAMWALKER_LVL5,Steam Walker Hunter
ACHIEVEMENT_KILL_STEELKNIGHT_LVL1,Steel Knight Slayer 1
ACHIEVEMENT_KILL_STEELKNIGHT_LVL2,Steel Knight Slayer 2
ACHIEVEMENT_KILL_STEELKNIGHT_LVL3,Steel Knight Slayer 3
ACHIEVEMENT_KILL_STEELKNIGHT_LVL4,Steel Knight Slayer 4
ACHIEVEMENT_KILL_STEELKNIGHT_LVL5,Steel Knight Hunter
ACHIEVEMENT_KILL_ZOMBIGER_LVL1,Zombiger Slayer 1
ACHIEVEMENT_KILL_ZOMBIGER_LVL2,Zombiger Slayer 2
ACHIEVEMENT_KILL_ZOMBIGER_LVL3,Zombiger Slayer 3
ACHIEVEMENT_KILL_ZOMBIGER_LVL4,Zombiger Slayer 4
ACHIEVEMENT_KILL_ZOMBIGER_LVL5,Zombiger Hunter
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL1,Nuttywheel Slayer 1
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL2,Nuttywheel Slayer 2
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL3,Nuttywheel Slayer 3
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL4,Nuttywheel Slayer 4
ACHIEVEMENT_KILL_NUTTYWHEEL_LVL5,Nuttywheel Hunter
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL1,Nuctuvehicle Slayer 1
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL2,Nuctuvehicle Slayer 2
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL3,Nuctuvehicle Slayer 3
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL4,Nuctuvehicle Slayer 4
ACHIEVEMENT_KILL_NUCTUVEHICLE_LVL5,Nuctuvehicle Hunter
ACHIEVEMENT_KILL_DRILLER_LVL1,Driller Slayer 1
ACHIEVEMENT_KILL_DRILLER_LVL2,Driller Slayer 2
ACHIEVEMENT_KILL_DRILLER_LVL3,Driller Slayer 3
ACHIEVEMENT_KILL_DRILLER_LVL4,Driller Slayer 4
ACHIEVEMENT_KILL_DRILLER_LVL5,Driller Hunter
ACHIEVEMENT_KILL_RISEM_LVL1,Risem Slayer 1
ACHIEVEMENT_KILL_RISEM_LVL2,Risem Slayer 2
ACHIEVEMENT_KILL_RISEM_LVL3,Risem Slayer 3
ACHIEVEMENT_KILL_RISEM_LVL4,Risem Slayer 4
ACHIEVEMENT_KILL_RISEM_LVL5,Risem Hunter
ACHIEVEMENT_KILL_GRRR_LVL1,Grrr Slayer 1
ACHIEVEMENT_KILL_GRRR_LVL2,Grrr Slayer 2
ACHIEVEMENT_KILL_GRRR_LVL3,Grrr Slayer 3
ACHIEVEMENT_KILL_GRRR_LVL4,Grrr Slayer 4
ACHIEVEMENT_KILL_GRRR_LVL5,Grrr Hunter
ACHIEVEMENT_KILL_VOLT_LVL1,Volt Slayer 1
ACHIEVEMENT_KILL_VOLT_LVL2,Volt Slayer 2
ACHIEVEMENT_KILL_VOLT_LVL3,Volt Slayer 3
ACHIEVEMENT_KILL_VOLT_LVL4,Volt Slayer 4
ACHIEVEMENT_KILL_VOLT_LVL5,Volt Hunter
ACHIEVEMENT_KILL_ELDERGUARD_LVL1,Elderguard Slayer 1
ACHIEVEMENT_KILL_ELDERGUARD_LVL2,Elderguard Slayer 2
ACHIEVEMENT_KILL_ELDERGUARD_LVL3,Elderguard Slayer 3
ACHIEVEMENT_KILL_ELDERGUARD_LVL4,Elderguard Slayer 4
ACHIEVEMENT_KILL_ELDERGUARD_LVL5,Elderguard Hunter
ACHIEVEMENT_KILL_DUMP_LVL1,Dump Slayer 1
ACHIEVEMENT_KILL_DUMP_LVL2,Dump Slayer 2
ACHIEVEMENT_KILL_DUMP_LVL3,Dump Slayer 3
ACHIEVEMENT_KILL_DUMP_LVL4,Dump Slayer 4
ACHIEVEMENT_KILL_DUMP_LVL5,Dump Hunter
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL1,Garbagespider Slayer 1
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL2,Garbagespider Slayer 2
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL3,Garbagespider Slayer 3
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL4,Garbagespider Slayer 4
ACHIEVEMENT_KILL_GARBAGEPIDER_LVL5,Garbagespider Hunter
ACHIEVEMENT_KILL_ZENMA_LVL1,Zenma Slayer 1
ACHIEVEMENT_KILL_ZENMA_LVL2,Zenma Slayer 2
ACHIEVEMENT_KILL_ZENMA_LVL3,Zenma Slayer 3
ACHIEVEMENT_KILL_ZENMA_LVL4,Zenma Slayer 4
ACHIEVEMENT_KILL_ZENMA_LVL5,Zenma Hunter
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL1,Crane Machinery Slayer 1
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL2,Crane Machinery Slayer 2
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL3,Crane Machinery Slayer 3
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL4,Crane Machinery Slayer 4
ACHIEVEMENT_KILL_CRANEMACHINERY_LVL5,Crane Machinery Hunter
ACHIEVEMENT_KILL_NAUTREPY_LVL1,Nautrepy Slayer 1
ACHIEVEMENT_KILL_NAUTREPY_LVL2,Nautrepy Slayer 2
ACHIEVEMENT_KILL_NAUTREPY_LVL3,Nautrepy Slayer 3
ACHIEVEMENT_KILL_NAUTREPY_LVL4,Nautrepy Slayer 4
ACHIEVEMENT_KILL_NAUTREPY_LVL5,Nautrepy Hunter
ACHIEVEMENT_KILL_SYLIACA_LVL1,Syliaca Slayer 1
ACHIEVEMENT_KILL_SYLIACA_LVL2,Syliaca Slayer 2
ACHIEVEMENT_KILL_SYLIACA_LVL3,Syliaca Slayer 3
ACHIEVEMENT_KILL_SYLIACA_LVL4,Syliaca Slayer 4
ACHIEVEMENT_KILL_SYLIACA_LVL5,Syliaca Hunter
