Key,English,French
PROPMOTION_TXT_000053,Attack the Selected Target,Attaquer la cible choisie
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,Vous demandez la personne ciblée en mariage.
PROPMOTION_TXT_000057,Toggle Weapons,Ranger/Sortir les armes
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,Utiliser la compétence de votre familier invoqué
PROPMOTION_TXT_000059,Follow the Selected Target,Suivez la cible sélectionnée.
PROPMOTION_TXT_000060,Switch Your Current Stat Page,Changer de page de statistiques active
PROPMOTION_TXT_000061,Play Dead,Faire le mort
PROPMOTION_TXT_000062,Propose,Proposition
PROPMOTION_TXT_000063,High Five (Couple),Tape m’en cinq (Couple)
PROPMOTION_TXT_000064,Hug (Couple),Câlin (Couple)
PROPMOTION_TXT_000065,Half Heart (Couple),Demi-cœur (Couple)
PROPMOTION_TXT_000066,Frustrated,Frustré
PROPMOTION_TXT_000067,Cross Arms (Couple),Bras croisés (Couple)
PROPMOTION_TXT_000068,Eye Contact (Couple),Contact visuel (Couple)
PROPMOTION_TXT_000069,Jump (Couple),Saut (Couple)
PROPMOTION_TXT_000070,Dance 1,Danse 1
PROPMOTION_TXT_000071,Dance 2,Danse 2
PROPMOTION_TXT_000072,Dance 3,Danse 3
PROPMOTION_TXT_000073,Dance 4,Danse 4
PROPMOTION_TXT_000074,Dance 5,Danse 5
PROPMOTION_TXT_000075,Dance 6,Danse 6
PROPMOTION_TXT_000076,Dance 7,Danse 7
PROPMOTION_TXT_000077,Dance 8,Danse 8
PROPMOTION_TXT_000078,Dance 9,Danse 9
PROPMOTION_TXT_000079,Meditation,Méditation
PROPMOTION_TXT_000080,Flip Jump 1,Saut périlleux 1
PROPMOTION_TXT_000081,Flip Jump 2,Saut périlleux 2
PROPMOTION_TXT_000082,Lift O,Lever O
PROPMOTION_TXT_000083,Lift X,Lever X
PROPMOTION_TXT_000084,Lift Rock,Lever Pierre
PROPMOTION_TXT_000085,Lift Paper,Lever Papier
PROPMOTION_TXT_000086,Lift Scissors,Lever Ciseaux
PROPMOTION_TXT_000087,Dance 10,Danse 10
PROPMOTION_TXT_000088,Dance 11,Danse 11
PROPMOTION_TXT_000089,Polite Greeting,Salutation polie
PROPMOTION_TXT_000090,Hurray,Hourra
PROPMOTION_TXT_000100,Clap,Applaudir
PROPMOTION_TXT_000101,Brrr,Brrr
PROPMOTION_TXT_000102,Dance 12,Danse 12
PROPMOTION_TXT_000103,Hot,Chaud
PROPMOTION_TXT_000104,LMAO,MDR
PROPMOTION_TXT_000105,Ninja,Ninja
PROPMOTION_TXT_000106,Aha,Idée
PROPMOTION_TXT_000107,Provoke,Provoquer
PROPMOTION_TXT_000108,Surprised,Surpris
PROPMOTION_TXT_000109,Look Around,Regarder autour
PROPMOTION_TXT_000110,Arm Heart,Cœur avec les bras
PROPMOTION_TXT_000111,Switch Your Current Skill Page,Changer la page de compétences actuelle
PROPMOTION_TXT_000112,Surrender,Abandonner
PROPMOTION_TXT_000113,Begging,Supplier
PROPMOTION_TXT_000114,Waist Stretching,Étirement
PROPMOTION_TXT_000115,Lower Body Stretching,Étirement du bas du corps
PROPMOTION_TXT_000116,Thumbs Up,Pouce levé
PROPMOTION_TXT_000117,Salute,Salut
PROPMOTION_TXT_000118,Concerned,Concerned
PROPMOTION_TXT_000119,Embarassed,Embarassed
