Key,English,French
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals...","Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals..."
WDMADRIGAL_WLD_000000,Mysterious Castle,Chateau mystérieux
WDMADRIGAL_WLD_000001,This place is not marked on the map. No one knows how to enter it...,Cet endroit n'est pas sur la carte. Personne ne sait comment entrer à l'intérieur...
WDMADRIGAL_WLD_000002,Refuge of Middle Leren Mountains,Refuge des Montagnes Centrales de Leren
WDMADRIGAL_WLD_000003,Line Flarine ↔ Saint City,Ligne Flarine ↔ Saincity
WDMADRIGAL_WLD_000004,Line Flarine ↔ Darkon 1,Ligne Flarine ↔ Darkon 1
WDMADRIGAL_WLD_000005,Line Flarine ↔ Mars Mine,Ligne Flarine ↔ Mine de Mas
WDMADRIGAL_WLD_000006,Line Saint City ↔ Garden of Rhisis,Ligne Saincity ↔ Jardin de Rhisis
WDMADRIGAL_WLD_000007,Line Saint City ↔ Fantasy Desert,Ligne Saincity ↔ Désert de l'Imagination
WDMADRIGAL_WLD_000008,Line Darkon 1 ↔ Darken,Ligne Darkon 1 ↔ Darken
WDMADRIGAL_WLD_000009,Line Darken ↔ Arians,Ligne Darken ↔ Arians
WDMADRIGAL_WLD_000010,Line Arians ↔ Guardiane,Ligne Arians ↔ Gardiane
WDMADRIGAL_WLD_000011,Line Arians ↔ Deadwallderness,Ligne Arians ↔ Désolation
WDMADRIGAL_WLD_000012,Azria\nAbandoned Erons Factory,Azria\nUsine des Erons abandonnée
WDMADRIGAL_WLD_000013,Azria\nVillage,Azria\nVillage
WDMADRIGAL_WLD_000014,Line Deadwallderness ↔ Azria,Ligne Désolation ↔ Azria
WDMADRIGAL_WLD_000015,Storm Peak Entrance,Entrée du Pic de Tempête
WDMADRIGAL_WLD_000017,Envy Depths Entrance,Entrée de l'Abîme de l'Envie
WDMADRIGAL_WLD_000019,Guardiane Sanctuary Entrance,Entrée du Sanctuaire de Gardiane
WDMADRIGAL_WLD_000021,Leren Chasm Entrance,Entrée du Gouffre de Leren
WDMADRIGAL_WLD_000022,Wilds Entrance,Entrée de Désiréa
WDMADRIGAL_WLD_000023,Rhisis Catacombs,Catacombes de Rhisis
WDMADRIGAL_WLD_000024,This is a safe place.,C'est un endroit sûr.
WDMADRIGAL_WLD_000025,The Wilds Entrance,Entrée de Désiréa
WDMADRIGAL_WLD_000026,Coral Village,Village Corail
WDMADRIGAL_WLD_000028,Coral Island,Île Corail
WDMADRIGAL_WLD_000029,Welcome to Coral!,Bienvenue à l'Île Corail !
WDMADRIGAL_WLD_000030,Red Sea,Mer Rouge
WDMADRIGAL_WLD_000032,Deep Sea,Mer Profonde
WDMADRIGAL_WLD_000034,Swamp,Marais
WDMADRIGAL_WLD_000035,Saint City Arena,Arène de Saint City
WDMADRIGAL_WLD_000036,This place was famous long ago...,Cet endroit était autrefois célèbre...
WDMADRIGAL_WLD_000037,Kaillun,Kaillun
WDMADRIGAL_WLD_000038,Welcome to Kaillun!,Bienvenue à Kaillun!
WDMADRIGAL_WLD_000039,Orbalune Port,Port Orbalune
WDMADRIGAL_WLD_000040,This is a safe place.,C'est un endroit sûr.
WDMADRIGAL_WLD_000041,Kaillun Grassland,Prairies de Kaillun
WDMADRIGAL_WLD_000042,Dreknir Ridge,Crête de Dreknir
WDMADRIGAL_WLD_000043,Lionrath Falls,Cascades de Lionrath
WDMADRIGAL_WLD_000044,Velora Cliffs,Falaises Velora
WDMADRIGAL_WLD_000045,Dreknir Forest,Forêt de Dreknir
WDMADRIGAL_WLD_000046,Ankou's Asylum Entrance,Entrée de l'asile d'Ankou
WDMADRIGAL_WLD_000047,This is a safe place.,C'est un endroit sûr.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000000,Darkon 1\nErons Factory 2,Darkon 1\nUsine des Erons 2
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000001,Erons Factory 2. Used to produce Erons.,Lieu de fabrication des Erons
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000002,The Middle of Leren Mountains,Montagnes Centrales de Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000003,The middle district of Leren Mountains in Flaris.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,Région centrale des montagnes de Leren\nTerritoire des Grands Dwarpets
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000004,Flarine\nCentral Flarine,Flarine\nFlarine Centre
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000005,The main hub of activity for Flaris is in the middle of Flarine.\nThere is a station and a public office.\nThere are stores for armor and weapons.,Le principal centre d'activité de Flaris se trouve au milieu de Flarine.\nIl y a une station de vol et un bureau public.\nIl y a aussi des magasins pour les armures et les armes.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000006,Flarine\nEastern Flarine,Flarine\nFlarine Est
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000007,"The eastern part of Flarine.\nHere you can get food, magic materials, and job training.","La partie Est de Flarine.\nIci, vous pouvez obtenir de la nourriture, du matériel de magie et une formation d'apprentissages des Classes."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000008,Flarine\nNorthern Flarine,Flarine\nFlarine Nord
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000009,The northern part of Flarine.\nThe Job Masters and Lodestar are here.,La partie nord de Flarine.\nC'est le quartier du Cristal de Vie et des Maîtres de classes.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000010,Someone is watching you.,Quelqu'un te surveille du haut…
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000011,Plain of Bubble,Plaine de Bubble
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000012,This area was created by the Clown God Bubble.,Plaine créée en trois jours par le Dieu-Clown Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000013,The South of Leren Mountains,Montagnes Sud de Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000014,The southern district of the Leren Mountains.,Région Sud des montagnes de Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000015,The Center for Guild Combat,Centre des combats de guildes
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000016,Guild combat is managed here.,Lieu dédié à la gestion des combats entre guildes
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000017,The South of Leren Mountains\nAltar of Dreadpet,Montagnes Centrales de Leren\nAutel des Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000018,Dreadpet is kept here.\nHis keepers control great magic.,Lieu de résidence d'un Dreadpet.\nSes gardiens contrôlent une grande magie.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000019,Darkon 1\nErons Factory 1,Darkon 1\nUsine des Erons 1
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000020,The First Erons Factory.\nThis factory produces 80% of all Erons.,La 1ère usine d'Erons.\nCette usine produit 80% de tous les Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000021,Darkon\nAltar of Violet,Darkon\nAutel Pourpre
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000022,There is evidence here of a major event.,Ce site sacré mériterait un examen approfondi...
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000023,The Middle of Leren Mountains,Montagnes Centrales de Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000024,The middle of the Leren Mountains.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,Région méridionale des montagnes de Leren à Flaris.\nOn y trouve le camp des Hauts-Dwarpets et la plaine de Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000025,Billeting Place of High-Dwarpets,Territoire des Grands Dwarpets
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000026,The High-Dwarpets have created Billeting place.\n A certain High-Dwarpet once stored the Book of Technique here.,Cet endroit a été créé par les Hauts-Dwarpets.\nL'un deux y a autrefois entreposé le Livre des Techniques.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000027,Northern River of Weeping,Nord de la Rivière de Larmes
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000028,Haunt of Nyangnyang,Territoire des Nyangnyang
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000029,Haunt of Nyangnyang.,"Territoire des Nyangnyang, la tribu des chats"
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000030,The bridge was repaired!\n You used to have to jump across a gap.,Le pont est détruit.\nIl faut sauter pour atteindre l'autre rive.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000031,Lodelight,Havre de Vie
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000032,This is a safe place.,Cet endroit semble sûr…
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000033,Madren Town,Madren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000034,This is a small town for Demian.\nCast-off Demian live here.,Ceci est une petite ville pour les Démian.\nLes Démian rejetés vivent dans cette ville.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000035,Middle of River of Weeping,Bassin de la Rivière de Larmes
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000036,This river overflows when it rains every once in a while.\nHigh-Dwarpet can sometimes be seen bathing here.,"Cette rivière déborde quand il pleut, de temps en temps.\nOn peut parfois voir les Grands Dwarpet s'y baigner."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000037,Madren Town\nAltar of Dreadpet,Madren\n Autel des Dreadpets
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000038,Another place for controlling the Dreadpet.\nThere are supervisors here that use strong magic.,Lieu de contrôle du Dreadpet.\nII est gardé par de puissants magiciens.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000039,Fountain of Dead Person,Fontaine des Défunts
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000040,"It is known that souls gather together in this place.\nAccording to tradition, the water in this place gives perennial youth and long life.",La légende veut que les âmes des défunts se rassemblent à cette fontaine.\nSon eau procurerait jeunesse et longue vie.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000041,Northern Leren Mountains,Montagnes Nord de Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000042,The northern district of the Leren Mountains.\nThe Mars Mine and the Fountain of Dead Person are here.,Région nord des montagne de Leren\nSite de la Mine de Mas (donjon) et de la Fontaine des Défunts
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000043,Mars Mine,Mine de Mas
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000044,"This Mine was found and developed by mining merchants long ago.\n However, the place is overrun with Masquerpets now.","Il y a bien longtemps, cette mine a été découverte et développée par des mineurs marchands.\nCependant, l'endroit est désormais envahi de monstres..."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000045,The residence of Ludviehill,Résidence de Rudvihil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000046,The rich of Flaris live in Ludviehill.,"Domicile de Rudvihil, l'homme le plus riche de Flarine"
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000049,Saint Tree,Saint Arbre
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000050,Saint Tree is really old\n This tree is one of the symbols of Saint Morning.,Cet arbre est très ancien.\nIl est un des symboles de Saint Morning.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000051,Saint Morning\nAltar of Violet,Saint Morning\nAutel Pourpre
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000052,"Here, as in other places, there is evidence of a major event.",Ce site sacré mériterait un examen approfondi...
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000053,Northern Hillid Mountains,Montagnes Nord de Hillid
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000054,The Northern district of the Hillid Mountains,Région nord des montagnes de Hillid
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000055,Eastern River of Weeping,Est de la Rivière de Larmes
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000056,The Eastern part of the River of Weeping\nAltar of Dreadpet,Ouest de la Rivières des Larmes\nAutel des Dreadpets
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000057,Another Altar to the Dreadpet.\nThe magic of the Dreadpet tamers electrifies the air.,Autel du Dreadpet\nLa magie des dompteurs de Dreadpet électrifie l'air.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000058,Saint Morning\nSaint Hall,Saincity\nSaint Hall
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000059,Saint Hall is the oldest building. It has been standing longer than anyone in town has been alive.\nPublic offices and the laboratory are located in this building.,"Le plus ancien bâtiment de Saint Morning, dont la construction prit 5 ans.\nLe Saint Hall héberge les bureaux administratif et le laboratoire."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000060,Saint Morning,Saint Morning
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000061,Saint Morning has gained independence from Flaris.\nThey have made a fortune from commerce.,Saincity a acquis son indépendance de Flarine.\nSaincity a fait fortune grâce au commerce.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000062,Saint Morning\nStation,Saincity\nStation de vol
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000063,This is the biggest station on Madrigal.\nSaint Morning could become the center of commerce for Madrigal by using this station.,La plus grande station de Madrigal !\nSaint Morning pourrait devenir le centre de commerce de Madrigal en utilisant cette station.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000064,Saint Morning square,Place de Saincity
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000065,Saint Morning square is a local hang out.\nThere is lots of space to open stores.,La place de Saint Morning est un lieu de rencontre local.\nIl y a beaucoup d'espace pour ouvrir des boutiques.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000066,Saint Morning\nThe Madrigal History Society.,Saincity\nSociété de l'Histoire de Madrigal
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000067,Research in the History of Madrigal is being made here.,Lieu des recherches sur l'histoire de Madrigal
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000068,Flaris\nAltar of Violet,Flaris\nAutel Pourpre
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000069,"There is a certain smell in the air and stones litter the landscape, evidence of a major event.","Une odeur particulière hante les lieux, et le sol est jonché de pierres. Quelque chose de majeur s'est passé ici."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000070,The Garden of Rhisis,Jardin de Rhisis
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000071,The Garden of Rhisis.\nThis once used to be a beautiful place but was ruined in the war with Clockworks.,"Le Jardin de Rhisis.\nC'était un endroit magnifique, mais il a été ravagé lors de la guerre contre le Clockworks..."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000072,Fantasy Desert,Désert de l'Imagination
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000073,"You can see stone pillars around the desert.\nAccording to rumor, there are temples that lie buried under this desert.",Des constructions en pierre gisent sur le sable\nLa légende veut qu'un temple soit ensevelit dans ce désert
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000074,You can hear the sound of digging close by.,Des bruits de pioches résonnent dans les environs...
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000075,The Entrance to Fantasy Desert,Entrée du Désert de l'Imagination
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000076,"A desert with a lot of unknown, unexplained, buildings.","L'entrée du désert, entourée de nombreuses constructions en pierre inconnues"
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000077,Southern Hillid Mountains,Montagnes sud de Hillid
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000078,The southern Hillid Mountains.\nThe Entrance to the Fantasy Desert and Plateau of Silence is here.,Région sud des montagnes de Hillid\nSite du Désert de l'Imagination et du Plateau du Silence
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000079,Plateau of Silence\nGravity Disorder Area,Plateau du Silence\nZone à forte gravité
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000080,"It is impossible to fly in this area of Madrigal. According to a research group, gravity is stronger here than anywhere else in the world.","Impossible de voler dans cette zone de Madrigal. D'après des scientifiques, la gravité est plus forte ici que partout ailleurs dans le monde."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000081,Hill of Shade,Colline de Shade
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000082,"Shade, the Clown Goddess was here.\nShe created this place in the time it takes to blink an eye.",Colline créée en une journée par un personnage mythique nommé Shade.\nLa légende raconte qu'il s'agissait d'un clown.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000083,This is a safe place.,Cet endroit semble sûr…
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000084,Pumpkin Town\nThe Home of Mr. Pumpkin.,Village des Pumpkins.\nLa maison de M. Pumpkin.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000085,"This town was made by people who dislike the city life of Saint Morning.\nHowever, this town was ruined because of an invasion of Mr. Pumpkins.",Village créé ceux qui ne supportaient plus la vie urbaine de Saincity.\nMais le village fut par la suite anéantit par une invasion de monstres...
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000086,Central Hillid Mountains,Montagnes centrales de Hillid
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000087,The central area of the Hillid Mountains.,Région centrale des montagnes de Hillid
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000088,Darkon 3\nMagmient,Darkon 3\nMagmient
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000089,The molten terrain of Darkon 3 makes for hard travel.\nOrdinary people do not enter because of the danger.,Darkon 3 est un lieu industriel et dangereux dont le sol en fusion rend la marche difficile.\nLes gens ordinaires n'y entrent pas à cause du danger.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000090,Altar of Jester,Autel du Jester
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000091,This altar was made for admiring the glory of Jesters.\nA priest named Homeit is managing this altar.,Grand lieu de pèlerinage des admirateurs du Jester nommé Curenen\nLa Pierre d'âme de ce Héros y est précieusement conservée.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000092,Darkon 3\nBrekin,Darkon 3\nBrekin
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000093,"This was an industrial area for refining Erons.\nHowever, this area was abandoned because of growing danger in the area.","C'était une zone industrielle pour le raffinage des Erons.\nCependant, cette zone a été abandonnée en raison du danger croissant dans la région."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000094,Darkon 3\nArians,Darkon 3\nArians
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000095,This area consists of giant pools. This blue water dissolved Erons.,"Zone remplie de bassin géant, son eau bleue dissolvant les Erons"
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000096,Engisis Length,Longueur d'Engisis
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000097,"The largest, most mysterious tree in Madrigal.","L'arbre le plus imposant, mais également le plus mystérieux"
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000098,Darkon 3\nDeadwallderness,Darkon 3\nDésolation
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000099,The wasteland of Darkon 3. Smoke rises from the ground that smells like dead things.,"Une terrain vague au nord de Darkon 3, dégageant du gaz mortel."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000100,Darkon 3\nAniceknight,Darkon 3\nAnicenight
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000101,The local plants have mutated and grown large.,L'usine locale s'est énormément développée…
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000102,Darkon 3\nHouse of Laola,Darkon 3\nMaison de Laola
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000103,A mysterious aura has wrapped itself around the home of Laola,Cette habitation est enveloppée d'une aura mystérieuse
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000104,Altar of Ranger,Autel du Ranger
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000105,This altar was made for admiring the glory of the Ranger.\nA priest named Rupim is managing this altar.,Grand lieu de pèlerinage des admirateurs du Sorcier nommé Hainan\nLa Pierre d'âme de ce Héros y est précieusement conservée.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000106,Altar of Psykeeper,Autel du Sorcier
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000107,Place where the Soulstone of Psykeeper is kept.\nThe admirers of the hero Offerep\nmake a pilgrimage here every year.,Lieu où est conservée la pierre d'âme des Sorciers.\nLes admirateurs du héros Offerep\nfont un pèlerinage ici chaque année.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000108,Darkon 3\nWestern Cendil,Darkon 3\nCendil ouest
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000109,The polluted river flows and corrupts the wildlife of the area.\nThings grow large and nasty in this area.,Le rivière polluée coule grâce à Herues\nLes nombreux arbres géants forment un champignon
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000110,Darkon 3\nHeret,Darkon 3\nHeret
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000111,There is a blue glow to the air.\nThe creatures here survive by eating Erons and wandering travelers.\nYou can see the mutant tree Heldonose on the west end.\nThis tree produces Erons.,Ce secteur est voilé d'une teinte bleutée.\nLes créatures y résidant se nourrissent d'Erons et de voyageurs perdus.\nL'arbre mutant Heldonose est visible à l'ouest.\nIl produit des Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000112,Darkon 3\nMiddle Cendil,Darkon 3\nCendil centre
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000113,Unknown powerful energy exists in this district.\nNobody wants to know where the power came from.,"Une énergie inconnue, très puissante, pèse sur cette zone\nMais les gens ne veulent en savoir plus..."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000114,Darkon 3\nEastern Cendil,Darkon 3\nCendril est
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000115,Mileng is a holy place surrounded by giant trees shaped like mushrooms.,"Mileng est un lieu saint, cerné d'arbres géants en forme de champignon."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000116,Mileng,Mileng
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000117,Mileng is a holy place surrounded by giant trees shaped like mushrooms.\nThe Heroes of Madrigal won their first victory here.,Ce lieu est sacré !\nIci les Héros remportèrent leur première victoire lors de la Guerre des Héros.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000118,Darkon 3\nGuardiane,Darkon 3\nGardiane
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000119,This is a place of Guardians.\nThe final battle in the Hero War happened here\nAdventurers who wish to follow the will of heroes come here.,Les Héros eurent leur dernier combat en ce lieu.\nCet endroit est destiné aux aventuriers qui suivent la Voie des Héros.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000120,Darkon 3\nRoom of Guardian,Darkon 3\nChambre du Gardien
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000121,There is a monster called Venel Guardian protecting the symbol of the wisdom of the heroes.,"Ici repose Venel, le gardien protégeant le symbole des Héros."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000122,Altar of Ringmaster,Autel du Prêtre
