Key,English,French
PROPITEMETC_INC_000073,Geniun Set,Tenue Astrale
PROPITEMETC_INC_000074,Gynas Set,Tenue Astrale
PROPITEMETC_INC_000075,Mekatro Set,Tenue Épique
PROPITEMETC_INC_000076,Mekaron Set,Tenue Épique
PROPITEMETC_INC_000077,Myuran Set,Tenue Illustre
PROPITEMETC_INC_000078,Myurian Set,Tenue Illustre
PROPITEMETC_INC_000079,Elder Set,Tenue Astrale
PROPITEMETC_INC_000080,Ellean Set,Tenue Astrale
PROPITEMETC_INC_000081,Shabel Set,Tenue Épique
PROPITEMETC_INC_000082,Shurian Set,Tenue Épique
PROPITEMETC_INC_000131,Knighert Set,Tenue Mythique
PROPITEMETC_INC_000132,Knighz Set,Tenue Mythique
PROPITEMETC_INC_000133,Blain Set,Tenue Mythique
PROPITEMETC_INC_000134,Virain Set,Tenue Mythique
PROPITEMETC_INC_000135,Jesis Set,Tenue Mythique
PROPITEMETC_INC_000136,Jenes Set,Tenue Mythique
PROPITEMETC_INC_000137,Ranerz Set,Tenue Mythique
PROPITEMETC_INC_000138,Raze Set,Tenue Mythique
PROPITEMETC_INC_000139,Rimyth Set,Tenue Mythique
PROPITEMETC_INC_000140,Remingster Set,Tenue Mythique
PROPITEMETC_INC_000141,Billst Set,Tenue Mythique
PROPITEMETC_INC_000142,Billporon Set,Tenue Mythique
PROPITEMETC_INC_000143,Psykon Set,Tenue Mythique
PROPITEMETC_INC_000144,Psyuniper Set,Tenue Mythique
PROPITEMETC_INC_000145,Ellis Set,Tenue Mythique
PROPITEMETC_INC_000146,Ellsis Set,Tenue Mythique
PROPITEMETC_INC_000147,PvE Cruentus Set,Tenue Cruentus (JcE)
PROPITEMETC_INC_000148,PvE Cruenta Set,Tenue Cruenta (JcE)
PROPITEMETC_INC_000149,PvE Noctis Set,Tenue Noctis (JcE)
PROPITEMETC_INC_000150,PvE Nox Set,Tenue Nox (JcE)
PROPITEMETC_INC_000151,PvE Velox Set,Tenue Velox (JcE)
PROPITEMETC_INC_000152,PvE Valentis Set,Tenue Valentis (JcE)
PROPITEMETC_INC_000153,PvE Acer Set,Tenue Acer (JcE)
PROPITEMETC_INC_000154,PvE Acris Set,Tenue Acris (JcE)
PROPITEMETC_INC_000155,PvE Revenio Set,Tenue Revenio (JcE)
PROPITEMETC_INC_000156,PvE Revenis Set,Tenue Revenis (JcE)
PROPITEMETC_INC_000157,PvE Grim Set,Tenue Grim (JcE)
PROPITEMETC_INC_000158,PvE Gravis Set,Tenue Gravis (JcE)
PROPITEMETC_INC_000159,PvE Twilight Set,Tenue Crépuscule (JcE)
PROPITEMETC_INC_000160,PvE Eclipse Set,Tenue Éclipse (JcE)
PROPITEMETC_INC_000161,PvE Nanemvis Set,Tenue Nanemvis (JcE)
PROPITEMETC_INC_000162,PvE Namavis Set,Tenue Namavis (JcE)
PROPITEMETC_INC_000163,PvP Obsidian Cruentus Set,Tenue Cruentus Obsidienne (JcJ)
PROPITEMETC_INC_000164,PvP Obsidian Cruenta Set,Tenue Cruenta Obsidienne (JcJ)
PROPITEMETC_INC_000165,PvP Obsidian Noctis Set,Tenue Noctis Obsidienne (JcJ)
PROPITEMETC_INC_000166,PvP Obsidian Nox Set,Tenue Nox Obsidienne (JcJ)
PROPITEMETC_INC_000167,PvP Obsidian Velox Set,Tenue Velox Obsidienne (JcJ)
PROPITEMETC_INC_000168,PvP Obsidian Valentis Set,Tenue Valentis Obsidienne (JcJ)
PROPITEMETC_INC_000169,PvP Obsidian Acer Set,Tenue Acer Obsidienne (JcJ)
PROPITEMETC_INC_000170,PvP Obsidian Acris Set,Tenue Acris Obsidienne (JcJ)
PROPITEMETC_INC_000171,PvP Obsidian Revenio Set,Tenue Revenio Obsidienne (JcJ)
PROPITEMETC_INC_000172,PvP Obsidian Revenis Set,Tenue Revenis Obsidienne (JcJ)
PROPITEMETC_INC_000173,PvP Obsidian Grim Set,Tenue Grim Obsidienne (JcJ)
PROPITEMETC_INC_000174,PvP Obsidian Gravis Set,Tenue Gravis Obsidienne (JcJ)
PROPITEMETC_INC_000175,PvP Obsidian Twilight Set,Tenue Crépuscule Obsidienne (JcJ)
PROPITEMETC_INC_000176,PvP Obsidian Eclipse Set,Tenue Éclipse Obsidienne (JcJ)
PROPITEMETC_INC_000177,PvP Obsidian Nanemvis Set,Tenue Nanemvis Obsidienne (JcJ)
PROPITEMETC_INC_000178,PvP Obsidian Namavis Set,Tenue Namavis Obsidienne (JcJ)
PROPITEMETC_INC_000179,Cryro Set,Tenue Cryro
PROPITEMETC_INC_000180,Cyrent Set,Tenue Cyrent
PROPITEMETC_INC_000181,Forrben Set,Tenue Forrben
PROPITEMETC_INC_000182,Forrain Set,Tenue Forrain
PROPITEMETC_INC_000183,Naneon Set,Tenue Naneon
PROPITEMETC_INC_000184,Nanex Set,Tenue Nanex
PROPITEMETC_INC_000185,Vizes Set,Tenue Vizes
PROPITEMETC_INC_000186,Vizith Set,Tenue Vizith
PROPITEMETC_INC_000187,Keinos Set,Tenue Keinos
PROPITEMETC_INC_000188,Keisan Set,Tenue Keisan
PROPITEMETC_INC_000189,Ouken Set,Tenue Ouken
PROPITEMETC_INC_000190,Oukest Set,Tenue Oukest
PROPITEMETC_INC_000191,Peinn Set,Tenue Peinn
PROPITEMETC_INC_000192,Penel Set,Tenue Penel
PROPITEMETC_INC_000193,Quinox Set,Tenue Quinox
PROPITEMETC_INC_000194,Quition Set,Tenue Quition
PROPITEMETC_INC_000195,FWC Golden Cryro Set,Tenue Cryro Dorée FWC
PROPITEMETC_INC_000196,FWC Golden Cyrent Set,Tenue Cyrent Dorée FWC
PROPITEMETC_INC_000197,FWC Golden Forrben Set,Tenue Forrben Dorée FWC
PROPITEMETC_INC_000198,FWC Golden Forrain Set,Tenue Forrain Dorée FWC
PROPITEMETC_INC_000199,FWC Golden Naneon Set,Tenue Naneon Dorée FWC
PROPITEMETC_INC_000200,FWC Golden Nanex Set,Tenue Nanex Dorée FWC
PROPITEMETC_INC_000201,FWC Golden Vizes Set,Tenue Vizes Dorée FWC
PROPITEMETC_INC_000202,FWC Golden Vizith Set,Tenue Vizith Dorée FWC
PROPITEMETC_INC_000203,FWC Golden Keinos Set,Tenue Keinos Dorée FWC
PROPITEMETC_INC_000204,FWC Golden Keisan Set,Tenue Keisan Dorée FWC
PROPITEMETC_INC_000205,FWC Golden Ouken Set,Tenue Ouken Dorée FWC
PROPITEMETC_INC_000206,FWC Golden Oukest Set,Tenue Oukest Dorée FWC
PROPITEMETC_INC_000207,FWC Golden Peinn Set,Tenue Peinn Dorée FWC
PROPITEMETC_INC_000208,FWC Golden Penel Set,Tenue Penel Dorée FWC
PROPITEMETC_INC_000209,FWC Golden Quinox Set,Tenue Quinox Dorée FWC
PROPITEMETC_INC_000210,FWC Golden Quition Set,Tenue Quition Dorée FWC
PROPITEMETC_INC_000211,Warbringer's Set,Tenue du Belliciste
PROPITEMETC_INC_000212,Sentinel's Set,Parure de la Sentinelle
PROPITEMETC_INC_000213,Spellweaver's Set,Parure de l'Ensorceleur
PROPITEMETC_INC_000214,Hawkeye's Set,Parure de l'Œil perçant
PROPITEMETC_INC_000215,Champion's Set,Parure du Champion
PROPITEMETC_INC_000216,Defender's Set,Parure du Défenseur
PROPITEMETC_INC_000217,Adept's Set,Parure de l'Adepte
PROPITEMETC_INC_000218,Marksman's Set,Parure de l'Archer
PROPITEMETC_INC_000288,Manebound Set,Tenue Indomptable
PROPITEMETC_INC_000289,Manetress Set,Tenue Indomptable
PROPITEMETC_INC_000290,Lycanith Set,Tenue Indomptable
PROPITEMETC_INC_000291,Lyceris Set,Tenue Indomptable
PROPITEMETC_INC_000292,Wingwalker Set,Tenue Indomptable
PROPITEMETC_INC_000293,Wingwander Set,Tenue Indomptable
PROPITEMETC_INC_000294,Fennith Set,Tenue Indomptable
PROPITEMETC_INC_000295,Fennia Set,Tenue Indomptable
PROPITEMETC_INC_000296,Luminis Set,Tenue Indomptable
PROPITEMETC_INC_000297,Luminia Set,Tenue Indomptable
PROPITEMETC_INC_000298,Tigraknar Set,Tenue Indomptable
PROPITEMETC_INC_000299,Tigressa Set,Tenue Indomptable
PROPITEMETC_INC_000300,Primamind Set,Tenue Indomptable
PROPITEMETC_INC_000301,Primalix Set,Tenue Indomptable
PROPITEMETC_INC_000302,Drakorin Set,Tenue Indomptable
PROPITEMETC_INC_000303,Drakoria Set,Tenue Indomptable
PROPITEMETC_INC_000304,Bileire Set,Tenue de Bileire
PROPITEMETC_INC_000305,Bilari Set,Tenue de Bilari
PROPITEMETC_INC_000306,Heraud Set,Tenue d'Heraud
PROPITEMETC_INC_000307,Herainn Set,Tenue d'Herainn
PROPITEMETC_INC_000308,Curio Set,Tenue de Curio
PROPITEMETC_INC_000309,Curena Set,Tenue de Curena
PROPITEMETC_INC_000310,Hainure Set,Tenue d'Hainure
PROPITEMETC_INC_000311,Hanira Set,Tenue d'Hanira
PROPITEMETC_INC_000312,Reine Set,Tenue de Reiner
PROPITEMETC_INC_000313,Rayne Set,Tenue de Rayne
PROPITEMETC_INC_000314,Roenier Set,Tenue de Roenier
PROPITEMETC_INC_000315,Roelayne Set,Tenue de Roelayne
PROPITEMETC_INC_000316,Reffiro Set,Tenue de Reffiro
PROPITEMETC_INC_000317,Rephira Set,Tenue de Rephiro
PROPITEMETC_INC_000318,Lippin Set,Tenue de Lippin
PROPITEMETC_INC_000319,Lypine Set,Tenue de Lypine
PROPITEMETC_INC_000320,FWC Golden Bileire Set,Tenue doré FWC Bileire
PROPITEMETC_INC_000321,FWC Golden Bilari Set,Tenue doré FWC Bilari
PROPITEMETC_INC_000322,FWC Golden Heraud Set,Tenue doré FWC Heraud
PROPITEMETC_INC_000323,FWC Golden Herainn Set,Tenue doré FWC Herainn
PROPITEMETC_INC_000324,FWC Golden Curio Set,Tenue doré FWC Curio
PROPITEMETC_INC_000325,FWC Golden Curena Set,Tenue doré FWC Curena
PROPITEMETC_INC_000326,FWC Golden Hainure Set,Tenue doré FWC Hainure
PROPITEMETC_INC_000327,FWC Golden Hanira Set,Tenue doré FWC Hanira
PROPITEMETC_INC_000328,FWC Golden Reine Set,Tenue doré FWC Reine
PROPITEMETC_INC_000329,FWC Golden Rayne Set,Tenue doré FWC Rayne
PROPITEMETC_INC_000330,FWC Golden Roenier Set,Tenue doré FWC Roenier
PROPITEMETC_INC_000331,FWC Golden Roelayne Set,Tenue doré FWC Roelayne
PROPITEMETC_INC_000332,FWC Golden Reffiro Set,Tenue doré FWC Reffiro
PROPITEMETC_INC_000333,FWC Golden Rephira Set,Tenue doré FWC Rephira
PROPITEMETC_INC_000334,FWC Golden Lippin Set,Tenue doré FWC Lippin
PROPITEMETC_INC_000335,FWC Golden Lypine Set,Tenue doré FWC Lypine
PROPITEMETC_INC_000336,FWC 2025 Bloody Death Messenger’s Set (Winners),Tenue du Messager de la Mort sanglant FWC 2025 (Gagnants)
PROPITEMETC_INC_000337,FWC 2025 Golden Death Messenger’s Set (Finalists),Tenue du Messager de la Mort doré FWC 2025 (Finalistes)
PROPITEMETC_INC_000338,Runthiel Set,Tenue Runthiel
PROPITEMETC_INC_000339,Runthien Set,Tenue Runthien
PROPITEMETC_INC_000340,Rethanor Set,Tenue Rethanor
PROPITEMETC_INC_000341,Rethanar Set,Tenue Rethanar
PROPITEMETC_INC_000342,Zendric Set,Tenue Zendric
PROPITEMETC_INC_000343,Zendricar Set,Tenue Zendricar
PROPITEMETC_INC_000344,Khorviel Set,Tenue Khorviel
PROPITEMETC_INC_000345,Khorvien Set,Tenue Khorvien
PROPITEMETC_INC_000346,Zaythor Set,Tenue Zaythor
PROPITEMETC_INC_000347,Zaythar Set,Tenue Zaythar
PROPITEMETC_INC_000348,Vornithic Set,Tenue Vornithic
PROPITEMETC_INC_000349,Vornithicar Set,Tenue Vornithicar
PROPITEMETC_INC_000350,Dornith Set,Tenue Dornith
PROPITEMETC_INC_000351,Dornyth Set,Tenue Dornyth
PROPITEMETC_INC_000352,Quostrel Set,Tenue Quostrel
PROPITEMETC_INC_000353,Quostren Set,Tenue Quostren
PROPITEMETC_INC_000354,Chyrelle Set,Tenue Chyrelle
PROPITEMETC_INC_000355,Chyrella Set,Tenue Chyrella
PROPITEMETC_INC_000356,Noltrave Set,Tenue Noltrave
PROPITEMETC_INC_000357,Noltrava Set,Tenue Noltrava
PROPITEMETC_INC_000358,Frodral Set,Tenue Frodral
PROPITEMETC_INC_000359,Frodrel Set,Tenue Frodrel
PROPITEMETC_INC_000360,Treviron Set,Tenue Treviron
PROPITEMETC_INC_000361,Treviran Set,Tenue Treviran
PROPITEMETC_INC_000362,Lenvire Set,Tenue Lenvire
PROPITEMETC_INC_000363,Lenvira Set,Tenue Lenvira
PROPITEMETC_INC_000364,Ordelin Set,Tenue Ordelin
PROPITEMETC_INC_000365,Ordelyn Set,Tenue Ordelyn
PROPITEMETC_INC_000366,Tracien Set,Tenue Tracien
PROPITEMETC_INC_000367,Tracior Set,Tenue Tracior
PROPITEMETC_INC_000368,Lorvenic Set,Tenue Lorvenic
PROPITEMETC_INC_000369,Lorvenicar Set,Tenue Lorvenicar
PROPITEMETC_INC_000370,Etranor Set,Tenue Etranor
PROPITEMETC_INC_000371,Etranar Set,Tenue Etranar
PROPITEMETC_INC_000372,Lyzarel Set,Tenue Lyzarel
PROPITEMETC_INC_000373,Lyzaren Set,Tenue Lyzaren
PROPITEMETC_INC_000374,Exiran Set,Tenue Exiran
PROPITEMETC_INC_000375,Exiren Set,Tenue Exiren
PROPITEMETC_INC_000376,Haskrel Set,Tenue Haskrel
PROPITEMETC_INC_000377,Haskren Set,Tenue Haskren
PROPITEMETC_INC_000378,Kevric Set,Tenue Kevric
PROPITEMETC_INC_000379,Kevricar Set,Tenue Kevricar
PROPITEMETC_INC_000380,Brakiven Set,Tenue Brakiven
PROPITEMETC_INC_000381,Brakivar Set,Tenue Brakivar
PROPITEMETC_INC_000382,Zorect Set,Tenue Zorect
PROPITEMETC_INC_000383,Zoracet Set,Tenue Zoracet
PROPITEMETC_INC_000384,Sholthar Set,Tenue Sholthar
PROPITEMETC_INC_000385,Sholtharen Set,Tenue Sholtharen
PROPITEMETC_INC_000386,Ustamel Set,Tenue Ustamel
PROPITEMETC_INC_000387,Ustamen Set,Tenue Ustamen
PROPITEMETC_INC_000388,Obbric Set,Tenue Obbric
PROPITEMETC_INC_000389,Obbricar Set,Tenue Obbricar
PROPITEMETC_INC_000390,Yrenoth Set,Tenue Yrenoth
PROPITEMETC_INC_000391,Yrenath Set,Tenue Yrenath
PROPITEMETC_INC_000392,Vostran Set,Tenue Vostran
PROPITEMETC_INC_000393,Vostren Set,Tenue Vostren
PROPITEMETC_INC_000394,Virashon Set,Tenue Virashon
PROPITEMETC_INC_000395,Verashan Set,Tenue Verashan
PROPITEMETC_INC_000396,Menicor Set,Tenue Menicor
PROPITEMETC_INC_000397,Maenicar Set,Tenue Maenicar
PROPITEMETC_INC_000398,Tremiel Set,Tenue Tremiel
PROPITEMETC_INC_000399,Tramien Set,Tenue Tramien
PROPITEMETC_INC_000400,Calthien Set,Tenue Calthien
PROPITEMETC_INC_000401,Calthior Set,Tenue Calthior
PROPITEMETC_INC_000402,2026 FWC Golden Virashon Set,Ensemble Virashon doré FWC 2026
PROPITEMETC_INC_000403,2026 FWC Golden Verashan Set,Ensemble Verashan doré FWC 2026
PROPITEMETC_INC_000404,2026 FWC Golden Lenvire Set,Ensemble Lenvire doré FWC 2026
PROPITEMETC_INC_000405,2026 FWC Golden Lenvira Set,Ensemble Lenvira doré FWC 2026
PROPITEMETC_INC_000406,2026 FWC Golden Kevric Set,Ensemble Kevric doré FWC 2026
PROPITEMETC_INC_000407,2026 FWC Golden Kevricar Set,Ensemble Kevricar doré FWC 2026
PROPITEMETC_INC_000408,2026 FWC Golden Chyrelle Set,Ensemble Chyrelle doré FWC 2026
PROPITEMETC_INC_000409,2026 FWC Golden Chyrella Set,Ensemble Chyrella doré FWC 2026
PROPITEMETC_INC_000410,2026 FWC Golden Ustamel Set,Ensemble Ustamel doré FWC 2026
PROPITEMETC_INC_000411,2026 FWC Golden Ustamen Set,Ensemble Ustamen doré FWC 2026
PROPITEMETC_INC_000412,2026 FWC Golden Etranor Set,Ensemble Etranor doré FWC 2026
PROPITEMETC_INC_000413,2026 FWC Golden Etranar Set,Ensemble Etranar doré FWC 2026
PROPITEMETC_INC_000414,2026 FWC Golden Zaythor Set,Ensemble Zaythor doré FWC 2026
PROPITEMETC_INC_000415,2026 FWC Golden Zaythar Set,Ensemble Zaythar doré FWC 2026
PROPITEMETC_INC_000416,2026 FWC Golden Runthiel Set,Ensemble Runthiel doré FWC 2026
PROPITEMETC_INC_000417,2026 FWC Golden Runthien Set,Ensemble Runthien doré FWC 2026
PROPITEMETC_INC_000418,Celestial Phoenix Orange Set,Set Phénix céleste orange
PROPITEMETC_INC_000419,Celestial Phoenix Purple Set,Set Phénix céleste violet
PROPITEMETC_INC_000420,Celestial Phoenix Green Set,Set Phénix céleste vert
PROPITEMETC_INC_000421,Celestial Phoenix Cyan Set,Set Phénix céleste cyan
PROPITEMETC_INC_000422,Celestial Phoenix Blue Set,Set Phénix céleste bleu
PROPITEMETC_INC_000423,Celestial Phoenix Amethyst Set,Set Phénix céleste améthyste
PROPITEMETC_INC_000424,Celestial Phoenix Magenta Set,Set Phénix céleste magenta
PROPITEMETC_INC_000425,Celestial Phoenix Gold Set,Set Phénix céleste or
PROPITEMETC_INC_000426,Primordial Runthiel Set,Primordial Runthiel Set
PROPITEMETC_INC_000427,Primordial Runthien Set,Primordial Runthien Set
PROPITEMETC_INC_000428,Primordial Zaythor Set,Primordial Zaythor Set
PROPITEMETC_INC_000429,Primordial Zaythar Set,Primordial Zaythar Set
PROPITEMETC_INC_000430,Primordial Chyrelle Set,Primordial Chyrelle Set
PROPITEMETC_INC_000431,Primordial Chyrella Set,Primordial Chyrella Set
PROPITEMETC_INC_000432,Primordial Lenvire Set,Primordial Lenvire Set
PROPITEMETC_INC_000433,Primordial Lenvira Set,Primordial Lenvira Set
PROPITEMETC_INC_000434,Primordial Etranor Set,Primordial Etranor Set
PROPITEMETC_INC_000435,Primordial Etranar Set,Primordial Etranar Set
PROPITEMETC_INC_000436,Primordial Kevric Set,Primordial Kevric Set
PROPITEMETC_INC_000437,Primordial Kevricar Set,Primordial Kevricar Set
PROPITEMETC_INC_000438,Primordial Ustamel Set,Primordial Ustamel Set
PROPITEMETC_INC_000439,Primordial Ustamen Set,Primordial Ustamen Set
PROPITEMETC_INC_000440,Primordial Virashon Set,Primordial Virashon Set
PROPITEMETC_INC_000441,Primordial Verashan Set,Primordial Verashan Set
