Key,English,French
PROPMAP_TXT_100051,Envy Depths,Abîme de l'Envie
PROPMAP_TXT_100052,Leren Chasm,Gouffre de Leren
PROPMAP_TXT_100053,Rhisis Catacombs,Catacombes de Rhisis
PROPMAP_TXT_100054,Guardiane Sanctuary,Sanctuaire de Guardiane
PROPMAP_TXT_100055,Leren Chasm (Medium),Gouffre de Leren (Moyen)
PROPMAP_TXT_100056,Leren Chasm (Hard),Gouffre de Leren (Difficile)
PROPMAP_TXT_100057,Leren Chasm (Extra Hard),Gouffre de Leren (Très Difficile)
PROPMAP_TXT_100058,Leren Chasm (Nightmare),Gouffre de Leren (Cauchemar)
PROPMAP_TXT_100059,Rhisis Catacombs (Hard),Catacombes de Rhisis (Difficile)
PROPMAP_TXT_100060,Rhisis Catacombs (Extra Hard),Catacombes de Rhisis (Très Difficile)
PROPMAP_TXT_100061,Rhisis Catacombs (Nightmare),Catacombes de Rhisis (Cauchemar)
PROPMAP_TXT_100062,Envy Depths (Extra Hard),Abîme de l'Envie (Très Difficile)
PROPMAP_TXT_100063,Envy Depths (Nightmare),Abîme de l'Envie (Cauchemar)
PROPMAP_TXT_100064,Guardiane Sanctuary (Nightmare),Sanctuaire de Guardiane (Cauchemar)
PROPMAP_TXT_100065,Envy Depths (Medium),Abîme de l'Envie (Moyen)
PROPMAP_TXT_100066,Eggcellent's Meadow,Prairie Oeufissime
PROPMAP_TXT_100067,Eggcellent's Meadow (Medium),Prairie Oeufissime (Moyen)
PROPMAP_TXT_100068,Eggcellent's Meadow (Hard),Prairie Oeufissime (Difficile)
PROPMAP_TXT_100069,Leren Chasm (Story),Gouffre de Leren (Histoire)
PROPMAP_TXT_100070,Rhisis Catacombs (Story),Catacombes de Rhisis (Histoire)
PROPMAP_TXT_100071,Envy Depths (Story),Abîme de l'Envie (Histoire)
PROPMAP_TXT_100072,Guardiane Sanctuary (Story),Sanctuaire de Gardiane (Histoire)
PROPMAP_TXT_100073,Storm Peak (Story),Pic de Tempête (Histoire)
PROPMAP_TXT_200000,The Colosseum,Le Colisée
PROPMAP_TXT_100074,The Wilds (Story),Désiréa (Histoire)
PROPMAP_TXT_100075,The Wilds,Désiréa
PROPMAP_TXT_230001,Instance,Instance
PROPMAP_TXT_100076,FWC Arena,Arène FWC
PROPMAP_TXT_100081,Leren Chasm (Cursed),Gouffre de Leren (Maudit)
PROPMAP_TXT_100082,Rhisis Catacombs (Cursed),Catacombes de Rhisis (Maudit)
PROPMAP_TXT_100083,Envy Depths (Cursed),Abîme de l'Envie (Maudit)
PROPMAP_TXT_100084,Guardiane Sanctuary (Cursed),Sanctuaire de Gardiane (Maudit)
PROPMAP_TXT_100085,Storm Peak (Cursed),Pic de Tempête (Maudit)
PROPMAP_TXT_200001,Beach House,Maison de Plage
PROPMAP_TXT_200002,Blank World,Monde Vide
PROPMAP_TXT_200003,Guild Ship,Navire de Guilde
PROPMAP_TXT_200004,Forest House,Maison de Forêt
PROPMAP_TXT_200005,Volcano House,Maison de Volcan
PROPMAP_TXT_200006,Snow House,Maison de Neige
PROPMAP_TXT_200007,Housing Specialist,Intendant des Maisons
PROPMAP_TXT_200008,Pet Tamer,Éleveur de familiers
PROPMAP_TXT_200009,Beach House (S),Maison de Plage (S)
PROPMAP_TXT_200010,Beach House (M),Maison de Plage (M)
PROPMAP_TXT_200011,Beach House (L),Maison de Plage (L)
PROPMAP_TXT_200012,Kalgas Assault Realm,Royaume du Kalgas Assault
PROPMAP_TXT_200013,Darken House,Maison Darken
PROPMAP_TXT_100086,2nd Anniversary,2e anniversaire
PROPMAP_TXT_100087,2nd Anniversary (Medium),2e anniversaire (Moyen)
PROPMAP_TXT_100088,2nd Anniversary (Hard),2e anniversaire (Difficile)
PROPMAP_TXT_100200,[Event] Envy Depths (Easy),[Event] Abîme de l'Envie (Facile)
PROPMAP_TXT_100201,[Event] Envy Depths (Medium),[Event] Abîme de l'Envie (Moyen)
PROPMAP_TXT_100202,[Event] Envy Depths (Hard),[Event] Abîme de l'Envie (Difficile)
PROPMAP_TXT_100089,Lv.15+,Lv.15+
PROPMAP_TXT_100090,Lv.20+,Lv.20+
PROPMAP_TXT_100091,Lv.80+,Lv.80+
PROPMAP_TXT_100092,Lv.100+,Lv.100+
PROPMAP_TXT_100093,Lv.25+,Lv.25+
PROPMAP_TXT_100097,Lv.120+,Lv.120+
PROPMAP_TXT_200014,Fall House,Maison d’Automne
PROPMAP_TXT_200015,Fall House (S),Maison d’Automne (S)
PROPMAP_TXT_200016,Fall House (M),Maison d’Automne (M)
PROPMAP_TXT_200017,Fall House (L),Maison d’Automne (L)
PROPMAP_TXT_200018,Blank House (Couple),Maison Vide (Couple)
PROPMAP_TXT_200019,Beach House (Couple),Maison Vide (Couple)
PROPMAP_TXT_200020,Darken House (Couple),Maison Darken (Couple)
PROPMAP_TXT_200021,Forest House (Couple),Maison Fôret (Couple)
PROPMAP_TXT_200022,Fall House (Couple),Maison d’Automne (Couple)
PROPMAX_TXT_200023,Herneos,Herneos
PROPMAP_TXT_200024,Boss Monster Raid,Assaut du boss
PROPMAP_TXT_100094,[Event] Halloween Dungeon,[Event] Halloween Donjon
PROPMAP_TXT_100095,[Event] Halloween Dungeon (Normal),[Event] Halloween Donjon (Normal)
PROPMAP_TXT_100096,[Event] Halloween Dungeon (Hard),[Event] Halloween Donjon (Hard)
PROPMAP_TXT_200025,Snowfield,Champ de neige
PROPMAX_TXT_200026,Ankou's Asylum,L'asile d'Ankou
PROPMAP_TXT_200027,Kaillun Temple,Temple Kaillun
PROPMAP_TXT_200028,Eillun,Eillun
PROPMAP_TXT_200029,Kaillun,Kaillun
PROPMAP_TXT_200030,Leren Chasm (Infernal),Gouffre de Leren (Infernal)
PROPMAP_TXT_200031,Rhisis Catacombs (Infernal),Catacombes de Rhisis (Infernal)
PROPMAP_TXT_200032,Envy Depths (Infernal),Abîme de l'Envie (Infernal)
PROPMAP_TXT_200033,Guardiane Sanctuary (Infernal),Sanctuaire de Guardiane (Infernal)
PROPMAP_TXT_200034,Storm Peak (Infernal),Pic de Tempête (Infernal)
PROPMAP_TXT_200035,The Wilds (Infernal),Désiréa (Infernal)
PROPMAP_TXT_200036,Ankou's Asylum (Story),L'asile d'Ankou (Story)
PROPMAP_TXT_200037,Seabed,Profondeur de la mer
PROPMAP_TXT_200038,Rescue [Eillun Farmer] Sprout,Rescue [Eillun Farmer] Sprout
PROPMAP_TXT_200039,Rescue [Eillun Farmer] Thorn,Rescue [Eillun Farmer] Thorn
PROPMAP_TXT_200040,Defend [Eillun Farmer] Dr. Root,Defend [Eillun Farmer] Dr. Root
PROPMAP_TXT_200041,Rescue [Eillun Farmer] Dr. Root,Rescue [Eillun Farmer] Dr. Root
PROPMAP_TXT_200042,Mysterious Castle,Mysterious Castle
PROPMAP_TXT_200043,Euphresia,Euphresia
PROPMAP_TXT_200044,Kebaras 2,Kebaras 2
