Key,English,German
PROPSKILL_TXT_000059,Rapidly strikes surrounding enemies twice with both weapons. Requires two weapons.,Durch Wirbeln verursachter Flächenschaden. Benötigt 2 Waffen.
PROPSKILL_TXT_000060,Spring Attack,Spring Attack
PROPSKILL_TXT_000061,"Strikes the enemy multiple times, with each hit having a chance to deal double damage. Requires two weapons.","Schlägt mehrmals auf einen Feind ein. Jeder Treffer hat eine Chance, doppelten Schaden zu verursachen. Benötigt zwei Waffen."
PROPSKILL_TXT_000062,Hawk Attack,Hawk Attack
PROPSKILL_TXT_000063,A powerful downward strike that lowers the accuracy of the target. Requires two weapons.,Kraftvoller Schlag nach unten. Verringert die Zielgenauigkeit. Benötigt zwei Waffen.
PROPSKILL_TXT_000064,Sonic Blade,Sonic Blade
PROPSKILL_TXT_000065,A powerful slashing attack that hits all surrounding enemies. Requires two weapons.,"Kraftvoller, schlitzender Angriff. Greift alle Feinde in der Nähe an. Benötigt zwei Waffen."
PROPSKILL_TXT_000066,Berserk,Berserk
PROPSKILL_TXT_000067,Increases Attack Speed and striking power at the cost of reduced skill damage.,Erhöht die Angriffsgeschwindigkeit und Angriffsstärke und verringert den Fertigkeitsschaden.
PROPSKILL_TXT_000068,Heal,Heal
PROPSKILL_TXT_000069,Recovers the target's HP.,Die HP eines Spielers wiederherstellen.
PROPSKILL_TXT_000070,Temping Hole,Tamping Hole
PROPSKILL_TXT_000071,A powerful straight punch.,Einen Hieb gegen den Gegner mit dem Knuckel ausführen.
PROPSKILL_TXT_000072,Resurrection,Resurrection
PROPSKILL_TXT_000073,Resurrects a dead player.,Einen toten Charakter mit heiliger Energie wiederbeleben.
PROPSKILL_TXT_000074,Patience,Patience
PROPSKILL_TXT_000075,Increases the target's maximum HP.,Erhöht die maximale HP des Ziels.
PROPSKILL_TXT_000076,Prevention,Prevention
PROPSKILL_TXT_000077,Automatically recovers your HP when it falls below a certain threshold.,"Stellt deine eigenen HP wieder her, wenn sie unter einen bestimmten Punkt fallen."
PROPSKILL_TXT_000078,Heap Up,Heap Up
PROPSKILL_TXT_000079,Increases the target's STA.,Erhöht die STA des angewählten Spielers.
PROPSKILL_TXT_000080,Cannon Ball,Cannonball
PROPSKILL_TXT_000081,Increases the target's DEX.,Erhöht die DEX des angewählten Spielers.
PROPSKILL_TXT_000082,Circle Healing,Circle Healing
PROPSKILL_TXT_000083,Heals nearby party members.,Heilt Partymitglieder in deiner Nähe.
PROPSKILL_TXT_000084,Mental Sign,Mental Sign
PROPSKILL_TXT_000085,Increases the target's INT.,Erhöht die Intelligenz des angewählten Spielers.
PROPSKILL_TXT_000086,Beef Up,Beef Up
PROPSKILL_TXT_000087,Increases the target's STR.,Erhöht die Angriffskraft des angewählten Spielers
PROPSKILL_TXT_000088,Burst Crack,Burst Crack
PROPSKILL_TXT_000089,"Pounds the ground, damaging enemies around you.",Das Knuckle mit aller Kraft in den Boden rammen und durch die Erschütterung des Bodens fügst du dem Gegner Schaden zu.
PROPSKILL_TXT_000090,Stonehand,Stonehand
PROPSKILL_TXT_000091,Grants all attacks a chance to stun.,Verstärkung der Waffe. Alle Waffen haben eine Betäubungsfunktion.
PROPSKILL_TXT_000092,Quick Step,Quick Step
PROPSKILL_TXT_000093,Increases the target's movement speed.,Erhöht die Bewegungsgeschwindigkeit des angewählten Spielers.
PROPSKILL_TXT_000094,Cat's Reflex,Cats Reflex
PROPSKILL_TXT_000095,Increases the target's block rate.,Erhöht die Abwehr des angewählten Spielers.
PROPSKILL_TXT_000096,Accuracy,Accuracy
PROPSKILL_TXT_000097,Increases the target's accuracy.,Erhöht die Treffsicherheit des angewählten Spielers.
PROPSKILL_TXT_000098,Power Fist,Power Fist
PROPSKILL_TXT_000099,Strikes the enemy three times with concentrated power.,Drei fokussierte Angriffe.
PROPSKILL_TXT_000100,Haste,Haste
PROPSKILL_TXT_000101,Increases the target's Attack Speed and Casting Speed.,Erhöhung des Angriffstempos des angewählten Spielers.
PROPSKILL_TXT_000102,Heal Rain,Heal Rain
PROPSKILL_TXT_000103,Heals nearby party members with powerful restorative energy.,Stellt eine Menge HP von Partymitgliedern in deiner Nähe wieder her.
PROPSKILL_TXT_000104,Holycross,Holy Cross
PROPSKILL_TXT_000105,Causes the next hit against the target to deal double damage.,Lässt den Gegner zweifachen Schaden durch Einschränkungen erleiden.
PROPSKILL_TXT_000106,Protect,Protect
PROPSKILL_TXT_000107,Increases the target's Defense and Magic Resistance.,Erhöht die physische und magische Verteidigung des angewählten Spielers.
PROPSKILL_TXT_000108,Holyguard,Holy Guard
PROPSKILL_TXT_000109,Protects the target from incoming critical hits for a limited time.,Erhöht den Magiewiderstand des angewählten Spielers.
PROPSKILL_TXT_000110,Spirit Fortune,Spiriture Fortune
PROPSKILL_TXT_000112,Gvur Tialla,Gvur Tialla
PROPSKILL_TXT_000113,Removes debuffs from the target.,Entfernt alle negativen Effekte von einem Spieler.
PROPSKILL_TXT_000114,Geburah Tiphreth,Geburah Tiphreth
PROPSKILL_TXT_000115,"Draws upon the inner strength of the user and nearby party members, increasing Attack, Attack Speed and Casting Speed for a limited time.",Verbessern der Fähigkeiten im Kampf für die Partymitglieder in deiner Nähe.
PROPSKILL_TXT_000116,Merkaba Hanzelrusha,Merkaba Hanzelrusha
PROPSKILL_TXT_000117,Summons a lingering effect that deals damage over time to enemies within its area.,Zieht einen heiligen Bereich um dich. Gegner erleiden in diesem Bereich Schaden.
PROPSKILL_TXT_000118,Belial Smashing,Belial Smashing
PROPSKILL_TXT_000119,Strikes the enemy with five powerful blows.,Fügt dem Feind fünf mächtige Schläge zu.
PROPSKILL_TXT_000120,Piercing Serpent,Piercing Serpent
PROPSKILL_TXT_000121,Fires a piercing beam at the enemy.,Feuert einen durchdringenden Strahl auf das Ziel.
PROPSKILL_TXT_000122,Blood Fist,Blood Fist
PROPSKILL_TXT_000123,Strikes the enemy with a heavy blow that causes bleeding.,Ein Angriff gegen den Gegner welcher diesen schwächt. Der Feind wird in den Bluten Status versetzt.
PROPSKILL_TXT_000124,Sonichand,Sonic Hand
PROPSKILL_TXT_000125,"A fast, straight punch.","Den Gegner angreifen, in dem man ihn sehr schnell mit dem Knuckle angreift."
PROPSKILL_TXT_000126,Asmodeus,Asmodeus
PROPSKILL_TXT_000127,Enhances the power of the wielded knuckle.,Erhöhung der Angriffsstärke durch das Verstärken der Knuckle Fähigkeiten.
PROPSKILL_TXT_000128,Baraqijal Esna,Baraqijal Esna
PROPSKILL_TXT_000129,Increases damage dealt to the target while also increasing their Attack.,"Erhöht den erhaltenen Schaden des Ziels, erhöht aber auch den Angriff des Ziels."
PROPSKILL_TXT_000130,Bgvur Tialbold,Bgvur Tialbold
PROPSKILL_TXT_000131,Strikes nearby enemies with an outward shockwave.,Einen Gegner mit einer Schockwelle angreifen.
PROPSKILL_TXT_000132,Asalraalaikum,Asalraalaikum
PROPSKILL_TXT_000133,A fully concentrated strike. Always consumes 100% MP.,Den Gegner mit voller Konzentration angreifen. Der MP verbrauch liegt bei 100%
PROPSKILL_TXT_000134,Flame Ball,Fire Boomerang
PROPSKILL_TXT_000135,Strikes the enemy with a ball of flame that may reduce the target's HP Restoration.,Den Gegner mit einem Boomerang aus Feuer angreifen. Kann die Heilungsfähigkeit reduzieren.
PROPSKILL_TXT_000136,Flame Geyser,Hot Air
PROPSKILL_TXT_000137,"Engulfs the enemy in a geyser of flame, dealing damage over time.",Den Gegner durch den Geist des Feuers wiederholt Schaden zufügen.
PROPSKILL_TXT_000138,Swordwind,Swordwind
PROPSKILL_TXT_000140,Strongwind,Strongwind
PROPSKILL_TXT_000141,A ranged wind attack that pushes the enemy back.,"Windangriff, der den Gegner aus der Ferne wegstößt"
PROPSKILL_TXT_000142,Blinkpool,Blinkpool
PROPSKILL_TXT_000143,Teleports you to a target point within range.,Sich durch die Magie bewegen.
PROPSKILL_TXT_000144,Ice Missile,Ice Missile
PROPSKILL_TXT_000145,Blasts the enemy with a missile of ice that may reduce the target's speed.,Dem Gegner durch das Durchbohren mit Eis Schaden zufügen.
PROPSKILL_TXT_000146,Lightning Ball,Lightning Ball
PROPSKILL_TXT_000147,Damages the enemy with a ball of static that may reduce the target's defense.,Dem Gegner durch statische Energie Schaden zufügen. Chance die Verteidigung des Ziels zu senken.
PROPSKILL_TXT_000148,Stone Spike,Spike Stone
PROPSKILL_TXT_000149,Damages the enemy with a stone spike that may stun.,Den Gegner durch einen Sturm massiver Steine Schaden zufügen. Der Gegner wird dabei betäubt.
PROPSKILL_TXT_000150,Mental Strike,Mental Strike
PROPSKILL_TXT_000151,A medium-ranged mental attack.,Dem Gegner mit mentaler Kraft Schaden zufügen.
PROPSKILL_TXT_000152,Fire Strike,Fire Strike
PROPSKILL_TXT_000153,"Blasts the enemy with a ball of fire, setting them ablaze and making them more susceptible to water attacks.",Schleudert einen riesigen Feuerball auf den Gegner.
PROPSKILL_TXT_000154,Wind Cutter,Wind Cutter
PROPSKILL_TXT_000155,"Slices the enemy with cutting winds, leaving them exposed and more susceptible to fire attacks.",Windiger Angriff aus der Ferne. Verringert den Widerstand des Ziels gegen Feuerangriffe.
PROPSKILL_TXT_000156,Waterball,Waterball
PROPSKILL_TXT_000157,A water attack that shoots multiple water orbs at the target.,Dem Gegner mit einem starken Wasserball Schaden zufügen.
PROPSKILL_TXT_000158,Water Well,Water Well
PROPSKILL_TXT_000159,"Soaks the enemy with rushing water, making them more susceptible to electricity attacks.",Dem Gegner durch eine sehr große Wassermenge Schaden zufügen.
PROPSKILL_TXT_000160,Lightning Ram,Lightning Ram
PROPSKILL_TXT_000161,Damages the enemy with an electric ball.,Dem Gegner mit einem elektrischen Ball Schaden zufügen.
PROPSKILL_TXT_000162,Lightning Shock,Lightning Shock
PROPSKILL_TXT_000163,"Blasts the enemy with a ball of lightning, electrifying them and making them more susceptible to earth attacks.",Dem Gegner mit einem elektrischen Schuss Schaden zufügen.
PROPSKILL_TXT_000164,Rock Crash,Rock Crash
PROPSKILL_TXT_000165,"Crushes the enemy with a massive stone, making them more susceptible to wind attacks.",Dem Gegner mit einem gigantischen Felsen Schaden zufügen.
PROPSKILL_TXT_000166,Rooting,Rooting
PROPSKILL_TXT_000167,"Binds the enemy with roots, immobilizing them.","Hält den Gegner davon ab, sich dir zu nähern."
PROPSKILL_TXT_000168,Demonology,Demonology
PROPSKILL_TXT_000169,Damages the enemy with a mental blast that reduces their Attack.,Die gegnerische Seele schädigen indem man böse Gedanken beschwört.
PROPSKILL_TXT_000170,Satanology,Satanology
PROPSKILL_TXT_000172,Psychic Bomb,Psychic Bomb
PROPSKILL_TXT_000173,Damages the enemy with a ball of mental energy.,Dem Gegner durch das Explodieren einer geistigen Bombe Schaden zufügen.
PROPSKILL_TXT_000174,Psychic Wall,Psychic Wall
PROPSKILL_TXT_000175,"Conjures a mystic wall at your location. On enemy contact, the wall pushes them back, reduces their movement speed, and deals minor damage.",Hält den Gegner mit Hilfe einer spirituellen Mauer von dir fern. 
PROPSKILL_TXT_000176,Spirit Bomb,Spirit Bomb
PROPSKILL_TXT_000177,Damages the enemy through the power of your mind.,Damages the enemy through the power of your mind.
PROPSKILL_TXT_000178,Crucio Spell,Crucio Spell
PROPSKILL_TXT_000179,Reflects damage from the enemy's basic attacks. Less effective in PvP.,Die Schäden von Skills und magischen Attacken zurückwerfen.
PROPSKILL_TXT_000180,Maximum Crisis,Maximum Crisis
PROPSKILL_TXT_000181,"Unleashes a powerful mental explosion that damages surrounding enemies, with a small chance to stun.","Beschädigt umliegende Feinde in einer starken mentalen Barriere. Geringe Chance, Ziele zu betäuben."
PROPSKILL_TXT_000182,Psychic Square,Psychic Square
PROPSKILL_TXT_000183,Damages the target enemy and enemies surrounding them with a psychic blast.,"Dem Gegner Schaden erleiden lassen, indem man sie im Chaos verwickelt."
PROPSKILL_TXT_000184,Firebird,Firebird
PROPSKILL_TXT_000185,Launches a fiery projectile that engulfs the enemy in towering flames.,Dem Gegner mit einem Feuerball des Phönix Schaden zufügen.
PROPSKILL_TXT_000186,Fire Mastery,Fire Mastery
PROPSKILL_TXT_000187,Enhances the power of Fire spells.,Erhöhung der Angriffsstärke von Magie mit Feuer Attribute.
PROPSKILL_TXT_000190,Lightning Strike,Thunder Strike
PROPSKILL_TXT_000191,Calls down a devastating bolt of lightning upon the enemy.,Dem Gegner durch einen starken elektrischen Blitz Schaden zufügen.
PROPSKILL_TXT_000192,Lightning Mastery,Lightning Master
PROPSKILL_TXT_000193,Enhances the power of Electric spells.,Erhöhen der Angriffstärke von Magie mit Blitz Attributen.
PROPSKILL_TXT_000194,Electric Shock,Electric Shock
PROPSKILL_TXT_000195,"Unleashes converging bolts of electricity that surge around surrounding enemies, damaging them and reducing their Magic Resistance.",Allen Gegnern durch die Generation einer starken Elektrowelle Schaden zufügen. Die Magieverteidigung der Gegner wird gesenkt.
PROPSKILL_TXT_000196,Stone Spear,Stone Spear
PROPSKILL_TXT_000197,"Hurls a spear of stone that shatters on impact, blasting the enemy with flying stone fragments.",Den Gegner mit einem Sturm von versteinerten Speeren angreifen.
PROPSKILL_TXT_000198,Earth Mastery,Earth Mastery
PROPSKILL_TXT_000199,Enhances the power of Earth spells.,Erhöhen der Angriffstärke von Magie mit Erd Attributen.
PROPSKILL_TXT_000200,Earthquake,Earthquake
PROPSKILL_TXT_000201,"Shatters the ground beneath the target enemy and surrounding enemies, sending chunks of earth flying outward, with a chance to reduce their Attack.","Schadet der Umgebung des Feindes. Hat eine Chance, den Angriff des Ziels zu senken."
PROPSKILL_TXT_000202,Iceshark,Iceshark
PROPSKILL_TXT_000203,"Fires an icy projectile that explodes on impact, bursting outward in freezing shards.",Dem Gegner mit einer starken Wolke aus Eis Schaden zufügen.
PROPSKILL_TXT_000204,Water Mastery,Water Mastery
PROPSKILL_TXT_000205,Enhances the power of Water spells.,Erhöhen der Angriffstärke von Magie mit Wasser Attributen.
PROPSKILL_TXT_000206,Poison Cloud,Poison Cloud
PROPSKILL_TXT_000207,"Summons a poisonous cloud above the target enemy, raining toxins that poison the target enemy and surrounding enemies over time.",Allen Gegnern mit saurem Regen Schaden zufügen.
PROPSKILL_TXT_000208,Void,Void
PROPSKILL_TXT_000209,Creates a powerful vacuum that crushes the enemy.,Dem Gegner durch ein absolutes Vakuum Schaden erleiden lassen.
PROPSKILL_TXT_000210,Wind Mastery,Wind Mastery
PROPSKILL_TXT_000211,Enhances the power of Wind spells.,Erhöhen der Angriffstärke von Magie mit Wind Attributen.
PROPSKILL_TXT_000212,Windfield,Windfield
PROPSKILL_TXT_000213,"Summons a field of cutting winds beneath the target enemy, damaging the target enemy and surrounding enemies, with a chance to reduce their movement speed.",Allen Gegnern durch einen herbeigerufenen starken Sturm Schaden zufügen. Die Geschwindigkeit der Gegner wird reduziert.
PROPSKILL_TXT_000214,Meteo Shower,Meteor Shower
PROPSKILL_TXT_000215,Calls down a shower of meteors that strike the target enemy and surrounding enemies.,Allen Gegnern durch fallende brennende Meteorbrocken Schaden zufügen.
PROPSKILL_TXT_000216,Lightning Storm,Lightning Storm
PROPSKILL_TXT_000217,"Summons a raging lightning storm that strikes the target enemy and surrounding enemies, with a chance to reduce Critical Damage.","Beschädigt Feinde in der Umgebung mit Elektroschocks. Chance, kritischen Schaden zu reduzieren."
PROPSKILL_TXT_000218,Sandstorm,Sandstorm
PROPSKILL_TXT_000219,"Engulfs the target enemy and surrounding enemies in a violent sandstorm, with a chance to reduce their accuracy.",Mehreren Gegnern durch Herbeirufen eines Sandsturms Schaden zufügen. Kleine Chance die Genauigkeit zu verringern.
PROPSKILL_TXT_000220,Blizzard,Avalanche
PROPSKILL_TXT_000221,"Summons a freezing blizzard on the target enemy, striking the target enemy and surrounding enemies, with a chance to stun.","Mehreren Gegnern Schaden zufügen, indem man einen Blizzard herbeiruft. Kleine Chance die Gegner dabei zu betäuben."
PROPSKILL_TXT_000222,Yo-Yo Mastery,Yo-Yo Mastery
PROPSKILL_TXT_000223,Increases damage dealt with Yo-Yos.,Erhöhen der Angriffskraft durch steigern der Yoyo Fähigkeiten.
PROPSKILL_TXT_000224,Bow Mastery,Bow Mastery
PROPSKILL_TXT_000225,Increases damage dealt with bows.,"Die Angriffskraft erhöht sich, wenn du einen Bogen benutzt."
PROPSKILL_TXT_000226,Dark Illusion,Dark Illusion
PROPSKILL_TXT_000227,Turns you invisible for a short time.,Verstecke deine Anwesenheit in der Dunkelheit.
PROPSKILL_TXT_000228,Junk Arrow,Junk Arrow
PROPSKILL_TXT_000229,"Fires multiple volleys of arrows wildly at the enemy, some of which may miss.","Schießt einen Pfeil, der den Gegner vergiften kann. Die Treffsicherheit ist niedrig."
PROPSKILL_TXT_000230,Fast Walker,Fast Walker
PROPSKILL_TXT_000231,Increases movement speed for a short time.,Für eine kurze Zeit wird die Geschwindigkeit erhöht mit der man sich bewegt.
PROPSKILL_TXT_000232,Aimed Shot,Aimed Shot
PROPSKILL_TXT_000233,"A slow, carefully aimed shot with a chance to deal double damage.",Den Gegner durch einen gezielten Schuss mit dem Bogen schwächen. Der Gegner kann doppelten Schaden erleiden.
PROPSKILL_TXT_000234,Slow Step,Slow Step
PROPSKILL_TXT_000235,An attack that may reduce the enemy's movement speed.,"Das Bein des Gegners Angreifen, um ihn zu verlangsamen."
PROPSKILL_TXT_000236,Silent Shot,Silent Shot
PROPSKILL_TXT_000237,A surprise attack that deals increased damage during Dark Illusion.,Ein Überraschungsangriff. Durch den Status von Dark Illusion wird die Angriffsstärke erhöht.
PROPSKILL_TXT_000238,Perfect Block,Perfect Block
PROPSKILL_TXT_000239,Increases your Block.,Erhöhen der Abwehr durch Konzentration auf die Bewegung des Gegners.
PROPSKILL_TXT_000240,Arrow Rain,Arrow Rain
PROPSKILL_TXT_000241,"Rains down arrows on the target enemy and surrounding enemies, dealing damage over time.","Durch einen Schuss in den Himmel, den Kopf des Gegners angreifen."
PROPSKILL_TXT_000242,Cross Line,Cross Line
PROPSKILL_TXT_000243,A Yo-Yo strike with a chance to stun the enemy.,Einen Angriff auf den Gegner durch das Kreuzen der Yoyos. Der Gegner kann betäubt werden.
PROPSKILL_TXT_000244,Auto Shot,Auto Shot
PROPSKILL_TXT_000245,"Fires multiple arrows at the enemy, with a chance to reduce their accuracy.",Schießt schnell einen Pfeil auf den Gegner. Der Gegner kann in Dunkelheit gehüllt werden.
PROPSKILL_TXT_000246,Snatch,Snitch
PROPSKILL_TXT_000247,Steals Penya from the target while under Dark Illusion. Must attack from behind.,Stiehlt Penya vom Gegner während man Dark Illusion benutzt. Du solltest hinter dem angewählten Ziel stehen.
PROPSKILL_TXT_000248,Counter Attack,Counter Attack
PROPSKILL_TXT_000249,Assume a counterattack stance that nullifies the next close-range attack against you and stuns the attacker. You cannot perform other actions while in this stance.,Nach dem Angriff eines Gegners erfolgt automatisch ein Gegenangriff.
PROPSKILL_TXT_000250,Deadly Swing,Deadly Swing
PROPSKILL_TXT_000251,A powerful Yo-Yo strike that may reduce the enemy's Attack Speed and Casting Speed.,Verursacht kritischen Schaden durch einen unvorhersehbaren Angriff mit dem Yoyo. Der Gegner kann den Status Bluten erleiden.
PROPSKILL_TXT_000252,Pulling,Pulling
PROPSKILL_TXT_000253,Pulls the target toward you using the Yo-Yo.,Zieht mit Hilfe der Yoyos ein Ziel zu dir.
PROPSKILL_TXT_000254,Critical Swing,Critical Swing
PROPSKILL_TXT_000255,Increases your Critical Chance and Block Penetration.,Erhöht die kritische Trefferrate mit dem Yo-Yo.
PROPSKILL_TXT_000256,Enchant Poison,Enchant Poison
PROPSKILL_TXT_000257,Imbues the Yo-Yo so attacks have a chance to inflict poison and increases Attack.,Erhöht die Angriffsstärke der Yoyos durch das Hinzufügen des Gift-Attributs.
PROPSKILL_TXT_000258,Enchant Blood,Enchant Blood
PROPSKILL_TXT_000259,Imbues the Yo-Yo so attacks have a chance to inflict bleeding and increases Attack.,"Erhöht die Angriffsstärke, wenn man ein Yoyo benutzt."
PROPSKILL_TXT_000260,Enchant Absorb,Enchant Absorb
PROPSKILL_TXT_000261,Imbues the Yo-Yo so attacks have a chance to drain HP and increases Attack.,"Erhöht die Angriffsstärke, indem man mit den Yoyos dem Gegner HP entzieht."
PROPSKILL_TXT_000262,Multi-Stab,Multi-Stab
PROPSKILL_TXT_000263,Strikes the enemy multiple times with the Yo-Yo.,Trifft den Gegner mehrmals mit dem Yo-Yo.
PROPSKILL_TXT_000264,Hit of Penya,Hit of Penya
PROPSKILL_TXT_000265,Consumes your own Penya to strike the enemy with devastating force.,"Einen Angriff mit Penya auf den Gegner starten, durch das Benutzen der Yoyos. Deine Penya werden dabei verbraucht."
PROPSKILL_TXT_000266,Escape,Escape
PROPSKILL_TXT_000267,Removes all debuffs from yourself.,Ermöglicht dir die Befreiung aus gewissen bewegungsbeeinflussenden Spielerskills. Dark Illusion muss zuerst ausgeführt werden.
PROPSKILL_TXT_000268,Vital Stab,Vital Stab
PROPSKILL_TXT_000269,A surprise attack that can only be used under Dark Illusion.,Einen Überraschungsangriff aus der Dunkelheit starten. Dark Illusion wird benötigt.
PROPSKILL_TXT_000270,Critical Shot,Fast Shot
PROPSKILL_TXT_000271,Increases Critical Chance for a limited time.,Erhöht die Geschwindigkeit beim Treffen mit dem Bogen.
PROPSKILL_TXT_000272,Ice Arrow,Ice Arrow
PROPSKILL_TXT_000273,"Shoots ice-covered arrows at the target enemy and surrounding enemies, reducing their movement speed.",Belegt einen Pfeil mit dem Eis Attribut und verlangsamt so den Gegner.
PROPSKILL_TXT_000274,Flame Arrow,Flame Arrow
PROPSKILL_TXT_000275,"Fires a flame-imbued arrow that leaves a burning field at the impact point, dealing damage over time to enemies within it.","Verursacht anhaltenden Feuerschaden, solange sich das Ziel im Effektbereich befindet und der Effekt aktiv ist."
