Key,English,German
PROPMAP_TXT_100052,Leren Chasm,Lerenkluft
PROPMAP_TXT_100053,Rhisis Catacombs,Katakomben von Rhisis
PROPMAP_TXT_100054,Guardiane Sanctuary,Guardiane Heiligtum
PROPMAP_TXT_100055,Leren Chasm (Medium),Lerenkluft (Mittel)
PROPMAP_TXT_100056,Leren Chasm (Hard),Lerenkluft (Schwer)
PROPMAP_TXT_100057,Leren Chasm (Extra Hard),Lerenkluft (Sehr schwer)
PROPMAP_TXT_100058,Leren Chasm (Nightmare),Lerenkluft (Albtraum)
PROPMAP_TXT_100059,Rhisis Catacombs (Hard),Katakomben von Rhisis (Schwer)
PROPMAP_TXT_100060,Rhisis Catacombs (Extra Hard),Katakomben von Rhisis (Sehr schwer)
PROPMAP_TXT_100061,Rhisis Catacombs (Nightmare),Katakomben von Rhisis (Albtraum)
PROPMAP_TXT_100062,Envy Depths (Extra Hard),Neidische Tiefen (Sehr schwer)
PROPMAP_TXT_100063,Envy Depths (Nightmare),Neidische Tiefen (Albtraum)
PROPMAP_TXT_100064,Guardiane Sanctuary (Nightmare),Guardiane Heiligtum (Alptraum)
PROPMAP_TXT_100065,Envy Depths (Medium),Neidische Tiefen (Medium)
PROPMAP_TXT_100066,Eggcellent's Meadow,Eggcellent's Meadow
PROPMAP_TXT_100067,Eggcellent's Meadow (Medium),Eggcellent's Meadow (Mittel)
PROPMAP_TXT_100068,Eggcellent's Meadow (Hard),Eggcellent's Meadow (Schwer)
PROPMAP_TXT_100069,Leren Chasm (Story),Lerenkluft (Story)
PROPMAP_TXT_100070,Rhisis Catacombs (Story),Katakomben von Rhisis (Story)
PROPMAP_TXT_100071,Envy Depths (Story),Neidische Tiefen (Story)
PROPMAP_TXT_100072,Guardiane Sanctuary (Story),Guardiane Heiligtum (Story)
PROPMAP_TXT_100073,Storm Peak (Story),Sturmgipfel (Story)
PROPMAP_TXT_200000,The Colosseum,Das Kolosseum
PROPMAP_TXT_100074,The Wilds (Story),Die Wildnis (Story)
PROPMAP_TXT_100075,The Wilds,Die Wildnis
PROPMAP_TXT_230001,Instance,Instanz
PROPMAP_TXT_100076,FWC Arena,FWC Arena
PROPMAP_TXT_100081,Leren Chasm (Cursed),Lerenkluft (Verflucht)
PROPMAP_TXT_100082,Rhisis Catacombs (Cursed),Katakomben von Rhisis (Verflucht)
PROPMAP_TXT_100083,Envy Depths (Cursed),Neidische Tiefen (Verflucht)
PROPMAP_TXT_100084,Guardiane Sanctuary (Cursed),Guardiane Heiligtum (Verflucht)
PROPMAP_TXT_100085,Storm Peak (Cursed),Sturmgipfel (Verflucht)
PROPMAP_TXT_200001,Beach House,Strandhaus
PROPMAP_TXT_200002,Blank World,Blanko Welt
PROPMAP_TXT_200003,Guild Ship,Gildenschiff
PROPMAP_TXT_200004,Forest House,Waldhaus
PROPMAP_TXT_200005,Volcano House,Vulkanhaus
PROPMAP_TXT_200006,Snow House,Schneehaus
PROPMAP_TXT_200007,Housing Specialist,Housing Spezialist
PROPMAP_TXT_200008,Pet Tamer,Pet Tamer
PROPMAP_TXT_200009,Beach House (S),Strandhaus (S)
PROPMAP_TXT_200010,Beach House (M),Strandhaus (M)
PROPMAP_TXT_200011,Beach House (L),Strandhaus (L)
PROPMAP_TXT_200012,Kalgas Assault Realm,Kalgas-Angriffsgebiet
PROPMAP_TXT_200013,Darken House,Darken Haus
PROPMAP_TXT_100086,2nd Anniversary,2. Jubiläum
PROPMAP_TXT_100087,2nd Anniversary (Medium),2. Jubiläum (Medium)
PROPMAP_TXT_100088,2nd Anniversary (Hard),2. Jubiläum (Hard)
PROPMAP_TXT_100200,[Event] Envy Depths (Easy),[Event] Neidische Tiefen (Easy)
PROPMAP_TXT_100201,[Event] Envy Depths (Medium),[Event] Neidische Tiefen (Medium)
PROPMAP_TXT_100202,[Event] Envy Depths (Hard),[Event] Neidische Tiefen (Hard)
PROPMAP_TXT_100089,Lv.15+,Lv.15+
PROPMAP_TXT_100090,Lv.20+,Lv.20+
PROPMAP_TXT_100091,Lv.80+,Lv.80+
PROPMAP_TXT_100092,Lv.100+,Lv.100+
PROPMAP_TXT_100093,Lv.25+,Lv.25+
PROPMAP_TXT_100097,Lv.120+,Lv.120+
PROPMAP_TXT_200014,Fall House,Herbst Haus
PROPMAP_TXT_200015,Fall House (S),Herbst Haus (S)
PROPMAP_TXT_200016,Fall House (M),Herbst Haus (M)
PROPMAP_TXT_200017,Fall House (L),Herbst Haus (L)
PROPMAP_TXT_200018,Blank House (Couple),Blanko Haus (Couple)
PROPMAP_TXT_200019,Beach House (Couple),Strand Haus (Couple)
PROPMAP_TXT_200020,Darken House (Couple),Darken Haus (Couple)
PROPMAP_TXT_200021,Forest House (Couple),Wald Haus (Couple)
PROPMAP_TXT_200022,Fall House (Couple),Herbst Haus (Couple)
PROPMAX_TXT_200023,Herneos,Herneos
PROPMAP_TXT_200024,Boss Monster Raid,Boss Monster Raid
PROPMAP_TXT_100094,[Event] Halloween Dungeon,[Event] Halloween Dungeon
PROPMAP_TXT_100095,[Event] Halloween Dungeon (Normal),[Event] Halloween Dungeon (Normal)
PROPMAP_TXT_100096,[Event] Halloween Dungeon (Hard),[Event] Halloween Dungeon (Hard)
PROPMAP_TXT_200025,Snowfield,Schneefeld
PROPMAX_TXT_200026,Ankou's Asylum,Ankou's Zuflucht
PROPMAP_TXT_200027,Kaillun Temple,Tempel von Kaillun
PROPMAP_TXT_200028,Eillun,Eillun
PROPMAP_TXT_200029,Kaillun,Kaillun
PROPMAP_TXT_200030,Leren Chasm (Infernal),Lerenkluft (Infernal)
PROPMAP_TXT_200031,Rhisis Catacombs (Infernal),Katakomben von Rhisis (Infernal)
PROPMAP_TXT_200032,Envy Depths (Infernal),Neidische Tiefen (Infernal)
PROPMAP_TXT_200033,Guardiane Sanctuary (Infernal),Guardiane Heiligtum (Infernal)
PROPMAP_TXT_200034,Storm Peak (Infernal),Sturmgipfel (Infernal)
PROPMAP_TXT_200035,The Wilds (Infernal),Die Wildnis (Infernal)
PROPMAP_TXT_200036,Ankou's Asylum (Story),Ankou's Zuflucht (Story)
PROPMAP_TXT_200037,Seabed,Meeresboden
PROPMAP_TXT_200038,Rescue [Eillun Farmer] Sprout,Rescue [Eillun Farmer] Sprout
PROPMAP_TXT_200039,Rescue [Eillun Farmer] Thorn,Rescue [Eillun Farmer] Thorn
PROPMAP_TXT_200040,Defend [Eillun Farmer] Dr. Root,Defend [Eillun Farmer] Dr. Root
PROPMAP_TXT_200041,Rescue [Eillun Farmer] Dr. Root,Rescue [Eillun Farmer] Dr. Root
PROPMAP_TXT_200042,Mysterious Castle,Mysterious Castle
PROPMAP_TXT_200043,Euphresia,Euphresia
PROPMAP_TXT_200044,Kebaras 2,Kebaras 2
