Key,English,Traditional_Chinese
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,特調魔力多 (大)
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,終極魔力多
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,金閃閃藥丸
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,閃耀金藥丸
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,強韌肌膚配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,力量上升配方
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,老虎藥水
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,兔兔藥水
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,狐狸藥水
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,獅子藥水
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,精準配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,逃避配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,迅捷配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,清晰配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,魯莽配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,出血配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,迅捷腳步配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,快速恢復生命配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,快速恢復魔力配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,快速恢復活力配方
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,能量刷新劑
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,強效精力多
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,處理好的無名魚
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,處理好的無名魚 2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,處理好的蝦子
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,處理好的蝦子 2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,處理好的鱈魚
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,處理好的鱈魚 2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,處理好的鯡魚
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,處理好的鯡魚 2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,處理好的魷魚
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,處理好的魷魚 2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,處理好的鯖魚
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,處理好的鯖魚 2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,處理好的鰻魚
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,處理好的鰻魚 2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,處理好的鮭魚
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,處理好的鮭魚 2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,處理好的鮪魚
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,處理好的鮪魚 2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,起司
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,番茄醬
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,麵糰
PRODUCTION_RECIPE_NAME_BUTTER,Butter,奶油
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,美乃滋
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,白飯
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,魚露
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,棒棒糖
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,肉串
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,餅乾
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,魚丸
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pancake,海鮮煎餅
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,鮮魚濃湯
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,麵包
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,香腸火鍋
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,熱狗
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,燉魚湯
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,可樂餅
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,清蒸海鮮
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,烤鯖魚
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,炸雞腿
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,炸魷魚
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,碎星糖
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,魚排
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,肉沙拉
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,海鮮披薩
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,炸蝦
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,蝦仁炒飯
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,焗烤
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,珊瑚島咖哩
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,鮪魚壽司
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,紅色魚丸
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,藍色魚丸
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,綠色魚丸
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,紫色魚丸
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,彩虹魚丸
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,橘色魚丸
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,天藍色魚丸
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,黃色魚丸
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,粉紅色魚丸
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,灰色魚丸
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,白色魚丸
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,醃鯡魚
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,鮭魚排
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,鮮魚三明治
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,碳烤鹽味鰻魚
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,夾板
PRODUCTION_RECIPE_NAME_RESIN,Resin,樹脂
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,塗裝材料
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,雪松硬木
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,櫻桃木硬木
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,松木硬木
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,楓木硬木
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,橡木硬木
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,胡桃木硬木
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,柚木硬木
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,烏木硬木
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,桃花心木硬木
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,紅色顏料
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,藍色顏料
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,黃色顏料
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,綠色顏料
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,黑色顏料
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,白色顏料
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,金色顏料
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,木製椅
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,木桌子
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,木抽屜
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,木書櫃
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,木沙發
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,木黃色椅子
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,木黃色桌子
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,木製黃色梳妝台
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,木製黃色衣櫃
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,木製黃色長椅
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,木黃色櫃子
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,木製黃色床
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,木製藍色椅子
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,木製藍色桌子
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,木製藍色化妝桌
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,木製藍色衣櫃
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,木製藍色長椅
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,木製藍色櫃子
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,木製藍色床
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,木製紅色椅子
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,木製紅色桌子
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,木製紅色化妝桌
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,木製紅色衣櫃
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,木製紅色長椅
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,木製紅櫃
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,木製紅色床
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,音樂椅
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,音樂桌
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,音樂化妝桌
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,音樂衣櫃
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,音樂沙發
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,音樂櫃
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,音樂床
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,摩登椅
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,摩登桌
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,摩登化妝桌
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,摩登衣櫃
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,摩登沙發
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,摩登櫥櫃
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,摩登床
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,設計黑椅子
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,設計白椅子
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,設計桌
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,設計抽屜
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,設計書櫃
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,設計沙發
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,紅心椅
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,紅心桌
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,紅心化妝桌
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,紅心衣櫃
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,紅心沙發
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,紅心櫃子
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,紅心床
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,靠墊椅
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,古董書桌
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,指揮平台
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,小桌子
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,抽屜
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,雙人床
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,皇家椅
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,皇家桌
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,皇家化妝桌
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,皇家衣櫃
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,皇家沙發
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,皇家床
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,皇家抽屜
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,皇家書櫃
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,皇家書桌
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,皇家浴缸
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,金色皇家椅
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,金色皇家著
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,金色皇家化妝桌
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,金色皇家衣櫃
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,金色皇家沙發
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,金色皇家床
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,金色皇家抽屜
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,金色皇家書櫃
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,金色皇家桌子
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,金色皇家浴缸
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,鍊金桌
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,火爐
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,木匠臺
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,鍛造臺
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,寶石粉末
PRODUCTION_RECIPE_NAME_MARBLE,Marble,大理石
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,水晶
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,拋光綠松石
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,青銅
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,孔雀石
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,拋光玉石
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,拋光白銀
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,拋光黃金
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,拋光白金
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,拋光鑽石
PRODUCTION_RECIPE_NAME_GLASS,Glass,玻璃
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,仿珍珠
PRODUCTION_RECIPE_NAME_FLASK,Flask,燒瓶
PRODUCTION_RECIPE_NAME_HINGE,Hinge,鉸鏈
PRODUCTION_RECIPE_NAME_SPRING,Spring,彈簧
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,金色球體
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,寶石串線
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,銀工藝品
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,金工藝品
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,旋轉地球儀
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,吊燈
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,鏡子
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,攻擊銀工藝品
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,防禦銀工藝品
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,攻擊金工藝品
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,魔法攻擊金工藝品
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,防禦金工藝品
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,魔法抗性金工藝品
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,火屬性攻擊切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,水屬性攻擊切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,風屬性攻擊切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,地屬性攻擊切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,雷屬性攻擊切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,火屬性防禦切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,水屬性防禦切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,風屬性防禦切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,地屬性防禦切割玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,雷屬性防禦切割玉石
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,活力戒指
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,體力戒指
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,敏捷戒指
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,神意戒指
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,防護耳環
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,破壞耳環
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,生命項鍊
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,魔力項鍊
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,活力項鍊
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,神魄耳環
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,神御耳環
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,神影耳環
PRODUCTION_RECIPE_NAME_PEP,Pep,神脈項鍊
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,神源項鍊
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,神息項鍊
PRODUCTION_RECIPE_NAME_STRENTE,Strente,神力戒指
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,神意戒指
PRODUCTION_RECIPE_NAME_DEXION,Dexion,神形戒指
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted Silver Ring,手工銀戒指
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted Gold Ring,手工金戒指
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted Platinum Ring,手工白金戒指
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted Diamond Ring,手工鑽石戒指
