Key,English,Filipino
WDKEBARAS2_WLD_000001,This is a safe place.,This is a safe place.
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000000,Kebaras 2,Kebaras 2
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals...","Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals..."
WDMADRIGAL_WLD_000000,Mysterious Castle,Misteryosong Kastilyo
WDMADRIGAL_WLD_000001,This place is not marked on the map. No one knows how to enter it...,Hindi nakalagay sa mapa ang lugar na ito. Wala pang nakakaalam kung paano makapasok dito...
WDMADRIGAL_WLD_000002,Refuge of Middle Leren Mountains,Silungan ng Gitnang Kabundukan ng Leren
WDMADRIGAL_WLD_000003,Line Flarine ↔ Saint City,Linya Flarine ↔ Saint City
WDMADRIGAL_WLD_000004,Line Flarine ↔ Darkon 1,Linya Flarine ↔ Darkon 1
WDMADRIGAL_WLD_000005,Line Flarine ↔ Mars Mine,Linya Flarine ↔ Mars Mine
WDMADRIGAL_WLD_000006,Line Saint City ↔ Garden of Rhisis,Linya Saint City ↔ Hardin ni Rhisis
WDMADRIGAL_WLD_000007,Line Saint City ↔ Fantasy Desert,Linya Saint City ↔ Disyerto ng Pantasya
WDMADRIGAL_WLD_000008,Line Darkon 1 ↔ Darken,Linya Darkon 1 ↔ Darken
WDMADRIGAL_WLD_000009,Line Darken ↔ Arians,Linya Darken ↔ Arians
WDMADRIGAL_WLD_000010,Line Arians ↔ Guardiane,Linya Arians ↔ Guardiane
WDMADRIGAL_WLD_000011,Line Arians ↔ Deadwallderness,Linya Arians ↔ Deadwallderness
WDMADRIGAL_WLD_000012,Azria\nAbandoned Erons Factory,Azria\nInabandunang Pabrika ng Erons
WDMADRIGAL_WLD_000013,Azria\nVillage,Azria\nNayon
WDMADRIGAL_WLD_000014,Line Deadwallderness ↔ Azria,Linya Deadwallderness ↔ Azria
WDMADRIGAL_WLD_000015,Storm Peak Entrance,Pasukan ng Tuktok ng Bagyo
WDMADRIGAL_WLD_000017,Envy Depths Entrance,Pasukan ng Kalaliman ng Inggit
WDMADRIGAL_WLD_000019,Guardiane Sanctuary Entrance,Pasukan ng Santuwaryo ng Guardiane
WDMADRIGAL_WLD_000021,Leren Chasm Entrance,Pasukan ng Bangin ng Leren
WDMADRIGAL_WLD_000022,Wilds Entrance,Pasukan ng Gubat
WDMADRIGAL_WLD_000023,Rhisis Catacombs,Katakumba ni Rhisis
WDMADRIGAL_WLD_000024,This is a safe place.,Ito ay ligtas na lugar.
WDMADRIGAL_WLD_000025,The Wilds Entrance,Pasukan ng Gubat
WDMADRIGAL_WLD_000026,Coral Village,Nayon ng Coral
WDMADRIGAL_WLD_000028,Coral Island,Pulo ng Coral
WDMADRIGAL_WLD_000029,Welcome to Coral!,Maligayang pagdating sa Coral!
WDMADRIGAL_WLD_000030,Red Sea,Pulang Dagat
WDMADRIGAL_WLD_000032,Deep Sea,Malalim na Dagat
WDMADRIGAL_WLD_000034,Swamp,Latisan
WDMADRIGAL_WLD_000035,Saint City Arena,Arena ng Saint City
WDMADRIGAL_WLD_000036,This place was famous long ago...,Sikat ang lugar na ito noon pa man...
WDMADRIGAL_WLD_000037,Kaillun,Kaillun
WDMADRIGAL_WLD_000038,Welcome to Kaillun!,Maligayang pagdating sa Kaillun!
WDMADRIGAL_WLD_000039,Orbalune Port,Daungan ng Orbalune
WDMADRIGAL_WLD_000040,This is a safe place.,Ito ay ligtas na lugar.
WDMADRIGAL_WLD_000041,Kaillun Grassland,Damuhan ng Kaillun
WDMADRIGAL_WLD_000042,Dreknir Ridge,Tagaytay ng Dreknir
WDMADRIGAL_WLD_000043,Lionrath Falls,Talon ng Lionrath
WDMADRIGAL_WLD_000044,Velora Cliffs,Bangin ng Velora
WDMADRIGAL_WLD_000045,Dreknir Forest,Gubat ng Dreknir
WDMADRIGAL_WLD_000046,Ankou's Asylum Entrance,Pasukan ng Asilo ni Ankou
WDMADRIGAL_WLD_000047,This is a safe place.,Ito ay ligtas na lugar.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000000,Darkon 1\nErons Factory 2,Darkon 1\nPabrika ng Erons 2
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000001,Erons Factory 2. Used to produce Erons.,Pabrika ng Erons 2. Ginagamit upang gumawa ng Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000002,The Middle of Leren Mountains,Gitna ng Kabundukan ng Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000003,The middle district of Leren Mountains in Flaris.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,Ang gitnang distrito ng Kabundukan ng Leren sa Flaris.\nNarito ang Tirahan ng mga High-Dwarpets at ang Kapatagan ng Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000004,Flarine\nCentral Flarine,Flarine\nGitnang Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000005,The main hub of activity for Flaris is in the middle of Flarine.\nThere is a station and a public office.\nThere are stores for armor and weapons.,Ang pangunahing sentro ng mga gawain sa Flaris ay nasa gitna ng Flarine.\nMay istasyon at pampublikong tanggapan dito.\nMayroon ding mga tindahan ng baluti at sandata.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000006,Flarine\nEastern Flarine,Flarine\nSilangang Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000007,"The eastern part of Flarine.\nHere you can get food, magic materials, and job training.","Ang silangang bahagi ng Flarine.\nDito ka makakakuha ng pagkain, mahikang materyales, at pagsasanay sa trabaho."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000008,Flarine\nNorthern Flarine,Flarine\nHilagang Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000009,The northern part of Flarine.\nThe Job Masters and Lodestar are here.,Ang hilagang bahagi ng Flarine.\nNarito ang mga Job Master at ang Lodestar.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000010,Someone is watching you.,May nagmamasid sa iyo.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000011,Plain of Bubble,Kapatagan ng Bubble
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000012,This area was created by the Clown God Bubble.,Itong lugar na ito ay ginawa ng Payasong Diyosa na si Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000013,The South of Leren Mountains,Ang Timog ng Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000014,The southern district of the Leren Mountains.,Ang timog na distrito ng Leren Mountains.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000015,The Center for Guild Combat,Sentro ng Labanan ng Guild
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000016,Guild combat is managed here.,Dito pinamamahalaan ang labanan ng guild.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000017,The South of Leren Mountains\nAltar of Dreadpet,Ang Timog ng Leren Mountains\nAltar ng Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000018,Dreadpet is kept here.\nHis keepers control great magic.,Ang Dreadpet ay nananatili dito.\nAng kanyang tagapagalaga ay malakas ang mahika.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000019,Darkon 1\nErons Factory 1,Darkon 1\nPabrika ng Erons 1
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000020,The First Erons Factory.\nThis factory produces 80% of all Erons.,Ang unang Pabrika ng Erons.\nAng pabrikang ito ay gumagawa ng 80% ng lahat ng mga Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000021,Darkon\nAltar of Violet,Darkon\nAltar ng Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000022,There is evidence here of a major event.,Mayroong ebidensiya dito ng isang malaking kaganapan.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000023,The Middle of Leren Mountains,Gitna ng Kabundukan ng Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000024,The middle of the Leren Mountains.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,Kalagitnaan ng Leren Mountains.\nDito ang tirahan ng mga High-Dwarpets at ang kapatagan ng Bula.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000025,Billeting Place of High-Dwarpets,Tirahan ng High-Dwarpets
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000026,The High-Dwarpets have created Billeting place.\n A certain High-Dwarpet once stored the Book of Technique here.,Itinatag ng mga High-Dwarpets ang tirahang ito.\nMinsang itinago rito ng isang High-Dwarpet ang Aklat ng Teknik.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000027,Northern River of Weeping,Hilagang Ilog ng Pag-iyak
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000028,Haunt of Nyangnyang,Pinamumugaran ng Nyangnyang
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000029,Haunt of Nyangnyang.,Pinamumugaran ng Nyangnyang.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000030,The bridge was repaired!\n You used to have to jump across a gap.,"Naayos na ang tulay!\nDati, kailangan mo pang tumalon sa puwang para makatawid."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000031,Lodelight,Lodelight
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000032,This is a safe place.,Ito ay ligtas na lugar.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000033,Madren Town,Bayan ng Madren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000034,This is a small town for Demian.\nCast-off Demian live here.,Ito ay isang maliit na bayan para sa Demian.\nAng pinalayas na Demian ay nakatira sa bayan na ito.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000035,Middle of River of Weeping,Gitna ng Ilog ng Pag-iyak
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000036,This river overflows when it rains every once in a while.\nHigh-Dwarpet can sometimes be seen bathing here.,Ang ilog na ito ay umaapaw pag umuulan paminsan-minsan.\nNaliligo dito minsan ang mga High-Dwarpet.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000037,Madren Town\nAltar of Dreadpet,Madren Town\nAltar ng Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000038,Another place for controlling the Dreadpet.\nThere are supervisors here that use strong magic.,Isa pa itong lugar para kontrolin ang Dreadpet.\nMay mga tagapangasiwa rito na gumagamit ng malalakas na mahika.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000039,Fountain of Dead Person,Batis ng Yumao
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000040,"It is known that souls gather together in this place.\nAccording to tradition, the water in this place gives perennial youth and long life.","Nabatid na ang mga kaluluwa ay nagtitipon-tipon sa lugar na ito.\nAyon sa tradisyon, ang tubig sa lugar na ito ay nagbibigay ng pangmatagalang kabataan at mahabang buhay."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000041,Northern Leren Mountains,Hilagang Kabundukan ng Leren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000042,The northern district of the Leren Mountains.\nThe Mars Mine and the Fountain of Dead Person are here.,Ang hilagang distrito ng Kabundukan ng Leren.\nNarito ang Mars Mine at ang Fountain of Dead Person.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000043,Mars Mine,Minahan ng Mars
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000044,"This Mine was found and developed by mining merchants long ago.\n However, the place is overrun with Masquerpets now.",Matagal nang natuklasan at pinaunlad ng mga mangangalakal ng mina ang minahang ito.\nNgunit ngayo'y pinamumugaran na ito ng mga Masquerpet.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000045,The residence of Ludviehill,Ang tirahan sa Ludviehill
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000046,The rich of Flaris live in Ludviehill.,Ang mayayaman ng Flaris ay nakatira sa Ludviehill.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000049,Saint Tree,Puno ng Santo
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000050,Saint Tree is really old\n This tree is one of the symbols of Saint Morning.,Napakatanda na ng Saint Tree.\nIsa ang punong ito sa mga simbolo ng Saint Morning.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000051,Saint Morning\nAltar of Violet,Saint Morning\nAltar ng Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000052,"Here, as in other places, there is evidence of a major event.","Dito, tulad ng sa ibang mga lugar, mayroong katibayan ng isang malaking kaganapan."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000053,Northern Hillid Mountains,Hilagang Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000054,The Northern district of the Hillid Mountains,Ang Hilagang distrito ng Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000055,Eastern River of Weeping,Silangang Ilog ng Pag-iyak
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000056,The Eastern part of the River of Weeping\nAltar of Dreadpet,Ang Silangang bahagi ng Ilog ng Pag-iyak\nAltar ng Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000057,Another Altar to the Dreadpet.\nThe magic of the Dreadpet tamers electrifies the air.,Isa pa itong altar para sa Dreadpet.\nPinakikidlat ng mahika ng mga tagapagpaamo ng Dreadpet ang hangin.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000058,Saint Morning\nSaint Hall,Saint Morning\nBulwagang Saint
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000059,Saint Hall is the oldest building. It has been standing longer than anyone in town has been alive.\nPublic offices and the laboratory are located in this building.,Ang Saint Hall ang pinakamatandang gusali. Mas matagal na itong nakatayo kaysa sa habang-buhay ng sinuman sa bayang ito.\nMatatagpuan sa gusaling ito ang mga pampublikong tanggapan at ang laboratoryo.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000060,Saint Morning,Saint Morning
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000061,Saint Morning has gained independence from Flaris.\nThey have made a fortune from commerce.,Ang Saint Morning ay nakakuha ng kalayaan mula sa Flaris.\nGumawa sila ng malaking kayamanan mula sa komersiyo.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000062,Saint Morning\nStation,Saint Morning\nIstasyon
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000063,This is the biggest station on Madrigal.\nSaint Morning could become the center of commerce for Madrigal by using this station.,Ito ang pinakamalaking istasyon sa Madrigal.\nAng Saint Morning ay maaaring maging sentro ng komersyo ng Madrigal sa pamamagitan ng paggamit sa istasyong ito.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000064,Saint Morning square,Plaza ng Saint Morning
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000065,Saint Morning square is a local hang out.\nThere is lots of space to open stores.,Ang Saint Morning square ay lokal na tambayan.\nMayroong maraming espasyo upang magbukas ng mga tindahan.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000066,Saint Morning\nThe Madrigal History Society.,Saint Morning\nSamahan ng Kasaysayan ng Madrigal.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000067,Research in the History of Madrigal is being made here.,Ang pananaliksik sa Kasaysayan ng Madrigal ay ginagawa dito.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000068,Flaris\nAltar of Violet,Flaris\nAltar ng Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000069,"There is a certain smell in the air and stones litter the landscape, evidence of a major event.","May isang tiyak na amoy sa hangin at mga bato ay nagkakalat sa tanawin, katibayan ng isang malaking kaganapan."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000070,The Garden of Rhisis,Ang Hardin ni Rhisis
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000071,The Garden of Rhisis.\nThis once used to be a beautiful place but was ruined in the war with Clockworks.,Ang Hardin ni Rhisis.\nDati itong magandang lugar ngunit nasira sa digmaan sa Clockworks.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000072,Fantasy Desert,Disyerto ng Pantasya
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000073,"You can see stone pillars around the desert.\nAccording to rumor, there are temples that lie buried under this desert.","Makikita mo ang mga haliging bato sa paligid ng disyerto.\nAyon sa bulung-bulungan, may mga templong nakabaon sa ilalim ng disyerto na ito."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000074,You can hear the sound of digging close by.,Maririnig mo ang tunog ng paghuhukay sa malapit.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000075,The Entrance to Fantasy Desert,Ang Pasukan sa Disyerto ng Pantasya
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000076,"A desert with a lot of unknown, unexplained, buildings.","Isang disyerto na may maraming hindi alam, hindi maipaliwanag na mga gusali."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000077,Southern Hillid Mountains,Timog na Kabundukan ng Hillid
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000078,The southern Hillid Mountains.\nThe Entrance to the Fantasy Desert and Plateau of Silence is here.,Ang timog na bahagi ng Kabundukan ng Hillid.\nNarito ang pasukan papuntang Fantasy Desert at Plateau of Silence.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000079,Plateau of Silence\nGravity Disorder Area,Talampas ng Katahimikan\nLugar ng Gravity Disorder
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000080,"It is impossible to fly in this area of Madrigal. According to a research group, gravity is stronger here than anywhere else in the world.","Imposibleng lumipad sa lugar na ito ng Madrigal. Ayon sa isang research group, mas malakas ang gravity dito kaysa saanman sa mundo."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000081,Hill of Shade,Burol ni Shade
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000082,"Shade, the Clown Goddess was here.\nShe created this place in the time it takes to blink an eye.","Dito minsang naroon si Shade, ang Diyosang Payaso.\nNilikha niya ang lugar na ito sa isang kisapmata."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000083,This is a safe place.,Ito ay isang ligtas na lugar. Ligtas ka sa mga kaaway.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000084,Pumpkin Town\nThe Home of Mr. Pumpkin.,Pumpkin Town\nAng Tahanan ni Mr. Pumpkin.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000085,"This town was made by people who dislike the city life of Saint Morning.\nHowever, this town was ruined because of an invasion of Mr. Pumpkins.","Ang bayang ito ay ginawa ng mga taong ayaw sa buhay lungsod ng Saint Morning.\nGayunpaman, ang bayang ito ay nasira dahil sa isang pagsalakay ng mga Mr. Pumpkin."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000086,Central Hillid Mountains,Kabundukan ng Gitnang Hillid
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000087,The central area of the Hillid Mountains.,Ang gitnang lugar ng Hillid Mountains.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000088,Darkon 3\nMagmient,Darkon 3\nMagmient
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000089,The molten terrain of Darkon 3 makes for hard travel.\nOrdinary people do not enter because of the danger.,Pinapahirapan ng tunaw na lupain ng Darkon 3 ang paglalakbay rito.\nHindi pumapasok ang mga ordinaryong tao dahil sa panganib.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000090,Altar of Jester,Altar ng Jester
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000091,This altar was made for admiring the glory of Jesters.\nA priest named Homeit is managing this altar.,Ang altar na ito ay ginawa para sa paghanga sa kaluwalhatian ng Jesters.\nIsang pari na nagngangalang Homeit ang namamahala sa altar na ito.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000092,Darkon 3\nBrekin,Darkon 3\nBrekin
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000093,"This was an industrial area for refining Erons.\nHowever, this area was abandoned because of growing danger in the area.","Ito ay isang pang-industriyang lugar para sa pagdadalisay ng Erons.\nGayunpaman, ang lugar na ito ay inabandona dahil sa lumalaking panganib sa lugar."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000094,Darkon 3\nArians,Darkon 3\nArians
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000095,This area consists of giant pools. This blue water dissolved Erons.,Ang lugar na ito ay binubuo ng mga higanteng lawa. Ang asul na tubig na ito ay nakakatunaw ng Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000096,Engisis Length,Haba ng Engisis
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000097,"The largest, most mysterious tree in Madrigal.",Ang pinakamalaki at pinak misteryosong puno sa Madrigal.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000098,Darkon 3\nDeadwallderness,Darkon 3\nDeadwallderness
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000099,The wasteland of Darkon 3. Smoke rises from the ground that smells like dead things.,Ang kaparangan ng Darkon 3. Usok mula sa lupa na amoy patay.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000100,Darkon 3\nAniceknight,Darkon 3\nAniceknight
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000101,The local plants have mutated and grown large.,Ang mga lokal na halaman ay nag-mutate at lumaki.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000102,Darkon 3\nHouse of Laola,Darkon 3\nBahay ni Laola
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000103,A mysterious aura has wrapped itself around the home of Laola,Isang misteryosong aura ang bumalot sa tahanan ni Laola.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000104,Altar of Ranger,Altar ng Ranger
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000105,This altar was made for admiring the glory of the Ranger.\nA priest named Rupim is managing this altar.,Ang altar na ito ay ginawa para sa paghanga sa kaluwalhatian ng Ranger.\nIsang pari na nagngangalang Rupim ang namamahala sa altar na ito.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000106,Altar of Psykeeper,Altar ng Psykeeper
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000107,Place where the Soulstone of Psykeeper is kept.\nThe admirers of the hero Offerep\nmake a pilgrimage here every year.,Lugar kung saan nakalagay ang Soulstone ng Psykeeper.\nAng mga humahanga sa bayaning si Offerep\ngumawa ng peregrinasyon dito taun-taon.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000108,Darkon 3\nWestern Cendil,Darkon 3\nKanlurang Cendil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000109,The polluted river flows and corrupts the wildlife of the area.\nThings grow large and nasty in this area.,Ang maruming ilog ay dumadaloy at sinisira ang wildlife ng lugar.\nLumalaki at napakarumi ang mga bagay sa lugar na ito.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000110,Darkon 3\nHeret,Darkon 3\nHeret
