Key,English,Filipino
TEXTCLIENT_TROUPEREAPITEM,%s has gained %s.,%s ay nakakuha ng %s.
TEXTCLIENT_APP_INVENTORY,Inventory,Imbentaryo
TEXTCLIENT_REAPMONEY,You received %s Penya (Total: %s Penya).,Ikaw ay nakatanggap ng %s Penya (Kabuuan: %s Penya).
TEXTCLIENT_ERROR_SEX,%s is not for your gender.,%s ay hindi para sa iyong kasarian.
TEXTCLIENT_ERROR_JOB,You cannot equip the %s. Requirements not met.,Hindi mo pwedeng isuot ang %s. Hindi natugunan ang mga kinakailangan.
TEXTCLIENT_ERROR_LEVEL,You cannot equip this item because your level is too low. (Req Lev: %d),Hindi mo pwedeng isuot ang item na ito dahil masyadong mababa ang iyong level. (Req Lev: %d)
TEXTCLIENT_ERROR_UNDESTRUCTABLE,You can not discard this item.,Hindi pwedeng itapon ang item na ito.
TEXTCLIENT_ERROR_USINGITEM,You are already using this item.,You are already using this item.
TEXTCLIENT_SUCCESSREMOVEITEM,Number of %s deleted: %d.,Bilang ng %s na tinanggal: %d.
TEXTCLIENT_NOTARGET,"Cannot attack, no monster targeted.","Hindi pwedeng atakihin, walang monster na naka-target."
TEXTCLIENT_NOTUSE,You cannot use this yet.,Hindi pa pwedeng gamitin ito.
TEXTCLIENT_ERROR_NOTLEVEL,Your level is too low.,Masyadong mababa ang iyong level.
TEXTCLIENT_BLOCK_PM,%s is in the 'Refuse to Whisper/Messenger' setting.,%s ay nasa 'Refuse to Whisper/Messenger' setting.
TEXTCLIENT_YETTRADE,That player is currently busy. Please try again after few minutes.,Ang manlalaro ay kasalukuyang abala. Subukan ulit pagkatapos ng ilang minuto.
TEXTCLIENT_ITEMNOTUSE_TRADING,You cannot use items while trading.,Hindi ka pwedeng gumamit ng items habang nakakipag-trade.
TEXTCLIENT_REDCHIP,Red Chip,Red Chip
TEXTCLIENT_ERROR_EQUIPTRADE,Please unequip the item before selling it.,Paki unequip ang item bago ito ibenta.
TEXTCLIENT_ERROR_NPCBUFFLEVEL,Only level %d~%d character can get buffs.,Ang mga level %d~%d lang na character ang pwedeng makakuha ng buffs.
TEXTCLIENT_ERROR_NPCBUFFFAIL,You cannot use %s right now.,Hindi mo pa pwedeng gamitin ang %s ngayon.
TEXTCLIENT_LEVEL15JOB,Now it's time to choose your job.,Panahon na para pumili ng iyong job.
TEXTCLIENT_CHANGEJOB,Congratulations! You have advanced to the %s job class.,Congratulations! Isa ka nang %s job class.
TEXTCLIENT_APP_SKILL,Skills,Skills
TEXTCLIENT_BASESKILLLEVEL,Character Level: %d,Character Level: %d
TEXTCLIENT_PATTERNUP,You are learning new attack patterns!,Natututo ka ng mga bagong pamamaraan ng pag-atake!
TEXTCLIENT_WRONGITEM,You need to equip the correct weapon or item to use that skill.,Kailangan mo isuot ang tamang weapon o item para magamit ang skill.
TEXTCLIENT_REQFP,Not enough FP.,Hindi sapat ang FP.
TEXTCLIENT_REQMP,Not enough MP.,Hindi sapat ang MP.
TEXTCLIENT_REQHP,Not enough HP.,Not enough HP.
TEXTCLIENT_BLOCKTARGETING,This action has been blocked by an obstacle..,Ang kilos na ito ay hinarangan ng balakid..
TEXTCLIENT_SKILLREQUIRED,%s skill level %d is needed.,%s skill level %d ang kinakailangan.
TEXTCLIENT_SKILLLEVELUP,%s skill level increased.,%s skill level ay nadagdagan.
TEXTCLIENT_APP_PRIVATE_SHOP,Private Shop,Private Shop
TEXTCLIENT_APP_QUEST,Quests,Quests
TEXTCLIENT_APP_CASH_SHOP,Flyff Shop,Flyff Shop
TEXTCLIENT_PREMIUM_ITEMS,Premium Items,Premium Items
TEXTCLIENT_COMMUNICATION,Communication,Communication
TEXTCLIENT_COMMUNITY,Community,Community
TEXTCLIENT_HELPER,Helper,Helper
TEXTCLIENT_APP_ITEM_DURATION,Duration,Duration
TEXTCLIENT_APP_MESSENGER,Messenger,Messenger
TEXTCLIENT_APP_PARTY,Party,Partido
TEXTCLIENT_APP_GUILD,Guild,Kapisanan
TEXTCLIENT_APP_COUPLE,Couple,Kasintahan
TEXTCLIENT_APP_HELP,Help,Help
TEXTCLIENT_APP_HELP_TIPS,Tips,Tips
TEXTCLIENT_APP_FAQ,FAQ,FAQ
TEXTCLIENT_APP_FITTINGROOM,Fitting Room,Fitting Room
TEXTCLIENT_APP_HELP_WIKI,Wiki Help,Wiki Help
TEXTCLIENT_APP_INFO_PANG,Info-Pang,Info-Pang
TEXTCLIENT_GUILDCOMBAT_CANNOT_PARTY,You cannot make a party in the Guild Siege arena.,Hindi ka pwedeng gumawa ng Partido sa arena ng Kapisanang Pagkubkob.
TEXTCLIENT_PPVP_ADD_PARTY,You cannot invite another character to join the party during party PvP.,Hindi ka pwedeng mag-imbita ng ibang manlalaro na sumali sa party habang nasa partido PvP.
TEXTCLIENT_DUEL_ADD_PARTY,You cannot join the party during duel.,Hindi ka pwedeng sumali sa partido habang nasa duwelo.
TEXTCLIENT_DUEL_ADD_GUILD,You cannot join the guild during duel.,Hindi ka pwedeng sumali sa kapisanan habang nasa duwelo.
TEXTCLIENT_BATTLE_NOTPARTY,You cannot invite others to join your party during a battle.,Hindi ka pwedeng mag-imbita ng iba na sumali sa iyong partido habang nakikipaglaban.
TEXTCLIENT_PARTYINVITE_DIFFERENTSERVER,Cannot invite a player from a different channel.,Hindi pwedeng imbitahin ang player na galing sa ibang channel.
TEXTCLIENT_PARTYOTHER,%s is currently in another party.,%s ay kasalukuyang nasa ibang party.
TEXTCLIENT_PARTYEXISTCHR,%s is already in your party.,%s ay nasa inyong party na.
TEXTCLIENT_DIFFERENTPARTY,Player cannot join the party.,Ang manlalaro ay hindi pwedeng sumali sa party.
TEXTCLIENT_PARTYFAILINVITATE,%s has refused to join the party.,%s ay tumanggi na sumali sa party.
TEXTCLIENT_PARTYDENY,%s is currently not accepting Party Invitations,%s ay kasalukuyang hindi tumatanggap imbitasyon sa partido
TEXTCLIENT_PARTYNOINVATE,Only the party leader can invite new members.,Ang pinuno ng partido lamang ang pwedeng mag-imbita ng mga bagong miyembro.
TEXTCLIENT_PARTYFULL,The maximum party limit of 8 players has already been reached.,Ang pinakamaraming bilang na 8 katao na pwedeng sumali sa partido ay nakamit na.
TEXTCLIENT_PARTYFAILENTER,You have failed to join the party.,Hindi ka nagtagumpay makasali sa partido.
TEXTCLIENT_GUILDFAILENTER,You have failed to join the guild.,Hindi ka nagtagumpay makasali sa kapisanan.
TEXTCLIENT_PARTYCREATE,Party has been created.,Ang party ay nabuo.
TEXTCLIENT_PARTYJOIN,%s has joined the party.,Si %s ay sumali sa partido.
TEXTCLIENT_PARTYREMOVE,%s has left the party.,Si %s ay umalis sa partido.
TEXTCLIENT_PARTYEXIT,You have left the party.,Ikaw ay umalis sa partido.
TEXTCLIENT_PARTYDESTROY,Party has been disbanded.,Ang partido ay nabuwag.
TEXTCLIENT_LODELIGHT,You have chosen the Lodelight as your re-spawn point.,Napili mo ang Lodelight bilang iyong re-spawn point.
TEXTCLIENT_PARTY_ISNOTMASTER,Only the Party Leader is able to transfer the Leader Status to another member of the party.,Ang Pinuno ng Partido lang ang pwedeng maglipat ng Leader Status sa ibang miyembro ng partido
TEXTCLIENT_PARTY_MASTERAWAY,You cannot pass party leadership to an offline player.,Hindi mo pwedeng ipasa ang pamumuno ng partido sa offline na manlalaro.
TEXTCLIENT_PARTY_ALREADYMASTER,You are already the Party Leader.,Ikaw na ang Pinuno ng Partido.
TEXTCLIENT_PARTY_LEADERNOCHANGEPK,Unable to change the party leader during a party duel.,Hindi magawang ibahin ang pinuno ng partido habang nasa duelo ng partido.
TEXTCLIENT_PARTY_TROUPEUP,Party level increased to 10.,Tumaas na ang party sa antas 10.
TEXTCLIENT_PARTY_LEVELUP,Party level increased.,Tumaas ang antas ng partido.
TEXTCLIENT_PARTY_NAMEINUSE,That party name is already in use. Please choose another one.,Ang pangalan ng partido ay nagamit na. Pumili ulit ng iba.
TEXTCLIENT_PARTY_INVALIDNAME,This party name contains unauthorized characters or words.,Ang pangalan ng partido na ito ay naglalaman ng mga titik o mga salita na hindi pwedeng gamitin.
TEXTCLIENT_ERROR,Error,Error
TEXTCLIENT_PARTY_CHANGE,The party has been changed to an Advanced Party.,Ang party ay ginawa ng Mataas na Partido.
TEXTCLIENT_PARTY_NAMECHANGED,Party name has been changed to %s.,Ang pangalan ng Partido ay pinalitan sa %s.
TEXTCLIENT_PARTYSKILL_LEADER,Only the party leader can use party skills.,Ang pinuno ng partido lang ang pwedeng gumamit ng party skills.
TEXTCLIENT_PARTYSKILL_REQLEVEL,Your party does not have the required level.,Ang partido mo ay wala pa sa sapat na level.
TEXTCLIENT_PARTYSKILL_POINTS,Cannot use skill. Insufficient party experience.,Hindi magamit ang skill. Hindi sapat ang party experience.
TEXTCLIENT_PARTYSKILL_NOTTIME,You are still using the %s party skill. Try again later.,Ginagamit mo pa ang %s party skill. Subukan ulit mamaya.
TEXTCLIENT_PARTYSKILL_USE,The party skill %s has been used.,Ang party skill na %s ay ginamit.
TEXTCLIENT_PARTYSKILL_STOP,The effect of %s has ended.,Malapit nang mawala ang epekto ng %s.
TEXTCLIENT_ACR_FAME01,Rogue,Rogue
TEXTCLIENT_ACR_FAME02,Outlaw,Outlaw
TEXTCLIENT_ACR_FAME03,Vigilante,Vigilante
TEXTCLIENT_ACR_FAME04,Pathfinder,Pathfinder
TEXTCLIENT_ACR_FAME05,Pursuer,Pursuer
TEXTCLIENT_ACR_FAME06,Hejerdor,Hejerdor
TEXTCLIENT_ACR_FAME07,Phoenix,Phoenix
TEXTCLIENT_ACR_FAME08,Splitter,Splitter
TEXTCLIENT_ACR_FAME09,Valcan,Valcan
TEXTCLIENT_ACR_FAME10,Lamia,Lamia
TEXTCLIENT_MER_FAME01,Trainer,Trainer
TEXTCLIENT_MER_FAME02,Fighter,Fighter
TEXTCLIENT_MER_FAME03,Gladiator,Gladiator
TEXTCLIENT_MER_FAME04,Berserker,Berserker
TEXTCLIENT_MER_FAME05,Wardancer,Wardancer
TEXTCLIENT_MER_FAME06,Blaster,Blaster
TEXTCLIENT_MER_FAME07,Eraser,Eraser
TEXTCLIENT_MER_FAME08,Champion,Champion
TEXTCLIENT_MER_FAME09,Warrior,Warrior
TEXTCLIENT_MER_FAME10,Bearcat,Bearcat
TEXTCLIENT_MAG_FAME01,Apprentice,Apprentice
TEXTCLIENT_MAG_FAME02,Mage,Mage
TEXTCLIENT_MAG_FAME03,War Mage,War Mage
TEXTCLIENT_MAG_FAME04,Grand Mage,Grand Mage
TEXTCLIENT_MAG_FAME05,Arch Mage,Arch Mage
TEXTCLIENT_MAG_FAME06,Sorcerer,Sorcerer
TEXTCLIENT_MAG_FAME07,Warlock,Warlock
TEXTCLIENT_MAG_FAME08,Sage,Sage
TEXTCLIENT_MAG_FAME09,Arch Sage,Arch Sage
TEXTCLIENT_MAG_FAME10,Elder,Elder
TEXTCLIENT_ASS_FAME01,Protector,Protector
TEXTCLIENT_ASS_FAME02,Guardian,Guardian
TEXTCLIENT_ASS_FAME03,Knight,Knight
TEXTCLIENT_ASS_FAME04,Paladin,Paladin
TEXTCLIENT_ASS_FAME05,Crusader,Crusader
TEXTCLIENT_ASS_FAME06,Crusader,Crusader
TEXTCLIENT_ASS_FAME07,Chaplain,Chaplain
TEXTCLIENT_ASS_FAME08,Luminary,Luminary
TEXTCLIENT_ASS_FAME09,Prophet,Prophet
TEXTCLIENT_ASS_FAME10,Oracle,Oracle
TEXTCLIENT_ALREADYFRIEND,That player is already in your friends list.,That player is already in your friends list.
TEXTCLIENT_MSGINVATE,You have asked for permission to add %s to your messenger.,You have asked for permission to add %s to your messenger.
TEXTCLIENT_GUILDCOMBAT_CANNOT_FRIENDADD,You cannot add friends in the Guild Siege arena.,You cannot add friends in the Guild Siege arena.
TEXTCLIENT_BATTLE_NOTFRIEND,You cannot add someone to your friends list while dueling.,You cannot add someone to your friends list while dueling.
TEXTCLIENT_MSGDENYINVATE,Invitation has been refused.,Invitation has been refused.
TEXTCLIENT_MSGDENY,%s is in the 'Refuse Messenger' setting.,%s is in the 'Refuse Messenger' setting.
TEXTCLIENT_MSGMAXUSER,The maximum number of players that can be registered into the messenger is 200.,The maximum number of players that can be registered into the messenger is 200.
TEXTCLIENT_MSGINVATECOM,%s has added you to their Messenger.,%s has added you to their Messenger.
TEXTCLIENT_NOTLOGIN,That player is offline.,That player is offline.
TEXTCLIENT_MSGBLOCKCHR,"Failure to send message, %s is blocked.","Failure to send message, %s is blocked."
TEXTCLIENT_MESSNEWNOTE,You have %d new message(s).,You have %d new message(s).
TEXTCLIENT_MESSFULLNOTE,Your message cannot be sent. The receiving inbox may be full.,Your message cannot be sent. The receiving inbox may be full.
TEXTCLIENT_MESSNOTE,You sent the memo.,You sent the memo.
TEXTCLIENT_MAILRECEIVE,You have received new mail!,You have received new mail!
TEXTCLIENT_CANT_SHOUT_BELOW_20,Characters under Level %d cannot shout.,Characters under Level %d cannot shout.
TEXTCLIENT_NOPARTY,Party does not exist.,Party does not exist.
TEXTCLIENT_NOGUILD,Guild does not exist.,Guild does not exist.
TEXTCLIENT_WHISPERAGREE,Private messages allowed,Private messages allowed
TEXTCLIENT_WHISPERREFUSE,Private messages refused,Private messages refused
TEXTCLIENT_MSGERAGREE,Messenger allowed,Messenger allowed
TEXTCLIENT_MSGERREFUSE,Messenger refused,Messenger refused
TEXTCLIENT_STAGEAGREE,Party & guild invites allowed,Party & guild invites allowed
TEXTCLIENT_STAGEREFUSE,Party & guild invites refused,Party & guild invites refused
TEXTCLIENT_CONNAGREE,Post connection status,Post connection status
TEXTCLIENT_CONNREFUSE,Do not post connection status.,Do not post connection status.
TEXTCLIENT_FULL_BLOCKED_USER_LIST,Ignore List is full. Please unignore some characters or relog to reset your Ignore List.,Ignore List is full. Please unignore some characters or relog to reset your Ignore List.
TEXTCLIENT_MY_CHARACTER_CANT_BLOCK,You shouldn't ignore yourself. You might have something important to say!,You shouldn't ignore yourself. You might have something important to say!
TEXTCLIENT_ALREADY_BLOCKED,That character is already on your Ignore List.,That character is already on your Ignore List.
TEXTCLIENT_USER_CHATTING_BLOCKING,%s has been ignored. Type /unignore <NAME> to remove them from your Ignore List.,%s has been ignored. Type /unignore <NAME> to remove them from your Ignore List.
TEXTCLIENT_USER_CHATTING_UNBLOCKING,%s is now unignored.,%s is now unignored.
TEXTCLIENT_THERE_IS_NO_BLOCKED_TARGET,That character is not on your Ignore List.,That character is not on your Ignore List.
TEXTCLIENT_EQUIPPUT,Please unequip the item first.,Please unequip the item first.
TEXTCLIENT_CHARGED_NOTUSE,You can not use the premium items.,You can not use the premium items.
TEXTCLIENT_MSGSELFSENDERERROR,"You cannot send a message to yourself, silly.","You cannot send a message to yourself, silly."
TEXTCLIENT_MAILBOX_FULL,%s's mail box is full.,%s's mail box is full.
TEXTCLIENT_LACKMONEY,You do not have enough Penya.,You do not have enough Penya.
TEXTCLIENT_CANNOTPOST,You cannot send this item.,You cannot send this item.
TEXTCLIENT_MAIL_UNKNOWN,Unknown user,Unknown user
TEXTCLIENT_POST_ERROR,You have failed to send.,You have failed to send.
TEXTCLIENT_MAIL_SEND_OK,Your mail has been sent successfully.,Your mail has been sent successfully.
TEXTCLIENT_ERROR_RETRY,"An error occured, please retry the operation.","An error occured, please retry the operation."
TEXTCLIENT_REALTIME,Real Time - %s,Real Time - %s
TEXTCLIENT_MADRIGALTIME,Madrigal Time - %s,Madrigal Time - %s
TEXTCLIENT_NEW_QUEST,New Quest,New Quest
TEXTCLIENT_CURRENT_QUEST,Quests in Progress,Quests in Progress
TEXTCLIENT_STARTQUEST,You've received the quest: %s. Open your Quest Window for details.,You've received the quest: %s. Open your Quest Window for details.
TEXTCLIENT_REMOVEQUEST,%s quest has been cancelled.,%s quest has been cancelled.
TEXTCLIENT_QUEST_FAILURE,Quest cancelled.,Quest cancelled.
TEXTCLIENT_NOTPLAYSERVER,This channel is not available. Please select another.,This channel is not available. Please select another.
TEXTCLIENT_PK_NO_FLIGHTAREA,Flying is forbidden inside.,Flying is forbidden inside.
TEXTCLIENT_ITEMBOX_MESSAGE1,You need %s item to open it.,You need %s item to open it.
TEXTCLIENT_ITEMBOX_MESSAGE2,"Wrong level, unable to open itembox.","Wrong level, unable to open itembox."
TEXTCLIENT_ITEMBOX_MESSAGE3,"Wrong sex, unable to open itembox.","Wrong sex, unable to open itembox."
TEXTCLIENT_ITEMBOX_MESSAGE4,You need to be on the %s quest to open it.,You need to be on the %s quest to open it.
TEXTCLIENT_ITEMBOX_MESSAGE5,"Wrong job, unable to open itembox.","Wrong job, unable to open itembox."
TEXTCLIENT_QUEST_NOINVENTORYSPACE,Unable to complete quest. Not enough room in your inventory.,Unable to complete quest. Not enough room in your inventory.
TEXTCLIENT_REAPEXP,You have gained Experience.,You have gained Experience.
TEXTCLIENT_ENDQUEST,Congratulations! %s has been completed.,Congratulations! %s has been completed.
TEXTCLIENT_PARTYQUEST_NOTJOIN,"If a member of party is over level %d, he cannot enter.","If a member of party is over level %d, he cannot enter."
TEXTCLIENT_ERROR_DONTCHECK,You cannot check that anymore.,You cannot check that anymore.
TEXTCLIENT_COMACCEPT,You have joined the %s guild.,You have joined the %s guild.
TEXTCLIENT_COMLEAVE,You are no longer a member of the %s guild.,You are no longer a member of the %s guild.
TEXTCLIENT_GUILDWARERRORLOGO,You cannot change your guild logo during a guild duel.,You cannot change your guild logo during a guild duel.
TEXTCLIENT_GUILDWARERRORNAME,You cannot change your guild name during a guild duel.,You cannot change your guild name during a guild duel.
TEXTCLIENT_GUILDNOTICEUPDATE,A new Guild Notice has been posted. Please check it in the guild window.,A new Guild Notice has been posted. Please check it in the guild window.
TEXTCLIENT_GUILD_NAMEINUSE,That guild name is already in use. Please choose another one.,That guild name is already in use. Please choose another one.
TEXTCLIENT_GUILD_INVALIDNAME,This guild name contains unauthorized characters or words.,This guild name contains unauthorized characters or words.
TEXTCLIENT_GUILDCHANGENAME,%s guild has changed their name to %s.,%s guild has changed their name to %s.
TEXTCLIENT_GUILDWARNODISMISS,You cannot disband your guild during a guild duel.,You cannot disband your guild during a guild duel.
TEXTCLIENT_GUILDSALARYCHANGED,Salary for each title has been changed.,Salary for each title has been changed.
TEXTCLIENT_GUILDPOWERCHANGED,Authority for each title has been changed.,Authority for each title has been changed.
TEXTCLIENT_GUILDWARNOMEMBER,Unable to use the member management function during a guild duel.,Unable to use the member management function during a guild duel.
TEXTCLIENT_GUILDMEMBER_PROMOTED,%s has been promoted.,%s has been promoted.
TEXTCLIENT_GUILDMEMBER_DEMOTED,%s has been demoted.,%s has been demoted.
TEXTCLIENT_GUILD_TRANSFERLEADER,%s has become the guild master.,%s has become the guild master.
TEXTCLIENT_GUILD_MEMBERLEAVE,%s has left the guild.,%s has left the guild.
TEXTCLIENT_COMACCEPTHAVECOM,%s is already in a guild.,%s is already in a guild.
TEXTCLIENT_BATTLE_NOTGUILD,You cannot invite others to join your guild during a battle.,You cannot invite others to join your guild during a battle.
TEXTCLIENT_COMACCEPTKINGPIN,You invited %s to your guild.,You invited %s to your guild.
TEXTCLIENT_GUILDCHROFFLINE,The character you invited is offline.,The character you invited is offline.
