Key,English,Filipino
PROPMOTION_TXT_000076,Dance 7,Sayaw 7
PROPMOTION_TXT_000077,Dance 8,Sayaw 8
PROPMOTION_TXT_000078,Dance 9,Sayaw 9
PROPMOTION_TXT_000079,Meditation,Meditasyon
PROPMOTION_TXT_000080,Flip Jump 1,Tumalon ng Pabaliktad 1
PROPMOTION_TXT_000081,Flip Jump 2,Tumalon ng Pabaliktad 2
PROPMOTION_TXT_000082,Lift O,Buhatin ang O
PROPMOTION_TXT_000083,Lift X,Buhatin ang X
PROPMOTION_TXT_000084,Lift Rock,Buhatin ang Bato
PROPMOTION_TXT_000085,Lift Paper,Buhatin ang Papel
PROPMOTION_TXT_000086,Lift Scissors,Buhatin ang Gunting
PROPMOTION_TXT_000087,Dance 10,Sayaw 10
PROPMOTION_TXT_000088,Dance 11,Sayaw 11
PROPMOTION_TXT_000089,Polite Greeting,Polite Greeting
PROPMOTION_TXT_000090,Hurray,Hurray
PROPMOTION_TXT_000100,Clap,Palakpakan
PROPMOTION_TXT_000101,Brrr,Brrr
PROPMOTION_TXT_000102,Dance 12,Sayaw 12
PROPMOTION_TXT_000103,Hot,Hot
PROPMOTION_TXT_000104,LMAO,LMAO
PROPMOTION_TXT_000105,Ninja,Ninja
PROPMOTION_TXT_000106,Aha,Aha
PROPMOTION_TXT_000107,Provoke,Pukawin
PROPMOTION_TXT_000108,Surprised,Sorpreso
PROPMOTION_TXT_000109,Look Around,Tumingin-tingin
PROPMOTION_TXT_000110,Arm Heart,Arm Heart
PROPMOTION_TXT_000111,Switch Your Current Skill Page,Palitan ang iyong kasalukuyang skill pahina
PROPMOTION_TXT_000112,Surrender,Sumuko
PROPMOTION_TXT_000113,Begging,Nanghihingi
PROPMOTION_TXT_000114,Waist Stretching,Waist Stretching
PROPMOTION_TXT_000115,Lower Body Stretching,Lower Body Stretching
PROPMOTION_TXT_000116,Thumbs Up,Thumbs Up
PROPMOTION_TXT_000117,Salute,Salute
PROPMOTION_TXT_000118,Concerned,Concerned
PROPMOTION_TXT_000119,Embarassed,Embarassed
