Key,English,Finnish
PROPITEMETC_INC_000183,Naneon Set,Naneon Set
PROPITEMETC_INC_000184,Nanex Set,Nanex Set
PROPITEMETC_INC_000185,Vizes Set,Vizes Set
PROPITEMETC_INC_000186,Vizith Set,Vizith Set
PROPITEMETC_INC_000187,Keinos Set,Keinos Set
PROPITEMETC_INC_000188,Keisan Set,Keisan Set
PROPITEMETC_INC_000189,Ouken Set,Ouken Set
PROPITEMETC_INC_000190,Oukest Set,Oukest Set
PROPITEMETC_INC_000191,Peinn Set,Peinn Set
PROPITEMETC_INC_000192,Penel Set,Penel Set
PROPITEMETC_INC_000193,Quinox Set,Quinox Set
PROPITEMETC_INC_000194,Quition Set,Quition Set
PROPITEMETC_INC_000195,FWC Golden Cryro Set,FWC Golden Cryro Set
PROPITEMETC_INC_000196,FWC Golden Cyrent Set,FWC Golden Cyrent Set
PROPITEMETC_INC_000197,FWC Golden Forrben Set,FWC Golden Forrben Set
PROPITEMETC_INC_000198,FWC Golden Forrain Set,FWC Golden Forrain Set
PROPITEMETC_INC_000199,FWC Golden Naneon Set,FWC Golden Naneon Set
PROPITEMETC_INC_000200,FWC Golden Nanex Set,FWC Golden Nanex Set
PROPITEMETC_INC_000201,FWC Golden Vizes Set,FWC Golden Vizes Set
PROPITEMETC_INC_000202,FWC Golden Vizith Set,FWC Golden Vizith Set
PROPITEMETC_INC_000203,FWC Golden Keinos Set,FWC Golden Keinos Set
PROPITEMETC_INC_000204,FWC Golden Keisan Set,FWC Golden Keisan Set
PROPITEMETC_INC_000205,FWC Golden Ouken Set,FWC Golden Ouken Set
PROPITEMETC_INC_000206,FWC Golden Oukest Set,FWC Golden Oukest Set
PROPITEMETC_INC_000207,FWC Golden Peinn Set,FWC Golden Peinn Set
PROPITEMETC_INC_000208,FWC Golden Penel Set,FWC Golden Penel Set
PROPITEMETC_INC_000209,FWC Golden Quinox Set,FWC Golden Quinox Set
PROPITEMETC_INC_000210,FWC Golden Quition Set,FWC Golden Quition Set
PROPITEMETC_INC_000211,Warbringer's Set,Warbringer's Set
PROPITEMETC_INC_000212,Sentinel's Set,Sentinel's Set
PROPITEMETC_INC_000213,Spellweaver's Set,Spellweaver's Set
PROPITEMETC_INC_000214,Hawkeye's Set,Hawkeye's Set
PROPITEMETC_INC_000215,Champion's Set,Champion's Set
PROPITEMETC_INC_000216,Defender's Set,Defender's Set
PROPITEMETC_INC_000217,Adept's Set,Adept's Set
PROPITEMETC_INC_000218,Marksman's Set,Marksman's Set
PROPITEMETC_INC_000288,Manebound Set,Manebound Set
PROPITEMETC_INC_000289,Manetress Set,Manetress Set
PROPITEMETC_INC_000290,Lycanith Set,Lycanith Set
PROPITEMETC_INC_000291,Lyceris Set,Lyceris Set
PROPITEMETC_INC_000292,Wingwalker Set,Wingwalker Set
PROPITEMETC_INC_000293,Wingwander Set,Wingwander Set
PROPITEMETC_INC_000294,Fennith Set,Fennith Set
PROPITEMETC_INC_000295,Fennia Set,Fennia Set
PROPITEMETC_INC_000296,Luminis Set,Luminis Set
PROPITEMETC_INC_000297,Luminia Set,Luminia Set
PROPITEMETC_INC_000298,Tigraknar Set,Tigraknar Set
PROPITEMETC_INC_000299,Tigressa Set,Tigressa Set
PROPITEMETC_INC_000300,Primamind Set,Primamind Set
PROPITEMETC_INC_000301,Primalix Set,Primalix Set
PROPITEMETC_INC_000302,Drakorin Set,Drakorin Set
PROPITEMETC_INC_000303,Drakoria Set,Drakoria Set
PROPITEMETC_INC_000304,Bileire Set,Bileire Set
PROPITEMETC_INC_000305,Bilari Set,Bilari Set
PROPITEMETC_INC_000306,Heraud Set,Heraud Set
PROPITEMETC_INC_000307,Herainn Set,Herainn Set
PROPITEMETC_INC_000308,Curio Set,Curio Set
PROPITEMETC_INC_000309,Curena Set,Curena Set
PROPITEMETC_INC_000310,Hainure Set,Hainure Set
PROPITEMETC_INC_000311,Hanira Set,Hanira Set
PROPITEMETC_INC_000312,Reine Set,Reine Set
PROPITEMETC_INC_000313,Rayne Set,Rayne Set
PROPITEMETC_INC_000314,Roenier Set,Roenier Set
PROPITEMETC_INC_000315,Roelayne Set,Roelayne Set
PROPITEMETC_INC_000316,Reffiro Set,Reffiro Set
PROPITEMETC_INC_000317,Rephira Set,Rephira Set
PROPITEMETC_INC_000318,Lippin Set,Lippin Set
PROPITEMETC_INC_000319,Lypine Set,Lypine Set
PROPITEMETC_INC_000320,FWC Golden Bileire Set,FWC Golden Bileire Set
PROPITEMETC_INC_000321,FWC Golden Bilari Set,FWC Golden Bilari Set
PROPITEMETC_INC_000322,FWC Golden Heraud Set,FWC Golden Heraud Set
PROPITEMETC_INC_000323,FWC Golden Herainn Set,FWC Golden Herainn Set
PROPITEMETC_INC_000324,FWC Golden Curio Set,FWC Golden Curio Set
PROPITEMETC_INC_000325,FWC Golden Curena Set,FWC Golden Curena Set
PROPITEMETC_INC_000326,FWC Golden Hainure Set,FWC Golden Hainure Set
PROPITEMETC_INC_000327,FWC Golden Hanira Set,FWC Golden Hanira Set
PROPITEMETC_INC_000328,FWC Golden Reine Set,FWC Golden Reine Set
PROPITEMETC_INC_000329,FWC Golden Rayne Set,FWC Golden Rayne Set
PROPITEMETC_INC_000330,FWC Golden Roenier Set,FWC Golden Roenier Set
PROPITEMETC_INC_000331,FWC Golden Roelayne Set,FWC Golden Roelayne Set
PROPITEMETC_INC_000332,FWC Golden Reffiro Set,FWC Golden Reffiro Set
PROPITEMETC_INC_000333,FWC Golden Rephira Set,FWC Golden Rephira Set
PROPITEMETC_INC_000334,FWC Golden Lippin Set,FWC Golden Lippin Set
PROPITEMETC_INC_000335,FWC Golden Lypine Set,FWC Golden Lypine Set
PROPITEMETC_INC_000336,FWC 2025 Bloody Death Messenger’s Set (Winners),FWC 2025 Bloody Death Messenger’s Set (Winners)
PROPITEMETC_INC_000337,FWC 2025 Golden Death Messenger’s Set (Finalists),FWC 2025 Golden Death Messenger’s Set (Finalists)
PROPITEMETC_INC_000338,Runthiel Set,Runthiel Set
PROPITEMETC_INC_000339,Runthien Set,Runthien Set
PROPITEMETC_INC_000340,Rethanor Set,Rethanor Set
PROPITEMETC_INC_000341,Rethanar Set,Rethanar Set
PROPITEMETC_INC_000342,Zendric Set,Zendric Set
PROPITEMETC_INC_000343,Zendricar Set,Zendricar Set
PROPITEMETC_INC_000344,Khorviel Set,Khorviel Set
PROPITEMETC_INC_000345,Khorvien Set,Khorvien Set
PROPITEMETC_INC_000346,Zaythor Set,Zaythor Set
PROPITEMETC_INC_000347,Zaythar Set,Zaythar Set
PROPITEMETC_INC_000348,Vornithic Set,Vornithic Set
PROPITEMETC_INC_000349,Vornithicar Set,Vornithicar Set
PROPITEMETC_INC_000350,Dornith Set,Dornith Set
PROPITEMETC_INC_000351,Dornyth Set,Dornyth Set
PROPITEMETC_INC_000352,Quostrel Set,Quostrel Set
PROPITEMETC_INC_000353,Quostren Set,Quostren Set
PROPITEMETC_INC_000354,Chyrelle Set,Chyrelle Set
PROPITEMETC_INC_000355,Chyrella Set,Chyrella Set
PROPITEMETC_INC_000356,Noltrave Set,Noltrave Set
PROPITEMETC_INC_000357,Noltrava Set,Noltrava Set
PROPITEMETC_INC_000358,Frodral Set,Frodral Set
PROPITEMETC_INC_000359,Frodrel Set,Frodrel Set
PROPITEMETC_INC_000360,Treviron Set,Treviron Set
PROPITEMETC_INC_000361,Treviran Set,Treviran Set
PROPITEMETC_INC_000362,Lenvire Set,Lenvire Set
PROPITEMETC_INC_000363,Lenvira Set,Lenvira Set
PROPITEMETC_INC_000364,Ordelin Set,Ordelin Set
PROPITEMETC_INC_000365,Ordelyn Set,Ordelyn Set
PROPITEMETC_INC_000366,Tracien Set,Tracien Set
PROPITEMETC_INC_000367,Tracior Set,Tracior Set
PROPITEMETC_INC_000368,Lorvenic Set,Lorvenic Set
PROPITEMETC_INC_000369,Lorvenicar Set,Lorvenicar Set
PROPITEMETC_INC_000370,Etranor Set,Etranor Set
PROPITEMETC_INC_000371,Etranar Set,Etranar Set
PROPITEMETC_INC_000372,Lyzarel Set,Lyzarel Set
PROPITEMETC_INC_000373,Lyzaren Set,Lyzaren Set
PROPITEMETC_INC_000374,Exiran Set,Exiran Set
PROPITEMETC_INC_000375,Exiren Set,Exiren Set
PROPITEMETC_INC_000376,Haskrel Set,Haskrel Set
PROPITEMETC_INC_000377,Haskren Set,Haskren Set
PROPITEMETC_INC_000378,Kevric Set,Kevric Set
PROPITEMETC_INC_000379,Kevricar Set,Kevricar Set
PROPITEMETC_INC_000380,Brakiven Set,Brakiven Set
PROPITEMETC_INC_000381,Brakivar Set,Brakivar Set
PROPITEMETC_INC_000382,Zorect Set,Zorect Set
PROPITEMETC_INC_000383,Zoracet Set,Zoracet Set
PROPITEMETC_INC_000384,Sholthar Set,Sholthar Set
PROPITEMETC_INC_000385,Sholtharen Set,Sholtharen Set
PROPITEMETC_INC_000386,Ustamel Set,Ustamel Set
PROPITEMETC_INC_000387,Ustamen Set,Ustamen Set
PROPITEMETC_INC_000388,Obbric Set,Obbric Set
PROPITEMETC_INC_000389,Obbricar Set,Obbricar Set
PROPITEMETC_INC_000390,Yrenoth Set,Yrenoth Set
PROPITEMETC_INC_000391,Yrenath Set,Yrenath Set
PROPITEMETC_INC_000392,Vostran Set,Vostran Set
PROPITEMETC_INC_000393,Vostren Set,Vostren Set
PROPITEMETC_INC_000394,Virashon Set,Virashon Set
PROPITEMETC_INC_000395,Verashan Set,Verashan Set
PROPITEMETC_INC_000396,Menicor Set,Menicor Set
PROPITEMETC_INC_000397,Maenicar Set,Maenicar Set
PROPITEMETC_INC_000398,Tremiel Set,Tremiel Set
PROPITEMETC_INC_000399,Tramien Set,Tramien Set
PROPITEMETC_INC_000400,Calthien Set,Calthien Set
PROPITEMETC_INC_000401,Calthior Set,Calthior Set
PROPITEMETC_INC_000402,2026 FWC Golden Virashon Set,2026 FWC Golden Virashon Set
PROPITEMETC_INC_000403,2026 FWC Golden Verashan Set,2026 FWC Golden Verashan Set
PROPITEMETC_INC_000404,2026 FWC Golden Lenvire Set,2026 FWC Golden Lenvire Set
PROPITEMETC_INC_000405,2026 FWC Golden Lenvira Set,2026 FWC Golden Lenvira Set
PROPITEMETC_INC_000406,2026 FWC Golden Kevric Set,2026 FWC Golden Kevric Set
PROPITEMETC_INC_000407,2026 FWC Golden Kevricar Set,2026 FWC Golden Kevricar Set
PROPITEMETC_INC_000408,2026 FWC Golden Chyrelle Set,2026 FWC Golden Chyrelle Set
PROPITEMETC_INC_000409,2026 FWC Golden Chyrella Set,2026 FWC Golden Chyrella Set
PROPITEMETC_INC_000410,2026 FWC Golden Ustamel Set,2026 FWC Golden Ustamel Set
PROPITEMETC_INC_000411,2026 FWC Golden Ustamen Set,2026 FWC Golden Ustamen Set
PROPITEMETC_INC_000412,2026 FWC Golden Etranor Set,2026 FWC Golden Etranor Set
PROPITEMETC_INC_000413,2026 FWC Golden Etranar Set,2026 FWC Golden Etranar Set
PROPITEMETC_INC_000414,2026 FWC Golden Zaythor Set,2026 FWC Golden Zaythor Set
PROPITEMETC_INC_000415,2026 FWC Golden Zaythar Set,2026 FWC Golden Zaythar Set
PROPITEMETC_INC_000416,2026 FWC Golden Runthiel Set,2026 FWC Golden Runthiel Set
PROPITEMETC_INC_000417,2026 FWC Golden Runthien Set,2026 FWC Golden Runthien Set
PROPITEMETC_INC_000418,Celestial Phoenix Orange Set,Celestial Phoenix Orange Set
PROPITEMETC_INC_000419,Celestial Phoenix Purple Set,Celestial Phoenix Purple Set
PROPITEMETC_INC_000420,Celestial Phoenix Green Set,Celestial Phoenix Green Set
PROPITEMETC_INC_000421,Celestial Phoenix Cyan Set,Celestial Phoenix Cyan Set
PROPITEMETC_INC_000422,Celestial Phoenix Blue Set,Celestial Phoenix Blue Set
PROPITEMETC_INC_000423,Celestial Phoenix Amethyst Set,Celestial Phoenix Amethyst Set
PROPITEMETC_INC_000424,Celestial Phoenix Magenta Set,Celestial Phoenix Magenta Set
PROPITEMETC_INC_000425,Celestial Phoenix Gold Set,Celestial Phoenix Gold Set
PROPITEMETC_INC_000426,Primordial Runthiel Set,Primordial Runthiel Set
PROPITEMETC_INC_000427,Primordial Runthien Set,Primordial Runthien Set
PROPITEMETC_INC_000428,Primordial Zaythor Set,Primordial Zaythor Set
PROPITEMETC_INC_000429,Primordial Zaythar Set,Primordial Zaythar Set
PROPITEMETC_INC_000430,Primordial Chyrelle Set,Primordial Chyrelle Set
PROPITEMETC_INC_000431,Primordial Chyrella Set,Primordial Chyrella Set
PROPITEMETC_INC_000432,Primordial Lenvire Set,Primordial Lenvire Set
PROPITEMETC_INC_000433,Primordial Lenvira Set,Primordial Lenvira Set
PROPITEMETC_INC_000434,Primordial Etranor Set,Primordial Etranor Set
PROPITEMETC_INC_000435,Primordial Etranar Set,Primordial Etranar Set
PROPITEMETC_INC_000436,Primordial Kevric Set,Primordial Kevric Set
PROPITEMETC_INC_000437,Primordial Kevricar Set,Primordial Kevricar Set
PROPITEMETC_INC_000438,Primordial Ustamel Set,Primordial Ustamel Set
PROPITEMETC_INC_000439,Primordial Ustamen Set,Primordial Ustamen Set
PROPITEMETC_INC_000440,Primordial Virashon Set,Primordial Virashon Set
PROPITEMETC_INC_000441,Primordial Verashan Set,Primordial Verashan Set
