Key,English,Finnish
PROPQUEST_DUNGEONANDPK_INC_000486,This vaccine will save many lives. Thank you.,This vaccine will save many lives. Thank you.
PROPQUEST_DUNGEONANDPK_INC_000487,Take this weapon as a token of gratitude and this card to venture deeper into the mine.,Take this weapon as a token of gratitude and this card to venture deeper into the mine.
PROPQUEST_DUNGEONANDPK_INC_000488,The Roaches appeared very suddenly in the mine. Maybe you can find out the reason by going deeper into the mine.,The Roaches appeared very suddenly in the mine. Maybe you can find out the reason by going deeper into the mine.
PROPQUEST_DUNGEONANDPK_INC_000489,I am sure that you can handle the upcoming danger.,I am sure that you can handle the upcoming danger.
PROPQUEST_DUNGEONANDPK_INC_000490,Gather the blood of Pinky and Blue Roach Queen.,Gather the blood of Pinky and Blue Roach Queen.
PROPQUEST_DUNGEONANDPK_INC_000493,Something about the way Bernard talks suggessts that the Roaches were placed in the mines intentionally. Maybe you can find out.,Something about the way Bernard talks suggessts that the Roaches were placed in the mines intentionally. Maybe you can find out.
PROPQUEST_DUNGEONANDPK_INC_000495,Dwarpet Kazen,Dwarpet Kazen
PROPQUEST_DUNGEONANDPK_INC_000496,What brings you here? I am sure you know of the many deaths surrounding this place.,What brings you here? I am sure you know of the many deaths surrounding this place.
PROPQUEST_DUNGEONANDPK_INC_000497,You will not be able to find out what happened here without my help. I will tell you what you want to know if you do me a favor. What do you think?,You will not be able to find out what happened here without my help. I will tell you what you want to know if you do me a favor. What do you think?
PROPQUEST_DUNGEONANDPK_INC_000498,Bring me 30 Cillin and I will tell you everything you need to know.,Bring me 30 Cillin and I will tell you everything you need to know.
PROPQUEST_DUNGEONANDPK_INC_000499,"Pssh, some great hero, you cannot even bring me some simple stones.","Pssh, some great hero, you cannot even bring me some simple stones."
PROPQUEST_DUNGEONANDPK_INC_000500,Hmm… I did not think you would be back so soon. Take this money as a gift.,Hmm… I did not think you would be back so soon. Take this money as a gift.
PROPQUEST_DUNGEONANDPK_INC_000501,I said 30. Not 29 or 28. Bring me 30 Cillin.,I said 30. Not 29 or 28. Bring me 30 Cillin.
PROPQUEST_DUNGEONANDPK_INC_000502,Gather 30 Cillin.,Gather 30 Cillin.
PROPQUEST_DUNGEONANDPK_INC_000507,Bring Ribenuum,Bring Ribenuum
PROPQUEST_DUNGEONANDPK_INC_000508,I am here in Dekane mining for Ribenuum. In all of Madrigal Ribenuum can only be found in the Darkon area.,I am here in Dekane mining for Ribenuum. In all of Madrigal Ribenuum can only be found in the Darkon area.
PROPQUEST_DUNGEONANDPK_INC_000509,Ribenuum is made when a Green Trillipy eats a stone and metabolizes it.,Ribenuum is made when a Green Trillipy eats a stone and metabolizes it.
PROPQUEST_DUNGEONANDPK_INC_000510,Would you bring me some Ribenuum? A Green Tillipy is dangerous but you look equally as dangerous.,Would you bring me some Ribenuum? A Green Tillipy is dangerous but you look equally as dangerous.
PROPQUEST_DUNGEONANDPK_INC_000511,Green Trillipy are down the hall to the right. The room to the left is blocked.,Green Trillipy are down the hall to the right. The room to the left is blocked.
PROPQUEST_DUNGEONANDPK_INC_000512,"Are you kidding me? Go on and get out of here, I may not look it but I am an old Dwarpet and I do not have time for games.","Are you kidding me? Go on and get out of here, I may not look it but I am an old Dwarpet and I do not have time for games."
PROPQUEST_DUNGEONANDPK_INC_000513,Ahhh...you brought the Ribenuum. But what is this? It is flawed!,Ahhh...you brought the Ribenuum. But what is this? It is flawed!
PROPQUEST_DUNGEONANDPK_INC_000514,How hard is it to bring me what I asked for? 30 pieces of Ribenuum?,How hard is it to bring me what I asked for? 30 pieces of Ribenuum?
PROPQUEST_DUNGEONANDPK_INC_000515,Gather 30 pieces of Ribenuum from Green Trillipy,Gather 30 pieces of Ribenuum from Green Trillipy
PROPQUEST_DUNGEONANDPK_INC_000520,Refine Ribenuum,Refine Ribenuum
PROPQUEST_DUNGEONANDPK_INC_000521,The Ribenuum you brought is impure. I could take it home and refine it myself but the other Dwarpets would laugh me back to Flarine.,The Ribenuum you brought is impure. I could take it home and refine it myself but the other Dwarpets would laugh me back to Flarine.
PROPQUEST_DUNGEONANDPK_INC_000522,"It will have to be refined in a human village then. There is only one human I trust to do it it right. There is man named Nein, he was one of the last humans to work in these mines. Maybe the very last human.","It will have to be refined in a human village then. There is only one human I trust to do it it right. There is man named Nein, he was one of the last humans to work in these mines. Maybe the very last human."
PROPQUEST_DUNGEONANDPK_INC_000523,"Bring these Ribenuum to Nein and have him refine them. Then bring them back to me, would you?","Bring these Ribenuum to Nein and have him refine them. Then bring them back to me, would you?"
PROPQUEST_DUNGEONANDPK_INC_000524,I heard that Nein lives somewhere in the Dead Walderness. He will refine the 30 pieces of impure Ribenuum into 10 pieces of high quality Ribenuum.,I heard that Nein lives somewhere in the Dead Walderness. He will refine the 30 pieces of impure Ribenuum into 10 pieces of high quality Ribenuum.
PROPQUEST_DUNGEONANDPK_INC_000525,Are you kidding me? Get lost! I do not have patience for games!,Are you kidding me? Get lost! I do not have patience for games!
PROPQUEST_DUNGEONANDPK_INC_000526,"Oh… Thank you, thank you, thank you! Take this necklace and some money with you.","Oh… Thank you, thank you, thank you! Take this necklace and some money with you."
PROPQUEST_DUNGEONANDPK_INC_000527,Hmmm... maybe I was asking too much of you. You can just go home.,Hmmm... maybe I was asking too much of you. You can just go home.
PROPQUEST_DUNGEONANDPK_INC_000528,Gather 10 pieces of high quality Ribenuum,Gather 10 pieces of high quality Ribenuum
PROPQUEST_DUNGEONANDPK_INC_000533,Bring Triduum,Bring Triduum
PROPQUEST_DUNGEONANDPK_INC_000534,"Ribenuum is useless to most humans. Maybe you have a Dwarpet friend you can give it to? Here, let me see it. These samples are too impure and even I cannot refine them without the right materials.","Ribenuum is useless to most humans. Maybe you have a Dwarpet friend you can give it to? Here, let me see it. These samples are too impure and even I cannot refine them without the right materials."
PROPQUEST_DUNGEONANDPK_INC_000535,I need a special metal called Triduum in order to refine this. You can get it by hunting Violet Trillipy but they live deep in the Dekane Mine.,I need a special metal called Triduum in order to refine this. You can get it by hunting Violet Trillipy but they live deep in the Dekane Mine.
PROPQUEST_DUNGEONANDPK_INC_000536,Well… If you really need the Ribenuum refined bring me 20 Triduums. You are going to need a special ID card to go in there.,Well… If you really need the Ribenuum refined bring me 20 Triduums. You are going to need a special ID card to go in there.
PROPQUEST_DUNGEONANDPK_INC_000537,Go and get an ID card from the guys I used to work with.,Go and get an ID card from the guys I used to work with.
PROPQUEST_DUNGEONANDPK_INC_000538,Ha ha ha.You can do that if you need to. I hope you are not doing this for some Dwarpet.,Ha ha ha.You can do that if you need to. I hope you are not doing this for some Dwarpet.
PROPQUEST_DUNGEONANDPK_INC_000539,"Here is your refined Ribenuum. But, a word of warning, if the Dwarpet Kazen asked you for this… he is thinking more than he is saying.","Here is your refined Ribenuum. But, a word of warning, if the Dwarpet Kazen asked you for this… he is thinking more than he is saying."
PROPQUEST_DUNGEONANDPK_INC_000540,Kazen has hated humans for as long as I have known him and him working with you means he is on to something big. You know… there is a rumor that he had a hand in all the deaths in that mine.,Kazen has hated humans for as long as I have known him and him working with you means he is on to something big. You know… there is a rumor that he had a hand in all the deaths in that mine.
PROPQUEST_DUNGEONANDPK_INC_000541,You let me know if he is acting suspiciously. Maybe I can do something to help you.,You let me know if he is acting suspiciously. Maybe I can do something to help you.
PROPQUEST_DUNGEONANDPK_INC_000542,Why not just let it go? Go home and get some rest.,Why not just let it go? Go home and get some rest.
PROPQUEST_DUNGEONANDPK_INC_000543,Get the ID card that will allow you into the room with the Violet Trillipy. Hunt them down and bring 20 pieces of Triduum to Nein.,Get the ID card that will allow you into the room with the Violet Trillipy. Hunt them down and bring 20 pieces of Triduum to Nein.
PROPQUEST_DUNGEONANDPK_INC_000548,ID Card (1),ID Card (1)
PROPQUEST_DUNGEONANDPK_INC_000549,"What? You want to know where the Violet Trillipy live? You seem so curious about this accursed mine. Unfortunately, there are not many people left who know much about it.","What? You want to know where the Violet Trillipy live? You seem so curious about this accursed mine. Unfortunately, there are not many people left who know much about it."
PROPQUEST_DUNGEONANDPK_INC_000550,Only a few of the mine workers go that deep into the mine. I don't know much about them or the ID card they use to get down there. Oh! You should go speak with Bernard about this.,Only a few of the mine workers go that deep into the mine. I don't know much about them or the ID card they use to get down there. Oh! You should go speak with Bernard about this.
PROPQUEST_DUNGEONANDPK_INC_000551,Would you please say Hi to Bernard for me?,Would you please say Hi to Bernard for me?
PROPQUEST_DUNGEONANDPK_INC_000552,"No, you are right. You should not be the next one to suffer.","No, you are right. You should not be the next one to suffer."
PROPQUEST_DUNGEONANDPK_INC_000553,Violet Trillipy… Do you mean you are going in there with them?,Violet Trillipy… Do you mean you are going in there with them?
PROPQUEST_DUNGEONANDPK_INC_000554,Why not just relax and give it up?,Why not just relax and give it up?
PROPQUEST_DUNGEONANDPK_INC_000555,"Chat with Bernard, then meet Andre in Darkon 3.","Chat with Bernard, then meet Andre in Darkon 3."
PROPQUEST_DUNGEONANDPK_INC_000560,ID card (2),ID card (2)
PROPQUEST_DUNGEONANDPK_INC_000561,"Look, I have no problem giving you the ID card… I just do not want to see you die… But if you really insist, then fine. Hunt some Watangka and I will give you the card.","Look, I have no problem giving you the ID card… I just do not want to see you die… But if you really insist, then fine. Hunt some Watangka and I will give you the card."
PROPQUEST_DUNGEONANDPK_INC_000562,If you can hunt Watangka you can probably hunt Violet Trillipy.,If you can hunt Watangka you can probably hunt Violet Trillipy.
PROPQUEST_DUNGEONANDPK_INC_000563,Bye bye then! Take care of yourself…,Bye bye then! Take care of yourself…
PROPQUEST_DUNGEONANDPK_INC_000564,Hmm… Violet Trillipy may be stronger than Watangka.,Hmm… Violet Trillipy may be stronger than Watangka.
PROPQUEST_DUNGEONANDPK_INC_000565,"Alright, here is the ID card. Just make sure you come out of there alive. I do not need a guilty conscience.","Alright, here is the ID card. Just make sure you come out of there alive. I do not need a guilty conscience."
PROPQUEST_DUNGEONANDPK_INC_000566,I guess we all get tired sometime?,I guess we all get tired sometime?
PROPQUEST_DUNGEONANDPK_INC_000567,Defeat 30 Captain Watangka and the Lord Watangka.,Defeat 30 Captain Watangka and the Lord Watangka.
PROPQUEST_DUNGEONANDPK_INC_000572,Door of Dark,Door of Dark
PROPQUEST_DUNGEONANDPK_INC_000573,"Excuse me. If you are not busy, would you please listen to my story? Have you ever heard of the Iblis Temple?","Excuse me. If you are not busy, would you please listen to my story? Have you ever heard of the Iblis Temple?"
PROPQUEST_DUNGEONANDPK_INC_000574,"The Iblis Temple was built by the followers of Iblis, a leader from before the first age of Madrigal.","The Iblis Temple was built by the followers of Iblis, a leader from before the first age of Madrigal."
PROPQUEST_DUNGEONANDPK_INC_000575,"The temple is located in the Fantasy Desert, in the southern part of Saint Morning.","The temple is located in the Fantasy Desert, in the southern part of Saint Morning."
PROPQUEST_DUNGEONANDPK_INC_000576,You see... every mayor has to explore all the Islands of Madrigal. In the course of these travels we have to visit the Iblis Temple but... I am so afraid.,You see... every mayor has to explore all the Islands of Madrigal. In the course of these travels we have to visit the Iblis Temple but... I am so afraid.
PROPQUEST_DUNGEONANDPK_INC_000577,Would you please help me? I beg of you.,Would you please help me? I beg of you.
PROPQUEST_DUNGEONANDPK_INC_000578,"Thank you! Please, investigate the entrance of the temple for anything dangerous. Would you?","Thank you! Please, investigate the entrance of the temple for anything dangerous. Would you?"
PROPQUEST_DUNGEONANDPK_INC_000579,"I cannot force you to help me if you are busy. But maybe, when you have the time, you could come back and help me.","I cannot force you to help me if you are busy. But maybe, when you have the time, you could come back and help me."
PROPQUEST_DUNGEONANDPK_INC_000580,"Thank you, you did a great job.","Thank you, you did a great job."
PROPQUEST_DUNGEONANDPK_INC_000581,It is very easy to find the entrance of the temple in Fantasy Desert.,It is very easy to find the entrance of the temple in Fantasy Desert.
PROPQUEST_DUNGEONANDPK_INC_000582,Investigate the temple entrace.,Investigate the temple entrace.
PROPQUEST_DUNGEONANDPK_INC_000584,Temple of the Clown,Temple of the Clown
PROPQUEST_DUNGEONANDPK_INC_000585,Oh... Back so soon? I am glad you are back but I am still so worried.,Oh... Back so soon? I am glad you are back but I am still so worried.
PROPQUEST_DUNGEONANDPK_INC_000586,I guess I am still worrying about the Iblis Temple. I know you said that there is nothing to worry about but I still have a bad feeling about that place.,I guess I am still worrying about the Iblis Temple. I know you said that there is nothing to worry about but I still have a bad feeling about that place.
PROPQUEST_DUNGEONANDPK_INC_000587,Would you please help me once more? I will not be able to rest until I know for sure…,Would you please help me once more? I will not be able to rest until I know for sure…
PROPQUEST_DUNGEONANDPK_INC_000588,"I heard that there is a copy of the Iblis Revelation in the temple. Please bring me a rubbed copy of it, I need to see what it says.","I heard that there is a copy of the Iblis Revelation in the temple. Please bring me a rubbed copy of it, I need to see what it says."
PROPQUEST_DUNGEONANDPK_INC_000589,...but I... I... need your help…,...but I... I... need your help…
PROPQUEST_DUNGEONANDPK_INC_000590,This… this is more shocking than I could have imagined. Bubble please protect us.,This… this is more shocking than I could have imagined. Bubble please protect us.
PROPQUEST_DUNGEONANDPK_INC_000591,There is a copy of the Iblis Revelation in the Iblis Temple. Bring a rubbed copy of it.,There is a copy of the Iblis Revelation in the Iblis Temple. Bring a rubbed copy of it.
PROPQUEST_DUNGEONANDPK_INC_000593,The Revival,The Revival
PROPQUEST_DUNGEONANDPK_INC_000594,What should we do?! What should we do?!,What should we do?! What should we do?!
PROPQUEST_DUNGEONANDPK_INC_000595,I read the revelation and it speaks of the revival of Iblis as the trigger to the end of the world!,I read the revelation and it speaks of the revival of Iblis as the trigger to the end of the world!
PROPQUEST_DUNGEONANDPK_INC_000596,"If this is true, we have to stop it! This could be worse than the Hero Wars of long ago.","If this is true, we have to stop it! This could be worse than the Hero Wars of long ago."
PROPQUEST_DUNGEONANDPK_INC_000597,You told me that you saw new types of masquerpets while you were getting the revelation right? I think that maybe…,You told me that you saw new types of masquerpets while you were getting the revelation right? I think that maybe…
PROPQUEST_DUNGEONANDPK_INC_000598,...they are the scouts of the army of Iblis. It looks like we may have to work together for a little while longer. Are you willing to help?,...they are the scouts of the army of Iblis. It looks like we may have to work together for a little while longer. Are you willing to help?
PROPQUEST_DUNGEONANDPK_INC_000599,Excellent. Go in to the temple and gather any information you can about the strange masquerpets.,Excellent. Go in to the temple and gather any information you can about the strange masquerpets.
PROPQUEST_DUNGEONANDPK_INC_000600,What?! Are you really going to stand by and let the world end?,What?! Are you really going to stand by and let the world end?
PROPQUEST_DUNGEONANDPK_INC_000601,"Hmm... Iblis Crasher... So, that is one of the masquerpets? Alright, give me some time to study this information. Thank you.","Hmm... Iblis Crasher... So, that is one of the masquerpets? Alright, give me some time to study this information. Thank you."
PROPQUEST_DUNGEONANDPK_INC_000602,Any information about any Masquerpets is good.,Any information about any Masquerpets is good.
PROPQUEST_DUNGEONANDPK_INC_000603,Go into the temple and gather any information you can.,Go into the temple and gather any information you can.
PROPQUEST_DUNGEONANDPK_INC_000605,Into the Dark,Into the Dark
PROPQUEST_DUNGEONANDPK_INC_000606,Hi. I have studied the information you brought me and I have found that there is an altar in the Iblis Temple. There is also evidence that there are masquerpets guarding the altar.,Hi. I have studied the information you brought me and I have found that there is an altar in the Iblis Temple. There is also evidence that there are masquerpets guarding the altar.
PROPQUEST_DUNGEONANDPK_INC_000607,Do you see? They do not want anyone to interupt the revival of Iblis. We need to do something. We need to stop them!,Do you see? They do not want anyone to interupt the revival of Iblis. We need to do something. We need to stop them!
PROPQUEST_DUNGEONANDPK_INC_000608,Are you ready for one last journey into the dark?,Are you ready for one last journey into the dark?
PROPQUEST_DUNGEONANDPK_INC_000609,"I knew you would be. There is a masquerpet name Iblis Guardian. If you can defeat it, you can enter the altar.","I knew you would be. There is a masquerpet name Iblis Guardian. If you can defeat it, you can enter the altar."
PROPQUEST_DUNGEONANDPK_INC_000610,Are you serious? What could be more important than saving the world?,Are you serious? What could be more important than saving the world?
PROPQUEST_DUNGEONANDPK_INC_000611,"Great job, now you can enter the altar. I am counting on you to defeat the followers of Iblis... we all are. Go to the altar now.","Great job, now you can enter the altar. I am counting on you to defeat the followers of Iblis... we all are. Go to the altar now."
PROPQUEST_DUNGEONANDPK_INC_000612,I do not know exactly where Iblis Guardian is. But we have to find it and destroy it.,I do not know exactly where Iblis Guardian is. But we have to find it and destroy it.
PROPQUEST_DUNGEONANDPK_INC_000613,Defeat Iblis Guardian and enter the altar.,Defeat Iblis Guardian and enter the altar.
PROPQUEST_DUNGEONANDPK_INC_000615,If you can defeat the Iblis Guardian you can enter the altar.,If you can defeat the Iblis Guardian you can enter the altar.
PROPQUEST_DUNGEONANDPK_INC_000625,Dekane Mine,Dekane Kaivos
PROPQUEST_DUNGEONANDPK_INC_000626,Iblis Temple,Iblis Temppeli
PROPQUEST_DUNGEONANDPK_INC_000640,Bloody corridor,Bloody corridor
PROPQUEST_DUNGEONANDPK_INC_000641,Well... Not a bad deal... Can you collect 20 Blood Trillipy Shells and defeat a Mutant Keakoon Worker?,Well... Not a bad deal... Can you collect 20 Blood Trillipy Shells and defeat a Mutant Keakoon Worker?
PROPQUEST_DUNGEONANDPK_INC_000642,"In that case...Hic, good luck.","In that case...Hic, good luck."
PROPQUEST_DUNGEONANDPK_INC_000643,Hmm... the Hazardous Blood Trillipys are much stronger...,Hmm... the Hazardous Blood Trillipys are much stronger...
PROPQUEST_DUNGEONANDPK_INC_000644,Thanks to you the extraction in this area will be much easier!,Thanks to you the extraction in this area will be much easier!
PROPQUEST_DUNGEONANDPK_INC_000645,Hmm... Despite your level the Hazardous Blood Trillipys are much stronger...,Hmm... Despite your level the Hazardous Blood Trillipys are much stronger...
