Key,English,Finnish
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,Kohota ase
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,Kerätä Täydennystä
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),Teleportti Lähimpään Kylään (5 Min. kesto)
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,Piristä toista hahmoa
PROPMOTION_TXT_000052,,
PROPMOTION_TXT_000053,Attack the Selected Target,Hyökkää valittua kohdetta vastaan
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,Ehdotat valitulle hahmolle.
PROPMOTION_TXT_000057,Toggle Weapons,Toggle Weapons
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,Activate Your Summoned Pet's Grace
PROPMOTION_TXT_000059,Follow the Selected Target,Follow the Selected Target
PROPMOTION_TXT_000060,Switch Your Current Stat Page,Switch Your Current Stat Page
PROPMOTION_TXT_000061,Play Dead,Play Dead
PROPMOTION_TXT_000062,Propose,Propose
PROPMOTION_TXT_000063,High Five (Couple),High Five (Couple)
PROPMOTION_TXT_000064,Hug (Couple),Hug (Couple)
PROPMOTION_TXT_000065,Half Heart (Couple),Half Heart (Couple)
PROPMOTION_TXT_000066,Frustrated,Frustrated
PROPMOTION_TXT_000067,Cross Arms (Couple),Cross Arms (Couple)
PROPMOTION_TXT_000068,Eye Contact (Couple),Eye Contact (Couple)
PROPMOTION_TXT_000069,Jump (Couple),Jump (Couple)
PROPMOTION_TXT_000070,Dance 1,Tanssi 1
PROPMOTION_TXT_000071,Dance 2,Tanssi 2
PROPMOTION_TXT_000072,Dance 3,Tanssi 3
PROPMOTION_TXT_000073,Dance 4,Tanssi 4
PROPMOTION_TXT_000074,Dance 5,Tanssi 5
PROPMOTION_TXT_000075,Dance 6,Tanssi 6
PROPMOTION_TXT_000076,Dance 7,Tanssi 7
PROPMOTION_TXT_000077,Dance 8,Tanssi 8
PROPMOTION_TXT_000078,Dance 9,Tanssi 9
PROPMOTION_TXT_000079,Meditation,Meditation
PROPMOTION_TXT_000080,Flip Jump 1,Flip Jump 1
PROPMOTION_TXT_000081,Flip Jump 2,Flip Jump 2
PROPMOTION_TXT_000082,Lift O,Lift O
PROPMOTION_TXT_000083,Lift X,Lift X
PROPMOTION_TXT_000084,Lift Rock,Lift Rock
PROPMOTION_TXT_000085,Lift Paper,Lift Paper
PROPMOTION_TXT_000086,Lift Scissors,Lift Scissors
PROPMOTION_TXT_000087,Dance 10,Tanssi 10
PROPMOTION_TXT_000088,Dance 11,Tanssi 11
PROPMOTION_TXT_000089,Polite Greeting,Polite Greeting
PROPMOTION_TXT_000090,Hurray,Hurray
PROPMOTION_TXT_000100,Clap,Clap
PROPMOTION_TXT_000101,Brrr,Brrr
PROPMOTION_TXT_000102,Dance 12,Tanssi 12
PROPMOTION_TXT_000103,Hot,Hot
PROPMOTION_TXT_000104,LMAO,LMAO
PROPMOTION_TXT_000105,Ninja,Ninja
PROPMOTION_TXT_000106,Aha,Ahaa
PROPMOTION_TXT_000107,Provoke,Provosoida
PROPMOTION_TXT_000108,Surprised,Yllättynyt
PROPMOTION_TXT_000109,Look Around,Katso ympärillesi
PROPMOTION_TXT_000110,Arm Heart,Arm Heart
PROPMOTION_TXT_000111,Switch Your Current Skill Page,Switch Your Current Skill Page
PROPMOTION_TXT_000112,Surrender,Antautua
PROPMOTION_TXT_000113,Begging,Begging
PROPMOTION_TXT_000114,Waist Stretching,Vyötärön venyttely
PROPMOTION_TXT_000115,Lower Body Stretching,Lower Body Stretching
PROPMOTION_TXT_000116,Thumbs Up,Peukku ylös
PROPMOTION_TXT_000117,Salute,Salute
PROPMOTION_TXT_000118,Concerned,Concerned
PROPMOTION_TXT_000119,Embarassed,Embarassed
