Key,English,Italian
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Game Master
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[Venditore]
TEXTCLIENT_APP_CHAT,Chat Window,Chattare
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,Il tuo login o la tua password non sono validi.
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,Autenticazione fallita. Riprova.
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f","Position: x = %f, y = %f, z = %f, angle = %f"
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,Non puoi inviare un PM a te stesso.
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s non esiste o non è online.
TEXTCLIENT_APP_NOTICE,Notice,Avviso
TEXTCLIENT_APP_STATUS,Status,Stato
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s - Lv: %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,Non puoi usarlo in movimento.
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,Non puoi utilizzare un Blinkwing mentre sei seduto.
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,Puoi usarlo quando sei in piedi.
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,Impossibile utilizzare durante il volo.
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,Non puoi volare qui.
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,Non ti è permesso parlare.
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,Hai ricevuto %d minuti di penalità a causa di troppe chat.
TEXTCLIENT_APP_MOTION,Emotes,Movimento
TEXTCLIENT_APP_CHARINFO,Character,Personaggio
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,%s recupero limitato a %d.
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,Si prega di attendere prima di utilizzare nuovamente l'oggetto.
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,Premi Lodestar per resuscitare (Città più vicina) o usa un oggetto per resuscitare sul posto.
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,Premi Lodestar per resuscitare vicino all'Arena.
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,Non puoi attaccare un mostro che sta combattendo contro un altro giocatore.
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,Non puoi uscire durante il combattimento.
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,Level up! Puoi aumentare le tue statistiche nella tua finestra del personaggio.
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,Congratulazioni! Level up!
TEXTCLIENT_CHARSTATUS_APPLY_Q,Do you want to use the current Stat setup?,Vuoi utilizzare l'impostazione delle Stat attuale?
TEXTCLIENT_CHARSTATUS_FIRSTJOB,Your stat values will reset after your 1st job change.,I valori delle tue statistiche verranno ripristinati dopo il tuo primo cambio mestiere.
TEXTCLIENT_BATTLEPASS_REQUIRED,This feature is only available with the Extended Flyff Pass or Hero Quest.,Questa funzione è disponibile solo con l'Extended Flyff Pass o Hero Quest.
TEXTCLIENT_STATPAGE_COOLDOWN,You can swap stat pages in %d seconds.,Stat pages swappabili tra %d secondi.
TEXTCLIENT_ADMIN_STATE,Status,Stato
TEXTCLIENT_ADMIN_NORMAL,Normal,Normale
TEXTCLIENT_SPEED_VERYSLOW,Very slow,Molto lento
TEXTCLIENT_SPEED_LOW,Slow,Lento
TEXTCLIENT_SPEED_NORMAL,Normal,Normale
TEXTCLIENT_SPEED_FAST,Fast,Veloce
TEXTCLIENT_SPEED_VERYFAST,Very fast,Molto veloce
TEXTCLIENT_SPEED_FASTEST,Fastest,Il più veloce
TEXTCLIENT_ITEMPRIORITY,The %s belongs to another player at the moment. Please wait a while.,Il %s appartiene a un altro giocatore al momento. Per favore aspetta un attimo.
TEXTCLIENT_LACKSPACE,Inventory is full. Please make room and try again.,L'inventario è pieno. Si prega di fare spazio e riprovare.
TEXTCLIENT_REAPITEM,You received %s.,Hai ricevuto %s.
TEXTCLIENT_REAPITEM_UPGRADE,You received %s +%d.,Hai ricevuto %s +%d.
TEXTCLIENT_TROUPEREAPITEM,%s has gained %s.,%s ha ottenuto %s.
TEXTCLIENT_APP_INVENTORY,Inventory,Inventario
TEXTCLIENT_REAPMONEY,You received %s Penya (Total: %s Penya).,Hai ricevuto %s Penya (Totale: %s Penya).
TEXTCLIENT_ERROR_SEX,%s is not for your gender.,%s non è per il tuo genere.
TEXTCLIENT_ERROR_JOB,You cannot equip the %s. Requirements not met.,Non puoi equipaggiare %s. Requisiti non soddisfatti.
TEXTCLIENT_ERROR_LEVEL,You cannot equip this item because your level is too low. (Req Lev: %d),Non puoi equipaggiare questo oggetto perché il tuo livello è troppo basso. (Livello richiesto: %d)
TEXTCLIENT_ERROR_UNDESTRUCTABLE,You can not discard this item.,Non puoi scartare questo oggetto.
TEXTCLIENT_ERROR_USINGITEM,You are already using this item.,Stai già usando questo oggetto.
TEXTCLIENT_SUCCESSREMOVEITEM,Number of %s deleted: %d.,Numero di %s cancellati: %d.
TEXTCLIENT_NOTARGET,"Cannot attack, no monster targeted.","Non puoi attaccare, nessun mostro bersagliato."
TEXTCLIENT_NOTUSE,You cannot use this yet.,Non puoi ancora usarlo.
TEXTCLIENT_ERROR_NOTLEVEL,Your level is too low.,Il tuo livello è troppo basso.
TEXTCLIENT_BLOCK_PM,%s is in the 'Refuse to Whisper/Messenger' setting.,"%s è nell'impostazione ""Rifiuta di sussurrare/Messenger""."
TEXTCLIENT_YETTRADE,That player is currently busy. Please try again after few minutes.,Quel giocatore è attualmente impegnato. Si prega di riprovare dopo qualche minuto.
TEXTCLIENT_ITEMNOTUSE_TRADING,You cannot use items while trading.,Non puoi utilizzare oggetti durante lo scambio.
TEXTCLIENT_REDCHIP,Red Chip,Chip Rossa
TEXTCLIENT_ERROR_EQUIPTRADE,Please unequip the item before selling it.,Si prega di disequipaggiare l'oggetto prima di venderlo.
TEXTCLIENT_ERROR_NPCBUFFLEVEL,Only level %d~%d character can get buffs.,Solo il personaggio di livello %d~%d può ottenere i buff.
TEXTCLIENT_ERROR_NPCBUFFFAIL,You cannot use %s right now.,Non puoi utilizzare %s in questo momento.
TEXTCLIENT_LEVEL15JOB,Now it's time to choose your job.,Ora è tempo di scegliere il tuo mestiere.
TEXTCLIENT_CHANGEJOB,Congratulations! You have advanced to the %s job class.,Congratulazioni! Sei passato alla classe di mestiere %s.
TEXTCLIENT_APP_SKILL,Skills,Abilità
TEXTCLIENT_BASESKILLLEVEL,Character Level: %d,Livello del personaggio: %d
TEXTCLIENT_PATTERNUP,You are learning new attack patterns!,Stai imparando nuovi schemi di attacco!
TEXTCLIENT_WRONGITEM,You need to equip the correct weapon or item to use that skill.,Devi equipaggiare l'arma o l'oggetto corretto per usare quell'abilità.
TEXTCLIENT_REQFP,Not enough FP.,Non abbastanza FP.
TEXTCLIENT_REQMP,Not enough MP.,Non abbastanza MP.
TEXTCLIENT_REQHP,Not enough HP.,Non abbastanza HP.
TEXTCLIENT_BLOCKTARGETING,This action has been blocked by an obstacle..,L'azione è stata bloccata da un ostacolo..
TEXTCLIENT_SKILLREQUIRED,%s skill level %d is needed.,È necessario %s livello di abilità %d.
TEXTCLIENT_SKILLLEVELUP,%s skill level increased.,%s livello di abilità aumentato.
TEXTCLIENT_APP_PRIVATE_SHOP,Private Shop,Negozio Privato
TEXTCLIENT_APP_QUEST,Quests,Missioni
TEXTCLIENT_APP_CASH_SHOP,Flyff Shop,Negozio di Flyff
TEXTCLIENT_PREMIUM_ITEMS,Premium Items,Oggetti Premium
TEXTCLIENT_COMMUNICATION,Communication,Comunicazione
TEXTCLIENT_COMMUNITY,Community,Comunità
TEXTCLIENT_HELPER,Helper,Assistente
TEXTCLIENT_APP_ITEM_DURATION,Duration,Durata
TEXTCLIENT_APP_MESSENGER,Messenger,Messaggistica
TEXTCLIENT_APP_PARTY,Party,Gruppo
TEXTCLIENT_APP_GUILD,Guild,Gilda
TEXTCLIENT_APP_COUPLE,Couple,Couple
TEXTCLIENT_APP_HELP,Help,Aiuto
TEXTCLIENT_APP_HELP_TIPS,Tips,Consigli
TEXTCLIENT_APP_FAQ,FAQ,FAQ
TEXTCLIENT_APP_FITTINGROOM,Fitting Room,Fitting Room
TEXTCLIENT_APP_HELP_WIKI,Wiki Help,Aiuto Wiki
TEXTCLIENT_APP_INFO_PANG,Info-Pang,Info-Pang
TEXTCLIENT_GUILDCOMBAT_CANNOT_PARTY,You cannot make a party in the Guild Siege arena.,Non puoi fare un Gruppo nell'arena Assedio della Gilda.
TEXTCLIENT_PPVP_ADD_PARTY,You cannot invite another character to join the party during party PvP.,Non puoi invitare un altro personaggio a unirsi al gruppo durante il PvP di gruppo.
TEXTCLIENT_DUEL_ADD_PARTY,You cannot join the party during duel.,Non puoi unirti al gruppo durante il duello.
TEXTCLIENT_DUEL_ADD_GUILD,You cannot join the guild during duel.,Non puoi unirti alla gilda durante il duello.
TEXTCLIENT_BATTLE_NOTPARTY,You cannot invite others to join your party during a battle.,Non puoi invitare altri a unirsi al tuo gruppo durante una battaglia.
TEXTCLIENT_PARTYINVITE_DIFFERENTSERVER,Cannot invite a player from a different channel.,Impossibile invitare un giocatore da un canale diverso.
TEXTCLIENT_PARTYOTHER,%s is currently in another party.,%s è attualmente in un altro gruppo.
TEXTCLIENT_PARTYEXISTCHR,%s is already in your party.,%s è già nel tuo gruppo.
TEXTCLIENT_DIFFERENTPARTY,Player cannot join the party.,Il giocatore non può unirsi al gruppo.
TEXTCLIENT_PARTYFAILINVITATE,%s has refused to join the party.,%s ha rifiutato di unirsi al gruppo.
TEXTCLIENT_PARTYDENY,%s is currently not accepting Party Invitations,%s al momento non accetta Inviti ai Gruppi
TEXTCLIENT_PARTYNOINVATE,Only the party leader can invite new members.,Solo il capo del gruppo può invitare nuovi membri.
TEXTCLIENT_PARTYFULL,The maximum party limit of 8 players has already been reached.,Il limite massimo del gruppo di 8 giocatori è già stato raggiunto.
TEXTCLIENT_PARTYFAILENTER,You have failed to join the party.,Non sei riuscito a unirti al gruppo.
TEXTCLIENT_GUILDFAILENTER,You have failed to join the guild.,Non sei riuscito ad unirti alla gilda.
TEXTCLIENT_PARTYCREATE,Party has been created.,Il Gruppo è stato creato.
TEXTCLIENT_PARTYJOIN,%s has joined the party.,%s si è unito al gruppo.
TEXTCLIENT_PARTYREMOVE,%s has left the party.,%s ha lasciato il gruppo.
TEXTCLIENT_PARTYEXIT,You have left the party.,Hai lasciato il gruppo.
TEXTCLIENT_PARTYDESTROY,Party has been disbanded.,Il gruppo è stato sciolto.
TEXTCLIENT_LODELIGHT,You have chosen the Lodelight as your re-spawn point.,Hai scelto il Lodelight come punto di rinascita.
TEXTCLIENT_PARTY_ISNOTMASTER,Only the Party Leader is able to transfer the Leader Status to another member of the party.,Solo il Capo del Gruppo può trasferire lo Stato di Capo a un altro membro del gruppo.
TEXTCLIENT_PARTY_MASTERAWAY,You cannot pass party leadership to an offline player.,Non puoi passare il comando del gruppo a un giocatore offline.
TEXTCLIENT_PARTY_ALREADYMASTER,You are already the Party Leader.,Sei già il Capogruppo.
TEXTCLIENT_PARTY_LEADERNOCHANGEPK,Unable to change the party leader during a party duel.,Impossibile cambiare il capogruppo durante un duello di gruppo.
TEXTCLIENT_PARTY_TROUPEUP,Party level increased to 10.,Livello del gruppo aumentato a 10.
TEXTCLIENT_PARTY_LEVELUP,Party level increased.,Il livello del gruppo è aumentato.
TEXTCLIENT_PARTY_NAMEINUSE,That party name is already in use. Please choose another one.,"Il nome del gruppo è già in uso. Per favore, scegline un altro."
TEXTCLIENT_PARTY_INVALIDNAME,This party name contains unauthorized characters or words.,Il nome di questo gruppo contiene caratteri o parole non autorizzati.
TEXTCLIENT_ERROR,Error,Errore
TEXTCLIENT_PARTY_CHANGE,The party has been changed to an Advanced Party.,Il gruppo è stato cambiato in un Gruppo Avanzato.
TEXTCLIENT_PARTY_NAMECHANGED,Party name has been changed to %s.,Il nome del gruppo è stato cambiato in %s.
TEXTCLIENT_PARTYSKILL_LEADER,Only the party leader can use party skills.,Solo il capogruppo può usare le abilità del gruppo.
TEXTCLIENT_PARTYSKILL_REQLEVEL,Your party does not have the required level.,Il tuo gruppo non ha il livello richiesto.
TEXTCLIENT_PARTYSKILL_POINTS,Cannot use skill. Insufficient party experience.,Non puoi utilizzare l'abilità. Esperienza di gruppo insufficiente.
TEXTCLIENT_PARTYSKILL_NOTTIME,You are still using the %s party skill. Try again later.,Stai ancora usando l'abilità di gruppo %s. Riprova più tardi.
TEXTCLIENT_PARTYSKILL_USE,The party skill %s has been used.,L'abilità del gruppo %s è stata utilizzata.
TEXTCLIENT_PARTYSKILL_STOP,The effect of %s has ended.,L'effetto di %s sta per finire.
TEXTCLIENT_ACR_FAME01,Rogue,Furfante
TEXTCLIENT_ACR_FAME02,Outlaw,Fuorilegge
TEXTCLIENT_ACR_FAME03,Vigilante,Vigilante
TEXTCLIENT_ACR_FAME04,Pathfinder,Esploratore
TEXTCLIENT_ACR_FAME05,Pursuer,Inseguitore
TEXTCLIENT_ACR_FAME06,Hejerdor,Hejerdor
TEXTCLIENT_ACR_FAME07,Phoenix,Fenice
TEXTCLIENT_ACR_FAME08,Splitter,Divisore
TEXTCLIENT_ACR_FAME09,Valcan,Valcan
TEXTCLIENT_ACR_FAME10,Lamia,Lamia
TEXTCLIENT_MER_FAME01,Trainer,Allenatore
TEXTCLIENT_MER_FAME02,Fighter,Combattente
TEXTCLIENT_MER_FAME03,Gladiator,Gladiatore
TEXTCLIENT_MER_FAME04,Berserker,Berserker
TEXTCLIENT_MER_FAME05,Wardancer,Wardancer
TEXTCLIENT_MER_FAME06,Blaster,Blaster
TEXTCLIENT_MER_FAME07,Eraser,Eraser
TEXTCLIENT_MER_FAME08,Champion,Campione
TEXTCLIENT_MER_FAME09,Warrior,Guerriero
TEXTCLIENT_MER_FAME10,Bearcat,Bearcat
TEXTCLIENT_MAG_FAME01,Apprentice,Apprendista
TEXTCLIENT_MAG_FAME02,Mage,Mago
TEXTCLIENT_MAG_FAME03,War Mage,Mago Guerriero
TEXTCLIENT_MAG_FAME04,Grand Mage,Gran Mago
TEXTCLIENT_MAG_FAME05,Arch Mage,Arci Mago
TEXTCLIENT_MAG_FAME06,Sorcerer,Stregone
TEXTCLIENT_MAG_FAME07,Warlock,Warlock
TEXTCLIENT_MAG_FAME08,Sage,Saggio
TEXTCLIENT_MAG_FAME09,Arch Sage,Arci Saggio
TEXTCLIENT_MAG_FAME10,Elder,Elder
TEXTCLIENT_ASS_FAME01,Protector,Protettore
TEXTCLIENT_ASS_FAME02,Guardian,Guardiano
TEXTCLIENT_ASS_FAME03,Knight,Cavaliere
TEXTCLIENT_ASS_FAME04,Paladin,Paladino
TEXTCLIENT_ASS_FAME05,Crusader,Crociato
TEXTCLIENT_ASS_FAME06,Crusader,Crociato
TEXTCLIENT_ASS_FAME07,Chaplain,Cappellano
TEXTCLIENT_ASS_FAME08,Luminary,Luminare
TEXTCLIENT_ASS_FAME09,Prophet,Profeta
TEXTCLIENT_ASS_FAME10,Oracle,Oracolo
TEXTCLIENT_ALREADYFRIEND,That player is already in your friends list.,Quel giocatore è già nella tua lista amici.
TEXTCLIENT_MSGINVATE,You have asked for permission to add %s to your messenger.,Hai chiesto il permesso di aggiungere %s al tuo messenger.
TEXTCLIENT_GUILDCOMBAT_CANNOT_FRIENDADD,You cannot add friends in the Guild Siege arena.,Non puoi aggiungere amici nell'arena Assedio della Gilda.
TEXTCLIENT_BATTLE_NOTFRIEND,You cannot add someone to your friends list while dueling.,Non puoi aggiungere qualcuno alla tua lista di amici durante un duello.
TEXTCLIENT_MSGDENYINVATE,Invitation has been refused.,L'invito è stato rifiutato.
TEXTCLIENT_MSGDENY,%s is in the 'Refuse Messenger' setting.,"%s è nell'impostazione ""Rifiuta Messenger""."
TEXTCLIENT_MSGMAXUSER,The maximum number of players that can be registered into the messenger is 200.,Il numero massimo di giocatori che possono essere registrati nel messenger è 200.
TEXTCLIENT_MSGINVATECOM,%s has added you to their Messenger.,%s ti ha aggiunto al suo Messenger.
TEXTCLIENT_NOTLOGIN,That player is offline.,Quel giocatore non è connesso.
TEXTCLIENT_MSGBLOCKCHR,"Failure to send message, %s is blocked.","Mancato invio del messaggio, %s è bloccato."
TEXTCLIENT_MESSNEWNOTE,You have %d new message(s).,Hai %d nuovi messaggi.
TEXTCLIENT_MESSFULLNOTE,Your message cannot be sent. The receiving inbox may be full.,Il tuo messaggio non può essere inviato. La casella di posta in arrivo potrebbe essere piena.
TEXTCLIENT_MESSNOTE,You sent the memo.,Hai inviato il promemoria.
TEXTCLIENT_MAILRECEIVE,You have received new mail!,Hai ricevuto nuova posta!
TEXTCLIENT_CANT_SHOUT_BELOW_20,Characters under Level %d cannot shout.,I personaggi di livello %d non possono gridare.
TEXTCLIENT_NOPARTY,Party does not exist.,Il gruppo non esiste.
TEXTCLIENT_NOGUILD,Guild does not exist.,La gilda non esiste.
TEXTCLIENT_WHISPERAGREE,Private messages allowed,Messaggi privati consentiti
TEXTCLIENT_WHISPERREFUSE,Private messages refused,Messaggi privati rifiutati
TEXTCLIENT_MSGERAGREE,Messenger allowed,Messenger permesso
TEXTCLIENT_MSGERREFUSE,Messenger refused,Messenger rifiutato
TEXTCLIENT_STAGEAGREE,Party & guild invites allowed,Inviti a Gruppi & Gilde consentito
TEXTCLIENT_STAGEREFUSE,Party & guild invites refused,Inviti a Gruppi & Gilde rifiutato
TEXTCLIENT_CONNAGREE,Post connection status,Invia stato connessione
TEXTCLIENT_CONNREFUSE,Do not post connection status.,Non inviare stato connessione.
TEXTCLIENT_FULL_BLOCKED_USER_LIST,Ignore List is full. Please unignore some characters or relog to reset your Ignore List.,La Lista Ignora è piena. Si prega di sbloccare qualche personaggio o riconnettersi per ripristinare la tua Lista Ignora.
TEXTCLIENT_MY_CHARACTER_CANT_BLOCK,You shouldn't ignore yourself. You might have something important to say!,Non dovresti ignorare te stesso. Potresti avere qualcosa di importante da dire!
TEXTCLIENT_ALREADY_BLOCKED,That character is already on your Ignore List.,Quel personaggio è già nella tua Lista Ignora.
TEXTCLIENT_USER_CHATTING_BLOCKING,%s has been ignored. Type /unignore <NAME> to remove them from your Ignore List.,%s è stato ignorato. Digita /Unignore <NAME> per rimuoverlo dalla Lista Ignora.
TEXTCLIENT_USER_CHATTING_UNBLOCKING,%s is now unignored.,%s ora non viene ignorato.
TEXTCLIENT_THERE_IS_NO_BLOCKED_TARGET,That character is not on your Ignore List.,Quel personaggio non è nella tua Lista Ignora.
TEXTCLIENT_EQUIPPUT,Please unequip the item first.,Si prega di disequipaggiare prima l'oggetto.
TEXTCLIENT_CHARGED_NOTUSE,You can not use the premium items.,Non puoi utilizzare gli oggetti premium.
TEXTCLIENT_MSGSELFSENDERERROR,"You cannot send a message to yourself, silly.","Non puoi mandare un messaggio a te stesso, sciocco."
TEXTCLIENT_MAILBOX_FULL,%s's mail box is full.,La casella di posta di %s è piena.
TEXTCLIENT_LACKMONEY,You do not have enough Penya.,Non hai abbastanza Penya.
TEXTCLIENT_CANNOTPOST,You cannot send this item.,Non puoi inviare questo oggetto.
TEXTCLIENT_MAIL_UNKNOWN,Unknown user,Utente sconosciuto
TEXTCLIENT_POST_ERROR,You have failed to send.,Invio fallito.
TEXTCLIENT_MAIL_SEND_OK,Your mail has been sent successfully.,La tua posta è stata inviata con successo.
TEXTCLIENT_ERROR_RETRY,"An error occured, please retry the operation.","Si è verificato un errore, riprovare l'operazione."
TEXTCLIENT_REALTIME,Real Time - %s,Tempo Reale - %s
TEXTCLIENT_MADRIGALTIME,Madrigal Time - %s,Tempo di Madrigal - %s
TEXTCLIENT_NEW_QUEST,New Quest,Nuova Missione
TEXTCLIENT_CURRENT_QUEST,Quests in Progress,Missioni in Corso
TEXTCLIENT_STARTQUEST,You've received the quest: %s. Open your Quest Window for details.,Hai ricevuto la missione: %s. Apri la finestra delle missioni per i dettagli.
TEXTCLIENT_REMOVEQUEST,%s quest has been cancelled.,La missione %s è stata annullata.
TEXTCLIENT_QUEST_FAILURE,Quest cancelled.,Missione annullata.
TEXTCLIENT_NOTPLAYSERVER,This channel is not available. Please select another.,Questo canale non è disponibile. Si prega di inserire un altro.
TEXTCLIENT_PK_NO_FLIGHTAREA,Flying is forbidden inside.,È vietato volare all'interno.
TEXTCLIENT_ITEMBOX_MESSAGE1,You need %s item to open it.,Hai bisogno dell'oggetto %s per aprirlo.
TEXTCLIENT_ITEMBOX_MESSAGE2,"Wrong level, unable to open itembox.","Livello errato, impossibile aprire il pacchetto."
TEXTCLIENT_ITEMBOX_MESSAGE3,"Wrong sex, unable to open itembox.","Sesso errato, impossibile aprire il pacchetto."
TEXTCLIENT_ITEMBOX_MESSAGE4,You need to be on the %s quest to open it.,Devi essere nella missione %s per aprirlo.
TEXTCLIENT_ITEMBOX_MESSAGE5,"Wrong job, unable to open itembox.","Mestiere errato, impossibile aprire il pacchetto."
TEXTCLIENT_QUEST_NOINVENTORYSPACE,Unable to complete quest. Not enough room in your inventory.,Impossibile completare la missione. Spazio insufficiente nel tuo inventario.
TEXTCLIENT_REAPEXP,You have gained Experience.,Hai acquisito Esperienza.
TEXTCLIENT_ENDQUEST,Congratulations! %s has been completed.,Congratulazioni! %s è stato completato.
TEXTCLIENT_PARTYQUEST_NOTJOIN,"If a member of party is over level %d, he cannot enter.","Se un membro del gruppo ha superato il livello %d, non può entrare."
TEXTCLIENT_ERROR_DONTCHECK,You cannot check that anymore.,Non puoi più controllarlo.
TEXTCLIENT_COMACCEPT,You have joined the %s guild.,Ti sei unito alla gilda %s.
TEXTCLIENT_COMLEAVE,You are no longer a member of the %s guild.,Non sei più un membro della gilda %s.
TEXTCLIENT_GUILDWARERRORLOGO,You cannot change your guild logo during a guild duel.,Non puoi cambiare il logo della tua gilda durante un duello di gilda.
TEXTCLIENT_GUILDWARERRORNAME,You cannot change your guild name during a guild duel.,Non puoi cambiare il nome della tua gilda durante un duello di gilda.
TEXTCLIENT_GUILDNOTICEUPDATE,A new Guild Notice has been posted. Please check it in the guild window.,È stato pubblicato un nuovo Avviso di Gilda. Si prega di controllare nella finestra della gilda.
TEXTCLIENT_GUILD_NAMEINUSE,That guild name is already in use. Please choose another one.,Quel nome della gilda è già in uso. Si prega di sceglierne un altro.
TEXTCLIENT_GUILD_INVALIDNAME,This guild name contains unauthorized characters or words.,Questo nome di gilda contiene caratteri o parole non autorizzati.
TEXTCLIENT_GUILDCHANGENAME,%s guild has changed their name to %s.,La gilda %s ha cambiato il proprio nome in %s.
TEXTCLIENT_GUILDWARNODISMISS,You cannot disband your guild during a guild duel.,Non puoi sciogliere la tua gilda durante un duello di gilda.
TEXTCLIENT_GUILDSALARYCHANGED,Salary for each title has been changed.,Lo stipendio per ogni titolo è stato modificato.
TEXTCLIENT_GUILDPOWERCHANGED,Authority for each title has been changed.,L'autorità per ogni titolo è stata modificata.
TEXTCLIENT_GUILDWARNOMEMBER,Unable to use the member management function during a guild duel.,Impossibile utilizzare la funzione di gestione dei membri durante un duello di gilda.
TEXTCLIENT_GUILDMEMBER_PROMOTED,%s has been promoted.,%s è stato promosso.
TEXTCLIENT_GUILDMEMBER_DEMOTED,%s has been demoted.,%s è stato retrocesso.
TEXTCLIENT_GUILD_TRANSFERLEADER,%s has become the guild master.,%s è diventato il master della gilda.
TEXTCLIENT_GUILD_MEMBERLEAVE,%s has left the guild.,%s ha lasciato la gilda.
TEXTCLIENT_COMACCEPTHAVECOM,%s is already in a guild.,%s è già in una gilda.
TEXTCLIENT_BATTLE_NOTGUILD,You cannot invite others to join your guild during a battle.,Non puoi invitare altri a unirsi alla tua gilda durante una battaglia.
