Key,English,Indonesian
TUTORIAL_ROTATE_CAMERA_KEYBOARD_TEXT,"Let's go through how the camera works with the Keyboard. Here are the keys to press to rotate the camera:\n\nUp: Up Arrow #b↑#nb\nDown: Down Arrow #b↓#nb\nLeft: Left Arrow #b←#nb\nRight: Right Arrow #b→#nb\n\nPretty easy, huh?\n\n#cffff0000Clear Condition: Press an Arrow Key #b↑↓←→#nb","Mari kita lihat bagaimana cara kerja kamera dengan Keyboard. Begini caranya:\n\nAtas : Arah Panah Atas #b↑#nb\nBawah : Arah Panah Bawah #b↓#nb\nKiri : Arah Panah Kiri #b←#nb\nKanan : Arah Panah Kanan #b→#nb\n\nCukup mudah, kan?\n\n#cffff0000Clear Condition: Tekan tombol arah panah #b↑↓←→#nb"
TUTORIAL_ZOOM_CAMERA_TEXT,"How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom","How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom"
TUTORIAL_ROTATE_PHONE_TITLE,Viewing,Viewing
TUTORIAL_ROTATE_PHONE_CONTENT,[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]],[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]]
TUTORIAL_ROTATE_PHONE_TEXT,Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]],Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]]
TUTORIAL_OPEN_MENU_TEXT,"Great! [[It's time to learn how to change settings to enjoy the game the best as possible.\n\nSettings are available from the main game menu.\n\nClick on the #bbutton on bottom left#nb of the screen to open the main menu|Next, let's open the #bmain menu#nb.\n\nJust tap the button at the bottom left of the screen]].\n\n#cffff0000Clearing requirement: Open the main menu","Great! [[It's time to learn how to change settings to enjoy the game the best as possible.\n\nSettings are available from the main game menu.\n\nClick on the #bbutton on bottom left#nb of the screen to open the main menu|Next, let's open the #bmain menu#nb.\n\nJust tap the button at the bottom left of the screen]].\n\n#cffff0000Clearing requirement: Open the main menu"
TUTORIAL_OPEN_OPTION_TEXT,"Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window","Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window"
TUTORIAL_OPEN_OPTION_TITLE,Settings,Pengaturan
TUTORIAL_OPEN_OPTION_CONTENT,"#b#cff0000ff■ Video / Audio tab#nb#nc\nYou can configure texture quality, shadows quality and many other graphical options. Use Save button or your changes will be reset when you close the window. Texture quality and Antialiasing are only applied when saving changes. Antialiasing[[|, Vibrations]] and Fullscreen options are not supported on all devices. All advanced options and high quality settings will consume more energy and Internet bandwidth so consider disabling them if you have a limited Internet connection or experiencing a slow framerate.\n\n#b#cff0000ff■ Game tab#nb#nc\nYou can select the interface language and enable or disable some options relative to your character. Don't forget to save your changes.","#b#cff0000ff■ Video / Audio tab#nb#nc\nKamu dapat mengonfigurasi kualitas tekstur, kualitas bayangan, dan banyak opsi grafis lainnya. Gunakan tombol Simpan atau perubahan akan diatur ulang saat menutup jendela. Kualitas tekstur dan Antialiasing hanya diterapkan saat menyimpan perubahan. Opsi Antialiasing[[|, Getaran]] dan Fullscreen tidak didukung di semua perangkat. Semua advanced option dan pengaturan kualitas tinggi serta bandwidth Internet akan sia-sia, jadi pertimbangkan untuk menonaktifkannya jika memiliki koneksi Internet terbatas atau FPS yang rendah.\n\n#b#cff0000ff■ Game tab#nb#nc\nKamu dapat memilih interface bahasa dan mengaktifkan atau menonaktifkan beberapa opsi mengenai karaktermu. Jangan lupa untuk menyimpan perubahannya."
TUTORIAL_OPEN_MAP_TEXT,"Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]","Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]"
TUTORIAL_OPEN_MAP_TITLE,Map,Map
TUTORIAL_OPEN_MAP_CONTENT,"#b#cff0000ff■ Whole map#nb#nc\n[[Press M key|Touch World Map in main menu]] to see the continent of Madrigal.\n\n#b#cff0000ff■ Mini-Map#nb#nc\n[[Press N key|Touch cross button]] to hide navigator on right corner. If you want to see it again, [[press N key again|touch Navigator in main menu]].","#b#cff0000ff■ Whole map#nb#nc\n[[Press M key|Touch World Map in main menu]] untuk melihat benua Madrigal.\n\n#b#cff0000ff■ Mini-Map#nb#nc\n[[Press N key|Touch cross button]] untuk menyembunyikan navigator di sudut kanan. Jika kamu ingin melihatnya lagi, [[press N key again|touch Navigator in main menu]]."
TUTORIAL_OPEN_NAVIGATOR_TEXT,Let's go through the Navigator.\nYou can check your location and the surrounding area with the navigator that’s in the upper right part of the screen.\n[[Activate and deactivate the Navigator by pressing 'N'|Use Navigator in main menu to toggle the mini-map]].\n\n#cffff0000Clear Condition: [[Hot Key 'N'|Open the navigator]],Mari kita pergi melalui Navigator.\nKamu dapat memeriksa lokasimu dan area sekitarnya dengan navigator yang ada di bagian kanan atas layar.\n[[Activate and deactivate the Navigator by pressing 'N'|Use Navigator in main menu to toggle the mini-map]].\n\n#cffff0000Clear Condition: [[Hot Key 'N'|Open the navigator]]
TUTORIAL_TALK_LUI_TEXT,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!
TUTORIAL_START_QUEST_TEXT,"Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]","Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]"
TUTORIAL_START_QUEST_TITLE,Quest Window,Quest Window
TUTORIAL_START_QUEST_CONTENT,#b#cff0000ff■ Quest Window#nb#nc\nThis is where you can see current quest information and the completed quests.[[\nShortcut key is L.|]],#b#cff0000ff■ Quest Window#nb#nc\nDi sinilah Anda dapat melihat informasi quest saat ini dan quest yang telah diselesaikan.[[\nShortcut key is L.|]]
TUTORIAL_MOTION_TEXT,Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]],Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]]
TUTORIAL_MOTION_TITLE,Emotion Expression,Emotion Expression
TUTORIAL_MOTION_CONTENT,"#b#cff0000ff■ Emotion Expression#nb#nc\nYou can use this to express your emotion to other players. There are many emoticons and icons for expression various emotions, so you should try to use it.[[\nShortcut key is O.|]]","#b#cff0000ff■ Emotion Expression#nb#nc\nKamu dapat menggunakan ini untuk mengekspresikan emosimu kepada pemain lain. Ada banyak emotikon dan ikon untuk mengekspresikan berbagai emosi, jadi kamu harus mencoba menggunakannya.[[\nShortcut key is O.|]]"
TUTORIAL_CHAT_TEXT,Ready to chat with others?\n\n[[Press ENTER|You can tap the #bChat#nb preview at the bottom]] to open the chat window.\n\nMessage in Normal chat are visible to nearby players.,Ready to chat with others?\n\n[[Press ENTER|You can tap the #bChat#nb preview at the bottom]] to open the chat window.\n\nMessage in Normal chat are visible to nearby players.
TUTORIAL_CHAT_TITLE,Chat Method,Chat Method
TUTORIAL_CHAT_CONTENT,#b#cff0000ff■ Normal Chat#nb#nc\nYou can only talk to players near by you. The way you talk is press Chat button on chat window.\n\n#b#cff0000ff■ Shout#nb#nc\nYou can talk to players who are in broad range. They way you shot is add #cffff0000/s #nc on front of the words that you want to say.\n\n#b#cff0000ff■ Party Chat#nb#nc\nYou can use it when you are in a party. The way you talk is add #cffff0000/p #nc on front of the wards that you want to say.\nYou can use Troupe button on the chat window.\n\n#b#cff0000ff■ Whisper#nb#nc\nYou can send message to certain player. The way you do it is add #cffff0000/w character name #nc.\nYou can use Whisper button on the chat window.\n\n#b#cff0000ff■ Guild Chat#nb#nc\nYou can use it when you are in a guild. The way you talk is add#cffff0000/g #nc.\nYou can use Guild button on the chat window.\n\n#b#cff0000ff■ System Message#nb#nc\nAll of the messages except chat message display in system window.To check press SYSTEM button on the chat window.\n\n#b#cff0000ff■ Filter Function#nb#nc\nYou can see the chat that you want to see. The way you do is press Filter button.,"#b#cff0000ff■ Normal Chl#nb#nc\nkamu hanya dapat berbicara dengan pemain di dekatmu. Caramu berbicara adalah menekan tombol Obrolan di jendela obrolan.\n\n#b#cff0000ff■ Shout#nb#nc\nKamu dapat berbicara dengan pemain yang berada dalam jangkauan luas. Caramu menembak adalah menambahkan #cffff0000/s #nc di depan kata-kata yang ingin kamu ucapkan.\n\n#b#cff0000ff■ Party Chat#nb#nc\nKamu dapat menggunakannya ketika kamu berada di sebuah pesta. Caramu berbicara adalah menambahkan #cffff0000/p #nc di depan bangsal yang ingin kamu katakan.\nKamu dapat menggunakan tombol Rombongan di jendela obrolan.\n\n#b#cff0000ff■ Whisper#nb#nc\nKamu dapat mengirim pesan ke pemain tertentu. Caranya adalah dengan menambahkan #cffff0000/w nama karakter #nc.\nKamu dapat menggunakan tombol Bisikan di jendela obrolan.\n\n#b#cff0000ff■ Guild Chat#nb#nc\nKamu dapat menggunakannya ketika kamu berada di guild. Caramu berbicara adalah add#cffff0000/g #nc.\nKamu dapat menggunakan tombol Guild di jendela obrolan.\n\n#b#cff0000ff■ System Message#nb#nc\nSemua pesan kecuali pesan obrolan ditampilkan di jendela sistem. Untuk memeriksanya, tekan tombol SISTEM di jendela obrolan.\n\n#b#cff0000ff■ Filter Function#nb#nc\nKamu dapat melihat obrolan yang ingin kamu lihat. Caranya adalah dengan menekan tombol Filter."
TUTORIAL_SHOUT_TEXT,"Mastering the Shout:\n\nShouting broadcasts your message to a #bbroader audience#nb than normal chat.\n\nTo shout, prefix your message with#cffff0000/s#nc. Remember, players won't see your shouts until you reach level 20.\n\n#cffff0000Clearing requirement: Use the shout ('/s') chat.","Mastering the Shout:\n\nShouting broadcasts your message to a #bbroader audience#nb than normal chat.\n\nTo shout, prefix your message with#cffff0000/s#nc. Remember, players won't see your shouts until you reach level 20.\n\n#cffff0000Clearing requirement: Use the shout ('/s') chat."
TUTORIAL_PARTY_CHAT_TEXT,"About the #bParty chat#nb:\n\nStart your message with #cffff0000/p#nc to only discuss with players in your party.\n\nRemember, party chat is exclusive to party members.","About the #bParty chat#nb:\n\nStart your message with #cffff0000/p#nc to only discuss with players in your party.\n\nRemember, party chat is exclusive to party members."
TUTORIAL_WHISPER_CHAT_TEXT,Need to message someone directly? Try #bWhisper#nb.\n\nType\n#cffff0000 /w CharacterName\n#nc before your message to whisper to a specific player.,Need to message someone directly? Try #bWhisper#nb.\n\nType\n#cffff0000 /w CharacterName\n#nc before your message to whisper to a specific player.
TUTORIAL_GUILD_CHAT_TEXT,Add #cffff0000/g#nc before your message to chat with your guild members only.,Add #cffff0000/g#nc before your message to chat with your guild members only.
TUTORIAL_SYSTEM_CHAT_TEXT,System messages are shown in a seperate chat window.\n\n[[Click|Tap]] the SYSTEM button in the chat window to view them.,System messages are shown in a seperate chat window.\n\n[[Click|Tap]] the SYSTEM button in the chat window to view them.
TUTORIAL_FILTER_CHAT_TEXT,"To see only the messages you're interested in, simply select a tab, [[click|tap]] the #bFilter#nb button, and edit your perferences. The rest will be filtered out.","To see only the messages you're interested in, simply select a tab, [[click|tap]] the #bFilter#nb button, and edit your perferences. The rest will be filtered out."
TUTORIAL_INVENTORY_TEXT,You got your #bfirst weapon#nb!\n\nLet's go through item equipment by [[pressing 'I'|touching Inventory in the bottom]].\n\n#cffff0000Clear Condition: [[Hot Key 'I'|Open inventory]],Kamu mendapatkan #bfirst weapon#nb!\n\nMari kita lihat perlengkapan item dengan [[pressing 'I'|touching Inventory in the bottom]].\n\n#cffff0000Clear Condition: [[Hot Key 'I'|Open inventory]]
TUTORIAL_EQUIP_TEXT,[[Double click|Touch]] an item you want to equip [[or drag it to the spot you want to equip|and then touch the #bEquip#nb button]].\n\n#cffff0000Clear Condition: Equip an item,[[Double click|Touch]] item yang ingin kamu gunakan [[or drag it to the spot you want to equip|and then touch the #bEquip#nb button]].\n\n#cffff0000Clear Condition: Equip an item
TUTORIAL_UNEQUIP_TEXT,Now double [[click again|tap]] on the item in #bequipment view#nb to unequip it.\n\n#cffff0000Clear Condition: Unequip an item,Sekarang double [[click again|tap]] pada item di #bequipment view#nb untuk melepasnya.\n\n#cffff0000Clear Condition: Unequip an item
TUTORIAL_INVENTORY_TITLE,Inventory,Inventory
TUTORIAL_INVENTORY_CONTENT,"#b#cff0000ff■ At the top of the Inventory window,#nb#nc\nyou can see the items your character has equipped. At the bottom, you can see the items and Penya in your inventory. To equip an item, double-[[click|tap]] it or drag it to the appropriate slot.[[\nHotkey: I|]]",#b#cff0000ff■ Di atas Inventory#nb#nc\n kamu dapat memeriksa item yang sedang digunakan. Bagian bawah menampilkan item dan penya yang kamu miliki. Kamu dapat double [[click|tap]] atau drag item kelokasi yang ingin kamu gunakan.[[\nShortcut key is I.|]]
TUTORIAL_TASKBAR_TEXT,Well done! Let's learn about the #bQuick Slot#nb located [[on the left|in many places]] of your screen.\n\nYou can put #bitems or skills#nb into it so you can use them quickly. [[1 - 0 can be used as hotkeyes.\nYou can also use keys F1-F9 to cycle through your Quick Slot bars.|#bKeep your finger pressed#nb on an item to drag it to the Slot of your choice.]]\n\n#cffff0000Clear Condition: Drag an item to Quick Slot,Bagus sekali! Mari belajar tentang #bQuick Slot#nb terdapat [[on the left|in many places]] dilayarmu.\n\nKamu dapat memasukkan #bitems or skills#nb kedalamnya agar kamu dapat menggunakan item dengan cepat. [[1 - 0 can be used as hotkeyes.\nKamu juga dapat menekan F1-F9 untuk menelusuri bilah Quick Slot.|#bKeep your finger pressed#nb pada item untuk mendragnya kedalam Slot pilihanmu.]]\n\n#cffff0000Clear Condition: Drag an item to Quick Slot
TUTORIAL_TASKBAR_TITLE,Quick Slot,Quick Slot
TUTORIAL_TASKBAR_CONTENT,#b#cff0000ff■ Quick Slot#nb#nc\nYou can put items or motions that you want to use quickly[[ in 1~0 slots and there are also expansion slot of F1~F9|]].,#b#cff0000ff■ Quick Slot#nb#nc\nKamu dapat memasang item atau motion yang ingin kamu gunakan dengan cepat[[ in 1~0 slots and there are also expansion slot of F1~F9|]].
TUTORIAL_CHARACTER_TEXT,The #bCharacter#nb window displays information about your character.\n\n[[Press 'H'|Touch Character in main menu]] to view this window.\n\n#cffff0000Clear Condition: [[Hot Key 'H'|Open Character window]],Jendela #bCharacter#nb selalu menampilkan informasi untuk karaktermu.\n\n[[Press 'H'|Touch Character in main menu]] untuk melihat jendela ini.\n\n#cffff0000Clear Condition: [[Hot Key 'H'|Open Character window]]
TUTORIAL_CHARACTER_TITLE,Character Window,Character Window
TUTORIAL_CHARACTER_CONTENT,#b#cff0000ff■ Character Window#nb#nc\nYou can see all information of your character. You can also increase ability stat with Stat Points.[[\nShortcut key is H.|]],#b#cff0000ff■ Jendela karakter#nb#nc\nKamu dapat melihat informasi tentang karaktermu. Kamu juga dapat menaikkan ability dengan Stats Point.[[\nShortcut key is H.|]]
TUTORIAL_STAT_TEXT,You can also distribute #bStat Points#nb you have gained by leveling in #bDetail tab#nb.\n\nUse #bApply#nb button to confirm changes.\n\n#cffff0000Clear Condition: Distribute Stat Points,Kamu dapat mendistribusikan #bStat Points#nb yang kamu dapatkan pada #bDetail tab#nb.\n\nGunakan #bApply#nb tombol untuk konfirmasi.\n\n#cffff0000Clear Condition: Distribute Stat Points
TUTORIAL_CHANGEJOB_TEXT,"Hi, there. I am #b#cffa0a0ffInfo Pang#nc#nb ^^\n\nYou can transfer your job to #bMercenary#nb, #bMagician#nb, #bAcrobat#nb, or #bAssist#nb when you reach level 15.\n\nYou need to complete the #bjob transfer quest#nb by talking to the #b#cffa0a0ffJob Drillmaster#nc#nb in #bEastern Flarine#nb.","Halo, aku #b#cffa0a0ffInfo Pang#nc#nb ^^\n\nKamu dapat mengubah job kamu menjadi #bMercenary#nb, #bMagician#nb, #bAcrobat#nb, or #bAssist#nb saat kamu mencapai level 15.\n\nKamu perlu menyelesaikan #bjob transfer quest#nb dengan berbicara ke #b#cffa0a0ffJob Drillmaster#nc#nb in #bEastern Flarine#nb."
TUTORIAL_FLY_TEXT,"Now you have reached the level to fly. Let me teach you #bhow to fly#nb!\n\nYou will first need to purchase a board or a broom to #b#cffa0a0ff(Station) Tina#nc#nb in Flarine and equip the item.\n\nThen [[press the Space bar|touch the #bSTART button#nb in bottom right of the screen]] to increase speed, and [[press Space bar|touch it]] again to decrease speed.\n\n[[Move your Mouse cursor while holding down the right button|Touch your character and #bslide your finger#nb or use the #bdirectional pad#nb]] to fly in that direction.\n\n[[When using the keyboard the W, A, S, D keys will move you.|You can also control your flight by #brotating your device#nb if device motion is supported. Use the button on top of the screen to toggle Device Motion.]]","Now you have reached the level to fly. Let me teach you #bhow to fly#nb!\n\nYou will first need to purchase a board or a broom to #b#cffa0a0ff(Station) Tina#nc#nb in Flarine and equip the item.\n\nThen [[press the Space bar|touch the #bSTART button#nb in bottom right of the screen]] to increase speed, and [[press Space bar|touch it]] again to decrease speed.\n\n[[Move your Mouse cursor while holding down the right button|Touch your character and #bslide your finger#nb or use the #bdirectional pad#nb]] to fly in that direction.\n\n[[When using the keyboard the W, A, S, D keys will move you.|You can also control your flight by #brotating your device#nb if device motion is supported. Use the button on top of the screen to toggle Device Motion.]]"
TUTORIAL_GUILD_TEXT,"A #bGuild#nb is a bigger community than a Party and can be created by the #b#cffa0a0ff[Public Office] Helena#nc#nb when you reach level 40.\n\nEach tab's details are as follows:\nInfo tab provides general info about the guild and notice, \nMember tab manages Guild members.\n\n#cffff0000Clear Condition: [[Hot Key 'G'|Open Guild window]]","A #bGuild#nb Komunitas yang lebih besar dari party dapat dibuat oleh #b#cffa0a0ff[Public Office] Helena#nc#nb saat kamu mencapailevel 40.\n\nDetail setiap tab adalah sebagai berikut:\nTab Info menyediakan info umum tentang guild dan pemberitahuan, \nTab anggota mengelola anggota Guild..\n\n#cffff0000Clear Condition: [[Hot Key 'G'|Open Guild window]]"
TUTORIAL_MESSENGER_TEXT,You can use #bMessenger#nb Window to check your friends' online status and chat with them. Remember to add your #bfriends#nb to the messenger.,You can use #bMessenger#nb Window to check your friends' online status and chat with them. Remember to add your #bfriends#nb to the messenger.
TUTORIAL_MESSENGER_TITLE,Messenger,Messenger
TUTORIAL_MESSENGER_CONTENT,"#b#cff0000ff■ Messenger#nb#nc\nYou can check for log in status of registered players, channel and you can use chat easily. To register player [[click on|touch]] + button on the messenger window, then enter the character name that you want to register.[[\nShortcut key is E.|]]","#b#cff0000ff■ Messenger#nb#nc\nKamu dapat memeriksa status masuk player terdaftar, channel dan kamu dapat menggunakan chat dengan mudah. Untuk mendaftarkan pemain [[click on|touch]] + tombol pada jendela messenger, lalu masukkan nama karakter yang ingin Anda daftarkan..[[\nShortcut key is E.|]]"
TUTORIAL_TRADE_TEXT,"You can use #b1 on 1 trade#nb to exchange items and Penya. Simply [[Left click on a|tap on another]] player, and select #b'Trade'#nb from the menu.","You can use #b1 on 1 trade#nb to exchange items and Penya. Simply [[Left click on a|tap on another]] player, and select #b'Trade'#nb from the menu."
TUTORIAL_TRADE_TITLE,Trade,Trade
