Key,English,Indonesian
WORLD_WDGUILDWAR_WDGUILDWAR_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WDGUILDWARBIG_WLD_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WORLD_WDGUILDWAR_CAVERN_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WORLD_WDGUILDWAR_CORAL_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WORLD_WDGUILDWAR_GUARDIANE_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WORLD_WDGUILDWAR_KAILLUN_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WORLD_WDGUILDWAR_SNOW_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WORLD_WDGUILDWAR_UNDERWATER_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka kalau kau yang terbaik!
WORLD_WDGUILDWAR_VOLCANO_RGN_000000,Prove yourself!\nShow them that you are the best!,Buktikan dirimu!\nTunjukkan pada mereka bahwa dirimu adalah yang terbaik!
WDKEBARAS_WLD_000000,Lodelight,Lodelight
WDKEBARAS_WLD_000001,This is a safe place.,Ini adalah tempat yang aman.
WORLD_WDKEBARAS_WDKEBARAS_RGN_000000,Kebaras,Kebaras
WORLD_WDKEBARAS_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras!\nLong ago, this place served as a prison for criminals...",Selamat datang di kota Kebaras!\nTempat ini dulunya adalah penjara bagi para penjahat...
WDKEBARAS2_WLD_000000,Lodelight,Lodelight
WDKEBARAS2_WLD_000001,This is a safe place.,This is a safe place.
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000000,Kebaras 2,Kebaras 2
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals...","Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals..."
WDMADRIGAL_WLD_000000,Mysterious Castle,Istana Misterius
WDMADRIGAL_WLD_000001,This place is not marked on the map. No one knows how to enter it...,Tempat ini tidak ada di peta. Tidak ada yang tahu bagaimana cara masuk ke dalam...
WDMADRIGAL_WLD_000002,Refuge of Middle Leren Mountains,Refuge of Middle Leren Mountains
WDMADRIGAL_WLD_000003,Line Flarine ↔ Saint City,Line Flarine ↔ Saint City
WDMADRIGAL_WLD_000004,Line Flarine ↔ Darkon 1,Line Flarine ↔ Darkon 1
WDMADRIGAL_WLD_000005,Line Flarine ↔ Mars Mine,Line Flarine ↔ Mars Mine
WDMADRIGAL_WLD_000006,Line Saint City ↔ Garden of Rhisis,Line Saint City ↔ Garden of Rhisis
WDMADRIGAL_WLD_000007,Line Saint City ↔ Fantasy Desert,Line Saint City ↔ Fantasy Desert
WDMADRIGAL_WLD_000008,Line Darkon 1 ↔ Darken,Line Darkon 1 ↔ Darken
WDMADRIGAL_WLD_000009,Line Darken ↔ Arians,Line Darken ↔ Arians
WDMADRIGAL_WLD_000010,Line Arians ↔ Guardiane,Line Arians ↔ Guardiane
WDMADRIGAL_WLD_000011,Line Arians ↔ Deadwallderness,Line Arians ↔ Deadwallderness
WDMADRIGAL_WLD_000012,Azria\nAbandoned Erons Factory,Azria\nAbandoned Erons Factory
WDMADRIGAL_WLD_000013,Azria\nVillage,Azria\nVillage
WDMADRIGAL_WLD_000014,Line Deadwallderness ↔ Azria,Line Deadwallderness ↔ Azria
WDMADRIGAL_WLD_000015,Storm Peak Entrance,Storm Peak Entrance
WDMADRIGAL_WLD_000017,Envy Depths Entrance,Envy Depths Entrance
WDMADRIGAL_WLD_000019,Guardiane Sanctuary Entrance,Guardiane Sanctuary Entrance
WDMADRIGAL_WLD_000021,Leren Chasm Entrance,Leren Chasm Entrance
WDMADRIGAL_WLD_000022,Wilds Entrance,Wilds Entrance
WDMADRIGAL_WLD_000023,Rhisis Catacombs,Rhisis Catacombs
WDMADRIGAL_WLD_000024,This is a safe place.,Ini adalah tempat yang aman.
WDMADRIGAL_WLD_000025,The Wilds Entrance,The Wilds Entrance
WDMADRIGAL_WLD_000026,Coral Village,Coral Village
WDMADRIGAL_WLD_000028,Coral Island,Coral Island
WDMADRIGAL_WLD_000029,Welcome to Coral!,Selamat datang di Coral!
WDMADRIGAL_WLD_000030,Red Sea,Red Sea
WDMADRIGAL_WLD_000032,Deep Sea,Deep Sea
WDMADRIGAL_WLD_000034,Swamp,Swamp
WDMADRIGAL_WLD_000035,Saint City Arena,Saint City Arena
WDMADRIGAL_WLD_000036,This place was famous long ago...,Tempat ini terkenal sejak lama...
WDMADRIGAL_WLD_000037,Kaillun,Kaillun
WDMADRIGAL_WLD_000038,Welcome to Kaillun!,Selamat datang di Kaillun!
WDMADRIGAL_WLD_000039,Orbalune Port,Orbalune Port
WDMADRIGAL_WLD_000040,This is a safe place.,Ini adalah tempat yang aman.
WDMADRIGAL_WLD_000041,Kaillun Grassland,Kaillun Grassland
WDMADRIGAL_WLD_000042,Dreknir Ridge,Dreknir Ridge
WDMADRIGAL_WLD_000043,Lionrath Falls,Lionrath Falls
WDMADRIGAL_WLD_000044,Velora Cliffs,Velora Cliffs
WDMADRIGAL_WLD_000045,Dreknir Forest,Dreknir Forest
WDMADRIGAL_WLD_000046,Ankou's Asylum Entrance,Ankou's Asylum Entrance
WDMADRIGAL_WLD_000047,This is a safe place.,Ini adalah tempat yang aman.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000000,Darkon 1\nErons Factory 2,Darkon 1\nErons Factory 2
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000001,Erons Factory 2. Used to produce Erons.,Erons Factory 2. Digunakan untuk produksi Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000002,The Middle of Leren Mountains,The Middle of Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000003,The middle district of Leren Mountains in Flaris.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,The middle district of Leren Mountains in Flaris.\nTerdapat tempat akomodasi High-Dwarpets pada Plain of Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000004,Flarine\nCentral Flarine,Flarine\nCentral Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000005,The main hub of activity for Flaris is in the middle of Flarine.\nThere is a station and a public office.\nThere are stores for armor and weapons.,Pusat aktivitas utama Flaris ada di tengah-tengah Flarine.\nAda Station dan Public Office.\nAda Armor Shop dan Weapon Shop.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000006,Flarine\nEastern Flarine,Flarine\nEastern Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000007,"The eastern part of Flarine.\nHere you can get food, magic materials, and job training.","The eastern part of Flarine.\nDsini kamu dapat membeli food, magic materials, dan job training."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000008,Flarine\nNorthern Flarine,Flarine\nNorthern Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000009,The northern part of Flarine.\nThe Job Masters and Lodestar are here.,The northern part of Flarine.\nJob Masters and Lodestar disini are here.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000010,Someone is watching you.,Someone sedang mengawasimu.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000011,Plain of Bubble,Plain of Bubble
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000012,This area was created by the Clown God Bubble.,Area ini dibuat oleh Clown God Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000013,The South of Leren Mountains,The South of Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000014,The southern district of the Leren Mountains.,The southern district of the Leren Mountains.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000015,The Center for Guild Combat,The Center for Guild Combat
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000016,Guild combat is managed here.,Guild combat dikelola di sini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000017,The South of Leren Mountains\nAltar of Dreadpet,The South of Leren Mountains\nAltar of Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000018,Dreadpet is kept here.\nHis keepers control great magic.,Dreadpet disimpan di sini.\nPenjaganya mengendalikan magic yang hebat.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000019,Darkon 1\nErons Factory 1,Darkon 1\nErons Factory 1
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000020,The First Erons Factory.\nThis factory produces 80% of all Erons.,The 1st Erons Factory.\nPabrik ini memproduksi 80% dari semua Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000021,Darkon\nAltar of Violet,Darkon\nAltar of Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000022,There is evidence here of a major event.,Ada bukti di sini tentang peristiwa besar.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000023,The Middle of Leren Mountains,The Middle of Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000024,The middle of the Leren Mountains.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,The middle of the Leren Mountains.\nTerdapat tempat akomodasi High-Dwarpets pada Plain of Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000025,Billeting Place of High-Dwarpets,Tempat akomodasi High-Dwarpets
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000026,The High-Dwarpets have created Billeting place.\n A certain High-Dwarpet once stored the Book of Technique here.,High-Dwarpets telah membuat tempat akomodasi.\n Seorang High-Dwapet pernah menyimpan Book of Technique di sini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000027,Northern River of Weeping,Northern River of Weeping
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000028,Haunt of Nyangnyang,Haunt of Nyangnyang
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000029,Haunt of Nyangnyang.,Haunt of Nyangnyang.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000030,The bridge was repaired!\n You used to have to jump across a gap.,Jembatan itu diperbaiki!\n Kamu biasanya harus melompati celah.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000031,Lodelight,Lodelight
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000032,This is a safe place.,Ini adalah tempat yang aman.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000033,Madren Town,Madren Town
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000034,This is a small town for Demian.\nCast-off Demian live here.,Ini adalah kota kecil untuk Demian.\nDemian yang terkucilkan tinggal di kota ini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000035,Middle of River of Weeping,Middle of River of Weeping
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000036,This river overflows when it rains every once in a while.\nHigh-Dwarpet can sometimes be seen bathing here.,Sungai ini meluap saat hujan sesekali.\nHigh-Dwarpet terkadang terlihat mandi di sini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000037,Madren Town\nAltar of Dreadpet,Madren Town\nAltar of Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000038,Another place for controlling the Dreadpet.\nThere are supervisors here that use strong magic.,Tempat lain untuk mengendalikan Dreadpet.\nAda pengawas di sini yang menggunakan magic kuat.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000039,Fountain of Dead Person,Fountain of Dead Person
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000040,"It is known that souls gather together in this place.\nAccording to tradition, the water in this place gives perennial youth and long life.","Diketahui bahwa jiwa berkumpul bersama di tempat ini.\nMenurut tradisi, air di tempat ini memberikan awet muda dan umur panjang."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000041,Northern Leren Mountains,Northern Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000042,The northern district of the Leren Mountains.\nThe Mars Mine and the Fountain of Dead Person are here.,Bagian utara Gunung Leren.\nMars Mine dan Fountain of Dead Person ada di sini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000043,Mars Mine,Mars Mine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000044,"This Mine was found and developed by mining merchants long ago.\n However, the place is overrun with Masquerpets now.","Tambang ini ditemukan dan dikembangkan oleh pedagang pertambangan sejak lama.\nNamun, tempat itu dibanjiri oleh Masquerpets sekarang."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000045,The residence of Ludviehill,The residence of Ludviehill
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000046,The rich of Flaris live in Ludviehill.,Orang kaya Flaris tinggal di Ludviehill.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000049,Saint Tree,Saint Tree
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000050,Saint Tree is really old\n This tree is one of the symbols of Saint Morning.,Saint Tree benar-benar tua\nPohon ini adalah salah satu simbol Saint Morning.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000051,Saint Morning\nAltar of Violet,Saint Morning\nAltar of Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000052,"Here, as in other places, there is evidence of a major event.","Di sini, seperti di tempat lain, ada bukti peristiwa besar."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000053,Northern Hillid Mountains,Northern Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000054,The Northern district of the Hillid Mountains,Bagian utara dari Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000055,Eastern River of Weeping,Eastern River of Weeping
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000056,The Eastern part of the River of Weeping\nAltar of Dreadpet,Bagian timur dari River of Weeping\nAltar of Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000057,Another Altar to the Dreadpet.\nThe magic of the Dreadpet tamers electrifies the air.,Another Altar to the Dreadpet.\nMagic dari Dreadpet tamers menggemparkan udara.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000058,Saint Morning\nSaint Hall,Saint Morning\nSaint Hall
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000059,Saint Hall is the oldest building. It has been standing longer than anyone in town has been alive.\nPublic offices and the laboratory are located in this building.,Saint Hall adalah bangunan tertua. Itu telah berdiri lebih lama daripada siapa pun yang hidup dikota.\nPublic Office dan Laboratory terletak di gedung ini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000060,Saint Morning,Saint Morning
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000061,Saint Morning has gained independence from Flaris.\nThey have made a fortune from commerce.,Saint Morning telah memperoleh kemerdekaan dari Flaris.\nMereka telah menghasilkan banyak uang dari perdagangan.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000062,Saint Morning\nStation,Saint Morning\nStation
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000063,This is the biggest station on Madrigal.\nSaint Morning could become the center of commerce for Madrigal by using this station.,Ini adalah stasiun terbesar di Madrigal.\nSaint Morning bisa menjadi pusat perdagangan Madrigal dengan menggunakan stasiun ini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000064,Saint Morning square,Saint Morning square
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000065,Saint Morning square is a local hang out.\nThere is lots of space to open stores.,Alun-alun Saint Morning adalah tempat nongkrong lokal.\nAda banyak ruang untuk membuka toko.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000066,Saint Morning\nThe Madrigal History Society.,Saint Morning\nThe Madrigal History Society.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000067,Research in the History of Madrigal is being made here.,Penelitian History of Madrigal sedang dilakukan di sini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000068,Flaris\nAltar of Violet,Flaris\nAltar of Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000069,"There is a certain smell in the air and stones litter the landscape, evidence of a major event.","Ada bau tertentu di udara dan bebatuan mengotori pemandangan, bukti dari peristiwa besar."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000070,The Garden of Rhisis,The Garden of Rhisis
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000071,The Garden of Rhisis.\nThis once used to be a beautiful place but was ruined in the war with Clockworks.,The Garden of Rhisis.\nIni dulunya adalah tempat yang indah tetapi hancur dalam perang dengan Clockworks.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000072,Fantasy Desert,Fantasy Desert
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000073,"You can see stone pillars around the desert.\nAccording to rumor, there are temples that lie buried under this desert.","Anda dapat melihat pilar batu di sekitar gurun.\nMenurut rumor, ada kuil yang terkubur di bawah gurun ini."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000074,You can hear the sound of digging close by.,Anda dapat mendengar suara penggalian di dekatnya.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000075,The Entrance to Fantasy Desert,The Entrance to Fantasy Desert
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000076,"A desert with a lot of unknown, unexplained, buildings.","Gurun dengan banyak bangunan yang tidak diketahui, tidak dapat dijelaskan."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000077,Southern Hillid Mountains,Southern Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000078,The southern Hillid Mountains.\nThe Entrance to the Fantasy Desert and Plateau of Silence is here.,Bagian selatan Hillid Mountains.\nThe Entrance to the Fantasy Desert dan Plateau of Silence ada disini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000079,Plateau of Silence\nGravity Disorder Area,Plateau of Silence\nGravity Disorder Area
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000080,"It is impossible to fly in this area of Madrigal. According to a research group, gravity is stronger here than anywhere else in the world.","Mustahil untuk terbang di area ini. Menurut sebuah kelompok penelitian, gravitasi lebih kuat di sini daripada di tempat lain di Madrigal."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000081,Hill of Shade,Hill of Shade
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000082,"Shade, the Clown Goddess was here.\nShe created this place in the time it takes to blink an eye.","Shade, the Clown Goddess ada disini.\nDia menciptakan tempat ini hanya dengan mengedipkan mata."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000083,This is a safe place.,Ini adalah daerah yang aman. Anda aman dari musuh.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000084,Pumpkin Town\nThe Home of Mr. Pumpkin.,Pumpkin Town\nThe Home of Mr. Pumpkin.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000085,"This town was made by people who dislike the city life of Saint Morning.\nHowever, this town was ruined because of an invasion of Mr. Pumpkins.","Kota ini dibuat oleh orang-orang yang tidak menyukai kehidupan kota Saint Morning.\nNamun, kota ini hancur karena invasi Mr. Pumpkins."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000086,Central Hillid Mountains,Central Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000087,The central area of the Hillid Mountains.,Area tengah dari Hilis Mountains.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000088,Darkon 3\nMagmient,Darkon 3\nMagmient
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000089,The molten terrain of Darkon 3 makes for hard travel.\nOrdinary people do not enter because of the danger.,Medan yang meleleh di Darkon 3 membuat perjalanan sulit.\nOrang biasa tidak akan masuk karena berbahaya.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000090,Altar of Jester,Altar of Jester
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000091,This altar was made for admiring the glory of Jesters.\nA priest named Homeit is managing this altar.,Altar ini dibuat untuk mengagumi kemuliaan Jester.\nSeorang priest bernama Homeit mengelola altar ini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000092,Darkon 3\nBrekin,Darkon 3\nBrekin
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000093,"This was an industrial area for refining Erons.\nHowever, this area was abandoned because of growing danger in the area.","Ini dulunya adalah area industri untuk merefine Erons.\nNamun, area ini ditinggalkan karena semakin berbahaya."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000094,Darkon 3\nArians,Darkon 3\nArians
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000095,This area consists of giant pools. This blue water dissolved Erons.,Area ini terdiri dari kolam-kolam raksasa. Air biru dalam kolam ini dapat melarutkan Eron.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000096,Engisis Length,Engisis Length
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000097,"The largest, most mysterious tree in Madrigal.",Pohon terbesar dan paling misterius di Madrigal.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000098,Darkon 3\nDeadwallderness,Darkon 3\nDeadwallderness
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000099,The wasteland of Darkon 3. Smoke rises from the ground that smells like dead things.,Tanah tandus di Darkon 3. Asap mengepul dari tanah yang berbau seperti bangkai.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000100,Darkon 3\nAniceknight,Darkon 3\nAniceknight
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000101,The local plants have mutated and grown large.,Tanaman lokal telah bermutasi dan tumbuh besar.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000102,Darkon 3\nHouse of Laola,Darkon 3\nHouse of Laola
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000103,A mysterious aura has wrapped itself around the home of Laola,Aura misterius telah menyelimuti rumah Laola
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000104,Altar of Ranger,Altar of Ranger
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000105,This altar was made for admiring the glory of the Ranger.\nA priest named Rupim is managing this altar.,Altar ini dibuat untuk mengagumi kemuliaan Ranger.\nSeorang priest bernama Rupim mengelola altar ini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000106,Altar of Psykeeper,Altar of Psykeeper
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000107,Place where the Soulstone of Psykeeper is kept.\nThe admirers of the hero Offerep\nmake a pilgrimage here every year.,Tempat dimana Soulstone of Psykeeper disimpan.\nPengagum dari Hero Offerep\nmelakukan ziarah di sini setiap tahun.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000108,Darkon 3\nWestern Cendil,Darkon 3\nWestern Cendil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000109,The polluted river flows and corrupts the wildlife of the area.\nThings grow large and nasty in this area.,Sungai yang tercemar mengalir dan merusak kehidupan liar di daerah tersebut.\nMereka bermutasi menjadi besar dan buas disini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000110,Darkon 3\nHeret,Darkon 3\nHeret
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000111,There is a blue glow to the air.\nThe creatures here survive by eating Erons and wandering travelers.\nYou can see the mutant tree Heldonose on the west end.\nThis tree produces Erons.,Ada cahaya biru di udara.\nMakhluk-makhluk di sini bertahan hidup dengan memakan Erons dan pengembara yang melintas.\nAnda dapat melihat pohon mutan Heldonose di ujung barat.\nPohon ini menghasilkan Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000112,Darkon 3\nMiddle Cendil,Darkon 3\nMiddle Cendil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000113,Unknown powerful energy exists in this district.\nNobody wants to know where the power came from.,Energi kuat yang tidak dikenali ada di distrik ini.\nTidak ada tahu dari mana kekuatan itu berasal.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000114,Darkon 3\nEastern Cendil,Darkon 3\nEastern Cendil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000115,Mileng is a holy place surrounded by giant trees shaped like mushrooms.,Mileng adalah tempat suci yang dikelilingi oleh pohon-pohon raksasa yang berbentuk seperti jamur.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000116,Mileng,Mileng
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000117,Mileng is a holy place surrounded by giant trees shaped like mushrooms.\nThe Heroes of Madrigal won their first victory here.,Mileng adalah tempat suci yang dikelilingi oleh pohon-pohon raksasa yang berbentuk seperti jamur.\nHeroes of Madrigal memenangkan kemenangan pertama mereka di sini.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000118,Darkon 3\nGuardiane,Darkon 3\nGuardiane
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000119,This is a place of Guardians.\nThe final battle in the Hero War happened here\nAdventurers who wish to follow the will of heroes come here.,Ini adalah tempat para Guardian.\nPertempuran terakhir dari Hero War terjadi di sini\nAdventurer yang ingin mengikuti kehendak para pahlawan datang ke sini.
