Key,English,Polish
WORLD_WDGUILDWAR_WDGUILDWAR_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WDGUILDWARBIG_WLD_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WORLD_WDGUILDWAR_CAVERN_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WORLD_WDGUILDWAR_CORAL_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WORLD_WDGUILDWAR_GUARDIANE_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WORLD_WDGUILDWAR_KAILLUN_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WORLD_WDGUILDWAR_SNOW_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WORLD_WDGUILDWAR_UNDERWATER_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WORLD_WDGUILDWAR_VOLCANO_RGN_000000,Prove yourself!\nShow them that you are the best!,"Udowodnij sobie!\nPokaż im, że jesteś najlepszy!"
WDKEBARAS_WLD_000000,Lodelight,Lodelight
WDKEBARAS_WLD_000001,This is a safe place.,To bezpieczne miejsce.
WORLD_WDKEBARAS_WDKEBARAS_RGN_000000,Kebaras,Kebaras
WORLD_WDKEBARAS_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras!\nLong ago, this place served as a prison for criminals...",To jest miasto Kebaras.\nTo miejsce było kiedyś więzienie dla przestępców...
WDKEBARAS2_WLD_000000,Lodelight,Lodelight
WDKEBARAS2_WLD_000001,This is a safe place.,This is a safe place.
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000000,Kebaras 2,Kebaras 2
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals...","Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals..."
WDMADRIGAL_WLD_000000,Mysterious Castle,Tajemniczy zamek
WDMADRIGAL_WLD_000001,This place is not marked on the map. No one knows how to enter it...,"To miejsce nie jest zaznaczone na mapie. Nikt nie wie, jak wejść do środka..."
WDMADRIGAL_WLD_000002,Refuge of Middle Leren Mountains,Schronienie Middle Leren Mountains
WDMADRIGAL_WLD_000003,Line Flarine ↔ Saint City,Linia Flarine ↔ Miasto Saint
WDMADRIGAL_WLD_000004,Line Flarine ↔ Darkon 1,Linia Flarine ↔ Darkon 1
WDMADRIGAL_WLD_000005,Line Flarine ↔ Mars Mine,Linia Flarine ↔ Kopalnia Mars
WDMADRIGAL_WLD_000006,Line Saint City ↔ Garden of Rhisis,Linia Miasta Saint ↔ Ogród Rhisis
WDMADRIGAL_WLD_000007,Line Saint City ↔ Fantasy Desert,Linia Miasta Saint ↔ Pustyni Fantazji
WDMADRIGAL_WLD_000008,Line Darkon 1 ↔ Darken,Linia Darkona 1 ↔ Darken
WDMADRIGAL_WLD_000009,Line Darken ↔ Arians,Linia Darken ↔ Arian
WDMADRIGAL_WLD_000010,Line Arians ↔ Guardiane,Linia Arian ↔ Guardiane
WDMADRIGAL_WLD_000011,Line Arians ↔ Deadwallderness,Linia Arians ↔ Martwe Pustkowie
WDMADRIGAL_WLD_000012,Azria\nAbandoned Erons Factory,Azria\nOpuszczona Fabryka Erons
WDMADRIGAL_WLD_000013,Azria\nVillage,Azria\nWioska
WDMADRIGAL_WLD_000014,Line Deadwallderness ↔ Azria,Line Deadwallderness ↔ Azria
WDMADRIGAL_WLD_000015,Storm Peak Entrance,Storm Peak Entrance
WDMADRIGAL_WLD_000017,Envy Depths Entrance,Envy Depths Entrance
WDMADRIGAL_WLD_000019,Guardiane Sanctuary Entrance,Guardiane Sanctuary Entrance
WDMADRIGAL_WLD_000021,Leren Chasm Entrance,Leren Chasm Entrance
WDMADRIGAL_WLD_000022,Wilds Entrance,Wilds Entrance
WDMADRIGAL_WLD_000023,Rhisis Catacombs,Rhisis Catacombs
WDMADRIGAL_WLD_000024,This is a safe place.,This is a safe place.
WDMADRIGAL_WLD_000025,The Wilds Entrance,The Wilds Entrance
WDMADRIGAL_WLD_000026,Coral Village,Coral Village
WDMADRIGAL_WLD_000028,Coral Island,Coral Island
WDMADRIGAL_WLD_000029,Welcome to Coral!,Welcome to Coral!
WDMADRIGAL_WLD_000030,Red Sea,Red Sea
WDMADRIGAL_WLD_000032,Deep Sea,Deep Sea
WDMADRIGAL_WLD_000034,Swamp,Swamp
WDMADRIGAL_WLD_000035,Saint City Arena,Saint City Arena
WDMADRIGAL_WLD_000036,This place was famous long ago...,This place was famous long ago...
WDMADRIGAL_WLD_000037,Kaillun,Kaillun
WDMADRIGAL_WLD_000038,Welcome to Kaillun!,Welcome to Kaillun!
WDMADRIGAL_WLD_000039,Orbalune Port,Orbalune Port
WDMADRIGAL_WLD_000040,This is a safe place.,This is a safe place.
WDMADRIGAL_WLD_000041,Kaillun Grassland,Kaillun Grassland
WDMADRIGAL_WLD_000042,Dreknir Ridge,Dreknir Ridge
WDMADRIGAL_WLD_000043,Lionrath Falls,Lionrath Falls
WDMADRIGAL_WLD_000044,Velora Cliffs,Velora Cliffs
WDMADRIGAL_WLD_000045,Dreknir Forest,Dreknir Forest
WDMADRIGAL_WLD_000046,Ankou's Asylum Entrance,Ankou's Asylum Entrance
WDMADRIGAL_WLD_000047,This is a safe place.,This is a safe place.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000000,Darkon 1\nErons Factory 2,Darkon 1\nFabryka Erons 2
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000001,Erons Factory 2. Used to produce Erons.,Fabryka Erons 2. Używana do produkcji Erons.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000002,The Middle of Leren Mountains,Środek Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000003,The middle district of Leren Mountains in Flaris.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,Środkowa dzielnica Leren Mountains we Flaris.\nJest tam kwatera dla Wysokich Krasnoludów i Plain of Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000004,Flarine\nCentral Flarine,Flarine\nCentrum Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000005,The main hub of activity for Flaris is in the middle of Flarine.\nThere is a station and a public office.\nThere are stores for armor and weapons.,Główny ośrodek działalności dla Flaris jest w środku Flarine.\nJest tam stacja i urząd publiczny.\nSą tam sklepy ze zbroją i bronią.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000006,Flarine\nEastern Flarine,Flarine\nWschodnie Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000007,"The eastern part of Flarine.\nHere you can get food, magic materials, and job training.","Wschodnia część Flarine.\nTutaj możesz zdobyć jedzenie, magiczne materiały i szkolenie zawodowe."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000008,Flarine\nNorthern Flarine,Flarine\nPółnocne Flarine
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000009,The northern part of Flarine.\nThe Job Masters and Lodestar are here.,Północna część Flarine.\nMistrzowie pracy i Lodestar tutaj się znajdują.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000010,Someone is watching you.,Ktoś cię obserwuje.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000011,Plain of Bubble,Równina Bańki
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000012,This area was created by the Clown God Bubble.,Ten obszar został stworzony przez Boga Klauna Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000013,The South of Leren Mountains,Południe Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000014,The southern district of the Leren Mountains.,Południowa dzielnica Leren Mountains.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000015,The Center for Guild Combat,Centrum Walki Gildii.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000016,Guild combat is managed here.,Tutaj zarządza się walką gildii.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000017,The South of Leren Mountains\nAltar of Dreadpet,Południe Leren Mountains\nOłtarz Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000018,Dreadpet is kept here.\nHis keepers control great magic.,Dreadpet jest tutaj trzymany.\nJego opiekunowie kontrolują wielką magię.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000019,Darkon 1\nErons Factory 1,Darkon 1\nFabryka Erony 1
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000020,The First Erons Factory.\nThis factory produces 80% of all Erons.,Pierwsza fabryka Eronsa.\nTa fabryka produkuje 80% wszystkich Eronów.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000021,Darkon\nAltar of Violet,Darkon\nOłtarz Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000022,There is evidence here of a major event.,Są tu dane na temat ważnego wydarzenia.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000023,The Middle of Leren Mountains,Środek Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000024,The middle of the Leren Mountains.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,Środek Leren Mountains.\nJest tam kwatera dla Wysokich Krasnoludów i Plain of Bubble.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000025,Billeting Place of High-Dwarpets,Kwatera Wysokich Krasnoludów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000026,The High-Dwarpets have created Billeting place.\n A certain High-Dwarpet once stored the Book of Technique here.,Wysokie Krasnoludy stworzyły miejsce zakwaterowania.\nPewien Wysoki Krasnolud przechowywał tu kiedyś Księgę Techniki.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000027,Northern River of Weeping,Północny River of Weeping
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000028,Haunt of Nyangnyang,Nawiedzone Nyangnyang
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000029,Haunt of Nyangnyang.,Nawiedzone Nyangnyang.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000030,The bridge was repaired!\n You used to have to jump across a gap.,Most został naprawiony!\nKiedyś musiałeś skakać przez szczelinę.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000031,Lodelight,Punkt odrodzenia
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000032,This is a safe place.,To bezpieczne miejsce.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000033,Madren Town,Miasto Madren
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000034,This is a small town for Demian.\nCast-off Demian live here.,To jest małe miasto dla Demian.\nOdrzucony Demian mieszka w tym mieście.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000035,Middle of River of Weeping,Środek River of Weeping
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000036,This river overflows when it rains every once in a while.\nHigh-Dwarpet can sometimes be seen bathing here.,"Ta rzeka przelewa się, gdy co jakiś czas pada deszcz.\nMożna tu czasem zobaczyć wysokiego krasnoluda kąpiącego się."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000037,Madren Town\nAltar of Dreadpet,Madren Town\nOłtarz Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000038,Another place for controlling the Dreadpet.\nThere are supervisors here that use strong magic.,Kolejne miejsce do kontrolowania Dreadpet.\nSą tu nadzorcy posługujący się silną magią.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000039,Fountain of Dead Person,Fontanna Zmarłej Osoby
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000040,"It is known that souls gather together in this place.\nAccording to tradition, the water in this place gives perennial youth and long life.","Wiadomo, że dusze gromadzą się w tym miejscu.\nWedług tradycji woda w tym miejscu daje wieczną młodość i długie życie."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000041,Northern Leren Mountains,Północne Leren Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000042,The northern district of the Leren Mountains.\nThe Mars Mine and the Fountain of Dead Person are here.,Północna dzielnica Leren Mountains.\nKopalnia Marsa i Fontanna Martwego Człowieka są tutaj.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000043,Mars Mine,Kopalnia Marsa
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000044,"This Mine was found and developed by mining merchants long ago.\n However, the place is overrun with Masquerpets now.",Kopalnia ta została odkryta i rozwinięta dawno temu przez kupców górniczych.\nJednak teraz to miejsce jest opanowane przez Masquerpets.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000045,The residence of Ludviehill,Rezydencja w Ludviehill
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000046,The rich of Flaris live in Ludviehill.,Bogaci mieszkańcy Flaris mieszkają w Ludviehill.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000049,Saint Tree,Święte Drzewo
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000050,Saint Tree is really old\n This tree is one of the symbols of Saint Morning.,Święte Drzewo jest naprawdę stare\nTo drzewo jest jednym z symboli Saint Morning.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000051,Saint Morning\nAltar of Violet,Saint Morning\nOłtarz Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000052,"Here, as in other places, there is evidence of a major event.","Tutaj, podobnie jak w innych miejscach, istnieją dowody na temat ważnego wydarzenia."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000053,Northern Hillid Mountains,Północne Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000054,The Northern district of the Hillid Mountains,Północna dzielnica Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000055,Eastern River of Weeping,Wschodnie River of Weeping
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000056,The Eastern part of the River of Weeping\nAltar of Dreadpet,Wschodnia część River of Weeping\nOłtarz Dreadpet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000057,Another Altar to the Dreadpet.\nThe magic of the Dreadpet tamers electrifies the air.,Kolejny ołtarz Dreadpet.\nMagia poskramiaczy Dreadpet elektryzuje powietrze.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000058,Saint Morning\nSaint Hall,Saint Morning\nSaint Hall
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000059,Saint Hall is the oldest building. It has been standing longer than anyone in town has been alive.\nPublic offices and the laboratory are located in this building.,Saint Hall to najstarsza budowla. Stała dłużej niż cokolwiek w mieście.\nW tym budynku znajdują się urzędy publiczne i laboratorium.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000060,Saint Morning,Saint Morning
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000061,Saint Morning has gained independence from Flaris.\nThey have made a fortune from commerce.,Saint Morning uzyskał niezależność od Flarisa.\nZrobili fortunę na handlu.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000062,Saint Morning\nStation,Saint Morning\nStation
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000063,This is the biggest station on Madrigal.\nSaint Morning could become the center of commerce for Madrigal by using this station.,To największa stacja na Madrigalu.\nDzięki tej stacji Saint Morning może stać się centrum handlowym Madrigala.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000064,Saint Morning square,Plac Saint Morning
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000065,Saint Morning square is a local hang out.\nThere is lots of space to open stores.,Plac w Saint Morning jest lokalnym miejscem spotkań.\nJest dużo miejsca do otwierania sklepów.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000066,Saint Morning\nThe Madrigal History Society.,Saint Morning\nTowarzystwo Historyczne Madrigal.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000067,Research in the History of Madrigal is being made here.,Prowadzone są tu badania na temat historii Madrigal.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000068,Flaris\nAltar of Violet,Flaris\nOłtarz Violet
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000069,"There is a certain smell in the air and stones litter the landscape, evidence of a major event.","W powietrzu można wyczuć pewien zapach i odpadki kamieni w krajobrazie, dowód ważnego wydarzenia"
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000070,The Garden of Rhisis,Ogród Rhisis
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000071,The Garden of Rhisis.\nThis once used to be a beautiful place but was ruined in the war with Clockworks.,"The Garden of Rhisis.\nKiedyś było to piękne miejsce, ale zostało zniszczone podczas wojny z Clockworkami."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000072,Fantasy Desert,Pustynia Fantazji
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000073,"You can see stone pillars around the desert.\nAccording to rumor, there are temples that lie buried under this desert.","Możesz zobaczyć kamienne filary wokół pustyni.\nWedług plotek, pod tą pustynią leżą świątynie."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000074,You can hear the sound of digging close by.,Możesz usłyszeć odgłosy kopania w pobliżu.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000075,The Entrance to Fantasy Desert,Wejście do Pustyni Fantazji
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000076,"A desert with a lot of unknown, unexplained, buildings.","Pustynia z mnóstwem nieznanych, niewyjaśnionych budynków."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000077,Southern Hillid Mountains,Południowy Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000078,The southern Hillid Mountains.\nThe Entrance to the Fantasy Desert and Plateau of Silence is here.,The southern Hillid Mountains.\nThe Entrance to the Fantasy Desert and Plateau of Silence is here.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000079,Plateau of Silence\nGravity Disorder Area,Płaskowyż Ciszy\nObszar zaburzeń grawitacyjnych
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000080,"It is impossible to fly in this area of Madrigal. According to a research group, gravity is stronger here than anywhere else in the world.",W tym rejonie Madrigal nie można latać. Według grupy badawczej grawitacja jest tutaj silniejsza niż gdziekolwiek indziej na świecie.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000081,Hill of Shade,Hill of Shade
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000082,"Shade, the Clown Goddess was here.\nShe created this place in the time it takes to blink an eye.","Cień, Clown Goddess tutaj był.\nStworzyła to miejsce w czasie potrzebnym na mrugnięcie okiem."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000083,This is a safe place.,To bezpieczny obszar. Jesteś bezpieczny przed wrogami.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000084,Pumpkin Town\nThe Home of Mr. Pumpkin.,Dyniowe Miasteczko\nDom Pana Dyni.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000085,"This town was made by people who dislike the city life of Saint Morning.\nHowever, this town was ruined because of an invasion of Mr. Pumpkins.","To miasto zostało stworzone przez ludzi, którzy nie lubią miejskiego życia Saint Morning.\nJednak to miasto zostało zrujnowane z powodu najazdu Mr. Pumpkinsa."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000086,Central Hillid Mountains,Centrum Hillid Mountains
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000087,The central area of the Hillid Mountains.,Centralny obszar Hillid Mountains.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000088,Darkon 3\nMagmient,Darkon 3\nMagmient
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000089,The molten terrain of Darkon 3 makes for hard travel.\nOrdinary people do not enter because of the danger.,"Roztopiony teren Darkon 3 sprawia, że ​​podróż jest ciężka.\nZwykli ludzie nie wchodzą z powodu niebezpieczeństwa."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000090,Altar of Jester,Ołtarz Jester
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000091,This altar was made for admiring the glory of Jesters.\nA priest named Homeit is managing this altar.,"Ten ołtarz powstał, by podziwiać chwałę Jesterów.\nOłtarzem zarządza kapłan o imieniu Homeit."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000092,Darkon 3\nBrekin,Darkon 3\nBrekin
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000093,"This was an industrial area for refining Erons.\nHowever, this area was abandoned because of growing danger in the area.",Był to obszar przemysłowy do rafinacji Erons.\nJednak obszar ten został opuszczony ze względu na rosnące w okolicy zagrożenie.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000094,Darkon 3\nArians,Darkon 3\nArians
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000095,This area consists of giant pools. This blue water dissolved Erons.,Obszar ten składa się z gigantycznych basenów. Ta niebieska woda rozpuściła Erona.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000096,Engisis Length,Długość Engisis
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000097,"The largest, most mysterious tree in Madrigal.","Największe, najbardziej tajemnicze drzewo w Madrigal."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000098,Darkon 3\nDeadwallderness,Darkon 3\nDeadwallderness
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000099,The wasteland of Darkon 3. Smoke rises from the ground that smells like dead things.,"Pustkowie Darkon 3. Dym unosi się z ziemi, która pachnie jak martwe rzeczy."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000100,Darkon 3\nAniceknight,Darkon 3\nAniceknight
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000101,The local plants have mutated and grown large.,Tutejsze rośliny zmutowały i rozrosły się.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000102,Darkon 3\nHouse of Laola,Darkon 3\nDom Laola
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000103,A mysterious aura has wrapped itself around the home of Laola,Tajemnicza aura owinęła się wokół domu Laola
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000104,Altar of Ranger,Ołtarz Rangerów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000105,This altar was made for admiring the glory of the Ranger.\nA priest named Rupim is managing this altar.,"Ten ołtarz powstał, by podziwiać chwałę Rangerów\nOłtarzem tym kieruje ksiądz Rupim."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000106,Altar of Psykeeper,Ołtarz Psykeeperów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000107,Place where the Soulstone of Psykeeper is kept.\nThe admirers of the hero Offerep\nmake a pilgrimage here every year.,"Miejsce, w którym przechowywany jest Kamień Dusz Psykeepera.\nWielbiciele bohatera Offerep\nodbyć tu pielgrzymkę co roku."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000108,Darkon 3\nWestern Cendil,Darkon 3\nWestern Cendil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000109,The polluted river flows and corrupts the wildlife of the area.\nThings grow large and nasty in this area.,Zanieczyszczona rzeka płynie i niszczy przyrodę tego obszaru.\nRóżne rzeczy rosną i paskudzą to miejsce.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000110,Darkon 3\nHeret,Darkon 3\nHeret
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000111,There is a blue glow to the air.\nThe creatures here survive by eating Erons and wandering travelers.\nYou can see the mutant tree Heldonose on the west end.\nThis tree produces Erons.,"W powietrzu pojawia się niebieska poświata.\nTutejsze stworzenia przetrwają, jedząc Erons i wędrownych podróżników.\nMożesz zobaczyć zmutowane drzewo Heldonose na zachodnim krańcu.\nTo drzewo produkuje Erons."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000112,Darkon 3\nMiddle Cendil,Darkon 3\nŚrodkowy Cendil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000113,Unknown powerful energy exists in this district.\nNobody wants to know where the power came from.,"W tej dzielnicy istnieje nieznana potężna energia.\nNikt nie chce wiedzieć, skąd wzięła się ta moc."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000114,Darkon 3\nEastern Cendil,Darkon 3\nWschodni Cendil
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000115,Mileng is a holy place surrounded by giant trees shaped like mushrooms.,Mileng to święte miejsce otoczone gigantycznymi drzewami w kształcie grzybów.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000116,Mileng,Mileng
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000117,Mileng is a holy place surrounded by giant trees shaped like mushrooms.\nThe Heroes of Madrigal won their first victory here.,Mileng to święte miejsce otoczone gigantycznymi drzewami w kształcie grzybów.\nBohaterowie Madrigal odnieśli tutaj swoje pierwsze zwycięstwo.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000118,Darkon 3\nGuardiane,Darkon 3\nGuardiane
